"Title","Phonics attainments for children aged 5 to 7 (key stage 1)"
"Location","England"
"Time period","2015/16"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","2018-03-04"
"Measure","Time","Time_type","Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","FSM","FSM_type","Value","Value_type","Denominator"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Mixed - Any other","Ethnicities used by National Pupil Database (19)","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","69","%","1,353"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Asian","White/Asian/Black/Mixed/Chinese","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","74","%","4,093"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Asian - Indian","Ethnicities used by National Pupil Database (19)","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","79","%","388"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Asian - Pakistani","Ethnicities used by National Pupil Database (19)","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","72","%","2,109"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Asian - Bangladeshi","Ethnicities used by National Pupil Database (19)","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","74","%","939"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Asian - Any other","Ethnicities used by National Pupil Database (19)","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","78","%","657"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Black","White/Asian/Black/Mixed/Chinese","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","73","%","4,306"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Black - Caribbean","Ethnicities used by National Pupil Database (19)","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","67","%","910"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Black - African","Ethnicities used by National Pupil Database (19)","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","76","%","2,803"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Black - Any other","Ethnicities used by National Pupil Database (19)","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","69","%","593"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Chinese","White/Asian/Black/Mixed/Chinese","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","71","%","136"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Other - Any other","Ethnicities used by National Pupil Database (19)","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","74","%","1,235"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","All","All","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","74","%","45,609"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","White","White/Asian/Black/Mixed/Chinese","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","71","%","31,934"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","White - British","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","72","%","29,985"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","White - Irish","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","62","%","117"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","White - Traveller of Irish Heritage","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","41","%","175"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","White - Gypsy/Roma","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","44","%","311"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","White - Any other","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","74","%","1,346"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Mixed","White/Asian/Black/Mixed/Chinese","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","78","%","3,931"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Mixed - White and Black Caribbean","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","76","%","1,426"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Mixed - White and Black African","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","84","%","601"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Mixed - White and Asian","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","81","%","661"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Mixed - Any other","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","77","%","1,243"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Asian","White/Asian/Black/Mixed/Chinese","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","81","%","3,798"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Asian - Indian","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","84","%","404"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Asian - Pakistani","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","80","%","1,928"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Asian - Bangladeshi","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","83","%","865"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Asian - Any other","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","83","%","601"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Black","White/Asian/Black/Mixed/Chinese","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","82","%","4,293"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Black - Caribbean","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","80","%","924"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Black - African","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","84","%","2,802"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Black - Any other","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","78","%","567"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Chinese","White/Asian/Black/Mixed/Chinese","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","86","%","101"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Other - Any other","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","FSM","All/FSM/Non-FSM","78","%","1,156"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","All","All","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","83","%","558,365"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","82","%","420,572"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","White - British","Ethnicities used by National Pupil Database (19)","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","83","%","374,429"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","White - Irish","Ethnicities used by National Pupil Database (19)","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","84","%","1,441"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","White - Traveller of Irish Heritage","Ethnicities used by National Pupil Database (19)","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","47","%","330"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","White - Gypsy/Roma","Ethnicities used by National Pupil Database (19)","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","37","%","1,658"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","White - Any other","Ethnicities used by National Pupil Database (19)","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","79","%","42,714"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Mixed","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","85","%","31,430"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Mixed - White and Black Caribbean","Ethnicities used by National Pupil Database (19)","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","81","%","7,123"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Mixed - White and Black African","Ethnicities used by National Pupil Database (19)","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","83","%","4,340"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Mixed - White and Asian","Ethnicities used by National Pupil Database (19)","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","87","%","8,027"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Mixed - Any other","Ethnicities used by National Pupil Database (19)","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","85","%","11,940"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Asian","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","85","%","59,158"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Asian - Indian","Ethnicities used by National Pupil Database (19)","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","89","%","17,971"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Asian - Pakistani","Ethnicities used by National Pupil Database (19)","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","81","%","23,025"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Asian - Bangladeshi","Ethnicities used by National Pupil Database (19)","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","83","%","8,162"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Asian - Any other","Ethnicities used by National Pupil Database (19)","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","85","%","10,000"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Black","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","84","%","26,628"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Black - Caribbean","Ethnicities used by National Pupil Database (19)","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","81","%","4,566"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Black - African","Ethnicities used by National Pupil Database (19)","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","85","%","18,465"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Black - Any other","Ethnicities used by National Pupil Database (19)","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","81","%","3,597"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Chinese","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","89","%","2,918"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Other - Any other","Ethnicities used by National Pupil Database (19)","All","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","80","%","9,454"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","All","All","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","79","%","285,967"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","White","White/Asian/Black/Mixed/Chinese","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","79","%","215,733"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","White - British","Ethnicities used by National Pupil Database (19)","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","80","%","192,147"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","White - Irish","Ethnicities used by National Pupil Database (19)","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","82","%","761"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","White - Traveller of Irish Heritage","Ethnicities used by National Pupil Database (19)","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","40","%","165"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","White - Gypsy/Roma","Ethnicities used by National Pupil Database (19)","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","33","%","836"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","White - Any other","Ethnicities used by National Pupil Database (19)","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","75","%","21,824"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Mixed","White/Asian/Black/Mixed/Chinese","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","81","%","15,897"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Mixed - White and Black Caribbean","Ethnicities used by National Pupil Database (19)","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","77","%","3,591"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Mixed - White and Black African","Ethnicities used by National Pupil Database (19)","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","80","%","2,174"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Mixed - White and Asian","Ethnicities used by National Pupil Database (19)","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","85","%","4,017"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Mixed - Any other","Ethnicities used by National Pupil Database (19)","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","82","%","6,115"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Asian","White/Asian/Black/Mixed/Chinese","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","82","%","30,298"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Asian - Indian","Ethnicities used by National Pupil Database (19)","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","87","%","9,327"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Asian - Pakistani","Ethnicities used by National Pupil Database (19)","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","78","%","11,740"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Asian - Bangladeshi","Ethnicities used by National Pupil Database (19)","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","79","%","4,128"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Asian - Any other","Ethnicities used by National Pupil Database (19)","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","82","%","5,103"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Black","White/Asian/Black/Mixed/Chinese","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","80","%","13,517"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Black - Caribbean","Ethnicities used by National Pupil Database (19)","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","77","%","2,380"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Black - African","Ethnicities used by National Pupil Database (19)","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","81","%","9,312"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Black - Any other","Ethnicities used by National Pupil Database (19)","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","77","%","1,825"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Chinese","White/Asian/Black/Mixed/Chinese","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","88","%","1,479"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Other - Any other","Ethnicities used by National Pupil Database (19)","Boys","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","77","%","4,865"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","All","All","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","86","%","272,398"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","White","White/Asian/Black/Mixed/Chinese","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","86","%","204,839"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","White - British","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","87","%","182,282"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","White - Irish","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","86","%","680"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","White - Traveller of Irish Heritage","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","53","%","165"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","White - Gypsy/Roma","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","40","%","822"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","White - Any other","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","82","%","20,890"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Mixed","White/Asian/Black/Mixed/Chinese","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","88","%","15,533"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Mixed - White and Black Caribbean","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","86","%","3,532"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Mixed - White and Black African","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","86","%","2,166"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Mixed - White and Asian","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","90","%","4,010"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Mixed - Any other","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","88","%","5,825"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Asian","White/Asian/Black/Mixed/Chinese","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","88","%","28,860"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Asian - Indian","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","92","%","8,644"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Asian - Pakistani","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","85","%","11,285"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Asian - Bangladeshi","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","87","%","4,034"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Asian - Any other","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","88","%","4,897"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Black","White/Asian/Black/Mixed/Chinese","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","87","%","13,111"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Black - Caribbean","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","86","%","2,186"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Black - African","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","88","%","9,153"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Black - Any other","Ethnicities used by National Pupil Database (19)","Girls","All/Boys/Girls","Non-FSM","All/FSM/Non-FSM","86","%","1,772"
