"Measure","NHS_trust","NHS_trust_code","Ethnicity","Ethnicity_type","Geography","Geography_type","NHS_trust_type","Value","Value_type","Numerator","Denominator","Comments"
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","West Suffolk NHS Foundation Trust","RGR","White","White & Other","Midlands & East","Grouped region","Acute trust","5.513308","%","29","526",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","West Suffolk NHS Foundation Trust","RGR","Other","White & Other","Midlands & East","Grouped region","Acute trust","15.909091","%","7","44",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Cambridge University Hospitals NHS Foundation Trust","RGT","White","White & Other","Midlands & East","Grouped region","Acute trust","7.696645","%","273","3547",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Cambridge University Hospitals NHS Foundation Trust","RGT","Other","White & Other","Midlands & East","Grouped region","Acute trust","16.830295","%","120","713",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Somerset Partnership NHS Foundation Trust","RH5","White","White & Other","South","Grouped region","Mental health trust","5.409253","%","76","1405",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Somerset Partnership NHS Foundation Trust","RH5","Other","White & Other","South","Grouped region","Mental health trust","9.090909","%","4","44",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Royal Devon and Exeter NHS Foundation Trust","RH8","White","White & Other","South","Grouped region","Acute trust","5.628775","%","205","3642",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Royal Devon and Exeter NHS Foundation Trust","RH8","Other","White & Other","South","Grouped region","Acute trust","11.111111","%","21","189",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Nottinghamshire Healthcare NHS Foundation Trust","RHA","White","White & Other","Midlands & East","Grouped region","Mental health trust","6.314286","%","221","3500",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Nottinghamshire Healthcare NHS Foundation Trust","RHA","Other","White & Other","Midlands & East","Grouped region","Mental health trust","14.827586","%","43","290",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","University Hospital Southampton NHS Foundation Trust","RHM","White","White & Other","South","Grouped region","Acute trust","7.129751","%","272","3815",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","University Hospital Southampton NHS Foundation Trust","RHM","Other","White & Other","South","Grouped region","Acute trust","14.593698","%","88","603",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Sheffield Teaching Hospitals NHS Foundation Trust","RHQ","White","White & Other","North","Grouped region","Acute trust","4.532443","%","285","6288",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Sheffield Teaching Hospitals NHS Foundation Trust","RHQ","Other","White & Other","North","Grouped region","Acute trust","12.6703","%","93","734",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Portsmouth Hospitals NHS Trust","RHU","White","White & Other","South","Grouped region","Acute trust","7.948094","%","294","3699",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Portsmouth Hospitals NHS Trust","RHU","Other","White & Other","South","Grouped region","Acute trust","15.482234","%","61","394",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Royal Berkshire NHS Foundation Trust","RHW","White","White & Other","South","Grouped region","Acute trust","6.61104","%","103","1558",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Royal Berkshire NHS Foundation Trust","RHW","Other","White & Other","South","Grouped region","Acute trust","13.877551","%","68","490",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Guy's and St Thomas' NHS Foundation Trust","RJ1","White","White & Other","London","Grouped region","Acute trust","6.258191","%","191","3052",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Guy's and St Thomas' NHS Foundation Trust","RJ1","Other","White & Other","London","Grouped region","Acute trust","11.788413","%","234","1985",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Lewisham and Greenwich NHS Trust","RJ2","White","White & Other","London","Grouped region","Acute trust","8.105561","%","86","1061",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Lewisham and Greenwich NHS Trust","RJ2","Other","White & Other","London","Grouped region","Acute trust","16.871166","%","110","652",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Croydon Health Services NHS Trust","RJ6","White","White & Other","London","Grouped region","Acute trust","6.772334","%","47","694",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Croydon Health Services NHS Trust","RJ6","Other","White & Other","London","Grouped region","Acute trust","15.789474","%","90","570",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","St George's University Hospitals NHS Foundation Trust","RJ7","White","White & Other","London","Grouped region","Acute trust","9.695174","%","229","2362",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","St George's University Hospitals NHS Foundation Trust","RJ7","Other","White & Other","London","Grouped region","Acute trust","18.410853","%","285","1548",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Cornwall Partnership NHS Foundation Trust","RJ8","White","White & Other","South","Grouped region","Mental health trust","3.763441","%","49","1302",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Cornwall Partnership NHS Foundation Trust","RJ8","Other","White & Other","South","Grouped region","Mental health trust","7.407407","%","2","27",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","South Warwickshire NHS Foundation Trust","RJC","White","White & Other","Midlands & East","Grouped region","Acute trust","7.03125","%","36","512",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","South Warwickshire NHS Foundation Trust","RJC","Other","White & Other","Midlands & East","Grouped region","Acute trust","9.259259","%","5","54",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","University Hospitals Of North Midlands NHS Trust","RJE","White","White & Other","Midlands & East","Grouped region","Acute trust","7.104291","%","250","3519",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","University Hospitals Of North Midlands NHS Trust","RJE","Other","White & Other","Midlands & East","Grouped region","Acute trust","13.569937","%","65","479",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Burton Hospitals NHS Foundation Trust","RJF","White","White & Other","Midlands & East","Grouped region","Acute trust","5.170976","%","62","1199",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Burton Hospitals NHS Foundation Trust","RJF","Other","White & Other","Midlands & East","Grouped region","Acute trust","14.184397","%","20","141",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Northern Lincolnshire and Goole NHS Foundation Trust","RJL","White","White & Other","North","Grouped region","Acute trust","8.314607","%","148","1780",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Northern Lincolnshire and Goole NHS Foundation Trust","RJL","Other","White & Other","North","Grouped region","Acute trust","10.909091","%","18","165",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","East Cheshire NHS Trust","RJN","White","White & Other","North","Grouped region","Acute trust","4.250797","%","40","941",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","East Cheshire NHS Trust","RJN","Other","White & Other","North","Grouped region","Acute trust","11.290323","%","7","62",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Countess of Chester Hospital NHS Foundation Trust","RJR","White","White & Other","North","Grouped region","Acute trust","5.878031","%","80","1361",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Countess of Chester Hospital NHS Foundation Trust","RJR","Other","White & Other","North","Grouped region","Acute trust","10.606061","%","7","66",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","King's College Hospital NHS Foundation Trust","RJZ","White","White & Other","London","Grouped region","Acute trust","8.998179","%","247","2745",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","King's College Hospital NHS Foundation Trust","RJZ","Other","White & Other","London","Grouped region","Acute trust","21.758995","%","381","1751",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Sherwood Forest Hospitals NHS Foundation Trust","RK5","White","White & Other","Midlands & East","Grouped region","Acute trust","6.205674","%","140","2256",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Sherwood Forest Hospitals NHS Foundation Trust","RK5","Other","White & Other","Midlands & East","Grouped region","Acute trust","8.383234","%","14","167",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Plymouth Hospitals NHS Trust","RK9","White","White & Other","South","Grouped region","Acute trust","6.699252","%","233","3478",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Plymouth Hospitals NHS Trust","RK9","Other","White & Other","South","Grouped region","Acute trust","15.023474","%","32","213",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","University Hospitals Coventry And Warwickshire NHS Trust","RKB","White","White & Other","Midlands & East","Grouped region","Acute trust","6.291946","%","150","2384",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","University Hospitals Coventry And Warwickshire NHS Trust","RKB","Other","White & Other","Midlands & East","Grouped region","Acute trust","13.198758","%","85","644",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Whittington Health NHS Trust","RKE","White","White & Other","London","Grouped region","Acute trust","8.172043","%","76","930",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Whittington Health NHS Trust","RKE","Other","White & Other","London","Grouped region","Acute trust","17.128874","%","105","613",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","West London Mental Health NHS Trust","RKL","White","White & Other","London","Grouped region","Mental health trust","11.6","%","87","750",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","West London Mental Health NHS Trust","RKL","Other","White & Other","London","Grouped region","Mental health trust","13.138686","%","72","548",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust","RL1","White","White & Other","Midlands & East","Grouped region","Acute trust","6.445672","%","35","543",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust","RL1","Other","White & Other","Midlands & East","Grouped region","Acute trust","22.222222","%","4","18",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","The Royal Wolverhampton NHS Trust","RL4","White","White & Other","Midlands & East","Grouped region","Acute trust","6.637345","%","166","2501",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","The Royal Wolverhampton NHS Trust","RL4","Other","White & Other","Midlands & East","Grouped region","Acute trust","12.80389","%","79","617",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","City Hospitals Sunderland NHS Foundation Trust","RLN","White","White & Other","North","Grouped region","Acute trust","5.817514","%","95","1633",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","City Hospitals Sunderland NHS Foundation Trust","RLN","Other","White & Other","North","Grouped region","Acute trust","19.125683","%","35","183",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Wye Valley NHS Trust","RLQ","White","White & Other","Midlands & East","Grouped region","Acute trust","7.646622","%","103","1347",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Wye Valley NHS Trust","RLQ","Other","White & Other","Midlands & East","Grouped region","Acute trust","16.455696","%","13","79",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","George Eliot Hospital NHS Trust","RLT","White","White & Other","Midlands & East","Grouped region","Acute trust","5.759162","%","44","764",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","George Eliot Hospital NHS Trust","RLT","Other","White & Other","Midlands & East","Grouped region","Acute trust","12.280702","%","14","114",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","North Staffordshire Combined Healthcare NHS Trust","RLY","White","White & Other","Midlands & East","Grouped region","Mental health trust","6.727829","%","44","654",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","North Staffordshire Combined Healthcare NHS Trust","RLY","Other","White & Other","Midlands & East","Grouped region","Mental health trust","20.689655","%","6","29",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Norfolk and Norwich University Hospitals NHS Foundation Trust","RM1","White","White & Other","Midlands & East","Grouped region","Acute trust","7.679949","%","239","3112",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Norfolk and Norwich University Hospitals NHS Foundation Trust","RM1","Other","White & Other","Midlands & East","Grouped region","Acute trust","14.915254","%","44","295",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","University Hospital of South Manchester NHS Foundation Trust","RM2","White","White & Other","North","Grouped region","Acute trust","6.790865","%","113","1664",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","University Hospital of South Manchester NHS Foundation Trust","RM2","Other","White & Other","North","Grouped region","Acute trust","18.257261","%","44","241",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Salford Royal NHS Foundation Trust","RM3","White","White & Other","North","Grouped region","Acute trust","6.796846","%","181","2663",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Salford Royal NHS Foundation Trust","RM3","Other","White & Other","North","Grouped region","Acute trust","20.973783","%","56","267",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Bolton NHS Foundation Trust","RMC","White","White & Other","North","Grouped region","Acute trust","4.525862","%","21","464",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Bolton NHS Foundation Trust","RMC","Other","White & Other","North","Grouped region","Acute trust","20","%","11","55",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Tameside and Glossop Integrated Care NHS Foundation Trust","RMP","White","White & Other","North","Grouped region","Acute trust","5.373832","%","23","428",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Tameside and Glossop Integrated Care NHS Foundation Trust","RMP","Other","White & Other","North","Grouped region","Acute trust","21.052632","%","12","57",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Norfolk and Suffolk NHS Foundation Trust","RMY","White","White & Other","Midlands & East","Grouped region","Mental health trust","10.239651","%","188","1836",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Norfolk and Suffolk NHS Foundation Trust","RMY","Other","White & Other","Midlands & East","Grouped region","Mental health trust","19.148936","%","27","141",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Great Western Hospitals NHS Foundation Trust","RN3","White","White & Other","South","Grouped region","Acute trust","5.832549","%","124","2126",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Great Western Hospitals NHS Foundation Trust","RN3","Other","White & Other","South","Grouped region","Acute trust","11.351351","%","21","185",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Hampshire Hospitals NHS Foundation Trust","RN5","White","White & Other","South","Grouped region","Acute trust","6.53142","%","132","2021",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Hampshire Hospitals NHS Foundation Trust","RN5","Other","White & Other","South","Grouped region","Acute trust","14.159292","%","48","339",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Dartford And Gravesham NHS Trust","RN7","White","White & Other","South","Grouped region","Acute trust","6.754386","%","77","1140",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Dartford And Gravesham NHS Trust","RN7","Other","White & Other","South","Grouped region","Acute trust","13.583815","%","47","346",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","The Dudley Group NHS Foundation Trust","RNA","White","White & Other","Midlands & East","Grouped region","Acute trust","5.786874","%","82","1417",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","The Dudley Group NHS Foundation Trust","RNA","Other","White & Other","Midlands & East","Grouped region","Acute trust","14.427861","%","29","201",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Tavistock and Portman NHS Foundation Trust","RNK","White","White & Other","London","Grouped region","Mental health trust","5.905512","%","15","254",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Tavistock and Portman NHS Foundation Trust","RNK","Other","White & Other","London","Grouped region","Mental health trust","21.621622","%","16","74",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","North Cumbria University Hospitals NHS Trust","RNL","White","White & Other","North","Grouped region","Acute trust","7.134434","%","121","1696",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","North Cumbria University Hospitals NHS Trust","RNL","Other","White & Other","North","Grouped region","Acute trust","20.987654","%","17","81",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Cumbria Partnership NHS Foundation Trust","RNN","White","White & Other","North","Grouped region","Mental health trust","5.685441","%","107","1882",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Cumbria Partnership NHS Foundation Trust","RNN","Other","White & Other","North","Grouped region","Mental health trust","10.526316","%","4","38",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Kettering General Hospital NHS Foundation Trust","RNQ","White","White & Other","Midlands & East","Grouped region","Acute trust","7.699038","%","88","1143",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Kettering General Hospital NHS Foundation Trust","RNQ","Other","White & Other","Midlands & East","Grouped region","Acute trust","13.265306","%","26","196",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Northampton General Hospital NHS Trust","RNS","White","White & Other","Midlands & East","Grouped region","Acute trust","7.937633","%","112","1411",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Northampton General Hospital NHS Trust","RNS","Other","White & Other","Midlands & East","Grouped region","Acute trust","18.303571","%","41","224",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Oxford Health NHS Foundation Trust","RNU","White","White & Other","South","Grouped region","Mental health trust","6.086184","%","137","2251",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Oxford Health NHS Foundation Trust","RNU","Other","White & Other","South","Grouped region","Mental health trust","12.703583","%","39","307",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Salisbury NHS Foundation Trust","RNZ","White","White & Other","South","Grouped region","Acute trust","6.33694","%","82","1294",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Salisbury NHS Foundation Trust","RNZ","Other","White & Other","South","Grouped region","Acute trust","13.178295","%","17","129",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Northamptonshire Healthcare NHS Foundation Trust","RP1","White","White & Other","Midlands & East","Grouped region","Mental health trust","6.442167","%","88","1366",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Northamptonshire Healthcare NHS Foundation Trust","RP1","Other","White & Other","Midlands & East","Grouped region","Mental health trust","13.924051","%","22","158",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Great Ormond Street Hospital for Children NHS Foundation Trust","RP4","White","White & Other","London","Grouped region","Acute trust","8.659218","%","31","358",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Great Ormond Street Hospital for Children NHS Foundation Trust","RP4","Other","White & Other","London","Grouped region","Acute trust","18.62069","%","27","145",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Doncaster and Bassetlaw Hospitals NHS Foundation Trust","RP5","White","White & Other","North","Grouped region","Acute trust","5.758017","%","158","2744",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Doncaster and Bassetlaw Hospitals NHS Foundation Trust","RP5","Other","White & Other","North","Grouped region","Acute trust","19.138756","%","40","209",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Moorfields Eye Hospital NHS Foundation Trust","RP6","White","White & Other","London","Grouped region","Acute trust","5.405405","%","28","518",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Moorfields Eye Hospital NHS Foundation Trust","RP6","Other","White & Other","London","Grouped region","Acute trust","14.33892","%","77","537",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Lincolnshire Partnership NHS Foundation Trust","RP7","White","White & Other","Midlands & East","Grouped region","Mental health trust","5.679513","%","56","986",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Lincolnshire Partnership NHS Foundation Trust","RP7","Other","White & Other","Midlands & East","Grouped region","Mental health trust","11.111111","%","5","45",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Medway NHS Foundation Trust","RPA","White","White & Other","South","Grouped region","Acute trust","8.273894","%","116","1402",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Medway NHS Foundation Trust","RPA","Other","White & Other","South","Grouped region","Acute trust","16.171617","%","49","303",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Queen Victoria Hospital NHS Foundation Trust","RPC","White","White & Other","South","Grouped region","Acute trust","5.140187","%","22","428",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Queen Victoria Hospital NHS Foundation Trust","RPC","Other","White & Other","South","Grouped region","Acute trust","16.071429","%","9","56",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Oxleas NHS Foundation Trust","RPG","White","White & Other","London","Grouped region","Mental health trust","5.316742","%","47","884",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Oxleas NHS Foundation Trust","RPG","Other","White & Other","London","Grouped region","Mental health trust","13.647643","%","55","403",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","The Royal Marsden NHS Foundation Trust","RPY","White","White & Other","London","Grouped region","Acute trust","4.468517","%","66","1477",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","The Royal Marsden NHS Foundation Trust","RPY","Other","White & Other","London","Grouped region","Acute trust","9.338521","%","48","514",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Birmingham Women's and Children's NHS Foundation Trust","RQ3","White","White & Other","Midlands & East","Grouped region","Acute trust","5.693235","%","85","1493",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Birmingham Women's and Children's NHS Foundation Trust","RQ3","Other","White & Other","Midlands & East","Grouped region","Acute trust","12.737127","%","47","369",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","The Royal Liverpool and Broadgreen University Hospitals NHS Trust","RQ6","White","White & Other","North","Grouped region","Acute trust","6.849315","%","180","2628",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","The Royal Liverpool and Broadgreen University Hospitals NHS Trust","RQ6","Other","White & Other","North","Grouped region","Acute trust","16.254417","%","46","283",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Mid Essex Hospital Services NHS Trust","RQ8","White","White & Other","Midlands & East","Grouped region","Acute trust","7.160293","%","88","1229",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Mid Essex Hospital Services NHS Trust","RQ8","Other","White & Other","Midlands & East","Grouped region","Acute trust","12.299465","%","23","187",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Chelsea and Westminster Hospital NHS Foundation Trust","RQM","White","White & Other","London","Grouped region","Acute trust","6.990881","%","69","987",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Chelsea and Westminster Hospital NHS Foundation Trust","RQM","Other","White & Other","London","Grouped region","Acute trust","13.253012","%","88","664",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","The Princess Alexandra Hospital NHS Trust","RQW","White","White & Other","Midlands & East","Grouped region","Acute trust","7.035755","%","61","867",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","The Princess Alexandra Hospital NHS Trust","RQW","Other","White & Other","Midlands & East","Grouped region","Acute trust","16.315789","%","31","190",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Homerton University Hospital NHS Foundation Trust","RQX","White","White & Other","London","Grouped region","Acute trust","7.415485","%","68","917",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Homerton University Hospital NHS Foundation Trust","RQX","Other","White & Other","London","Grouped region","Acute trust","17.146433","%","137","799",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","South West London And St George's Mental Health NHS Trust","RQY","White","White & Other","London","Grouped region","Mental health trust","5.956679","%","33","554",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","South West London And St George's Mental Health NHS Trust","RQY","Other","White & Other","London","Grouped region","Mental health trust","15.966387","%","57","357",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Heart of England NHS Foundation Trust","RR1","White","White & Other","Midlands & East","Grouped region","Acute trust","6.385281","%","177","2772",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Heart of England NHS Foundation Trust","RR1","Other","White & Other","Midlands & East","Grouped region","Acute trust","14.547304","%","143","983",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Gateshead Health NHS Foundation Trust","RR7","White","White & Other","North","Grouped region","Acute trust","4.554865","%","66","1449",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Gateshead Health NHS Foundation Trust","RR7","Other","White & Other","North","Grouped region","Acute trust","20.512821","%","16","78",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Leeds Teaching Hospitals NHS Trust","RR8","White","White & Other","North","Grouped region","Acute trust","5.016033","%","219","4366",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Leeds Teaching Hospitals NHS Trust","RR8","Other","White & Other","North","Grouped region","Acute trust","15.833333","%","95","600",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","South Staffordshire and Shropshire Healthcare NHS Foundation Trust","RRE","White","White & Other","Midlands & East","Grouped region","Mental health trust","6.513809","%","125","1919",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","South Staffordshire and Shropshire Healthcare NHS Foundation Trust","RRE","Other","White & Other","Midlands & East","Grouped region","Mental health trust","11.560694","%","20","173",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Wrightington, Wigan and Leigh NHS Foundation Trust","RRF","White","White & Other","North","Grouped region","Acute trust","5.412371","%","21","388",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Wrightington, Wigan and Leigh NHS Foundation Trust","RRF","Other","White & Other","North","Grouped region","Acute trust","19.354839","%","6","31",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","The Royal Orthopaedic Hospital NHS Foundation Trust","RRJ","White","White & Other","Midlands & East","Grouped region","Acute trust","6.270627","%","19","303",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","The Royal Orthopaedic Hospital NHS Foundation Trust","RRJ","Other","White & Other","Midlands & East","Grouped region","Acute trust","12.5","%","8","64",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","University Hospitals Birmingham NHS Foundation Trust","RRK","White","White & Other","Midlands & East","Grouped region","Acute trust","6.749817","%","184","2726",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","University Hospitals Birmingham NHS Foundation Trust","RRK","Other","White & Other","Midlands & East","Grouped region","Acute trust","13.418903","%","115","857",""
"Percentage of NHS staff who reported experiencing discrimination at work in the NHS staff survey","Barnet, Enfield and Haringey Mental Health NHS Trust","RRP","White","White & Other","London","Grouped region","Mental health trust","8.469539","%","57","673",""
