"Title","Economic inactivity by qualification level"
"Location","England, Wales and Scotland"
"Time period","2017"
"Data source","Department for Education"
"Data source link","https://www.nomisweb.co.uk/query/select/getdatasetbytheme.asp?opt%3D3%26theme%3D%26subgrp%3D&sa=D&ust=1505757273319000&usg=AFQjCNFnS64ZDSibYXaOTf54ZPpw97wNXg"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-05"
"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography code","Geography_type","Gender","Age","Highest qualification held","Qualification_type","Value","Value_type","Denominator","Numerator","upper 95% CI","lower 95% CI","Sample size"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","All","16-64","All","National Qualifications Framework (NQF) level","19.6","%","31,994,558","6,275,245","19.80%","19.40%","160,291"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","All","16-64","All","National Qualifications Framework (NQF) level","22.1","%","343,093","75,839","25.60%","18.60%","1,371"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","All","16-64","All","National Qualifications Framework (NQF) level","27.5","%","2,256,867","621,130","28.90%","26.10%","9,497"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","All","16-64","All","National Qualifications Framework (NQF) level","21.2","%","974,076","206,957","23.30%","19.20%","3,732"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","All","16-64","All","National Qualifications Framework (NQF) level","26.9","%","758,381","203,725","29.40%","24.40%","3,036"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","All","16-64","All","National Qualifications Framework (NQF) level","25.6","%","4,332,417","1,107,651","26.60%","24.50%","17,636"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","All","16-64","All","National Qualifications Framework (NQF) level","41.4","%","23307","9638","56.20%","26.50%","105"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","All","16-64","All","National Qualifications Framework (NQF) level","20.3","%","36,350,282","7,392,534","20.50%","20.10%","178,032"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","7.3","%","5,373,711","392,461","7.60%","7.00%","24,367"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","5.0","%","56,919","2,873","9.60%","0.50%","226"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","4.2","%","517,930","21,865","5.60%","2.80%","2,020"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","5.6","%","181,942","10,189","8.40%","2.80%","653"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","9.0","%","173,120","15,624","12.50%","5.50%","653"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","5.4","%","929,911","50,551","6.60%","4.30%","3,552"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","7.0","%","6,307,110","443,299","7.30%","6.70%","27,935"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","Level 3","National Qualifications Framework (NQF) level","10.7","%","3,188,571","341,753","11.20%","10.20%","15,433"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","Level 3","National Qualifications Framework (NQF) level","9.9","%","33,435","3,307","18.40%","1.40%","118"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","Level 3","National Qualifications Framework (NQF) level","13.2","%","109,105","14,353","18.30%","8.00%","419"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","Level 3","National Qualifications Framework (NQF) level","10.6","%","57,386","6,097","17.60%","3.60%","186"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","Level 3","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","Level 3","National Qualifications Framework (NQF) level","11.8","%","224,036","26,406","15.30%","8.30%","813"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","Level 3","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","Level 3","National Qualifications Framework (NQF) level","10.8","%","3,413,364","368,301","11.30%","10.30%","16,252"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","Level 2","National Qualifications Framework (NQF) level","13.4","%","2,883,752","386,146","14.00%","12.80%","13,835"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","Level 2","National Qualifications Framework (NQF) level","17.0","%","28,500","4,853","28.00%","6.10%","114"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","Level 2","National Qualifications Framework (NQF) level","17.0","%","130,108","22,070","22.10%","11.80%","505"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","Level 2","National Qualifications Framework (NQF) level","16.1","%","57,427","9,261","24.20%","8.10%","202"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","Level 2","National Qualifications Framework (NQF) level","13.8","%","31,060","4,298","23.40%","4.30%","126"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","Level 2","National Qualifications Framework (NQF) level","16.4","%","247,094","40,482","20.10%","12.70%","945"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","Level 2","National Qualifications Framework (NQF) level","13.6","%","3,131,888","426,628","14.20%","13.10%","14,785"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","15.0","%","1,911,196","286,400","15.70%","14.20%","8,858"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","16.8","%","100,937","16,995","22.90%","10.80%","371"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","18.2","%","43,882","7,978","27.70%","8.70%","159"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","20.0","%","190,688","38,173","24.70%","15.30%","696"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","15.5","%","2,102,185","324,874","16.20%","14.70%","9,555"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","12.8","%","1111583","142304","13.70%","11.90%","5619"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","14.1","%","144915","20415","18.60%","9.60%","582"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","13.5","%","55220","7439","21.10%","5.90%","193"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","14.7","%","66628","9780","21.60%","7.80%","252"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","13.9","%","280743","39159","17.20%","10.70%","1076"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","13.0","%","1393229","181667","13.80%","12.20%","6699"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","39.4","%","1,453,724","572,462","40.50%","38.30%","7,458"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","34.3","%","164,855","56,491","39.90%","28.60%","676"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","31.6","%","44,429","14,056","42.80%","20.50%","166"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","34.9","%","53,091","18,507","45.10%","24.60%","206"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","34.8","%","280,591","97,590","39.20%","30.30%","1,107"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","38.6","%","1,734,857","670,177","39.70%","37.60%","8,568"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","Missing","National Qualifications Framework (NQF) level","33.6","%","40564","13646","40.20%","27.10%","198"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","Missing","National Qualifications Framework (NQF) level","35.5","%","48867","17337","41.70%","29.20%","226"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","All","National Qualifications Framework (NQF) level","13.4","%","15,963,100","2,135,172","13.60%","13.10%","75,767"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","All","National Qualifications Framework (NQF) level","15.0","%","173,582","26,034","19.40%","10.60%","643"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","All","National Qualifications Framework (NQF) level","13.1","%","1,170,896","153,149","14.60%","11.50%","4,583"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","All","National Qualifications Framework (NQF) level","12.7","%","441,863","56,078","15.30%","10.10%","1,565"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","All","National Qualifications Framework (NQF) level","16.1","%","374,356","60,122","19.10%","13.00%","1,423"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","All","National Qualifications Framework (NQF) level","13.7","%","2,160,697","295,383","14.80%","12.50%","8,214"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","All","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Male","16-64","All","National Qualifications Framework (NQF) level","13.4","%","18,131,500","2,432,282","13.60%","13.20%","84,019"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","14.7","%","5,915,091","867,840","15.10%","14.30%","29,780"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","13.9","%","78,981","10,974","20.00%","7.80%","309"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","22.2","%","459,570","101,917","25.10%","19.30%","1,952"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","11.5","%","233,182","26,776","14.70%","8.20%","925"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","25.3","%","202,432","51,154","30.00%","20.60%","816"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","19.6","%","974,165","190,821","21.50%","17.60%","4,002"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","15.4","%","6,893,990","1,059,465","15.80%","15.00%","33,805"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","Level 3","National Qualifications Framework (NQF) level","18.0","%","2,587,872","465,153","18.60%","17.30%","13,022"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","Level 3","National Qualifications Framework (NQF) level","19.2","%","39,022","7,490","29.20%","9.20%","149"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","Level 3","National Qualifications Framework (NQF) level","32.5","%","115,728","37,632","39.00%","26.10%","505"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","Level 3","National Qualifications Framework (NQF) level","23.1","%","76,475","17,666","30.70%","15.50%","296"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","Level 3","National Qualifications Framework (NQF) level","29.2","%","32,508","9,490","41.10%","17.20%","139"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","Level 3","National Qualifications Framework (NQF) level","27.4","%","263,733","72,278","31.60%","23.20%","1,089"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","Level 3","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","Level 3","National Qualifications Framework (NQF) level","18.9","%","2,852,473","537,741","19.50%","18.20%","14,115"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","Level 2","National Qualifications Framework (NQF) level","25.5","%","3,102,346","791,164","26.20%","24.80%","16,219"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","Level 2","National Qualifications Framework (NQF) level","28.4","%","33,743","9,588","39.90%","16.90%","148"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","Level 2","National Qualifications Framework (NQF) level","42.5","%","137,134","58,225","48.80%","36.10%","583"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","Level 2","National Qualifications Framework (NQF) level","27.6","%","75,633","20,838","35.50%","19.60%","301"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","Level 2","National Qualifications Framework (NQF) level","38.3","%","27,404","10,494","52.10%","24.50%","119"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","Level 2","National Qualifications Framework (NQF) level","36.2","%","273,914","99,145","40.60%","31.80%","1,151"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","Level 2","National Qualifications Framework (NQF) level","26.4","%","3,377,799","890,467","27.00%","25.70%","17,377"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","33.3","%","2,102,171","701,034","34.20%","32.50%","11,064"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","57.2","%","101,652","58,143","64.50%","49.90%","441"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","43.3","%","50,553","21,901","54.30%","32.40%","196"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","64.2","%","26,162","16,796","79.10%","49.30%","100"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","51.5","%","198,421","102,283","57.00%","46.10%","822"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","34.9","%","2,301,317","803,554","35.80%","34.10%","11,890"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","31.0","%","771678","238921","32.40%","29.60%","4210"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2013","Year","Great Britain","K03000001","Country","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","54.2","%","132962","72121","60.60%","47.90%","593"
