Date,Date type,Region,Region type,Ethnicity,Ethnicity type,Numerator,Numerator type,Denominator,Denominator type,Rate,Rate type
2014,Calendar Year,North West,Government Region,White,ONS 2,"229,119",Average number of claimants a month matching geographic and ethnicity status,"4,035,671",Number of people in the population matching geographic and ethnicity status,5.7,Percentage of Numerator / Denominator
2015,Calendar Year,North West,Government Region,White,ONS 2,"236,005",Average number of claimants a month matching geographic and ethnicity status,"4,033,384",Number of people in the population matching geographic and ethnicity status,5.9,Percentage of Numerator / Denominator
2011,Calendar Year,South East,Government Region,White,ONS 2,"50,082",Average number of claimants a month matching geographic and ethnicity status,"7,845,230",Number of people in the population matching geographic and ethnicity status,0.6,Percentage of Numerator / Denominator
2012,Calendar Year,South East,Government Region,White,ONS 2,"83,395",Average number of claimants a month matching geographic and ethnicity status,"4,956,229",Number of people in the population matching geographic and ethnicity status,1.7,Percentage of Numerator / Denominator
2013,Calendar Year,South East,Government Region,White,ONS 2,"120,475",Average number of claimants a month matching geographic and ethnicity status,"4,952,237",Number of people in the population matching geographic and ethnicity status,2.4,Percentage of Numerator / Denominator
2014,Calendar Year,South East,Government Region,White,ONS 2,"145,358",Average number of claimants a month matching geographic and ethnicity status,"4,964,507",Number of people in the population matching geographic and ethnicity status,2.9,Percentage of Numerator / Denominator
2015,Calendar Year,South East,Government Region,White,ONS 2,"154,921",Average number of claimants a month matching geographic and ethnicity status,"4,981,922",Number of people in the population matching geographic and ethnicity status,3.1,Percentage of Numerator / Denominator
2011,Calendar Year,South West,Government Region,White,ONS 2,"39,126",Average number of claimants a month matching geographic and ethnicity status,"5,058,247",Number of people in the population matching geographic and ethnicity status,0.8,Percentage of Numerator / Denominator
2012,Calendar Year,South West,Government Region,White,ONS 2,"66,879",Average number of claimants a month matching geographic and ethnicity status,"3,151,297",Number of people in the population matching geographic and ethnicity status,2.1,Percentage of Numerator / Denominator
2013,Calendar Year,South West,Government Region,White,ONS 2,"96,875",Average number of claimants a month matching geographic and ethnicity status,"3,149,609",Number of people in the population matching geographic and ethnicity status,3.1,Percentage of Numerator / Denominator
2014,Calendar Year,South West,Government Region,White,ONS 2,"114,277",Average number of claimants a month matching geographic and ethnicity status,"3,153,860",Number of people in the population matching geographic and ethnicity status,3.6,Percentage of Numerator / Denominator
2015,Calendar Year,South West,Government Region,White,ONS 2,"123,828",Average number of claimants a month matching geographic and ethnicity status,"3,166,138",Number of people in the population matching geographic and ethnicity status,3.9,Percentage of Numerator / Denominator
2011,Calendar Year,Wales,Government Region,White,ONS 2,"35,370",Average number of claimants a month matching geographic and ethnicity status,"2,928,743",Number of people in the population matching geographic and ethnicity status,1.2,Percentage of Numerator / Denominator
2012,Calendar Year,Wales,Government Region,White,ONS 2,"57,429",Average number of claimants a month matching geographic and ethnicity status,"1,838,848",Number of people in the population matching geographic and ethnicity status,3.1,Percentage of Numerator / Denominator
2013,Calendar Year,Wales,Government Region,White,ONS 2,"84,566",Average number of claimants a month matching geographic and ethnicity status,"1,832,178",Number of people in the population matching geographic and ethnicity status,4.6,Percentage of Numerator / Denominator
2014,Calendar Year,Wales,Government Region,White,ONS 2,"103,142",Average number of claimants a month matching geographic and ethnicity status,"1,826,489",Number of people in the population matching geographic and ethnicity status,5.6,Percentage of Numerator / Denominator
2015,Calendar Year,Wales,Government Region,White,ONS 2,"112,506",Average number of claimants a month matching geographic and ethnicity status,"1,821,427",Number of people in the population matching geographic and ethnicity status,6.2,Percentage of Numerator / Denominator
2011,Calendar Year,West Midlands,Government Region,White,ONS 2,"39,944",Average number of claimants a month matching geographic and ethnicity status,"4,639,754",Number of people in the population matching geographic and ethnicity status,0.9,Percentage of Numerator / Denominator
2012,Calendar Year,West Midlands,Government Region,White,ONS 2,"68,157",Average number of claimants a month matching geographic and ethnicity status,"2,924,086",Number of people in the population matching geographic and ethnicity status,2.3,Percentage of Numerator / Denominator
2013,Calendar Year,West Midlands,Government Region,White,ONS 2,"96,989",Average number of claimants a month matching geographic and ethnicity status,"2,913,985",Number of people in the population matching geographic and ethnicity status,3.3,Percentage of Numerator / Denominator
2014,Calendar Year,West Midlands,Government Region,White,ONS 2,"119,341",Average number of claimants a month matching geographic and ethnicity status,"2,908,345",Number of people in the population matching geographic and ethnicity status,4.1,Percentage of Numerator / Denominator
2015,Calendar Year,West Midlands,Government Region,White,ONS 2,"131,907",Average number of claimants a month matching geographic and ethnicity status,"2,906,373",Number of people in the population matching geographic and ethnicity status,4.5,Percentage of Numerator / Denominator
2011,Calendar Year,Yorkshire and The Humber,Government Region,White,ONS 2,"45,432",Average number of claimants a month matching geographic and ethnicity status,"4,696,613",Number of people in the population matching geographic and ethnicity status,1.0,Percentage of Numerator / Denominator
2012,Calendar Year,Yorkshire and The Humber,Government Region,White,ONS 2,"76,824",Average number of claimants a month matching geographic and ethnicity status,"3,013,965",Number of people in the population matching geographic and ethnicity status,2.5,Percentage of Numerator / Denominator
2013,Calendar Year,Yorkshire and The Humber,Government Region,White,ONS 2,"110,216",Average number of claimants a month matching geographic and ethnicity status,"2,999,903",Number of people in the population matching geographic and ethnicity status,3.7,Percentage of Numerator / Denominator
2014,Calendar Year,Yorkshire and The Humber,Government Region,White,ONS 2,"133,560",Average number of claimants a month matching geographic and ethnicity status,"2,987,328",Number of people in the population matching geographic and ethnicity status,4.5,Percentage of Numerator / Denominator
2015,Calendar Year,Yorkshire and The Humber,Government Region,White,ONS 2,"143,801",Average number of claimants a month matching geographic and ethnicity status,"2,986,069",Number of people in the population matching geographic and ethnicity status,4.8,Percentage of Numerator / Denominator
