"Measure","Date","Date type","Ethnicity","Ethnicity_type","Region","Region_type","Rate","Rate_type","Numerator","Numerator type","Denominator","Denominator type"
"People claiming Jobseeker's Allowance","2014","Calendar Year","Ethnic Minority","ONS 2","East","Government Region","1.9","Percentage of Numerator / Denominator","7185","Average number of JSA claimants a month matching date, geographic and ethnicity status","377847","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2014","Calendar Year","Ethnic Minority","ONS 2","East Midlands","Government Region","2.9","Percentage of Numerator / Denominator","9898","Average number of JSA claimants a month matching date, geographic and ethnicity status","345778","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2014","Calendar Year","Ethnic Minority","ONS 2","London","Government Region","3.1","Percentage of Numerator / Denominator","73450","Average number of JSA claimants a month matching date, geographic and ethnicity status","2371963","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2014","Calendar Year","Ethnic Minority","ONS 2","North East","Government Region","3","Percentage of Numerator / Denominator","2595","Average number of JSA claimants a month matching date, geographic and ethnicity status","86187","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2014","Calendar Year","Ethnic Minority","ONS 2","North West","Government Region","3.1","Percentage of Numerator / Denominator","14804","Average number of JSA claimants a month matching date, geographic and ethnicity status","472837","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2014","Calendar Year","Ethnic Minority","ONS 2","South East","Government Region","1.5","Percentage of Numerator / Denominator","8555","Average number of JSA claimants a month matching date, geographic and ethnicity status","571895","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2014","Calendar Year","Ethnic Minority","ONS 2","South West","Government Region","2.1","Percentage of Numerator / Denominator","3607","Average number of JSA claimants a month matching date, geographic and ethnicity status","172648","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2014","Calendar Year","Ethnic Minority","ONS 2","Wales","Government Region","2.8","Percentage of Numerator / Denominator","2633","Average number of JSA claimants a month matching date, geographic and ethnicity status","95690","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2014","Calendar Year","Ethnic Minority","ONS 2","West Midlands","Government Region","4.5","Percentage of Numerator / Denominator","29627","Average number of JSA claimants a month matching date, geographic and ethnicity status","660228","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2014","Calendar Year","Ethnic Minority","ONS 2","Yorkshire and The Humber","Government Region","4","Percentage of Numerator / Denominator","16237","Average number of JSA claimants a month matching date, geographic and ethnicity status","403460","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2015","Calendar Year","Ethnic Minority","ONS 2","All","England and Wales","2.3","Percentage of Numerator / Denominator","129245","Average number of JSA claimants a month matching date, geographic and ethnicity status","5686240","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2015","Calendar Year","Ethnic Minority","ONS 2","East","Government Region","1.4","Percentage of Numerator / Denominator","5475","Average number of JSA claimants a month matching date, geographic and ethnicity status","386808","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2015","Calendar Year","Ethnic Minority","ONS 2","East Midlands","Government Region","2","Percentage of Numerator / Denominator","7218","Average number of JSA claimants a month matching date, geographic and ethnicity status","352793","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2015","Calendar Year","Ethnic Minority","ONS 2","London","Government Region","2.4","Percentage of Numerator / Denominator","57444","Average number of JSA claimants a month matching date, geographic and ethnicity status","2430310","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2015","Calendar Year","Ethnic Minority","ONS 2","North East","Government Region","2.5","Percentage of Numerator / Denominator","2170","Average number of JSA claimants a month matching date, geographic and ethnicity status","87361","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2015","Calendar Year","Ethnic Minority","ONS 2","North West","Government Region","2.1","Percentage of Numerator / Denominator","10330","Average number of JSA claimants a month matching date, geographic and ethnicity status","483055","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2015","Calendar Year","Ethnic Minority","ONS 2","South East","Government Region","1.1","Percentage of Numerator / Denominator","6298","Average number of JSA claimants a month matching date, geographic and ethnicity status","583874","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2015","Calendar Year","Ethnic Minority","ONS 2","South West","Government Region","1.5","Percentage of Numerator / Denominator","2678","Average number of JSA claimants a month matching date, geographic and ethnicity status","176949","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2015","Calendar Year","Ethnic Minority","ONS 2","Wales","Government Region","2.2","Percentage of Numerator / Denominator","2132","Average number of JSA claimants a month matching date, geographic and ethnicity status","97016","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2015","Calendar Year","Ethnic Minority","ONS 2","West Midlands","Government Region","3.4","Percentage of Numerator / Denominator","22700","Average number of JSA claimants a month matching date, geographic and ethnicity status","675415","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2015","Calendar Year","Ethnic Minority","ONS 2","Yorkshire and The Humber","Government Region","3.1","Percentage of Numerator / Denominator","12803","Average number of JSA claimants a month matching date, geographic and ethnicity status","412658","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2016","Calendar Year","Ethnic Minority","ONS 2","All","England and Wales","1.9","Percentage of Numerator / Denominator","107599","Average number of JSA claimants a month matching date, geographic and ethnicity status","5805771","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2016","Calendar Year","Ethnic Minority","ONS 2","East","Government Region","1.1","Percentage of Numerator / Denominator","4511","Average number of JSA claimants a month matching date, geographic and ethnicity status","394771","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2016","Calendar Year","Ethnic Minority","ONS 2","East Midlands","Government Region","1.6","Percentage of Numerator / Denominator","5630","Average number of JSA claimants a month matching date, geographic and ethnicity status","360204","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2016","Calendar Year","Ethnic Minority","ONS 2","London","Government Region","1.9","Percentage of Numerator / Denominator","46912","Average number of JSA claimants a month matching date, geographic and ethnicity status","2477954","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2016","Calendar Year","Ethnic Minority","ONS 2","North East","Government Region","2.4","Percentage of Numerator / Denominator","2108","Average number of JSA claimants a month matching date, geographic and ethnicity status","88937","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2016","Calendar Year","Ethnic Minority","ONS 2","North West","Government Region","1.9","Percentage of Numerator / Denominator","9390","Average number of JSA claimants a month matching date, geographic and ethnicity status","493569","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2016","Calendar Year","Ethnic Minority","ONS 2","South East","Government Region","0.9","Percentage of Numerator / Denominator","5373","Average number of JSA claimants a month matching date, geographic and ethnicity status","596111","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2016","Calendar Year","Ethnic Minority","ONS 2","South West","Government Region","1.3","Percentage of Numerator / Denominator","2327","Average number of JSA claimants a month matching date, geographic and ethnicity status","180827","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2016","Calendar Year","Ethnic Minority","ONS 2","Wales","Government Region","1.9","Percentage of Numerator / Denominator","1868","Average number of JSA claimants a month matching date, geographic and ethnicity status","98750","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2016","Calendar Year","Ethnic Minority","ONS 2","West Midlands","Government Region","2.8","Percentage of Numerator / Denominator","19413","Average number of JSA claimants a month matching date, geographic and ethnicity status","692594","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2016","Calendar Year","Ethnic Minority","ONS 2","Yorkshire and The Humber","Government Region","2.4","Percentage of Numerator / Denominator","10069","Average number of JSA claimants a month matching date, geographic and ethnicity status","422054","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2017","Calendar Year","Ethnic Minority","ONS 2","All","England and Wales","1.6","Percentage of Numerator / Denominator","94899","Average number of JSA claimants a month matching date, geographic and ethnicity status","5902467","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2017","Calendar Year","Ethnic Minority","ONS 2","East","Government Region","1","Percentage of Numerator / Denominator","4060","Average number of JSA claimants a month matching date, geographic and ethnicity status","401760","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2017","Calendar Year","Ethnic Minority","ONS 2","East Midlands","Government Region","1.3","Percentage of Numerator / Denominator","4728","Average number of JSA claimants a month matching date, geographic and ethnicity status","367362","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2017","Calendar Year","Ethnic Minority","ONS 2","London","Government Region","1.5","Percentage of Numerator / Denominator","38415","Average number of JSA claimants a month matching date, geographic and ethnicity status","2510238","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2017","Calendar Year","Ethnic Minority","ONS 2","North East","Government Region","2","Percentage of Numerator / Denominator","1848","Average number of JSA claimants a month matching date, geographic and ethnicity status","90304","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2017","Calendar Year","Ethnic Minority","ONS 2","North West","Government Region","1.8","Percentage of Numerator / Denominator","9004","Average number of JSA claimants a month matching date, geographic and ethnicity status","502926","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2017","Calendar Year","Ethnic Minority","ONS 2","South East","Government Region","0.8","Percentage of Numerator / Denominator","5076","Average number of JSA claimants a month matching date, geographic and ethnicity status","605698","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2017","Calendar Year","Ethnic Minority","ONS 2","South West","Government Region","1.1","Percentage of Numerator / Denominator","2023","Average number of JSA claimants a month matching date, geographic and ethnicity status","184747","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2017","Calendar Year","Ethnic Minority","ONS 2","Wales","Government Region","1.8","Percentage of Numerator / Denominator","1807","Average number of JSA claimants a month matching date, geographic and ethnicity status","100360","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2017","Calendar Year","Ethnic Minority","ONS 2","West Midlands","Government Region","2.6","Percentage of Numerator / Denominator","18779","Average number of JSA claimants a month matching date, geographic and ethnicity status","708837","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2017","Calendar Year","Ethnic Minority","ONS 2","Yorkshire and The Humber","Government Region","2.1","Percentage of Numerator / Denominator","9160","Average number of JSA claimants a month matching date, geographic and ethnicity status","430237","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2011","Calendar Year","White","ONS 2","All","England and Wales","3.3","Percentage of Numerator / Denominator","1014010","Average number of JSA claimants a month matching date, geographic and ethnicity status","31063388","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2011","Calendar Year","White","ONS 2","East","Government Region","2.8","Percentage of Numerator / Denominator","94054","Average number of JSA claimants a month matching date, geographic and ethnicity status","3365124","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2011","Calendar Year","White","ONS 2","East","Government Region","2.8","Percentage of Numerator / Denominator","94054","Average number of JSA claimants a month matching date, geographic and ethnicity status","3365124","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2011","Calendar Year","White","ONS 2","East Midlands","Government Region","3.2","Percentage of Numerator / Denominator","84083","Average number of JSA claimants a month matching date, geographic and ethnicity status","2592157","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2011","Calendar Year","White","ONS 2","East Midlands","Government Region","3.2","Percentage of Numerator / Denominator","84083","Average number of JSA claimants a month matching date, geographic and ethnicity status","2592157","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2011","Calendar Year","White","ONS 2","London","Government Region","2.8","Percentage of Numerator / Denominator","94699","Average number of JSA claimants a month matching date, geographic and ethnicity status","3440844","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2011","Calendar Year","White","ONS 2","London","Government Region","2.8","Percentage of Numerator / Denominator","94699","Average number of JSA claimants a month matching date, geographic and ethnicity status","3440844","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2011","Calendar Year","White","ONS 2","North East","Government Region","4.9","Percentage of Numerator / Denominator","78332","Average number of JSA claimants a month matching date, geographic and ethnicity status","1598730","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2011","Calendar Year","White","ONS 2","North East","Government Region","4.9","Percentage of Numerator / Denominator","78332","Average number of JSA claimants a month matching date, geographic and ethnicity status","1598730","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2011","Calendar Year","White","ONS 2","North West","Government Region","3.9","Percentage of Numerator / Denominator","161808","Average number of JSA claimants a month matching date, geographic and ethnicity status","4105271","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2011","Calendar Year","White","ONS 2","North West","Government Region","3.9","Percentage of Numerator / Denominator","161808","Average number of JSA claimants a month matching date, geographic and ethnicity status","4105271","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2011","Calendar Year","White","ONS 2","South East","Government Region","2.3","Percentage of Numerator / Denominator","116724","Average number of JSA claimants a month matching date, geographic and ethnicity status","4975190","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2011","Calendar Year","White","ONS 2","South East","Government Region","2.3","Percentage of Numerator / Denominator","116724","Average number of JSA claimants a month matching date, geographic and ethnicity status","4975190","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2011","Calendar Year","White","ONS 2","South West","Government Region","2.4","Percentage of Numerator / Denominator","76674","Average number of JSA claimants a month matching date, geographic and ethnicity status","3164611","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2011","Calendar Year","White","ONS 2","South West","Government Region","2.4","Percentage of Numerator / Denominator","76674","Average number of JSA claimants a month matching date, geographic and ethnicity status","3164611","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2011","Calendar Year","White","ONS 2","Wales","Government Region","3.7","Percentage of Numerator / Denominator","68419","Average number of JSA claimants a month matching date, geographic and ethnicity status","1849969","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2011","Calendar Year","White","ONS 2","Wales","Government Region","3.7","Percentage of Numerator / Denominator","68419","Average number of JSA claimants a month matching date, geographic and ethnicity status","1849969","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2011","Calendar Year","White","ONS 2","West Midlands","Government Region","3.8","Percentage of Numerator / Denominator","112990","Average number of JSA claimants a month matching date, geographic and ethnicity status","2941797","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2011","Calendar Year","White","ONS 2","West Midlands","Government Region","3.8","Percentage of Numerator / Denominator","112990","Average number of JSA claimants a month matching date, geographic and ethnicity status","2941797","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2011","Calendar Year","White","ONS 2","Yorkshire and The Humber","Government Region","4.2","Percentage of Numerator / Denominator","126227","Average number of JSA claimants a month matching date, geographic and ethnicity status","3029696","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2011","Calendar Year","White","ONS 2","Yorkshire and The Humber","Government Region","4.2","Percentage of Numerator / Denominator","126227","Average number of JSA claimants a month matching date, geographic and ethnicity status","3029696","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2012","Calendar Year","White","ONS 2","All","England and Wales","3.4","Percentage of Numerator / Denominator","1056749","Average number of JSA claimants a month matching date, geographic and ethnicity status","30909283","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2012","Calendar Year","White","ONS 2","East","Government Region","2.9","Percentage of Numerator / Denominator","97259","Average number of JSA claimants a month matching date, geographic and ethnicity status","3346926","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2012","Calendar Year","White","ONS 2","East Midlands","Government Region","3.4","Percentage of Numerator / Denominator","88955","Average number of JSA claimants a month matching date, geographic and ethnicity status","2579408","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2012","Calendar Year","White","ONS 2","London","Government Region","2.8","Percentage of Numerator / Denominator","94602","Average number of JSA claimants a month matching date, geographic and ethnicity status","3435470","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2012","Calendar Year","White","ONS 2","North East","Government Region","5.4","Percentage of Numerator / Denominator","86177","Average number of JSA claimants a month matching date, geographic and ethnicity status","1587189","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2012","Calendar Year","White","ONS 2","North West","Government Region","4.2","Percentage of Numerator / Denominator","170569","Average number of JSA claimants a month matching date, geographic and ethnicity status","4075691","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2012","Calendar Year","White","ONS 2","South East","Government Region","2.4","Percentage of Numerator / Denominator","119229","Average number of JSA claimants a month matching date, geographic and ethnicity status","4955865","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2012","Calendar Year","White","ONS 2","South West","Government Region","2.5","Percentage of Numerator / Denominator","79953","Average number of JSA claimants a month matching date, geographic and ethnicity status","3151460","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2012","Calendar Year","White","ONS 2","Wales","Government Region","4","Percentage of Numerator / Denominator","73318","Average number of JSA claimants a month matching date, geographic and ethnicity status","1838745","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2012","Calendar Year","White","ONS 2","West Midlands","Government Region","3.9","Percentage of Numerator / Denominator","113454","Average number of JSA claimants a month matching date, geographic and ethnicity status","2925218","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2012","Calendar Year","White","ONS 2","Yorkshire and The Humber","Government Region","4.4","Percentage of Numerator / Denominator","133232","Average number of JSA claimants a month matching date, geographic and ethnicity status","3013309","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2013","Calendar Year","White","ONS 2","All","England and Wales","3","Percentage of Numerator / Denominator","935965","Average number of JSA claimants a month matching date, geographic and ethnicity status","30838244","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2013","Calendar Year","White","ONS 2","East","Government Region","2.6","Percentage of Numerator / Denominator","85313","Average number of JSA claimants a month matching date, geographic and ethnicity status","3343022","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2013","Calendar Year","White","ONS 2","East Midlands","Government Region","3","Percentage of Numerator / Denominator","77863","Average number of JSA claimants a month matching date, geographic and ethnicity status","2573996","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2013","Calendar Year","White","ONS 2","London","Government Region","2.4","Percentage of Numerator / Denominator","83486","Average number of JSA claimants a month matching date, geographic and ethnicity status","3439454","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2013","Calendar Year","White","ONS 2","North East","Government Region","4.9","Percentage of Numerator / Denominator","78101","Average number of JSA claimants a month matching date, geographic and ethnicity status","1582394","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2013","Calendar Year","White","ONS 2","North West","Government Region","3.7","Percentage of Numerator / Denominator","151472","Average number of JSA claimants a month matching date, geographic and ethnicity status","4051953","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2013","Calendar Year","White","ONS 2","South East","Government Region","2.1","Percentage of Numerator / Denominator","102141","Average number of JSA claimants a month matching date, geographic and ethnicity status","4951549","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2013","Calendar Year","White","ONS 2","South West","Government Region","2.2","Percentage of Numerator / Denominator","68732","Average number of JSA claimants a month matching date, geographic and ethnicity status","3150165","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2013","Calendar Year","White","ONS 2","Wales","Government Region","3.7","Percentage of Numerator / Denominator","66960","Average number of JSA claimants a month matching date, geographic and ethnicity status","1832239","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2013","Calendar Year","White","ONS 2","West Midlands","Government Region","3.5","Percentage of Numerator / Denominator","101436","Average number of JSA claimants a month matching date, geographic and ethnicity status","2914645","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2013","Calendar Year","White","ONS 2","Yorkshire and The Humber","Government Region","4","Percentage of Numerator / Denominator","120460","Average number of JSA claimants a month matching date, geographic and ethnicity status","2998825","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2014","Calendar Year","White","ONS 2","All","England and Wales","2.1","Percentage of Numerator / Denominator","658322","Average number of JSA claimants a month matching date, geographic and ethnicity status","30839268","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2014","Calendar Year","White","ONS 2","East","Government Region","1.7","Percentage of Numerator / Denominator","56496","Average number of JSA claimants a month matching date, geographic and ethnicity status","3355201","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2014","Calendar Year","White","ONS 2","East Midlands","Government Region","2.1","Percentage of Numerator / Denominator","54797","Average number of JSA claimants a month matching date, geographic and ethnicity status","2577414","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2014","Calendar Year","White","ONS 2","London","Government Region","1.7","Percentage of Numerator / Denominator","58508","Average number of JSA claimants a month matching date, geographic and ethnicity status","3452413","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2014","Calendar Year","White","ONS 2","North East","Government Region","3.6","Percentage of Numerator / Denominator","57210","Average number of JSA claimants a month matching date, geographic and ethnicity status","1577161","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2014","Calendar Year","White","ONS 2","North West","Government Region","2.6","Percentage of Numerator / Denominator","103031","Average number of JSA claimants a month matching date, geographic and ethnicity status","4036793","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2014","Calendar Year","White","ONS 2","South East","Government Region","1.4","Percentage of Numerator / Denominator","69453","Average number of JSA claimants a month matching date, geographic and ethnicity status","4963410","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2014","Calendar Year","White","ONS 2","South West","Government Region","1.5","Percentage of Numerator / Denominator","46896","Average number of JSA claimants a month matching date, geographic and ethnicity status","3154765","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2014","Calendar Year","White","ONS 2","Wales","Government Region","2.8","Percentage of Numerator / Denominator","51940","Average number of JSA claimants a month matching date, geographic and ethnicity status","1826758","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2014","Calendar Year","White","ONS 2","West Midlands","Government Region","2.5","Percentage of Numerator / Denominator","72273","Average number of JSA claimants a month matching date, geographic and ethnicity status","2909237","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2014","Calendar Year","White","ONS 2","Yorkshire and The Humber","Government Region","2.9","Percentage of Numerator / Denominator","87718","Average number of JSA claimants a month matching date, geographic and ethnicity status","2986117","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2015","Calendar Year","White","ONS 2","All","England and Wales","1.5","Percentage of Numerator / Denominator","458603","Average number of JSA claimants a month matching date, geographic and ethnicity status","30902425","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2015","Calendar Year","White","ONS 2","East","Government Region","1.2","Percentage of Numerator / Denominator","39134","Average number of JSA claimants a month matching date, geographic and ethnicity status","3367877","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2015","Calendar Year","White","ONS 2","East Midlands","Government Region","1.5","Percentage of Numerator / Denominator","38634","Average number of JSA claimants a month matching date, geographic and ethnicity status","2585434","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2015","Calendar Year","White","ONS 2","London","Government Region","1.2","Percentage of Numerator / Denominator","43076","Average number of JSA claimants a month matching date, geographic and ethnicity status","3472122","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2015","Calendar Year","White","ONS 2","North East","Government Region","2.7","Percentage of Numerator / Denominator","43033","Average number of JSA claimants a month matching date, geographic and ethnicity status","1572998","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2015","Calendar Year","White","ONS 2","North West","Government Region","1.4","Percentage of Numerator / Denominator","58452","Average number of JSA claimants a month matching date, geographic and ethnicity status","4037290","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2015","Calendar Year","White","ONS 2","South East","Government Region","1","Percentage of Numerator / Denominator","50413","Average number of JSA claimants a month matching date, geographic and ethnicity status","4980776","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2015","Calendar Year","White","ONS 2","South West","Government Region","1","Percentage of Numerator / Denominator","32647","Average number of JSA claimants a month matching date, geographic and ethnicity status","3168127","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2015","Calendar Year","White","ONS 2","Wales","Government Region","2.2","Percentage of Numerator / Denominator","39673","Average number of JSA claimants a month matching date, geographic and ethnicity status","1822008","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2015","Calendar Year","White","ONS 2","West Midlands","Government Region","1.7","Percentage of Numerator / Denominator","48940","Average number of JSA claimants a month matching date, geographic and ethnicity status","2910861","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2015","Calendar Year","White","ONS 2","Yorkshire and The Humber","Government Region","2.2","Percentage of Numerator / Denominator","64603","Average number of JSA claimants a month matching date, geographic and ethnicity status","2984933","Number of people in the population aged 16-24 matching geographic and ethnicity status"
"People claiming Jobseeker's Allowance","2016","Calendar Year","White","ONS 2","All","England and Wales","1.1","Percentage of Numerator / Denominator","353940","Average number of JSA claimants a month matching date, geographic and ethnicity status","30971789","Number of people in the population aged 16-24 matching geographic and ethnicity status"
