"Title","People claiming Jobseeker’s Allowance"
"Location","England and Wales"
"Time period","2011 to 2015"
"Data source","Department for Work and Pensions"
"Data source link","https://www.nomisweb.co.uk/home/news.asp?cat=24"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-02-05"
"Date","Date type","Region","Region type","Ethnicity","Ethnicity type","Numerator","Numerator type","Denominator","Denominator type","Rate","Rate type"
"2015","Calendar Year","North West","Government Region","White","ONS 2","58450","Average number of claimants a month matching geographic and ethnicity status","4033384","Number of people in the population matching geographic and ethnicity status","1.4","Percentage of Numerator / Denominator"
"2011","Calendar Year","South East","Government Region","White","ONS 2","116725","Average number of claimants a month matching geographic and ethnicity status","4975543","Number of people in the population matching geographic and ethnicity status","2.3","Percentage of Numerator / Denominator"
"2012","Calendar Year","South East","Government Region","White","ONS 2","119230","Average number of claimants a month matching geographic and ethnicity status","4956229","Number of people in the population matching geographic and ethnicity status","2.4","Percentage of Numerator / Denominator"
"2013","Calendar Year","South East","Government Region","White","ONS 2","102140","Average number of claimants a month matching geographic and ethnicity status","4952237","Number of people in the population matching geographic and ethnicity status","2.1","Percentage of Numerator / Denominator"
"2014","Calendar Year","South East","Government Region","White","ONS 2","69455","Average number of claimants a month matching geographic and ethnicity status","4964507","Number of people in the population matching geographic and ethnicity status","1.4","Percentage of Numerator / Denominator"
"2015","Calendar Year","South East","Government Region","White","ONS 2","50415","Average number of claimants a month matching geographic and ethnicity status","4981922","Number of people in the population matching geographic and ethnicity status","1","Percentage of Numerator / Denominator"
"2011","Calendar Year","South West","Government Region","White","ONS 2","76675","Average number of claimants a month matching geographic and ethnicity status","3164908","Number of people in the population matching geographic and ethnicity status","2.4","Percentage of Numerator / Denominator"
"2012","Calendar Year","South West","Government Region","White","ONS 2","79955","Average number of claimants a month matching geographic and ethnicity status","3151297","Number of people in the population matching geographic and ethnicity status","2.5","Percentage of Numerator / Denominator"
"2013","Calendar Year","South West","Government Region","White","ONS 2","68730","Average number of claimants a month matching geographic and ethnicity status","3149609","Number of people in the population matching geographic and ethnicity status","2.2","Percentage of Numerator / Denominator"
"2014","Calendar Year","South West","Government Region","White","ONS 2","46895","Average number of claimants a month matching geographic and ethnicity status","3153860","Number of people in the population matching geographic and ethnicity status","1.5","Percentage of Numerator / Denominator"
"2015","Calendar Year","South West","Government Region","White","ONS 2","32645","Average number of claimants a month matching geographic and ethnicity status","3166138","Number of people in the population matching geographic and ethnicity status","1","Percentage of Numerator / Denominator"
"2011","Calendar Year","Wales","Government Region","White","ONS 2","68420","Average number of claimants a month matching geographic and ethnicity status","1850051","Number of people in the population matching geographic and ethnicity status","3.7","Percentage of Numerator / Denominator"
"2012","Calendar Year","Wales","Government Region","White","ONS 2","73320","Average number of claimants a month matching geographic and ethnicity status","1838848","Number of people in the population matching geographic and ethnicity status","4","Percentage of Numerator / Denominator"
"2013","Calendar Year","Wales","Government Region","White","ONS 2","66960","Average number of claimants a month matching geographic and ethnicity status","1832178","Number of people in the population matching geographic and ethnicity status","3.7","Percentage of Numerator / Denominator"
"2014","Calendar Year","Wales","Government Region","White","ONS 2","51940","Average number of claimants a month matching geographic and ethnicity status","1826489","Number of people in the population matching geographic and ethnicity status","2.8","Percentage of Numerator / Denominator"
"2015","Calendar Year","Wales","Government Region","White","ONS 2","39675","Average number of claimants a month matching geographic and ethnicity status","1821427","Number of people in the population matching geographic and ethnicity status","2.2","Percentage of Numerator / Denominator"
"2011","Calendar Year","West Midlands","Government Region","White","ONS 2","112990","Average number of claimants a month matching geographic and ethnicity status","2941587","Number of people in the population matching geographic and ethnicity status","3.8","Percentage of Numerator / Denominator"
"2012","Calendar Year","West Midlands","Government Region","White","ONS 2","113455","Average number of claimants a month matching geographic and ethnicity status","2924086","Number of people in the population matching geographic and ethnicity status","3.9","Percentage of Numerator / Denominator"
"2013","Calendar Year","West Midlands","Government Region","White","ONS 2","101435","Average number of claimants a month matching geographic and ethnicity status","2913985","Number of people in the population matching geographic and ethnicity status","3.5","Percentage of Numerator / Denominator"
"2014","Calendar Year","West Midlands","Government Region","White","ONS 2","72275","Average number of claimants a month matching geographic and ethnicity status","2908345","Number of people in the population matching geographic and ethnicity status","2.5","Percentage of Numerator / Denominator"
"2015","Calendar Year","West Midlands","Government Region","White","ONS 2","48940","Average number of claimants a month matching geographic and ethnicity status","2906373","Number of people in the population matching geographic and ethnicity status","1.7","Percentage of Numerator / Denominator"
"2011","Calendar Year","Yorkshire and The Humber","Government Region","White","ONS 2","126225","Average number of claimants a month matching geographic and ethnicity status","3029864","Number of people in the population matching geographic and ethnicity status","4.2","Percentage of Numerator / Denominator"
"2012","Calendar Year","Yorkshire and The Humber","Government Region","White","ONS 2","133230","Average number of claimants a month matching geographic and ethnicity status","3013965","Number of people in the population matching geographic and ethnicity status","4.4","Percentage of Numerator / Denominator"
"2013","Calendar Year","Yorkshire and The Humber","Government Region","White","ONS 2","120460","Average number of claimants a month matching geographic and ethnicity status","2999903","Number of people in the population matching geographic and ethnicity status","4","Percentage of Numerator / Denominator"
"2014","Calendar Year","Yorkshire and The Humber","Government Region","White","ONS 2","87720","Average number of claimants a month matching geographic and ethnicity status","2987328","Number of people in the population matching geographic and ethnicity status","2.9","Percentage of Numerator / Denominator"
"2015","Calendar Year","Yorkshire and The Humber","Government Region","White","ONS 2","64605","Average number of claimants a month matching geographic and ethnicity status","2986069","Number of people in the population matching geographic and ethnicity status","2.2","Percentage of Numerator / Denominator"
