"Measure","Ethnicity","Ethnicity_type","Type_of_role","Entry_level","Broad_grade","Specific_grade","Headcount","Denominator","Value","Value_type"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","Medical","Graduate","Training and equivalent (Junior doctors)","Core Training","2462","8895","27.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","Medical","Graduate","Training and equivalent (Junior doctors)","Core Training","477","8895","5.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","Medical","Graduate","Training and equivalent (Junior doctors)","Core Training","316","8895","3.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","Medical","Graduate","Training and equivalent (Junior doctors)","Core Training","388","8895","4.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","Medical","Graduate","Training and equivalent (Junior doctors)","Core Training","4877","8895","54.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","Medical","Graduate","Training and equivalent (Junior doctors)","Core Training","375","8895","4.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2001 6+1","Medical","Graduate","Training and equivalent (Junior doctors)","Core Training","1013","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2001 6+1","Medical","Graduate","Training and equivalent (Junior doctors)","Core Training","8895","8895","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 2","1375","5698","24.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 2","235","5698","4.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 2","178","5698","3.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 2","228","5698","4","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 2","3481","5698","61.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 2","201","5698","3.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2001 6+1","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 2","860","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2001 6+1","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 2","5698","5698","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 1","1117","5388","20.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 1","203","5388","3.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 1","219","5388","4.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 1","233","5388","4.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 1","3459","5388","64.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 1","157","5388","2.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2001 6+1","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 1","775","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2001 6+1","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 1","5388","5388","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","Medical","Graduate","Other doctor grades","Hospital Practitioner / Clinical Assistant","264","1519","17.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","Medical","Graduate","Other doctor grades","Hospital Practitioner / Clinical Assistant","22","1519","1.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","Medical","Graduate","Other doctor grades","Hospital Practitioner / Clinical Assistant","7","1519","0.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","Medical","Graduate","Other doctor grades","Hospital Practitioner / Clinical Assistant","21","1519","1.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","Medical","Graduate","Other doctor grades","Hospital Practitioner / Clinical Assistant","1177","1519","77.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","Medical","Graduate","Other doctor grades","Hospital Practitioner / Clinical Assistant","28","1519","1.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2001 6+1","Medical","Graduate","Other doctor grades","Hospital Practitioner / Clinical Assistant","203","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2001 6+1","Medical","Graduate","Other doctor grades","Hospital Practitioner / Clinical Assistant","1519","1519","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","Medical","Graduate","Other doctor grades","Other and Local Hospital and Community Health Services Doctor Grades","259","1233","21","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","Medical","Graduate","Other doctor grades","Other and Local Hospital and Community Health Services Doctor Grades","26","1233","2.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","Medical","Graduate","Other doctor grades","Other and Local Hospital and Community Health Services Doctor Grades","18","1233","1.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","Medical","Graduate","Other doctor grades","Other and Local Hospital and Community Health Services Doctor Grades","33","1233","2.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","Medical","Graduate","Other doctor grades","Other and Local Hospital and Community Health Services Doctor Grades","867","1233","70.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","Medical","Graduate","Other doctor grades","Other and Local Hospital and Community Health Services Doctor Grades","30","1233","2.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2001 6+1","Medical","Graduate","Other doctor grades","Other and Local Hospital and Community Health Services Doctor Grades","116","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2001 6+1","Medical","Graduate","Other doctor grades","Other and Local Hospital and Community Health Services Doctor Grades","1233","1233","100","%"
