"Measure","Ethnicity","Ethnicity_type","Type_of_role","Entry_level","Broad_grade","Specific_grade","Headcount","Denominator","Value","Value_type"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 1","5388","5388","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","Medical","Graduate","Other doctor grades","Hospital Practitioner / Clinical Assistant","271","1519","17.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","Medical","Graduate","Other doctor grades","Hospital Practitioner / Clinical Assistant","22","1519","1.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","Medical","Graduate","Other doctor grades","Hospital Practitioner / Clinical Assistant","21","1519","1.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","Medical","Graduate","Other doctor grades","Hospital Practitioner / Clinical Assistant","1177","1519","77.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","Medical","Graduate","Other doctor grades","Hospital Practitioner / Clinical Assistant","28","1519","1.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","Medical","Graduate","Other doctor grades","Hospital Practitioner / Clinical Assistant","203","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","Medical","Graduate","Other doctor grades","Hospital Practitioner / Clinical Assistant","1519","1519","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","Medical","Graduate","Other doctor grades","Other and Local Hospital and Community Health Services Doctor Grades","277","1233","22.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","Medical","Graduate","Other doctor grades","Other and Local Hospital and Community Health Services Doctor Grades","26","1233","2.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","Medical","Graduate","Other doctor grades","Other and Local Hospital and Community Health Services Doctor Grades","33","1233","2.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","Medical","Graduate","Other doctor grades","Other and Local Hospital and Community Health Services Doctor Grades","867","1233","70.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","Medical","Graduate","Other doctor grades","Other and Local Hospital and Community Health Services Doctor Grades","30","1233","2.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","Medical","Graduate","Other doctor grades","Other and Local Hospital and Community Health Services Doctor Grades","116","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","Medical","Graduate","Other doctor grades","Other and Local Hospital and Community Health Services Doctor Grades","1233","1233","100","%"
