"Measure","Ethnicity","Ethnicity_type","Time","Type_of_role","Entry_level","Broad_grade","Specific_grade","Headcount","Denominator","Value","Value_type"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Core Training","418","9345","4.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Core Training","952","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Core Training","9345","9345","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 2","1599","5765","27.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 2","257","5765","4.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 2","239","5765","4.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 2","3465","5765","60.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 2","205","5765","3.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 2","805","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 2","5765","5765","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 1","1405","5531","25.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 1","213","5531","3.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 1","244","5531","4.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 1","3505","5531","63.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 1","164","5531","3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 1","651","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Training and equivalent (Junior doctors)","Foundation Doctor Year 1","5531","5531","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Other doctor grades","Hospital Practitioner / Clinical Assistant","277","1532","18.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Other doctor grades","Hospital Practitioner / Clinical Assistant","25","1532","1.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Other doctor grades","Hospital Practitioner / Clinical Assistant","23","1532","1.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Other doctor grades","Hospital Practitioner / Clinical Assistant","1181","1532","77.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Other doctor grades","Hospital Practitioner / Clinical Assistant","26","1532","1.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Other doctor grades","Hospital Practitioner / Clinical Assistant","215","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Other doctor grades","Hospital Practitioner / Clinical Assistant","1532","1532","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Other doctor grades","Other and Local Hospital and Community Health Services Doctor Grades","292","1201","24.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Other doctor grades","Other and Local Hospital and Community Health Services Doctor Grades","28","1201","2.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Other doctor grades","Other and Local Hospital and Community Health Services Doctor Grades","35","1201","2.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Other doctor grades","Other and Local Hospital and Community Health Services Doctor Grades","817","1201","68","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Other doctor grades","Other and Local Hospital and Community Health Services Doctor Grades","29","1201","2.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Other doctor grades","Other and Local Hospital and Community Health Services Doctor Grades","119","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Medical","Graduate","Other doctor grades","Other and Local Hospital and Community Health Services Doctor Grades","1201","1201","100","%"
