"Title","Travel by distance, trips, type of transport and purpose"
"Location","England"
"Time period","2002/06 to 2011/15 (5-year rolling average)"
"Data source","Department for Transport"
"Data source link","https://www.gov.uk/government/collections/national-travel-survey-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","27 July 2017"
"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Main_Mode_of_Transport","Value","Weighted_Sample_Stage_Distance","Unweighted_Sample_Stage_Distance","Weighted_Sample_Stages","Unweighted_Sample_Stages","Weighted_Sample_Individuals","Unweighted_Sample_Individuals"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Car / van passenger","914","37738","34240","5313","4836","2152","2002"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","London Underground","201","8288","6941","1123","929","2152","2002"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Motorcycle ","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Non-local bus","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other local bus","304","12542","10057","2668","2192","2152","2002"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other private transport","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other public transport","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Surface Rail","627","25899","20953","1449","1165","2152","2002"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Taxi / minicab","40","1633","1439","385","330","2152","2002"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Walk","173","7133","6289","12227","10999","2152","2002"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","All Modes","5266","129598","113279","25343","22393","1283","1189"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Bicycle","35","861","648","384","301","1283","1189"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Bus in London","264","6498","5379","2004","1724","1283","1189"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Car / van driver","1489","36634","30311","4630","3857","1283","1189"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Car / van passenger","2040","50214","46637","6545","6089","1283","1189"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","London Underground","142","3502","2822","538","425","1283","1189"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Motorcycle ","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Non-local bus","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other local bus","288","7099","5796","1604","1351","1283","1189"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other private transport","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other public transport","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Surface Rail","548","13477","11694","564","452","1283","1189"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Taxi / minicab","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Walk","215","5294","4714","8520","7724","1283","1189"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","All Modes","4528","85138","72340","19068","16048","980","878"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Bicycle","52","977","730","427","316","980","878"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Bus in London","360","6774","5918","2094","1810","980","878"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Car / van driver","1598","30045","25458","4186","3600","980","878"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Car / van passenger","1138","21402","19195","2930","2598","980","878"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","London Underground","270","5082","4105","829","655","980","878"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Motorcycle ","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Non-local bus","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other local bus","186","3491","2826","727","588","980","878"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other private transport","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other public transport","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Surface Rail","445","8361","6567","505","392","980","878"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Taxi / minicab","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Walk","202","3799","3207","6963","5763","980","878"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","White","National Travel Survey broad ethnicity classification","All Modes","7346","10684858","10033434","1643900","1541139","75834","75156"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","White","National Travel Survey broad ethnicity classification","Bicycle","44","64092","58017","25854","23632","75834","75156"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","White","National Travel Survey broad ethnicity classification","Bus in London","47","67721","54457","22522","18250","75834","75156"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","White","National Travel Survey broad ethnicity classification","Car / van driver","3845","5592843","5234732","650270","605165","75834","75156"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","White","National Travel Survey broad ethnicity classification","Car / van passenger","2084","3030958","2915584","344168","328688","75834","75156"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","White","National Travel Survey broad ethnicity classification","London Underground","67","97292","75063","16776","13040","75834","75156"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","White","National Travel Survey broad ethnicity classification","Motorcycle ","41","60107","53119","5735","4947","75834","75156"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","White","National Travel Survey broad ethnicity classification","Non-local bus","64","93439","94183","1175","1168","75834","75156"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other local bus","205","297840","278270","68683","63610","75834","75156"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other private transport","132","192566","189333","12793","12480","75834","75156"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other public transport","70","101939","92850","5527","4899","75834","75156"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","White","National Travel Survey broad ethnicity classification","Surface Rail","490","713226","636317","25782","22277","75834","75156"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","White","National Travel Survey broad ethnicity classification","Taxi / minicab","56","81198","74538","17982","16232","75834","75156"
"Average distance in miles per year by mode of transport","2004-2008","5-year rolling average","White","National Travel Survey broad ethnicity classification","Walk","201","291640","276972","446632","426751","75834","75156"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","All modes","6997","11457439","10745278","1809448","1689095","85373","84121"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Bicycle","43","70421","63229","27492","24820","85373","84121"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Bus in London","78","128099","106536","40559","34191","85373","84121"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Car / van driver","3546","5805970","5439563","686663","638537","85373","84121"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Car / van passenger","1999","3273370","3150051","375386","357733","85373","84121"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","London Underground","84","137856","109034","22825","18080","85373","84121"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Motorcycle ","37","61215","53992","5824","5010","85373","84121"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Non-local bus","60","98192","94995","1251","1202","85373","84121"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other local bus","208","341273","314963","77837","71325","85373","84121"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other private transport","124","203363","197904","13910","13361","85373","84121"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other public transport","67","109511","99624","6305","5558","85373","84121"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Surface Rail","498","815248","728627","30313","26390","85373","84121"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Taxi / minicab","55","89493","81692","19470","17480","85373","84121"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Walk","198","323431","305069","501613","475408","85373","84121"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","All Modes","4581","425646","360790","89575","76490","4844","4383"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Bicycle","13","1168","915","590","459","4844","4383"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Bus in London","205","19044","15277","5797","4714","4844","4383"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Car / van driver","1842","171106","146040","24729","21135","4844","4383"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Car / van passenger","1398","129881","114760","18460","16436","4844","4383"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","London Underground","207","19219","14311","2707","2016","4844","4383"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Motorcycle ","!","!","!","!","!","!","!"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Non-local bus","!","!","!","!","!","!","!"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other local bus","139","12895","10165","3395","2686","4844","4383"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other private transport","44","4109","3550","516","368","4844","4383"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other public transport","35","3291","2922","457","324","4844","4383"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Surface Rail","435","40401","31979","1912","1534","4844","4383"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Taxi / minicab","31","2868","2454","685","588","4844","4383"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Walk","182","16929","14601","30205","26140","4844","4383"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","All Modes","4776","194392","170167","41491","36819","2122","1990"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Bicycle","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Bus in London","601","24464","21782","7333","6591","2122","1990"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Car / van driver","1659","67542","59271","9099","7937","2122","1990"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Car / van passenger","895","36445","33225","4991","4547","2122","1990"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","London Underground","232","9427","8028","1311","1119","2122","1990"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Motorcycle ","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Non-local bus","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other local bus","288","11740","9667","2473","2093","2122","1990"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other private transport","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other public transport","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Surface Rail","634","25787","21063","1406","1189","2122","1990"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Taxi / minicab","43","1742","1568","408","358","2122","1990"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Walk","184","7478","6629","13584","12232","2122","1990"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","All Modes","5293","135571","119843","26844","24075","1336","1256"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Bicycle","38","967","759","390","315","1336","1256"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Bus in London","248","6364","5212","1924","1647","1336","1256"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Car / van driver","1460","37397","31392","4768","4027","1336","1256"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Car / van passenger","2087","53448","50142","6858","6444","1336","1256"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","London Underground","150","3843","3246","567","466","1336","1256"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Motorcycle ","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Non-local bus","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other local bus","274","7026","5842","1587","1368","1336","1256"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other private transport","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other public transport","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Surface Rail","518","13276","11695","562","471","1336","1256"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Taxi / minicab","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Walk","223","5706","5144","9586","8818","1336","1256"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","All Modes","4377","84256","70343","20018","16506","1004","888"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Bicycle","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Bus in London","373","7185","5528","2273","1826","1004","888"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Car / van driver","1420","27328","23194","3848","3309","1004","888"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Car / van passenger","1012","19487","17736","2674","2471","1004","888"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","London Underground","391","7533","5672","1093","815","1004","888"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Motorcycle ","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Non-local bus","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other local bus","190","3655","2946","834","665","1004","888"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other private transport","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other public transport","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Surface Rail","461","8880","6992","577","456","1004","888"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Taxi / minicab","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Walk","235","4526","3665","7932","6343","1004","888"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","White","National Travel Survey broad ethnicity classification","All Modes","7276","10605749","10012290","1630136","1533778","76000","75534"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","White","National Travel Survey broad ethnicity classification","Bicycle","46","66512","60212","25817","23503","76000","75534"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","White","National Travel Survey broad ethnicity classification","Bus in London","49","70901","58639","23192","19382","76000","75534"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","White","National Travel Survey broad ethnicity classification","Car / van driver","3771","5496363","5173563","643735","601639","76000","75534"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","White","National Travel Survey broad ethnicity classification","Car / van passenger","2079","3030953","2930984","342111","327528","76000","75534"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","White","National Travel Survey broad ethnicity classification","London Underground","67","97642","77629","17109","13632","76000","75534"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","White","National Travel Survey broad ethnicity classification","Motorcycle ","41","59901","52944","5638","4874","76000","75534"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","White","National Travel Survey broad ethnicity classification","Non-local bus","59","85887","84799","1111","1082","76000","75534"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other local bus","210","305861","286249","69527","64491","76000","75534"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other private transport","132","192575","188240","12934","12574","76000","75534"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other public transport","70","102255","92804","5436","4887","76000","75534"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","White","National Travel Survey broad ethnicity classification","Surface Rail","498","725934","655898","25814","22696","76000","75534"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","White","National Travel Survey broad ethnicity classification","Taxi / minicab","57","82361","75501","17807","16052","76000","75534"
"Average distance in miles per year by mode of transport","2005-2009","5-year rolling average","White","National Travel Survey broad ethnicity classification","Walk","198","288605","274829","439905","421438","76000","75534"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","All modes","6901","11201944","10582652","1769298","1660133","84634","83718"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Bicycle","44","71581","64596","27280","24612","84634","83718"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Bus in London","81","131966","113608","42568","36949","84634","83718"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Car / van driver","3495","5672450","5348440","670052","626769","84634","83718"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Car / van passenger","1954","3171410","3081404","365198","350445","84634","83718"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","London Underground","86","138940","112868","23018","18698","84634","83718"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Motorcycle ","36","57769","50850","5472","4724","84634","83718"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Non-local bus","56","91475","88205","1161","1115","84634","83718"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other local bus","211","342619","315909","77126","70562","84634","83718"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other private transport","118","191003","189187","13255","12924","84634","83718"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other public transport","64","104604","95906","5875","5199","84634","83718"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Surface Rail","509","825979","743731","31121","27347","84634","83718"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Taxi / minicab","53","86263","79361","18730","16890","84634","83718"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Walk","195","315885","298588","488444","463899","84634","83718"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","All Modes","4686","454774","387683","93942","80669","5060","4625"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Bicycle","12","1158","931","620","500","5060","4625"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Bus in London","221","21483","18074","6586","5574","5060","4625"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Car / van driver","1882","182683","156225","25810","22108","5060","4625"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Car / van passenger","1353","131293","116963","19002","17048","5060","4625"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","London Underground","211","20438","15888","2865","2213","5060","4625"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Motorcycle ","!","!","!","!","!","!","!"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Non-local bus","!","!","!","!","!","!","!"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other local bus","146","14143","11136","3548","2777","5060","4625"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other private transport","52","5021","4551","558","425","5060","4625"
"Average distance in miles per year by mode of transport","2006-2010","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other public transport","!","!","!","!","!","!","!"
