"Measurement","Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Value","Value_type","Denominator"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Isles of Scilly","E06000053","Chinese","White/Asian/Black/Mixed/Chinese","All","!","%","!"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","North Somerset","E06000024","Chinese","White/Asian/Black/Mixed/Chinese","All","63","%","8"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Plymouth","E06000026","Chinese","White/Asian/Black/Mixed/Chinese","All","77","%","13"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Poole","E06000029","Chinese","White/Asian/Black/Mixed/Chinese","All","!","%","7"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Somerset","E10000027","Chinese","White/Asian/Black/Mixed/Chinese","All","67","%","9"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","South Gloucestershire","E06000025","Chinese","White/Asian/Black/Mixed/Chinese","All","!","%","12"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Swindon","E06000030","Chinese","White/Asian/Black/Mixed/Chinese","All","!","%","10"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Torbay","E06000027","Chinese","White/Asian/Black/Mixed/Chinese","All","100","%","7"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Wiltshire","E06000054","Chinese","White/Asian/Black/Mixed/Chinese","All","!","%","9"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","County Durham","E06000047","All","All","All","82","%","5749"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Darlington","E06000005","All","All","All","86","%","1314"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Gateshead","E08000037","All","All","All","80","%","2158"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Hartlepool","E06000001","All","All","All","85","%","1169"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Middlesbrough","E06000002","All","All","All","74","%","1940"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Newcastle upon Tyne","E08000021","All","All","All","81","%","3203"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","North Tyneside","E08000022","All","All","All","81","%","2368"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Northumberland","E06000057","All","All","All","84","%","3302"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Redcar and Cleveland","E06000003","All","All","All","82","%","1606"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","South Tyneside","E08000023","All","All","All","81","%","1678"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Stockton-on-Tees","E06000004","All","All","All","83","%","2539"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Sunderland","E08000024","All","All","All","81","%","3148"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Blackburn with Darwen","E06000008","All","All","All","81","%","2125"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Blackpool","E06000009","All","All","All","80","%","1692"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Bolton","E08000001","All","All","All","80","%","3961"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Bury","E08000002","All","All","All","82","%","2369"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Cheshire East","E06000049","All","All","All","82","%","4182"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Cheshire West and Chester","E06000050","All","All","All","79","%","3912"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Cumbria","E10000006","All","All","All","77","%","5133"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Halton","E06000006","All","All","All","76","%","1597"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Knowsley","E08000011","All","All","All","78","%","1819"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Lancashire","E10000017","All","All","All","81","%","13947"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Liverpool","E08000012","All","All","All","75","%","5205"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Manchester","E08000003","All","All","All","78","%","7104"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Oldham","E08000004","All","All","All","76","%","3526"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Rochdale","E08000005","All","All","All","82","%","2952"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Salford","E08000006","All","All","All","79","%","3170"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Sefton","E08000014","All","All","All","78","%","3006"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","St. Helens","E08000013","All","All","All","78","%","2098"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Stockport","E08000007","All","All","All","82","%","3479"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Tameside","E08000008","All","All","All","77","%","3147"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Trafford","E08000009","All","All","All","85","%","2985"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Warrington","E06000007","All","All","All","83","%","2634"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Wigan","E08000010","All","All","All","83","%","3863"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Wirral","E08000015","All","All","All","80","%","3751"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","Barnsley","E08000016","All","All","All","79","%","2900"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","Bradford","E08000032","All","All","All","79","%","8105"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","Calderdale","E08000033","All","All","All","82","%","2843"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","Doncaster","E08000017","All","All","All","78","%","3760"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","East Riding of Yorkshire","E06000011","All","All","All","81","%","3543"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","Kingston upon Hull, City of","E06000010","All","All","All","77","%","3363"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","Kirklees","E08000034","All","All","All","78","%","5485"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","Leeds","E08000035","All","All","All","77","%","10111"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","North East Lincolnshire","E06000012","All","All","All","80","%","1969"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","North Lincolnshire","E06000013","All","All","All","83","%","1951"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","North Yorkshire","E10000023","All","All","All","78","%","6196"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","Rotherham","E08000018","All","All","All","79","%","3424"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","Sheffield","E08000019","All","All","All","77","%","6449"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","Wakefield","E08000036","All","All","All","77","%","4178"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","Yorkshire and The Humber","York","E06000014","All","All","All","82","%","2011"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East Midlands","Derby","E06000015","All","All","All","78","%","3397"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East Midlands","Derbyshire","E10000007","All","All","All","79","%","8569"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East Midlands","Leicester","E06000016","All","All","All","77","%","4682"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East Midlands","Leicestershire","E10000018","All","All","All","80","%","7751"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East Midlands","Lincolnshire","E10000019","All","All","All","83","%","8133"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East Midlands","Northamptonshire","E10000021","All","All","All","81","%","9487"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East Midlands","Nottingham","E06000018","All","All","All","75","%","3812"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East Midlands","Nottinghamshire","E10000024","All","All","All","77","%","9504"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East Midlands","Rutland","E06000017","All","All","All","86","%","402"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Birmingham","E08000025","All","All","All","79","%","15944"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Coventry","E08000026","All","All","All","79","%","4582"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Dudley","E08000027","All","All","All","79","%","3882"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Herefordshire, County of","E06000019","All","All","All","81","%","1937"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Sandwell","E08000028","All","All","All","79","%","4643"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Shropshire","E06000051","All","All","All","81","%","2923"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Solihull","E08000029","All","All","All","84","%","2694"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Staffordshire","E10000028","All","All","All","83","%","9465"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Stoke-on-Trent","E06000021","All","All","All","80","%","3252"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Telford and Wrekin","E06000020","All","All","All","84","%","2240"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Walsall","E08000030","All","All","All","82","%","3696"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Warwickshire","E10000031","All","All","All","82","%","6292"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Wolverhampton","E08000031","All","All","All","79","%","3337"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","West Midlands","Worcestershire","E10000034","All","All","All","81","%","6390"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East","Bedford","E06000055","All","All","All","75","%","2284"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East","Cambridgeshire","E10000003","All","All","All","78","%","7309"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East","Central Bedfordshire","E06000056","All","All","All","81","%","3530"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East","Essex","E10000012","All","All","All","81","%","16761"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East","Hertfordshire","E10000015","All","All","All","83","%","14689"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East","Luton","E06000032","All","All","All","78","%","3274"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East","Norfolk","E10000020","All","All","All","78","%","9153"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East","Peterborough","E06000031","All","All","All","77","%","3117"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East","Southend-on-Sea","E06000033","All","All","All","80","%","2208"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East","Suffolk","E10000029","All","All","All","79","%","7982"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","East","Thurrock","E06000034","All","All","All","83","%","2347"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Camden","E09000007","All","All","All","80","%","1654"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","City of London","E09000001","All","All","All","!","%","!"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Hackney","E09000012","All","All","All","85","%","2821"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Hammersmith and Fulham","E09000013","All","All","All","85","%","1484"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Haringey","E09000014","All","All","All","82","%","3223"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Islington","E09000019","All","All","All","80","%","2108"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Kensington and Chelsea","E09000020","All","All","All","87","%","1003"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Lambeth","E09000022","All","All","All","84","%","3202"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Lewisham","E09000023","All","All","All","83","%","3810"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Newham","E09000025","All","All","All","87","%","4948"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Southwark","E09000028","All","All","All","82","%","3479"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Tower Hamlets","E09000030","All","All","All","81","%","3472"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Wandsworth","E09000032","All","All","All","85","%","2912"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Westminster","E09000033","All","All","All","88","%","1548"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Barking and Dagenham","E09000002","All","All","All","81","%","3710"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Barnet","E09000003","All","All","All","81","%","4396"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Bexley","E09000004","All","All","All","85","%","3272"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Brent","E09000005","All","All","All","82","%","3977"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Bromley","E09000006","All","All","All","86","%","4054"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Croydon","E09000008","All","All","All","79","%","4916"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Ealing","E09000009","All","All","All","82","%","4653"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Enfield","E09000010","All","All","All","79","%","4657"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Greenwich","E09000011","All","All","All","84","%","3626"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Harrow","E09000015","All","All","All","84","%","3286"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Havering","E09000016","All","All","All","85","%","3063"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Hillingdon","E09000017","All","All","All","83","%","4081"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Hounslow","E09000018","All","All","All","84","%","3448"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Kingston upon Thames","E09000021","All","All","All","87","%","1965"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Merton","E09000024","All","All","All","80","%","2584"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Redbridge","E09000026","All","All","All","80","%","4269"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Richmond upon Thames","E09000027","All","All","All","89","%","2560"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Sutton","E09000029","All","All","All","82","%","2529"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","London","Waltham Forest","E09000031","All","All","All","83","%","3682"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Bracknell Forest","E06000036","All","All","All","84","%","1491"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Brighton and Hove","E06000043","All","All","All","79","%","2873"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Buckinghamshire","E10000002","All","All","All","81","%","6479"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","East Sussex","E10000011","All","All","All","81","%","5585"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Hampshire","E10000014","All","All","All","81","%","15297"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Isle of Wight","E06000046","All","All","All","76","%","1350"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Kent","E10000016","All","All","All","82","%","17929"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Medway","E06000035","All","All","All","82","%","3490"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Milton Keynes","E06000042","All","All","All","81","%","3831"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Oxfordshire","E10000025","All","All","All","80","%","7574"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Portsmouth","E06000044","All","All","All","81","%","2408"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Reading","E06000038","All","All","All","79","%","1986"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Slough","E06000039","All","All","All","81","%","2422"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Southampton","E06000045","All","All","All","82","%","2956"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Surrey","E10000030","All","All","All","82","%","13024"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","West Berkshire","E06000037","All","All","All","80","%","1984"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","West Sussex","E10000032","All","All","All","77","%","9387"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Windsor and Maidenhead","E06000040","All","All","All","81","%","1717"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South East","Wokingham","E06000041","All","All","All","83","%","2182"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Bath and North East Somerset","E06000022","All","All","All","79","%","1890"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Bournemouth","E06000028","All","All","All","81","%","1901"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Bristol, City of","E06000023","All","All","All","78","%","5262"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Cornwall","E06000052","All","All","All","80","%","5765"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Devon","E10000008","All","All","All","82","%","7771"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Dorset","E10000009","All","All","All","80","%","4109"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Gloucestershire","E10000013","All","All","All","80","%","6863"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Isles of Scilly","E06000053","All","All","All","!","%","!"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","North Somerset","E06000024","All","All","All","83","%","2440"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Plymouth","E06000026","All","All","All","80","%","3013"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Poole","E06000029","All","All","All","83","%","1724"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Somerset","E10000027","All","All","All","78","%","6014"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","South Gloucestershire","E06000025","All","All","All","81","%","3420"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Swindon","E06000030","All","All","All","76","%","2934"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Torbay","E06000027","All","All","All","81","%","1400"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","South West","Wiltshire","E06000054","All","All","All","78","%","5551"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","County Durham","E06000047","White","White/Asian/Black/Mixed/Chinese","Boys","78","%","2810"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Darlington","E06000005","White","White/Asian/Black/Mixed/Chinese","Boys","81","%","647"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Gateshead","E08000037","White","White/Asian/Black/Mixed/Chinese","Boys","76","%","1042"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Hartlepool","E06000001","White","White/Asian/Black/Mixed/Chinese","Boys","82","%","564"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Middlesbrough","E06000002","White","White/Asian/Black/Mixed/Chinese","Boys","71","%","805"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Newcastle upon Tyne","E08000021","White","White/Asian/Black/Mixed/Chinese","Boys","78","%","1209"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","North Tyneside","E08000022","White","White/Asian/Black/Mixed/Chinese","Boys","77","%","1161"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Northumberland","E06000057","White","White/Asian/Black/Mixed/Chinese","Boys","81","%","1631"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Redcar and Cleveland","E06000003","White","White/Asian/Black/Mixed/Chinese","Boys","78","%","796"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","South Tyneside","E08000023","White","White/Asian/Black/Mixed/Chinese","Boys","77","%","782"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Stockton-on-Tees","E06000004","White","White/Asian/Black/Mixed/Chinese","Boys","80","%","1136"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North East","Sunderland","E08000024","White","White/Asian/Black/Mixed/Chinese","Boys","77","%","1476"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Blackburn with Darwen","E06000008","White","White/Asian/Black/Mixed/Chinese","Boys","73","%","565"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Blackpool","E06000009","White","White/Asian/Black/Mixed/Chinese","Boys","75","%","777"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Bolton","E08000001","White","White/Asian/Black/Mixed/Chinese","Boys","75","%","1330"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Bury","E08000002","White","White/Asian/Black/Mixed/Chinese","Boys","80","%","900"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Cheshire East","E06000049","White","White/Asian/Black/Mixed/Chinese","Boys","79","%","1991"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Cheshire West and Chester","E06000050","White","White/Asian/Black/Mixed/Chinese","Boys","75","%","1875"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Cumbria","E10000006","White","White/Asian/Black/Mixed/Chinese","Boys","74","%","2480"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Halton","E06000006","White","White/Asian/Black/Mixed/Chinese","Boys","73","%","760"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Knowsley","E08000011","White","White/Asian/Black/Mixed/Chinese","Boys","75","%","888"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Lancashire","E10000017","White","White/Asian/Black/Mixed/Chinese","Boys","77","%","6004"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Liverpool","E08000012","White","White/Asian/Black/Mixed/Chinese","Boys","72","%","2121"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Manchester","E08000003","White","White/Asian/Black/Mixed/Chinese","Boys","73","%","1630"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Oldham","E08000004","White","White/Asian/Black/Mixed/Chinese","Boys","72","%","984"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Rochdale","E08000005","White","White/Asian/Black/Mixed/Chinese","Boys","80","%","1030"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Salford","E08000006","White","White/Asian/Black/Mixed/Chinese","Boys","74","%","1298"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Sefton","E08000014","White","White/Asian/Black/Mixed/Chinese","Boys","75","%","1501"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","St. Helens","E08000013","White","White/Asian/Black/Mixed/Chinese","Boys","73","%","1020"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Stockport","E08000007","White","White/Asian/Black/Mixed/Chinese","Boys","78","%","1532"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Tameside","E08000008","White","White/Asian/Black/Mixed/Chinese","Boys","73","%","1277"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Trafford","E08000009","White","White/Asian/Black/Mixed/Chinese","Boys","84","%","1095"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Warrington","E06000007","White","White/Asian/Black/Mixed/Chinese","Boys","81","%","1227"
"Percentage of year 1 pupils reaching the expected standard of phonic decoding by ethnicity and gender","North West","Wigan","E08000010","White","White/Asian/Black/Mixed/Chinese","Boys","79","%","1874"
