"Title","Confidence in the local police"
"Location","England and Wales"
"Time period","2013/14 to 2015/16"
"Data source","Office for National Statistics"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","2018-02-23"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography2","Geography_type","Gender","Gender_type","Socio-economic classification","Age Bracket","Age Bracket Type","Value","Denominator"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","69.8","253"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","E23000008","Durham","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","2"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","W15000004","Dyfed-Powys","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","2"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","E23000002","Cumbria","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","4"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","W15000001","North Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","4"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","E23000009","North Yorkshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","4"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","E23000006","Cheshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","5"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","E23000035","Devon and Cornwall","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","5"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","E23000039","Dorset","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","5"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","W15000002","Gwent","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","5"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","E23000016","West Mercia","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","7"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","E23000013","Cleveland","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","9"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","E23000003","Lancashire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","10"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","E23000038","Wiltshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","10"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","E23000012","Humberside","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","11"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","E23000020","Lincolnshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","12"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","E23000024","Norfolk","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","12"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","E23000015","Staffordshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","13"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","E23000025","Suffolk","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","14"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","E23000018","Derbyshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","15"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","E23000007","Northumbria","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","15"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","W15000003","South Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","16"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","E23000017","Warwickshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","16"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","E23000033","Sussex","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","18"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","E23000031","Surrey","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","21"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","Not classified","All","ONS age brackets","?","22"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","Not classified","All","ONS age brackets","?","22"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","E23000037","Gloucestershire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","23"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","E23000004","Merseyside","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","23"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","E23000030","Hampshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","26"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","E12000001","North East","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","26"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","W92000004","Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","27"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","E23000032","Kent","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","28"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","E23000023","Cambridgeshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","29"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","E23000011","South Yorkshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","30"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","E23000036","Avon and Somerset","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","34"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","E23000021","Leicestershire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","36"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","E23000028","Essex","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","44"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","E23000019","Nottinghamshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","45"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","E23000027","Hertfordshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","81.6","54"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","E23000022","Northamptonshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","94.1","60"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","E23000010","West Yorkshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","71.8","71"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","E12000009","South West","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","68.7","77"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","E23000029","Thames Valley","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","74.8","89"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","E23000005","Greater Manchester","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","75.5","106"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","E23000026","Bedfordshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","65.5","115"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","E12000003","Yorkshire and the Humber","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","76.1","116"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","75+","ONS age brackets","84.4","139"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","E12000002","North West","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","74.6","148"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","65-74","ONS age brackets","80.1","162"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","E12000004","East Midlands","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","78.4","168"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","E12000008","South East","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","77","182"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","Full-time students","All","ONS age brackets","65.3","223"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","Never worked and long-term unemployed","All","ONS age brackets","72.6","231"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","E23000014","West Midlands","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","77.6","238"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","E12000006","East","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","71.7","268"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","E12000005","West Midlands","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","77.3","274"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","16-24","ONS age brackets","62.5","282"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","55-64","ONS age brackets","77.8","282"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","Intermediate occupations","All","ONS age brackets","69","467"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","25-34","ONS age brackets","68.5","534"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","45-54","ONS age brackets","66.9","610"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","35-44","ONS age brackets","77.6","713"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","Managerial and professional occupations","All","ONS age brackets","69.4","794"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","Routine and manual occupations","All","ONS age brackets","75.9","985"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","K04000001","England and Wales","ONS geography code","Male","Male/Female/All","All","All","ONS age brackets","69.1","1143"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","E12000007","London","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","68","1436"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","K04000001","England and Wales","ONS geography code","Female","Male/Female/All","All","All","ONS age brackets","73.1","1579"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","71.2","2722"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","74.8","468"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Black","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","71.9","596"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","70.9","188"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","69.1","148"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","65","99"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","75.4","63"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","79.7","180"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","W15000001","North Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","4"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","E23000002","Cumbria","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","5"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","W15000004","Dyfed-Powys","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","5"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","E23000012","Humberside","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","5"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","Not classified","All","ONS age brackets","?","5"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","Not classified","All","ONS age brackets","?","5"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","E23000008","Durham","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","6"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","E23000017","Warwickshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","7"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","E23000006","Cheshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","8"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","E23000013","Cleveland","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","8"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","W15000002","Gwent","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","8"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","E23000020","Lincolnshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","8"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","E23000009","North Yorkshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","8"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","E23000016","West Mercia","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","10"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","E23000015","Staffordshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","11"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","E23000038","Wiltshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","11"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","E23000003","Lancashire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","12"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","E23000018","Derbyshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","13"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","E23000024","Norfolk","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","13"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","E23000035","Devon and Cornwall","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","14"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","E23000039","Dorset","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","14"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","E23000037","Gloucestershire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","14"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","W15000003","South Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","14"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","E23000007","Northumbria","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","15"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","E23000011","South Yorkshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","16"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","E23000028","Essex","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","17"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","E23000004","Merseyside","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","17"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","E23000030","Hampshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","18"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","E23000031","Surrey","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","19"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","E23000021","Leicestershire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","20"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","E23000019","Nottinghamshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","22"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","E23000025","Suffolk","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","22"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","E23000033","Sussex","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","22"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","E23000032","Kent","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","23"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","E23000022","Northamptonshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","23"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","E23000026","Bedfordshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","25"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","E23000036","Avon and Somerset","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","26"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","E23000010","West Yorkshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","26"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","E23000027","Hertfordshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","27"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","75+","ONS age brackets","?","28"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","E12000001","North East","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","29"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","W92000004","Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","31"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","E23000023","Cambridgeshire","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","34"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","E23000029","Thames Valley","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","36"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","E23000005","Greater Manchester","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","37"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","E12000003","Yorkshire and the Humber","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","74.6","55"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","Never worked and long-term unemployed","All","ONS age brackets","75.4","55"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","65-74","ONS age brackets","81.2","61"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","55-64","ONS age brackets","74.1","71"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","E12000002","North West","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","65.4","79"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","E12000009","South West","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","78.2","79"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","E23000014","West Midlands","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","61.3","85"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","E12000004","East Midlands","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","70.2","86"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","Full-time students","All","ONS age brackets","80.1","99"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","E12000005","West Midlands","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","62.2","113"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","E12000008","South East","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","69.8","118"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","E12000006","East","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","77.3","138"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","45-54","ONS age brackets","64.4","158"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","Intermediate occupations","All","ONS age brackets","73.8","198"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","16-24","ONS age brackets","70.4","204"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","35-44","ONS age brackets","63.2","223"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","25-34","ONS age brackets","71.1","254"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","E12000007","London","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","67.6","271"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","Routine and manual occupations","All","ONS age brackets","64.4","307"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","Managerial and professional occupations","All","ONS age brackets","64.5","335"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","K04000001","England and Wales","ONS geography code","Male","Male/Female/All","All","All","ONS age brackets","71.2","412"
"Confidence in police - Crime Survey England and Wales","2013/14- 2015/16","3 years combined","Mixed","ONS 5+1","K04000001","England and Wales","ONS geography code","Female","Male/Female/All","All","All","ONS age brackets","67.9","587"
