"Title","Children meeting the expected standard in writing at key stage 2 (ages 7 to 11) by ethnicity and area"
"Location","England"
"Time period","2015 to 2016"
"Data source","[Key stage 2 Attainment and Progress Data](https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised)"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Year","Region","Local Authority","Ethnicity","Value"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Isles of Scilly","Mixed",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","North Somerset","Mixed","81"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Plymouth","Mixed","82"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Poole","Mixed","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Somerset","Mixed","84"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","South Gloucestershire","Mixed","70"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Swindon","Mixed","63"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Torbay","Mixed","74"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Wiltshire","Mixed","79"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","County Durham","Asian","83"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Darlington","Asian","79"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Gateshead","Asian","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Hartlepool","Asian","88"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Middlesbrough","Asian","68"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Newcastle upon Tyne","Asian","84"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","North Tyneside","Asian","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Northumberland","Asian","83"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Redcar and Cleveland","Asian",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","South Tyneside","Asian","89"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Stockton-on-Tees","Asian","77"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Sunderland","Asian","84"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Blackburn with Darwen","Asian","75"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Blackpool","Asian","87"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Bolton","Asian","84"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Bury","Asian","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Cheshire East","Asian","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Cheshire West and Chester","Asian","65"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Cumbria","Asian","80"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Halton","Asian",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Knowsley","Asian","83"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Lancashire","Asian","79"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Liverpool","Asian","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Manchester","Asian","72"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Oldham","Asian","72"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Rochdale","Asian","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Salford","Asian","88"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Sefton","Asian","81"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","St. Helens","Asian","70"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Stockport","Asian","81"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Tameside","Asian","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Trafford","Asian","80"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Warrington","Asian","85"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Wigan","Asian","79"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Wirral","Asian","80"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Barnsley","Asian",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Bradford","Asian","79"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Calderdale","Asian","54"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Doncaster","Asian","72"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","East Riding of Yorkshire","Asian",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Kingston upon Hull, City of","Asian","93"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Kirklees","Asian","70"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Leeds","Asian","71"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","North East Lincolnshire","Asian","69"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","North Lincolnshire","Asian","86"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","North Yorkshire","Asian","83"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Rotherham","Asian","78"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Sheffield","Asian","75"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Wakefield","Asian","74"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","York","Asian","83"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Derby","Asian","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Derbyshire","Asian","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Leicester","Asian","82"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Leicestershire","Asian","82"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Lincolnshire","Asian","90"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Northamptonshire","Asian","80"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Nottingham","Asian","78"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Nottinghamshire","Asian","75"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Rutland","Asian",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Birmingham","Asian","72"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Coventry","Asian","77"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Dudley","Asian","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Herefordshire, County of","Asian",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Sandwell","Asian","79"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Shropshire","Asian","70"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Solihull","Asian","81"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Staffordshire","Asian","80"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Stoke-on-Trent","Asian","66"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Telford and Wrekin","Asian","70"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Walsall","Asian","81"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Warwickshire","Asian","87"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Wolverhampton","Asian","78"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Worcestershire","Asian","81"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Bedford","Asian","78"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Cambridgeshire","Asian","77"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Central Bedfordshire","Asian","79"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Essex","Asian","86"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Hertfordshire","Asian","86"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Luton","Asian","69"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Norfolk","Asian","88"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Peterborough","Asian","74"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Southend-on-Sea","Asian","71"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Suffolk","Asian","80"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Thurrock","Asian","75"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Camden","Asian","78"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","City of London","Asian","100"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Hackney","Asian","87"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Hammersmith and Fulham","Asian","82"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Haringey","Asian","88"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Islington","Asian","88"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Kensington and Chelsea","Asian","83"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Lambeth","Asian","85"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Lewisham","Asian","86"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Newham","Asian","88"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Southwark","Asian","90"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Tower Hamlets","Asian","84"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Wandsworth","Asian","79"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Westminster","Asian","85"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Barking and Dagenham","Asian","88"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Barnet","Asian","80"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Bexley","Asian","87"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Brent","Asian","77"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Bromley","Asian","89"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Croydon","Asian","85"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Ealing","Asian","77"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Enfield","Asian","84"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Greenwich","Asian","90"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Harrow","Asian","81"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Havering","Asian","92"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Hillingdon","Asian","80"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Hounslow","Asian","84"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Kingston upon Thames","Asian","75"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Merton","Asian","79"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Redbridge","Asian","82"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Richmond upon Thames","Asian","77"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Sutton","Asian","92"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Waltham Forest","Asian","85"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Bracknell Forest","Asian","80"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Brighton and Hove","Asian","69"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Buckinghamshire","Asian","69"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","East Sussex","Asian","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Hampshire","Asian","87"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Isle of Wight","Asian","56"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Kent","Asian","89"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Medway","Asian","87"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Milton Keynes","Asian","87"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Oxfordshire","Asian","62"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Portsmouth","Asian","86"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Reading","Asian","82"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Slough","Asian","85"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Southampton","Asian","83"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Surrey","Asian","77"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","West Berkshire","Asian","82"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","West Sussex","Asian","72"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Windsor and Maidenhead","Asian","77"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Wokingham","Asian","85"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Bath and North East Somerset","Asian","85"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Bournemouth","Asian","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Bristol, City of","Asian","77"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Cornwall","Asian","71"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Devon","Asian","80"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Dorset","Asian","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Gloucestershire","Asian","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Isles of Scilly","Asian",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","North Somerset","Asian","77"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Plymouth","Asian","79"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Poole","Asian","82"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Somerset","Asian","80"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","South Gloucestershire","Asian","82"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Swindon","Asian","60"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Torbay","Asian","67"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Wiltshire","Asian","77"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","County Durham","Black",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Darlington","Black",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Gateshead","Black","88"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Hartlepool","Black","50"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Middlesbrough","Black","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Newcastle upon Tyne","Black","75"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","North Tyneside","Black","64"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Northumberland","Black",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Redcar and Cleveland","Black",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","South Tyneside","Black","100"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Stockton-on-Tees","Black","83"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North East","Sunderland","Black",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Blackburn with Darwen","Black","83"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Blackpool","Black",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Bolton","Black","64"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Bury","Black","66"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Cheshire East","Black",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Cheshire West and Chester","Black","62"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Cumbria","Black","57"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Halton","Black",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Knowsley","Black","78"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Lancashire","Black","79"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Liverpool","Black","60"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Manchester","Black","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Oldham","Black","70"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Rochdale","Black","71"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Salford","Black","79"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Sefton","Black","56"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","St. Helens","Black",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Stockport","Black","50"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Tameside","Black","71"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Trafford","Black","82"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Warrington","Black",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Wigan","Black","69"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","North West","Wirral","Black","100"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Barnsley","Black",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Bradford","Black","80"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Calderdale","Black","63"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Doncaster","Black","83"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","East Riding of Yorkshire","Black",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Kingston upon Hull, City of","Black","61"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Kirklees","Black","72"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Leeds","Black","64"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","North East Lincolnshire","Black",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","North Lincolnshire","Black","64"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","North Yorkshire","Black","64"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Rotherham","Black","83"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Sheffield","Black","75"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","Wakefield","Black","74"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","Yorkshire and The Humber","York","Black",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Derby","Black","77"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Derbyshire","Black","71"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Leicester","Black","80"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Leicestershire","Black","75"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Lincolnshire","Black","79"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Northamptonshire","Black","78"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Nottingham","Black","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Nottinghamshire","Black","68"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East Midlands","Rutland","Black",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Birmingham","Black","68"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Coventry","Black","74"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Dudley","Black","75"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Herefordshire, County of","Black",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Sandwell","Black","71"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Shropshire","Black","57"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Solihull","Black","79"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Staffordshire","Black","65"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Stoke-on-Trent","Black","68"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Telford and Wrekin","Black","69"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Walsall","Black","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Warwickshire","Black","70"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Wolverhampton","Black","80"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","West Midlands","Worcestershire","Black","63"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Bedford","Black","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Cambridgeshire","Black","56"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Central Bedfordshire","Black","80"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Essex","Black","82"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Hertfordshire","Black","79"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Luton","Black","74"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Norfolk","Black","80"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Peterborough","Black","64"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Southend-on-Sea","Black","81"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Suffolk","Black","83"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","East","Thurrock","Black","83"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Camden","Black","68"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","City of London","Black",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Hackney","Black","82"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Hammersmith and Fulham","Black","78"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Haringey","Black","79"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Islington","Black","80"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Kensington and Chelsea","Black","83"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Lambeth","Black","80"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Lewisham","Black","75"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Newham","Black","83"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Southwark","Black","80"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Tower Hamlets","Black","75"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Wandsworth","Black","74"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Westminster","Black","78"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Barking and Dagenham","Black","85"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Barnet","Black","65"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Bexley","Black","87"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Brent","Black","71"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Bromley","Black","83"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Croydon","Black","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Ealing","Black","69"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Enfield","Black","75"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Greenwich","Black","87"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Harrow","Black","64"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Havering","Black","85"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Hillingdon","Black","76"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Hounslow","Black","78"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Kingston upon Thames","Black","58"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Merton","Black","72"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Redbridge","Black","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Richmond upon Thames","Black","62"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Sutton","Black","83"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","London","Waltham Forest","Black","81"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Bracknell Forest","Black","84"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Brighton and Hove","Black","63"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Buckinghamshire","Black","65"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","East Sussex","Black","72"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Hampshire","Black","84"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Isle of Wight","Black",""
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Kent","Black","87"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Medway","Black","92"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Milton Keynes","Black","79"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Oxfordshire","Black","58"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Portsmouth","Black","66"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Reading","Black","74"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Slough","Black","78"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Southampton","Black","92"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Surrey","Black","73"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","West Berkshire","Black","63"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","West Sussex","Black","61"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Windsor and Maidenhead","Black","80"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South East","Wokingham","Black","80"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Bath and North East Somerset","Black","50"
"Percentage of pupils reaching the expected standard in writing","2015 to 2016","South West","Bournemouth","Black",""
