"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Main_Mode_of_Transport","Value","Weighted_Sample_Trips","Unweighted_Sample_Trips","Notes"
"Mode of travel to school (% using each mode)","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","All Modes","100","2836","2789","               "
"Mode of travel to school (% using each mode)","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Bicycle","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Car / Van","28","784","779","               "
"Mode of travel to school (% using each mode)","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Local bus","19","527","545","               "
"Mode of travel to school (% using each mode)","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Other","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Private bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Surface Rail","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Walk","47","1343","1282","               "
"Mode of travel to school (% using each mode)","2006-2010","5-year rolling average","Other ethnic group","ONS 2011","All Modes","100","1087","1086","               "
"Mode of travel to school (% using each mode)","2006-2010","5-year rolling average","Other ethnic group","ONS 2011","Bicycle","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2006-2010","5-year rolling average","Other ethnic group","ONS 2011","Car / Van","28","305","340","               "
"Mode of travel to school (% using each mode)","2006-2010","5-year rolling average","Other ethnic group","ONS 2011","Local bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2006-2010","5-year rolling average","Other ethnic group","ONS 2011","Other","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2006-2010","5-year rolling average","Other ethnic group","ONS 2011","Private bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2006-2010","5-year rolling average","Other ethnic group","ONS 2011","Surface Rail","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2006-2010","5-year rolling average","Other ethnic group","ONS 2011","Walk","40","438","420","               "
"Mode of travel to school (% using each mode)","2006-2010","5-year rolling average","White","ONS 2011","All Modes","100","67031","65797","               "
"Mode of travel to school (% using each mode)","2006-2010","5-year rolling average","White","ONS 2011","Bicycle","2","1424","1428","               "
"Mode of travel to school (% using each mode)","2006-2010","5-year rolling average","White","ONS 2011","Car / Van","31","20885","21122","               "
"Mode of travel to school (% using each mode)","2006-2010","5-year rolling average","White","ONS 2011","Local bus","12","8316","8422","               "
"Mode of travel to school (% using each mode)","2006-2010","5-year rolling average","White","ONS 2011","Other","1","810","840","               "
"Mode of travel to school (% using each mode)","2006-2010","5-year rolling average","White","ONS 2011","Private bus","6","3790","3915","               "
"Mode of travel to school (% using each mode)","2006-2010","5-year rolling average","White","ONS 2011","Surface Rail","1","558","557","               "
"Mode of travel to school (% using each mode)","2006-2010","5-year rolling average","White","ONS 2011","Walk","47","31248","29513","               "
"Mode of travel to school (% using each mode)","2007-2011","5-year rolling average","All ethnic groups","ONS 2011","All modes","100","77752","76195","               "
"Mode of travel to school (% using each mode)","2007-2011","5-year rolling average","All ethnic groups","ONS 2011","Bicycle","2","1488","1477","               "
"Mode of travel to school (% using each mode)","2007-2011","5-year rolling average","All ethnic groups","ONS 2011","Car / Van","31","23944","24060","               "
"Mode of travel to school (% using each mode)","2007-2011","5-year rolling average","All ethnic groups","ONS 2011","Local bus","13","10466","10650","               "
"Mode of travel to school (% using each mode)","2007-2011","5-year rolling average","All ethnic groups","ONS 2011","Other","1","1001","1058","               "
"Mode of travel to school (% using each mode)","2007-2011","5-year rolling average","All ethnic groups","ONS 2011","Private bus","5","4209","4334","               "
"Mode of travel to school (% using each mode)","2007-2011","5-year rolling average","All ethnic groups","ONS 2011","Surface Rail","1","598","608","               "
"Mode of travel to school (% using each mode)","2007-2011","5-year rolling average","All ethnic groups","ONS 2011","Walk","46","36045","34008","               "
"Mode of travel to school (% using each mode)","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011","All Modes","100","6300","5966","               "
"Mode of travel to school (% using each mode)","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011","Bicycle","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011","Car / Van","30","1890","1832","               "
"Mode of travel to school (% using each mode)","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011","Local bus","13","813","833","               "
"Mode of travel to school (% using each mode)","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011","Other","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011","Private bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011","Surface Rail","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011","Walk","52","3261","2975","               "
"Mode of travel to school (% using each mode)","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","All Modes","100","3051","3202","               "
"Mode of travel to school (% using each mode)","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Bicycle","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Car / Van","18","558","572","               "
"Mode of travel to school (% using each mode)","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Local bus","32","985","1080","               "
"Mode of travel to school (% using each mode)","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Other","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Private bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Surface Rail","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Walk","42","1292","1308","               "
"Mode of travel to school (% using each mode)","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","All Modes","100","2663","2571","               "
"Mode of travel to school (% using each mode)","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Bicycle","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Car / Van","24","637","635","               "
"Mode of travel to school (% using each mode)","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Local bus","20","533","545","               "
"Mode of travel to school (% using each mode)","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Other","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Private bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Surface Rail","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Walk","49","1301","1208","               "
"Mode of travel to school (% using each mode)","2007-2011","5-year rolling average","Other ethnic group","ONS 2011","All Modes","100","984","1007","               "
"Mode of travel to school (% using each mode)","2007-2011","5-year rolling average","Other ethnic group","ONS 2011","Bicycle","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2007-2011","5-year rolling average","Other ethnic group","ONS 2011","Car / Van","31","301","338","               "
"Mode of travel to school (% using each mode)","2007-2011","5-year rolling average","Other ethnic group","ONS 2011","Local bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2007-2011","5-year rolling average","Other ethnic group","ONS 2011","Other","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2007-2011","5-year rolling average","Other ethnic group","ONS 2011","Private bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2007-2011","5-year rolling average","Other ethnic group","ONS 2011","Surface Rail","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2007-2011","5-year rolling average","Other ethnic group","ONS 2011","Walk","32","318","321","               "
"Mode of travel to school (% using each mode)","2007-2011","5-year rolling average","White","ONS 2011","All Modes","100","64698","63402","               "
"Mode of travel to school (% using each mode)","2007-2011","5-year rolling average","White","ONS 2011","Bicycle","2","1361","1356","               "
"Mode of travel to school (% using each mode)","2007-2011","5-year rolling average","White","ONS 2011","Car / Van","32","20555","20679","               "
"Mode of travel to school (% using each mode)","2007-2011","5-year rolling average","White","ONS 2011","Local bus","12","7834","7908","               "
"Mode of travel to school (% using each mode)","2007-2011","5-year rolling average","White","ONS 2011","Other","1","790","817","               "
"Mode of travel to school (% using each mode)","2007-2011","5-year rolling average","White","ONS 2011","Private bus","6","3842","3982","               "
"Mode of travel to school (% using each mode)","2007-2011","5-year rolling average","White","ONS 2011","Surface Rail","1","488","497","               "
"Mode of travel to school (% using each mode)","2007-2011","5-year rolling average","White","ONS 2011","Walk","46","29827","28163","               "
"Mode of travel to school (% using each mode)","2008-2012","5-year rolling average","All ethnic groups","ONS 2011","All modes","100","77132","74769","               "
"Mode of travel to school (% using each mode)","2008-2012","5-year rolling average","All ethnic groups","ONS 2011","Bicycle","2","1604","1590","               "
"Mode of travel to school (% using each mode)","2008-2012","5-year rolling average","All ethnic groups","ONS 2011","Car / Van","32","24627","24511","               "
"Mode of travel to school (% using each mode)","2008-2012","5-year rolling average","All ethnic groups","ONS 2011","Local bus","14","10430","10523","               "
"Mode of travel to school (% using each mode)","2008-2012","5-year rolling average","All ethnic groups","ONS 2011","Other","1","1097","1063","               "
"Mode of travel to school (% using each mode)","2008-2012","5-year rolling average","All ethnic groups","ONS 2011","Private bus","5","3884","3967","               "
"Mode of travel to school (% using each mode)","2008-2012","5-year rolling average","All ethnic groups","ONS 2011","Surface Rail","1","640","655","               "
"Mode of travel to school (% using each mode)","2008-2012","5-year rolling average","All ethnic groups","ONS 2011","Walk","45","34850","32460","               "
"Mode of travel to school (% using each mode)","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011","All Modes","100","6779","6357","               "
"Mode of travel to school (% using each mode)","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011","Bicycle","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011","Car / Van","32","2140","2048","               "
"Mode of travel to school (% using each mode)","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011","Local bus","14","940","917","               "
"Mode of travel to school (% using each mode)","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011","Other","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011","Private bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011","Surface Rail","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011","Walk","50","3397","3098","               "
"Mode of travel to school (% using each mode)","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","All Modes","100","3186","3358","               "
"Mode of travel to school (% using each mode)","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Bicycle","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Car / Van","19","599","621","               "
"Mode of travel to school (% using each mode)","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Local bus","32","1030","1110","               "
"Mode of travel to school (% using each mode)","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Other","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Private bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Surface Rail","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Walk","43","1355","1399","               "
"Mode of travel to school (% using each mode)","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","All Modes","100","2518","2404","               "
"Mode of travel to school (% using each mode)","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Bicycle","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Car / Van","25","631","641","               "
"Mode of travel to school (% using each mode)","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Local bus","20","501","513","               "
"Mode of travel to school (% using each mode)","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Other","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Private bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Surface Rail","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Walk","47","1185","1059","               "
"Mode of travel to school (% using each mode)","2008-2012","5-year rolling average","Other ethnic group","ONS 2011","All Modes","100","1059","1075","               "
"Mode of travel to school (% using each mode)","2008-2012","5-year rolling average","Other ethnic group","ONS 2011","Bicycle","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2008-2012","5-year rolling average","Other ethnic group","ONS 2011","Car / Van","30","315","357","               "
"Mode of travel to school (% using each mode)","2008-2012","5-year rolling average","Other ethnic group","ONS 2011","Local bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2008-2012","5-year rolling average","Other ethnic group","ONS 2011","Other","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2008-2012","5-year rolling average","Other ethnic group","ONS 2011","Private bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2008-2012","5-year rolling average","Other ethnic group","ONS 2011","Surface Rail","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2008-2012","5-year rolling average","Other ethnic group","ONS 2011","Walk","35","370","357","               "
"Mode of travel to school (% using each mode)","2008-2012","5-year rolling average","White","ONS 2011","All Modes","100","63534","61528","               "
"Mode of travel to school (% using each mode)","2008-2012","5-year rolling average","White","ONS 2011","Bicycle","2","1443","1434","               "
"Mode of travel to school (% using each mode)","2008-2012","5-year rolling average","White","ONS 2011","Car / Van","33","20937","20840","               "
"Mode of travel to school (% using each mode)","2008-2012","5-year rolling average","White","ONS 2011","Local bus","12","7652","7690","               "
"Mode of travel to school (% using each mode)","2008-2012","5-year rolling average","White","ONS 2011","Other","1","910","857","               "
"Mode of travel to school (% using each mode)","2008-2012","5-year rolling average","White","ONS 2011","Private bus","6","3590","3686","               "
"Mode of travel to school (% using each mode)","2008-2012","5-year rolling average","White","ONS 2011","Surface Rail","1","502","507","               "
"Mode of travel to school (% using each mode)","2008-2012","5-year rolling average","White","ONS 2011","Walk","45","28499","26514","               "
"Mode of travel to school (% using each mode)","2009-2013","5-year rolling average","All ethnic groups","ONS 2011","All modes","100","76381","74016","               "
"Mode of travel to school (% using each mode)","2009-2013","5-year rolling average","All ethnic groups","ONS 2011","Bicycle","2","1465","1439","               "
"Mode of travel to school (% using each mode)","2009-2013","5-year rolling average","All ethnic groups","ONS 2011","Car / Van","32","24624","24692","               "
"Mode of travel to school (% using each mode)","2009-2013","5-year rolling average","All ethnic groups","ONS 2011","Local bus","14","10604","10620","               "
"Mode of travel to school (% using each mode)","2009-2013","5-year rolling average","All ethnic groups","ONS 2011","Other","2","1239","1189","               "
"Mode of travel to school (% using each mode)","2009-2013","5-year rolling average","All ethnic groups","ONS 2011","Private bus","5","3528","3610","               "
"Mode of travel to school (% using each mode)","2009-2013","5-year rolling average","All ethnic groups","ONS 2011","Surface Rail","1","698","698","               "
"Mode of travel to school (% using each mode)","2009-2013","5-year rolling average","All ethnic groups","ONS 2011","Walk","45","34222","31768","               "
"Mode of travel to school (% using each mode)","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011","All Modes","100","6788","6435","               "
"Mode of travel to school (% using each mode)","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011","Bicycle","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011","Car / Van","34","2298","2254","               "
"Mode of travel to school (% using each mode)","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011","Local bus","14","937","900","               "
"Mode of travel to school (% using each mode)","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011","Other","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011","Private bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011","Surface Rail","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011","Walk","48","3274","3006","               "
"Mode of travel to school (% using each mode)","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","All Modes","100","3523","3693","               "
"Mode of travel to school (% using each mode)","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Bicycle","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Car / Van","19","654","689","               "
"Mode of travel to school (% using each mode)","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Local bus","34","1183","1239","               "
"Mode of travel to school (% using each mode)","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Other","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Private bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Surface Rail","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2009-2013","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Walk","42","1463","1515","               "
"Mode of travel to school (% using each mode)","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","All Modes","100","2587","2473","               "
"Mode of travel to school (% using each mode)","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Bicycle","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Car / Van","25","652","660","               "
"Mode of travel to school (% using each mode)","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Local bus","22","566","567","               "
"Mode of travel to school (% using each mode)","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Other","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Private bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Surface Rail","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2009-2013","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Walk","44","1138","1024","               "
"Mode of travel to school (% using each mode)","2009-2013","5-year rolling average","Other ethnic group","ONS 2011","All Modes","100","921","940","               "
"Mode of travel to school (% using each mode)","2009-2013","5-year rolling average","Other ethnic group","ONS 2011","Bicycle","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2009-2013","5-year rolling average","Other ethnic group","ONS 2011","Car / Van","31","286","323","               "
"Mode of travel to school (% using each mode)","2009-2013","5-year rolling average","Other ethnic group","ONS 2011","Local bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2009-2013","5-year rolling average","Other ethnic group","ONS 2011","Other","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2009-2013","5-year rolling average","Other ethnic group","ONS 2011","Private bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2009-2013","5-year rolling average","Other ethnic group","ONS 2011","Surface Rail","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2009-2013","5-year rolling average","Other ethnic group","ONS 2011","Walk","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2009-2013","5-year rolling average","White","ONS 2011","All Modes","100","62507","60431","               "
"Mode of travel to school (% using each mode)","2009-2013","5-year rolling average","White","ONS 2011","Bicycle","2","1347","1313","               "
"Mode of travel to school (% using each mode)","2009-2013","5-year rolling average","White","ONS 2011","Car / Van","33","20734","20765","               "
"Mode of travel to school (% using each mode)","2009-2013","5-year rolling average","White","ONS 2011","Local bus","12","7599","7612","               "
"Mode of travel to school (% using each mode)","2009-2013","5-year rolling average","White","ONS 2011","Other","2","1051","987","               "
"Mode of travel to school (% using each mode)","2009-2013","5-year rolling average","White","ONS 2011","Private bus","5","3220","3310","               "
"Mode of travel to school (% using each mode)","2009-2013","5-year rolling average","White","ONS 2011","Surface Rail","1","527","525","               "
"Mode of travel to school (% using each mode)","2009-2013","5-year rolling average","White","ONS 2011","Walk","45","28029","25919","               "
"Mode of travel to school (% using each mode)","2010-2014","5-year rolling average","All ethnic groups","ONS 2011","All modes","100","76116","73629","               "
"Mode of travel to school (% using each mode)","2010-2014","5-year rolling average","All ethnic groups","ONS 2011","Bicycle","2","1447","1399","               "
"Mode of travel to school (% using each mode)","2010-2014","5-year rolling average","All ethnic groups","ONS 2011","Car / Van","33","25085","24945","               "
"Mode of travel to school (% using each mode)","2010-2014","5-year rolling average","All ethnic groups","ONS 2011","Local bus","14","10470","10523","               "
"Mode of travel to school (% using each mode)","2010-2014","5-year rolling average","All ethnic groups","ONS 2011","Other","2","1364","1311","               "
"Mode of travel to school (% using each mode)","2010-2014","5-year rolling average","All ethnic groups","ONS 2011","Private bus","4","3232","3318","               "
"Mode of travel to school (% using each mode)","2010-2014","5-year rolling average","All ethnic groups","ONS 2011","Surface Rail","1","710","708","               "
"Mode of travel to school (% using each mode)","2010-2014","5-year rolling average","All ethnic groups","ONS 2011","Walk","44","33808","31425","               "
"Mode of travel to school (% using each mode)","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011","All Modes","100","6450","6099","               "
"Mode of travel to school (% using each mode)","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011","Bicycle","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011","Car / Van","34","2200","2124","               "
"Mode of travel to school (% using each mode)","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011","Local bus","15","959","944","               "
"Mode of travel to school (% using each mode)","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011","Other","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011","Private bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011","Surface Rail","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2010-2014","5-year rolling average","Asian / Asian British","ONS 2011","Walk","46","2987","2738","               "
"Mode of travel to school (% using each mode)","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","All Modes","100","3822","4008","               "
"Mode of travel to school (% using each mode)","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Bicycle","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Car / Van","20","776","807","               "
"Mode of travel to school (% using each mode)","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Local bus","32","1238","1314","               "
"Mode of travel to school (% using each mode)","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Other","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Private bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Surface Rail","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2010-2014","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011","Walk","41","1570","1603","               "
"Mode of travel to school (% using each mode)","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","All Modes","100","2305","2188","               "
"Mode of travel to school (% using each mode)","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Bicycle","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Car / Van","25","574","581","               "
"Mode of travel to school (% using each mode)","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Local bus","20","460","463","               "
"Mode of travel to school (% using each mode)","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Other","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Private bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Surface Rail","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2010-2014","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011","Walk","48","1104","984","               "
"Mode of travel to school (% using each mode)","2010-2014","5-year rolling average","Other ethnic group","ONS 2011","All Modes","100","934","938","               "
"Mode of travel to school (% using each mode)","2010-2014","5-year rolling average","Other ethnic group","ONS 2011","Bicycle","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2010-2014","5-year rolling average","Other ethnic group","ONS 2011","Car / Van","32","302","319","               "
"Mode of travel to school (% using each mode)","2010-2014","5-year rolling average","Other ethnic group","ONS 2011","Local bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2010-2014","5-year rolling average","Other ethnic group","ONS 2011","Other","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2010-2014","5-year rolling average","Other ethnic group","ONS 2011","Private bus","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2010-2014","5-year rolling average","Other ethnic group","ONS 2011","Surface Rail","!","!","!","Suppressed"
"Mode of travel to school (% using each mode)","2010-2014","5-year rolling average","Other ethnic group","ONS 2011","Walk","34","316","304","               "
"Mode of travel to school (% using each mode)","2010-2014","5-year rolling average","White","ONS 2011","All Modes","100","62544","60348","               "
"Mode of travel to school (% using each mode)","2010-2014","5-year rolling average","White","ONS 2011","Bicycle","2","1310","1253","               "
"Mode of travel to school (% using each mode)","2010-2014","5-year rolling average","White","ONS 2011","Car / Van","34","21233","21114","               "
"Mode of travel to school (% using each mode)","2010-2014","5-year rolling average","White","ONS 2011","Local bus","12","7543","7530","               "
"Mode of travel to school (% using each mode)","2010-2014","5-year rolling average","White","ONS 2011","Other","2","1142","1071","               "
"Mode of travel to school (% using each mode)","2010-2014","5-year rolling average","White","ONS 2011","Private bus","5","2959","3044","               "
"Mode of travel to school (% using each mode)","2010-2014","5-year rolling average","White","ONS 2011","Surface Rail","1","578","578","               "
"Mode of travel to school (% using each mode)","2010-2014","5-year rolling average","White","ONS 2011","Walk","44","27779","25758","               "
"Mode of travel to school (% using each mode)","2011-2015","5-year rolling average","All ethnic groups","ONS 2011","All modes","100","75634","72436","               "
