"Title","NHS trust board membership"
"Location","England"
"Time period","2017"
"Data source","NHS England"
"Data source link","https://www.england.nhs.uk/publication/workforce-race-equality-standard-data-reporting-december-2017/"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-03-15"
"Measure","NHS_trust_board","NHS_trust_code","NHS_trust_type","Grouped_region","Ethnicity","Ethnicity_type","Headcount","Value","Value_type"
"Percentage of NHS trust board members","Harrogate and District NHS Foundation Trust","RCD","Acute","North","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Harrogate and District NHS Foundation Trust","RCD","Acute","North","Unknown","White & Other","1","8","%"
"Percentage of NHS trust board members","Heart Of England NHS Foundation Trust","RR1","Acute","Midlands & East","White","White & Other","12","86","%"
"Percentage of NHS trust board members","Heart Of England NHS Foundation Trust","RR1","Acute","Midlands & East","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Heart Of England NHS Foundation Trust","RR1","Acute","Midlands & East","Unknown","White & Other","2","14","%"
"Percentage of NHS trust board members","Hertfordshire Community NHS Trust","RY4","Community Provider Trust","Midlands & East","White","White & Other","11","85","%"
"Percentage of NHS trust board members","Hertfordshire Community NHS Trust","RY4","Community Provider Trust","Midlands & East","Other","White & Other","2","15","%"
"Percentage of NHS trust board members","Hertfordshire Community NHS Trust","RY4","Community Provider Trust","Midlands & East","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Hertfordshire Partnership University NHS Foundation Trust","RWR","Mental Health","Midlands & East","White","White & Other","13","81","%"
"Percentage of NHS trust board members","Hertfordshire Partnership University NHS Foundation Trust","RWR","Mental Health","Midlands & East","Other","White & Other","3","19","%"
"Percentage of NHS trust board members","Hertfordshire Partnership University NHS Foundation Trust","RWR","Mental Health","Midlands & East","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Hinchingbrooke Health Care NHS Trust","RQQ","Acute","Midlands & East","White","White & Other","9","100","%"
"Percentage of NHS trust board members","Hinchingbrooke Health Care NHS Trust","RQQ","Acute","Midlands & East","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Hinchingbrooke Health Care NHS Trust","RQQ","Acute","Midlands & East","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Homerton University Hospital NHS Foundation Trust","RQX","Acute","London","White","White & Other","13","100","%"
"Percentage of NHS trust board members","Homerton University Hospital NHS Foundation Trust","RQX","Acute","London","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Homerton University Hospital NHS Foundation Trust","RQX","Acute","London","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Hounslow and Richmond Community Healthcare NHS Trust","RY9","Community Provider Trust","London","White","White & Other","8","67","%"
"Percentage of NHS trust board members","Hounslow and Richmond Community Healthcare NHS Trust","RY9","Community Provider Trust","London","Other","White & Other","4","33","%"
"Percentage of NHS trust board members","Hounslow and Richmond Community Healthcare NHS Trust","RY9","Community Provider Trust","London","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Hull and East Yorkshire Hospitals NHS Trust","RWA","Acute","North","White","White & Other","12","100","%"
"Percentage of NHS trust board members","Hull and East Yorkshire Hospitals NHS Trust","RWA","Acute","North","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Hull and East Yorkshire Hospitals NHS Trust","RWA","Acute","North","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Humber NHS Foundation Trust","RV9","Mental Health","North","White","White & Other","7","54","%"
"Percentage of NHS trust board members","Humber NHS Foundation Trust","RV9","Mental Health","North","Other","White & Other","1","8","%"
"Percentage of NHS trust board members","Humber NHS Foundation Trust","RV9","Mental Health","North","Unknown","White & Other","5","38","%"
"Percentage of NHS trust board members","Imperial College Healthcare NHS Trust","RYJ","Acute","London","White","White & Other","11","85","%"
"Percentage of NHS trust board members","Imperial College Healthcare NHS Trust","RYJ","Acute","London","Other","White & Other","1","8","%"
"Percentage of NHS trust board members","Imperial College Healthcare NHS Trust","RYJ","Acute","London","Unknown","White & Other","1","8","%"
"Percentage of NHS trust board members","Ipswich Hospital NHS Trust","RGQ","Acute","Midlands & East","White","White & Other","16","100","%"
"Percentage of NHS trust board members","Ipswich Hospital NHS Trust","RGQ","Acute","Midlands & East","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Ipswich Hospital NHS Trust","RGQ","Acute","Midlands & East","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Isle Of Wight NHS Trust","R1F","Community Provider Trust","South","White","White & Other","9","100","%"
"Percentage of NHS trust board members","Isle Of Wight NHS Trust","R1F","Community Provider Trust","South","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Isle Of Wight NHS Trust","R1F","Community Provider Trust","South","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","James Paget University Hospitals NHS Foundation Trust","RGP","Acute","Midlands & East","White","White & Other","14","93","%"
"Percentage of NHS trust board members","James Paget University Hospitals NHS Foundation Trust","RGP","Acute","Midlands & East","Other","White & Other","1","7","%"
"Percentage of NHS trust board members","James Paget University Hospitals NHS Foundation Trust","RGP","Acute","Midlands & East","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Kent and Medway NHS and Social Care Partnership Trust","RXY","Mental Health","South","White","White & Other","5","83","%"
"Percentage of NHS trust board members","Kent and Medway NHS and Social Care Partnership Trust","RXY","Mental Health","South","Other","White & Other","1","17","%"
"Percentage of NHS trust board members","Kent and Medway NHS and Social Care Partnership Trust","RXY","Mental Health","South","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Kent Community Health NHS Foundation Trust","RYY","Community Provider Trust","South","White","White & Other","11","73","%"
"Percentage of NHS trust board members","Kent Community Health NHS Foundation Trust","RYY","Community Provider Trust","South","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Kent Community Health NHS Foundation Trust","RYY","Community Provider Trust","South","Unknown","White & Other","4","27","%"
"Percentage of NHS trust board members","Kettering General Hospital NHS Foundation Trust","RNQ","Acute","Midlands & East","White","White & Other","13","100","%"
"Percentage of NHS trust board members","Kettering General Hospital NHS Foundation Trust","RNQ","Acute","Midlands & East","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Kettering General Hospital NHS Foundation Trust","RNQ","Acute","Midlands & East","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","King's College Hospital NHS Foundation Trust","RJZ","Acute","London","White","White & Other","16","100","%"
"Percentage of NHS trust board members","King's College Hospital NHS Foundation Trust","RJZ","Acute","London","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","King's College Hospital NHS Foundation Trust","RJZ","Acute","London","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Kingston Hospital NHS Foundation Trust","RAX","Acute","London","White","White & Other","14","93","%"
"Percentage of NHS trust board members","Kingston Hospital NHS Foundation Trust","RAX","Acute","London","Other","White & Other","1","7","%"
"Percentage of NHS trust board members","Kingston Hospital NHS Foundation Trust","RAX","Acute","London","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Lancashire Care NHS Foundation Trust","RW5","Mental Health","North","White","White & Other","13","100","%"
"Percentage of NHS trust board members","Lancashire Care NHS Foundation Trust","RW5","Mental Health","North","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Lancashire Care NHS Foundation Trust","RW5","Mental Health","North","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Lancashire Teaching Hospitals NHS Foundation Trust","RXN","Acute","North","White","White & Other","-","#VALUE!","%"
"Percentage of NHS trust board members","Lancashire Teaching Hospitals NHS Foundation Trust","RXN","Acute","North","Other","White & Other","-","#VALUE!","%"
"Percentage of NHS trust board members","Lancashire Teaching Hospitals NHS Foundation Trust","RXN","Acute","North","Unknown","White & Other","-","#VALUE!","%"
"Percentage of NHS trust board members","Leeds and York Partnership NHS Foundation Trust","RGD","Mental Health","North","White","White & Other","12","92","%"
"Percentage of NHS trust board members","Leeds and York Partnership NHS Foundation Trust","RGD","Mental Health","North","Other","White & Other","1","8","%"
"Percentage of NHS trust board members","Leeds and York Partnership NHS Foundation Trust","RGD","Mental Health","North","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Leeds Community Healthcare NHS Trust","RY6","Community Provider Trust","North","White","White & Other","7","58","%"
"Percentage of NHS trust board members","Leeds Community Healthcare NHS Trust","RY6","Community Provider Trust","North","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Leeds Community Healthcare NHS Trust","RY6","Community Provider Trust","North","Unknown","White & Other","5","42","%"
"Percentage of NHS trust board members","Leeds Teaching Hospitals NHS Trust","RR8","Acute","North","White","White & Other","13","100","%"
"Percentage of NHS trust board members","Leeds Teaching Hospitals NHS Trust","RR8","Acute","North","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Leeds Teaching Hospitals NHS Trust","RR8","Acute","North","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Leicestershire Partnership NHS Trust","RT5","Mental Health","Midlands & East","White","White & Other","13","93","%"
"Percentage of NHS trust board members","Leicestershire Partnership NHS Trust","RT5","Mental Health","Midlands & East","Other","White & Other","1","7","%"
"Percentage of NHS trust board members","Leicestershire Partnership NHS Trust","RT5","Mental Health","Midlands & East","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Lewisham and Greenwich NHS Trust","RJ2","Acute","London","White","White & Other","13","93","%"
"Percentage of NHS trust board members","Lewisham and Greenwich NHS Trust","RJ2","Acute","London","Other","White & Other","1","7","%"
"Percentage of NHS trust board members","Lewisham and Greenwich NHS Trust","RJ2","Acute","London","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Lincolnshire Community Health Services NHS Trust","RY5","Community Provider Trust","Midlands & East","White","White & Other","12","100","%"
"Percentage of NHS trust board members","Lincolnshire Community Health Services NHS Trust","RY5","Community Provider Trust","Midlands & East","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Lincolnshire Community Health Services NHS Trust","RY5","Community Provider Trust","Midlands & East","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Lincolnshire Partnership NHS Foundation Trust","RP7","Mental Health","Midlands & East","White","White & Other","10","83","%"
"Percentage of NHS trust board members","Lincolnshire Partnership NHS Foundation Trust","RP7","Mental Health","Midlands & East","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Lincolnshire Partnership NHS Foundation Trust","RP7","Mental Health","Midlands & East","Unknown","White & Other","2","17","%"
"Percentage of NHS trust board members","Liverpool Community Health NHS Trust","RY1","Community Provider Trust","North","White","White & Other","9","90","%"
"Percentage of NHS trust board members","Liverpool Community Health NHS Trust","RY1","Community Provider Trust","North","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Liverpool Community Health NHS Trust","RY1","Community Provider Trust","North","Unknown","White & Other","1","10","%"
"Percentage of NHS trust board members","Liverpool Heart and Chest Hospital NHS Foundation Trust","RBQ","Acute","North","White","White & Other","11","85","%"
"Percentage of NHS trust board members","Liverpool Heart and Chest Hospital NHS Foundation Trust","RBQ","Acute","North","Other","White & Other","1","8","%"
"Percentage of NHS trust board members","Liverpool Heart and Chest Hospital NHS Foundation Trust","RBQ","Acute","North","Unknown","White & Other","1","8","%"
"Percentage of NHS trust board members","Liverpool Women's NHS Foundation Trust","REP","Acute","North","White","White & Other","10","91","%"
"Percentage of NHS trust board members","Liverpool Women's NHS Foundation Trust","REP","Acute","North","Other","White & Other","1","9","%"
"Percentage of NHS trust board members","Liverpool Women's NHS Foundation Trust","REP","Acute","North","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","London Ambulance Service NHS Trust","RRU","Ambulance","London","White","White & Other","17","100","%"
"Percentage of NHS trust board members","London Ambulance Service NHS Trust","RRU","Ambulance","London","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","London Ambulance Service NHS Trust","RRU","Ambulance","London","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","London North West Healthcare NHS Trust","R1K","Acute","London","White","White & Other","15","88","%"
"Percentage of NHS trust board members","London North West Healthcare NHS Trust","R1K","Acute","London","Other","White & Other","2","12","%"
"Percentage of NHS trust board members","London North West Healthcare NHS Trust","R1K","Acute","London","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Luton and Dunstable University Hospital NHS Foundation Trust","RC9","Acute","Midlands & East","White","White & Other","18","95","%"
"Percentage of NHS trust board members","Luton and Dunstable University Hospital NHS Foundation Trust","RC9","Acute","Midlands & East","Other","White & Other","1","5","%"
"Percentage of NHS trust board members","Luton and Dunstable University Hospital NHS Foundation Trust","RC9","Acute","Midlands & East","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Maidstone and Tunbridge Wells NHS Trust","RWF","Acute","South","White","White & Other","10","91","%"
"Percentage of NHS trust board members","Maidstone and Tunbridge Wells NHS Trust","RWF","Acute","South","Other","White & Other","1","9","%"
"Percentage of NHS trust board members","Maidstone and Tunbridge Wells NHS Trust","RWF","Acute","South","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Medway NHS Foundation Trust","RPA","Acute","South","White","White & Other","18","100","%"
"Percentage of NHS trust board members","Medway NHS Foundation Trust","RPA","Acute","South","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Medway NHS Foundation Trust","RPA","Acute","South","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Mersey Care NHS Foundation Trust","RW4","Mental Health","North","White","White & Other","17","100","%"
"Percentage of NHS trust board members","Mersey Care NHS Foundation Trust","RW4","Mental Health","North","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Mersey Care NHS Foundation Trust","RW4","Mental Health","North","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Mid Cheshire Hospitals NHS Foundation Trust","RBT","Acute","North","White","White & Other","13","100","%"
"Percentage of NHS trust board members","Mid Cheshire Hospitals NHS Foundation Trust","RBT","Acute","North","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Mid Cheshire Hospitals NHS Foundation Trust","RBT","Acute","North","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Mid Essex Hospital Services NHS Trust","RQ8","Acute","Midlands & East","White","White & Other","10","77","%"
"Percentage of NHS trust board members","Mid Essex Hospital Services NHS Trust","RQ8","Acute","Midlands & East","Other","White & Other","3","23","%"
"Percentage of NHS trust board members","Mid Essex Hospital Services NHS Trust","RQ8","Acute","Midlands & East","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Mid Yorkshire Hospitals NHS Trust","RXF","Acute","North","White","White & Other","21","91","%"
"Percentage of NHS trust board members","Mid Yorkshire Hospitals NHS Trust","RXF","Acute","North","Other","White & Other","2","9","%"
"Percentage of NHS trust board members","Mid Yorkshire Hospitals NHS Trust","RXF","Acute","North","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Milton Keynes University Hospital NHS Foundation Trust","RD8","Acute","Midlands & East","White","White & Other","-","#VALUE!","%"
"Percentage of NHS trust board members","Milton Keynes University Hospital NHS Foundation Trust","RD8","Acute","Midlands & East","Other","White & Other","-","#VALUE!","%"
"Percentage of NHS trust board members","Milton Keynes University Hospital NHS Foundation Trust","RD8","Acute","Midlands & East","Unknown","White & Other","-","#VALUE!","%"
"Percentage of NHS trust board members","Moorfields Eye Hospital NHS Foundation Trust","RP6","Acute","London","White","White & Other","14","88","%"
"Percentage of NHS trust board members","Moorfields Eye Hospital NHS Foundation Trust","RP6","Acute","London","Other","White & Other","2","13","%"
"Percentage of NHS trust board members","Moorfields Eye Hospital NHS Foundation Trust","RP6","Acute","London","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Norfolk and Norwich University Hospitals NHS Foundation Trust","RM1","Acute","Midlands & East","White","White & Other","14","100","%"
"Percentage of NHS trust board members","Norfolk and Norwich University Hospitals NHS Foundation Trust","RM1","Acute","Midlands & East","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Norfolk and Norwich University Hospitals NHS Foundation Trust","RM1","Acute","Midlands & East","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Norfolk and Suffolk NHS Foundation Trust","RMY","Mental Health","Midlands & East","White","White & Other","13","100","%"
"Percentage of NHS trust board members","Norfolk and Suffolk NHS Foundation Trust","RMY","Mental Health","Midlands & East","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Norfolk and Suffolk NHS Foundation Trust","RMY","Mental Health","Midlands & East","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Norfolk Community Health and Care NHS Trust","RY3","Community Provider Trust","Midlands & East","White","White & Other","10","77","%"
"Percentage of NHS trust board members","Norfolk Community Health and Care NHS Trust","RY3","Community Provider Trust","Midlands & East","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Norfolk Community Health and Care NHS Trust","RY3","Community Provider Trust","Midlands & East","Unknown","White & Other","3","23","%"
"Percentage of NHS trust board members","North Bristol NHS Trust","RVJ","Acute","South","White","White & Other","-","#VALUE!","%"
"Percentage of NHS trust board members","North Bristol NHS Trust","RVJ","Acute","South","Other","White & Other","-","#VALUE!","%"
"Percentage of NHS trust board members","North Bristol NHS Trust","RVJ","Acute","South","Unknown","White & Other","-","#VALUE!","%"
"Percentage of NHS trust board members","North Cumbria University Hospitals NHS Trust","RNL","Acute","North","White","White & Other","11","100","%"
"Percentage of NHS trust board members","North Cumbria University Hospitals NHS Trust","RNL","Acute","North","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","North Cumbria University Hospitals NHS Trust","RNL","Acute","North","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","North East Ambulance Service NHS Foundation Trust","RX6","Ambulance","North","White","White & Other","12","92","%"
"Percentage of NHS trust board members","North East Ambulance Service NHS Foundation Trust","RX6","Ambulance","North","Other","White & Other","1","8","%"
"Percentage of NHS trust board members","North East Ambulance Service NHS Foundation Trust","RX6","Ambulance","North","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","North East London NHS Foundation Trust","RAT","Mental Health","London","White","White & Other","14","82","%"
"Percentage of NHS trust board members","North East London NHS Foundation Trust","RAT","Mental Health","London","Other","White & Other","3","18","%"
"Percentage of NHS trust board members","North East London NHS Foundation Trust","RAT","Mental Health","London","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","North Essex Partnership University NHS Foundation Trust","RRD","Mental Health","Midlands & East","White","White & Other","12","100","%"
"Percentage of NHS trust board members","North Essex Partnership University NHS Foundation Trust","RRD","Mental Health","Midlands & East","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","North Essex Partnership University NHS Foundation Trust","RRD","Mental Health","Midlands & East","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","North Middlesex University Hospital NHS Trust","RAP","Acute","London","White","White & Other","10","77","%"
"Percentage of NHS trust board members","North Middlesex University Hospital NHS Trust","RAP","Acute","London","Other","White & Other","3","23","%"
"Percentage of NHS trust board members","North Middlesex University Hospital NHS Trust","RAP","Acute","London","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","North Staffordshire Combined Healthcare NHS Trust","RLY","Mental Health","Midlands & East","White","White & Other","12","92","%"
"Percentage of NHS trust board members","North Staffordshire Combined Healthcare NHS Trust","RLY","Mental Health","Midlands & East","Other","White & Other","1","8","%"
"Percentage of NHS trust board members","North Staffordshire Combined Healthcare NHS Trust","RLY","Mental Health","Midlands & East","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","North Tees and Hartlepool NHS Foundation Trust","RVW","Acute","North","White","White & Other","13","93","%"
"Percentage of NHS trust board members","North Tees and Hartlepool NHS Foundation Trust","RVW","Acute","North","Other","White & Other","1","7","%"
"Percentage of NHS trust board members","North Tees and Hartlepool NHS Foundation Trust","RVW","Acute","North","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","North West Ambulance Service NHS Trust","RX7","Ambulance","North","White","White & Other","12","86","%"
"Percentage of NHS trust board members","North West Ambulance Service NHS Trust","RX7","Ambulance","North","Other","White & Other","2","14","%"
"Percentage of NHS trust board members","North West Ambulance Service NHS Trust","RX7","Ambulance","North","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","North West Anglia NHS Foundation Trust","RGN","Acute","Midlands & East","White","White & Other","11","85","%"
"Percentage of NHS trust board members","North West Anglia NHS Foundation Trust","RGN","Acute","Midlands & East","Other","White & Other","2","15","%"
"Percentage of NHS trust board members","North West Anglia NHS Foundation Trust","RGN","Acute","Midlands & East","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","North West Boroughs Healthcare NHS Foundation Trust","RTV","Mental Health","North","White","White & Other","11","100","%"
"Percentage of NHS trust board members","North West Boroughs Healthcare NHS Foundation Trust","RTV","Mental Health","North","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","North West Boroughs Healthcare NHS Foundation Trust","RTV","Mental Health","North","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Northampton General Hospital NHS Trust","RNS","Acute","Midlands & East","White","White & Other","13","81","%"
"Percentage of NHS trust board members","Northampton General Hospital NHS Trust","RNS","Acute","Midlands & East","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Northampton General Hospital NHS Trust","RNS","Acute","Midlands & East","Unknown","White & Other","3","19","%"
"Percentage of NHS trust board members","Northamptonshire Healthcare NHS Foundation Trust","RP1","Mental Health","Midlands & East","White","White & Other","6","50","%"
"Percentage of NHS trust board members","Northamptonshire Healthcare NHS Foundation Trust","RP1","Mental Health","Midlands & East","Other","White & Other","1","8","%"
"Percentage of NHS trust board members","Northamptonshire Healthcare NHS Foundation Trust","RP1","Mental Health","Midlands & East","Unknown","White & Other","5","42","%"
"Percentage of NHS trust board members","Northern Devon Healthcare NHS Trust","RBZ","Acute","South","White","White & Other","12","86","%"
"Percentage of NHS trust board members","Northern Devon Healthcare NHS Trust","RBZ","Acute","South","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Northern Devon Healthcare NHS Trust","RBZ","Acute","South","Unknown","White & Other","2","14","%"
"Percentage of NHS trust board members","Northern Lincolnshire and Goole NHS Foundation Trust","RJL","Acute","North","White","White & Other","14","93","%"
"Percentage of NHS trust board members","Northern Lincolnshire and Goole NHS Foundation Trust","RJL","Acute","North","Other","White & Other","1","7","%"
"Percentage of NHS trust board members","Northern Lincolnshire and Goole NHS Foundation Trust","RJL","Acute","North","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Northumberland, Tyne and Wear NHS Foundation Trust","RX4","Mental Health","North","White","White & Other","13","93","%"
"Percentage of NHS trust board members","Northumberland, Tyne and Wear NHS Foundation Trust","RX4","Mental Health","North","Other","White & Other","1","7","%"
"Percentage of NHS trust board members","Northumberland, Tyne and Wear NHS Foundation Trust","RX4","Mental Health","North","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Northumbria Healthcare NHS Foundation Trust","RTF","Acute","North","White","White & Other","18","95","%"
"Percentage of NHS trust board members","Northumbria Healthcare NHS Foundation Trust","RTF","Acute","North","Other","White & Other","1","5","%"
"Percentage of NHS trust board members","Northumbria Healthcare NHS Foundation Trust","RTF","Acute","North","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Nottingham University Hospitals NHS Trust","RX1","Acute","Midlands & East","White","White & Other","11","92","%"
"Percentage of NHS trust board members","Nottingham University Hospitals NHS Trust","RX1","Acute","Midlands & East","Other","White & Other","1","8","%"
"Percentage of NHS trust board members","Nottingham University Hospitals NHS Trust","RX1","Acute","Midlands & East","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Nottinghamshire Healthcare NHS Foundation Trust","RHA","Mental Health","Midlands & East","White","White & Other","15","94","%"
"Percentage of NHS trust board members","Nottinghamshire Healthcare NHS Foundation Trust","RHA","Mental Health","Midlands & East","Other","White & Other","1","6","%"
"Percentage of NHS trust board members","Nottinghamshire Healthcare NHS Foundation Trust","RHA","Mental Health","Midlands & East","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Oxford Health NHS Foundation Trust","RNU","Mental Health","South","White","White & Other","13","100","%"
"Percentage of NHS trust board members","Oxford Health NHS Foundation Trust","RNU","Mental Health","South","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Oxford Health NHS Foundation Trust","RNU","Mental Health","South","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Oxford University Hospitals NHS Foundation Trust","RTH","Acute","South","White","White & Other","13","87","%"
"Percentage of NHS trust board members","Oxford University Hospitals NHS Foundation Trust","RTH","Acute","South","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Oxford University Hospitals NHS Foundation Trust","RTH","Acute","South","Unknown","White & Other","2","13","%"
"Percentage of NHS trust board members","Oxleas NHS Foundation Trust","RPG","Mental Health","London","White","White & Other","10","71","%"
"Percentage of NHS trust board members","Oxleas NHS Foundation Trust","RPG","Mental Health","London","Other","White & Other","4","29","%"
"Percentage of NHS trust board members","Oxleas NHS Foundation Trust","RPG","Mental Health","London","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Papworth Hospital NHS Foundation Trust","RGM","Acute","Midlands & East","White","White & Other","-","#VALUE!","%"
"Percentage of NHS trust board members","Papworth Hospital NHS Foundation Trust","RGM","Acute","Midlands & East","Other","White & Other","-","#VALUE!","%"
"Percentage of NHS trust board members","Papworth Hospital NHS Foundation Trust","RGM","Acute","Midlands & East","Unknown","White & Other","-","#VALUE!","%"
"Percentage of NHS trust board members","Pennine Acute Hospitals NHS Trust","RW6","Acute","North","White","White & Other","10","100","%"
"Percentage of NHS trust board members","Pennine Acute Hospitals NHS Trust","RW6","Acute","North","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Pennine Acute Hospitals NHS Trust","RW6","Acute","North","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Pennine Care NHS Foundation Trust","RT2","Mental Health","North","White","White & Other","14","100","%"
"Percentage of NHS trust board members","Pennine Care NHS Foundation Trust","RT2","Mental Health","North","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Pennine Care NHS Foundation Trust","RT2","Mental Health","North","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Plymouth Hospitals NHS Trust","RK9","Acute","South","White","White & Other","11","65","%"
"Percentage of NHS trust board members","Plymouth Hospitals NHS Trust","RK9","Acute","South","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Plymouth Hospitals NHS Trust","RK9","Acute","South","Unknown","White & Other","6","35","%"
"Percentage of NHS trust board members","Poole Hospital NHS Foundation Trust","RD3","Acute","South","White","White & Other","-","#VALUE!","%"
"Percentage of NHS trust board members","Poole Hospital NHS Foundation Trust","RD3","Acute","South","Other","White & Other","-","#VALUE!","%"
"Percentage of NHS trust board members","Poole Hospital NHS Foundation Trust","RD3","Acute","South","Unknown","White & Other","-","#VALUE!","%"
"Percentage of NHS trust board members","Portsmouth Hospitals NHS Trust","RHU","Acute","South","White","White & Other","13","100","%"
"Percentage of NHS trust board members","Portsmouth Hospitals NHS Trust","RHU","Acute","South","Other","White & Other","0","0","%"
"Percentage of NHS trust board members","Portsmouth Hospitals NHS Trust","RHU","Acute","South","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Queen Victoria Hospital NHS Foundation Trust","RPC","Acute","South","White","White & Other","9","90","%"
"Percentage of NHS trust board members","Queen Victoria Hospital NHS Foundation Trust","RPC","Acute","South","Other","White & Other","1","10","%"
"Percentage of NHS trust board members","Queen Victoria Hospital NHS Foundation Trust","RPC","Acute","South","Unknown","White & Other","0","0","%"
"Percentage of NHS trust board members","Rotherham Doncaster and South Humber NHS Foundation Trust","RXE","Mental Health","North","White","White & Other","13","87","%"
"Percentage of NHS trust board members","Rotherham Doncaster and South Humber NHS Foundation Trust","RXE","Mental Health","North","Other","White & Other","2","13","%"
"Percentage of NHS trust board members","Rotherham Doncaster and South Humber NHS Foundation Trust","RXE","Mental Health","North","Unknown","White & Other","0","0","%"
