"Title","NHS trust board membership by ethnicity and trust"
"Location","England"
"Time period","2017"
"Data source","Workforce Race Equality Standard (WRES) data reporting"
"Data source link","https://www.england.nhs.uk/publication/workforce-race-equality-standard-data-reporting-december-2017/"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"Ethnicity","NHS trust board","Headcount","%"
"Other","West London Mental Health NHS Trust","2","13%"
"Other","West Midlands Ambulance Service NHS Foundation Trust","1","8%"
"Other","West Suffolk NHS Foundation Trust","0","0%"
"Other","Western Sussex Hospitals NHS Foundation Trust","0","0%"
"Other","Weston Area Health NHS Trust","0","0%"
"Other","Wirral Community NHS Foundation Trust","0","0%"
"Other","Wirral University Teaching Hospital NHS Foundation Trust","0","0%"
"Other","Worcestershire Acute Hospitals NHS Trust","0","0%"
"Other","Worcestershire Health and Care NHS Trust","-","-"
"Other","Wrightington, Wigan and Leigh NHS Foundation Trust","1","7%"
"Other","Wye Valley NHS Trust","0","0%"
"Other","Yeovil District Hospital NHS Foundation Trust","1","7%"
"Other","York Teaching Hospital NHS Foundation Trust","0","0%"
"Other","Yorkshire Ambulance Service NHS Trust","1","6%"
"Unknown","2Gether NHS Foundation Trust","0","0%"
"Unknown","Aintree University Hospital NHS Foundation Trust","0","0%"
"Unknown","Airedale NHS Foundation Trust","0","0%"
"Unknown","Alder Hey Children's NHS Foundation Trust","0","0%"
"Unknown","Ashford and St Peter's Hospitals NHS Foundation Trust","0","0%"
"Unknown","Avon and Wiltshire Mental Health Partnership NHS Trust","4","31%"
"Unknown","Barking, Havering and Redbridge University Hospitals NHS Trust","1","8%"
"Unknown","Barnet, Enfield and Haringey Mental Health NHS Trust","0","0%"
"Unknown","Barnsley Hospital NHS Foundation Trust","0","0%"
"Unknown","Barts Health NHS Trust","0","0%"
"Unknown","Basildon and Thurrock University Hospitals NHS Foundation Trust","0","0%"
"Unknown","Bedford Hospital NHS Trust","3","23%"
"Unknown","Berkshire Healthcare NHS Foundation Trust","0","0%"
"Unknown","Birmingham and Solihull Mental Health NHS Foundation Trust","3","23%"
"Unknown","Birmingham Community Healthcare NHS Foundation Trust","0","0%"
"Unknown","Birmingham Women's and Children's NHS Foundation Trust","0","0%"
"Unknown","Black Country Partnership NHS Foundation Trust","2","20%"
"Unknown","Blackpool Teaching Hospitals NHS Foundation Trust","5","36%"
"Unknown","Bolton NHS Foundation Trust","0","0%"
"Unknown","Bradford District Care NHS Foundation Trust","3","25%"
"Unknown","Bradford Teaching Hospitals NHS Foundation Trust","0","0%"
"Unknown","Bridgewater Community Healthcare NHS Foundation Trust","0","0%"
"Unknown","Brighton and Sussex University Hospitals NHS Trust","0","0%"
"Unknown","Buckinghamshire Healthcare NHS Trust","1","7%"
"Unknown","Burton Hospitals NHS Foundation Trust","3","20%"
"Unknown","Calderdale and Huddersfield NHS Foundation Trust","0","0%"
"Unknown","Cambridge University Hospitals NHS Foundation Trust","0","0%"
"Unknown","Cambridgeshire and Peterborough NHS Foundation Trust","-","-"
"Unknown","Cambridgeshire Community Services NHS Trust","2","20%"
"Unknown","Camden and Islington NHS Foundation Trust","1","8%"
"Unknown","Central and North West London NHS Foundation Trust","0","0%"
"Unknown","Central London Community Healthcare NHS Trust","0","0%"
"Unknown","Central Manchester University Hospitals NHS Foundation Trust","0","0%"
"Unknown","Chelsea and Westminster Hospital NHS Foundation Trust","0","0%"
"Unknown","Cheshire and Wirral Partnership NHS Foundation Trust","0","0%"
"Unknown","Chesterfield Royal Hospital NHS Foundation Trust","4","29%"
"Unknown","City Hospitals Sunderland NHS Foundation Trust","0","0%"
"Unknown","Colchester Hospital University NHS Foundation Trust","0","0%"
"Unknown","Cornwall Partnership NHS Foundation Trust","0","0%"
"Unknown","Countess Of Chester Hospital NHS Foundation Trust","0","0%"
"Unknown","County Durham and Darlington NHS Foundation Trust","0","0%"
"Unknown","Coventry and Warwickshire Partnership NHS Trust","0","0%"
"Unknown","Croydon Health Services NHS Trust","0","0%"
"Unknown","Cumbria Partnership NHS Foundation Trust","3","20%"
"Unknown","Dartford and Gravesham NHS Trust","1","8%"
"Unknown","Derby Teaching Hospitals NHS Foundation Trust","0","0%"
"Unknown","Derbyshire Community Health Services NHS Foundation Trust","0","0%"
"Unknown","Derbyshire Healthcare NHS Foundation Trust","0","0%"
"Unknown","Devon Partnership NHS Trust","1","7%"
"Unknown","Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust","2","13%"
"Unknown","Dorset County Hospital NHS Foundation Trust","1","6%"
"Unknown","Dorset Healthcare University NHS Foundation Trust","-","-"
"Unknown","Dudley and Walsall Mental Health Partnership NHS Trust","0","0%"
"Unknown","East and North Hertfordshire NHS Trust","0","0%"
"Unknown","East Cheshire NHS Trust","0","0%"
"Unknown","East Kent Hospitals University NHS Foundation Trust","0","0%"
"Unknown","East Lancashire Hospitals NHS Trust","0","0%"
"Unknown","East London NHS Foundation Trust","0","0%"
"Unknown","East Midlands Ambulance Service NHS Trust","0","0%"
"Unknown","East Of England Ambulance Service NHS Trust","4","29%"
"Unknown","East Sussex Healthcare NHS Trust","2","15%"
"Unknown","Epsom and St Helier University Hospitals NHS Trust","0","0%"
"Unknown","Frimley Health NHS Foundation Trust","4","29%"
"Unknown","Gateshead Health NHS Foundation Trust","0","0%"
"Unknown","George Eliot Hospital NHS Trust","0","0%"
"Unknown","Gloucestershire Care Services NHS Trust","0","0%"
"Unknown","Gloucestershire Hospitals NHS Foundation Trust","0","0%"
"Unknown","Great Ormond Street Hospital For Children NHS Foundation Trust","0","0%"
"Unknown","Great Western Hospitals NHS Foundation Trust","4","33%"
"Unknown","Greater Manchester Mental Health NHS Foundation Trust","0","0%"
"Unknown","Guy's and St Thomas' NHS Foundation Trust","0","0%"
"Unknown","Hampshire Hospitals NHS Foundation Trust","0","0%"
"Unknown","Harrogate and District NHS Foundation Trust","1","8%"
"Unknown","Heart Of England NHS Foundation Trust","2","14%"
"Unknown","Hertfordshire Community NHS Trust","0","0%"
"Unknown","Hertfordshire Partnership University NHS Foundation Trust","0","0%"
"Unknown","Hinchingbrooke Health Care NHS Trust","0","0%"
"Unknown","Homerton University Hospital NHS Foundation Trust","0","0%"
"Unknown","Hounslow and Richmond Community Healthcare NHS Trust","0","0%"
"Unknown","Hull and East Yorkshire Hospitals NHS Trust","0","0%"
"Unknown","Humber NHS Foundation Trust","5","38%"
"Unknown","Imperial College Healthcare NHS Trust","1","8%"
"Unknown","Ipswich Hospital NHS Trust","0","0%"
"Unknown","Isle Of Wight NHS Trust","0","0%"
"Unknown","James Paget University Hospitals NHS Foundation Trust","0","0%"
"Unknown","Kent and Medway NHS and Social Care Partnership Trust","0","0%"
"Unknown","Kent Community Health NHS Foundation Trust","4","27%"
"Unknown","Kettering General Hospital NHS Foundation Trust","0","0%"
"Unknown","King's College Hospital NHS Foundation Trust","0","0%"
"Unknown","Kingston Hospital NHS Foundation Trust","0","0%"
"Unknown","Lancashire Care NHS Foundation Trust","0","0%"
"Unknown","Lancashire Teaching Hospitals NHS Foundation Trust","-","-"
"Unknown","Leeds and York Partnership NHS Foundation Trust","0","0%"
"Unknown","Leeds Community Healthcare NHS Trust","5","42%"
"Unknown","Leeds Teaching Hospitals NHS Trust","0","0%"
"Unknown","Leicestershire Partnership NHS Trust","0","0%"
"Unknown","Lewisham and Greenwich NHS Trust","0","0%"
"Unknown","Lincolnshire Community Health Services NHS Trust","0","0%"
"Unknown","Lincolnshire Partnership NHS Foundation Trust","2","17%"
"Unknown","Liverpool Community Health NHS Trust","1","10%"
"Unknown","Liverpool Heart and Chest Hospital NHS Foundation Trust","1","8%"
"Unknown","Liverpool Women's NHS Foundation Trust","0","0%"
"Unknown","London Ambulance Service NHS Trust","0","0%"
"Unknown","London North West Healthcare NHS Trust","0","0%"
"Unknown","Luton and Dunstable University Hospital NHS Foundation Trust","0","0%"
"Unknown","Maidstone and Tunbridge Wells NHS Trust","0","0%"
"Unknown","Medway NHS Foundation Trust","0","0%"
"Unknown","Mersey Care NHS Foundation Trust","0","0%"
"Unknown","Mid Cheshire Hospitals NHS Foundation Trust","0","0%"
"Unknown","Mid Essex Hospital Services NHS Trust","0","0%"
"Unknown","Mid Yorkshire Hospitals NHS Trust","0","0%"
"Unknown","Milton Keynes University Hospital NHS Foundation Trust","-","-"
"Unknown","Moorfields Eye Hospital NHS Foundation Trust","0","0%"
"Unknown","Norfolk and Norwich University Hospitals NHS Foundation Trust","0","0%"
"Unknown","Norfolk and Suffolk NHS Foundation Trust","0","0%"
"Unknown","Norfolk Community Health and Care NHS Trust","3","23%"
"Unknown","North Bristol NHS Trust","-","-"
"Unknown","North Cumbria University Hospitals NHS Trust","0","0%"
"Unknown","North East Ambulance Service NHS Foundation Trust","0","0%"
"Unknown","North East London NHS Foundation Trust","0","0%"
"Unknown","North Essex Partnership University NHS Foundation Trust","0","0%"
"Unknown","North Middlesex University Hospital NHS Trust","0","0%"
"Unknown","North Staffordshire Combined Healthcare NHS Trust","0","0%"
"Unknown","North Tees and Hartlepool NHS Foundation Trust","0","0%"
"Unknown","North West Ambulance Service NHS Trust","0","0%"
"Unknown","North West Anglia NHS Foundation Trust","0","0%"
"Unknown","North West Boroughs Healthcare NHS Foundation Trust","0","0%"
"Unknown","Northampton General Hospital NHS Trust","3","19%"
"Unknown","Northamptonshire Healthcare NHS Foundation Trust","5","42%"
"Unknown","Northern Devon Healthcare NHS Trust","2","14%"
"Unknown","Northern Lincolnshire and Goole NHS Foundation Trust","0","0%"
"Unknown","Northumberland, Tyne and Wear NHS Foundation Trust","0","0%"
"Unknown","Northumbria Healthcare NHS Foundation Trust","0","0%"
"Unknown","Nottingham University Hospitals NHS Trust","0","0%"
"Unknown","Nottinghamshire Healthcare NHS Foundation Trust","0","0%"
"Unknown","Oxford Health NHS Foundation Trust","0","0%"
"Unknown","Oxford University Hospitals NHS Foundation Trust","2","13%"
"Unknown","Oxleas NHS Foundation Trust","0","0%"
"Unknown","Papworth Hospital NHS Foundation Trust","-","-"
"Unknown","Pennine Acute Hospitals NHS Trust","0","0%"
"Unknown","Pennine Care NHS Foundation Trust","0","0%"
"Unknown","Plymouth Hospitals NHS Trust","6","35%"
"Unknown","Poole Hospital NHS Foundation Trust","-","-"
"Unknown","Portsmouth Hospitals NHS Trust","0","0%"
"Unknown","Queen Victoria Hospital NHS Foundation Trust","0","0%"
"Unknown","Rotherham Doncaster and South Humber NHS Foundation Trust","0","0%"
"Unknown","Royal Berkshire NHS Foundation Trust","0","0%"
"Unknown","Royal Brompton & Harefield NHS Foundation Trust","7","50%"
"Unknown","Royal Cornwall Hospitals NHS Trust","0","0%"
"Unknown","Royal Devon and Exeter NHS Foundation Trust","0","0%"
"Unknown","Royal Free London NHS Foundation Trust","0","0%"
"Unknown","Royal Liverpool and Broadgreen University Hospitals NHS Trust","-","-"
"Unknown","Royal National Orthopaedic Hospital NHS Trust","0","0%"
"Unknown","Royal Surrey County Hospital NHS Foundation Trust","0","0%"
"Unknown","Royal United Hospitals Bath NHS Foundation Trust","0","0%"
"Unknown","Salford Royal NHS Foundation Trust","0","0%"
"Unknown","Salisbury NHS Foundation Trust","0","0%"
"Unknown","Sandwell and West Birmingham Hospitals NHS Trust","0","0%"
"Unknown","Sheffield Children's NHS Foundation Trust","0","0%"
"Unknown","Sheffield Health & Social Care NHS Foundation Trust","0","0%"
"Unknown","Sheffield Teaching Hospitals NHS Foundation Trust","0","0%"
"Unknown","Sherwood Forest Hospitals NHS Foundation Trust","2","17%"
"Unknown","Shrewsbury and Telford Hospital NHS Trust","0","0%"
"Unknown","Shropshire Community Health NHS Trust","0","0%"
"Unknown","Solent NHS Trust","1","8%"
"Unknown","Somerset Partnership NHS Foundation Trust","2","13%"
"Unknown","South Central Ambulance Service NHS Foundation Trust","0","0%"
"Unknown","South East Coast Ambulance Service NHS Foundation Trust","4","31%"
"Unknown","South Essex Partnership University NHS Foundation Trust","0","0%"
"Unknown","South London and Maudsley NHS Foundation Trust","0","0%"
"Unknown","South Staffordshire and Shropshire Healthcare NHS Foundation Trust","0","0%"
"Unknown","South Tees Hospitals NHS Foundation Trust","0","0%"
"Unknown","South Tyneside NHS Foundation Trust","0","0%"
"Unknown","South Warwickshire NHS Foundation Trust","4","25%"
"Unknown","South West London and St George's Mental Health NHS Trust","-","-"
"Unknown","South West Yorkshire Partnership NHS Foundation Trust","0","0%"
"Unknown","South Western Ambulance Service NHS Foundation Trust","0","0%"
"Unknown","Southend University Hospital NHS Foundation Trust","0","0%"
"Unknown","Southern Health NHS Foundation Trust","1","7%"
"Unknown","Southport and Ormskirk Hospital NHS Trust","1","8%"
"Unknown","St George's University Hospitals NHS Foundation Trust","0","0%"
"Unknown","St Helens and Knowsley Hospital Services NHS Trust","0","0%"
"Unknown","Staffordshire and Stoke On Trent Partnership NHS Trust","0","0%"
"Unknown","Stockport NHS Foundation Trust","0","0%"
"Unknown","Surrey and Borders Partnership NHS Foundation Trust","0","0%"
"Unknown","Surrey and Sussex Healthcare NHS Trust","0","0%"
"Unknown","Sussex Community NHS Foundation Trust","0","0%"
"Unknown","Sussex Partnership NHS Foundation Trust","1","7%"
"Unknown","Tameside and Glossop Integrated Care NHS Foundation Trust","0","0%"
"Unknown","Taunton and Somerset NHS Foundation Trust","0","0%"
"Unknown","Tavistock and Portman NHS Foundation Trust","0","0%"
"Unknown","Tees, Esk and Wear Valleys NHS Foundation Trust","-","-"
"Unknown","The Christie NHS Foundation Trust","0","0%"
"Unknown","The Clatterbridge Cancer Centre NHS Foundation Trust","0","0%"
"Unknown","The Dudley Group NHS Foundation Trust","3","20%"
"Unknown","The Hillingdon Hospitals NHS Foundation Trust","0","0%"
"Unknown","The Newcastle Upon Tyne Hospitals NHS Foundation Trust","2","17%"
"Unknown","The Princess Alexandra Hospital NHS Trust","0","0%"
"Unknown","The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust","0","0%"
"Unknown","The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust","0","0%"
"Unknown","The Rotherham NHS Foundation Trust","5","26%"
"Unknown","The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust","0","0%"
"Unknown","The Royal Marsden NHS Foundation Trust","0","0%"
"Unknown","The Royal Orthopaedic Hospital NHS Foundation Trust","0","0%"
"Unknown","The Royal Wolverhampton NHS Trust","0","0%"
"Unknown","The Walton Centre NHS Foundation Trust","0","0%"
"Unknown","The Whittington Hospital NHS Trust","5","33%"
"Unknown","Torbay and South Devon NHS Foundation Trust","0","0%"
"Unknown","United Lincolnshire Hospitals NHS Trust","0","0%"
"Unknown","University College London Hospitals NHS Foundation Trust","0","0%"
"Unknown","University Hospital Of South Manchester NHS Foundation Trust","7","47%"
"Unknown","University Hospital Southampton NHS Foundation Trust","0","0%"
"Unknown","University Hospitals Birmingham NHS Foundation Trust","0","0%"
"Unknown","University Hospitals Bristol NHS Foundation Trust","1","6%"
"Unknown","University Hospitals Coventry and Warwickshire NHS Trust","0","0%"
"Unknown","University Hospitals Of Leicester NHS Trust","0","0%"
"Unknown","University Hospitals Of Morecambe Bay NHS Foundation Trust","0","0%"
"Unknown","University Hospitals Of North Midlands NHS Trust","0","0%"
"Unknown","Walsall Healthcare NHS Trust","0","0%"
"Unknown","Warrington and Halton Hospitals NHS Foundation Trust","0","0%"
"Unknown","West Hertfordshire Hospitals NHS Trust","0","0%"
"Unknown","West London Mental Health NHS Trust","0","0%"
"Unknown","West Midlands Ambulance Service NHS Foundation Trust","1","8%"
"Unknown","West Suffolk NHS Foundation Trust","0","0%"
"Unknown","Western Sussex Hospitals NHS Foundation Trust","0","0%"
"Unknown","Weston Area Health NHS Trust","0","0%"
"Unknown","Wirral Community NHS Foundation Trust","0","0%"
"Unknown","Wirral University Teaching Hospital NHS Foundation Trust","0","0%"
"Unknown","Worcestershire Acute Hospitals NHS Trust","0","0%"
"Unknown","Worcestershire Health and Care NHS Trust","-","-"
"Unknown","Wrightington, Wigan and Leigh NHS Foundation Trust","0","0%"
"Unknown","Wye Valley NHS Trust","0","0%"
"Unknown","Yeovil District Hospital NHS Foundation Trust","0","0%"
"Unknown","York Teaching Hospital NHS Foundation Trust","0","0%"
"Unknown","Yorkshire Ambulance Service NHS Trust","0","0%"
