"measure_code","measure","time","time_type","Ethnicity of household reference person","ethnicity_type","agebracket","value","denominator"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","All","ONS 2011 5+1","All","12","34,795"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","White","ONS 2011 5+1","All","11","28,892"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","White British","White ethnicity: detailed","All","11","27,186"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","White other","","All","13","1,706"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","Mixed","ONS 2011 5+1","All","19","356"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","Asian","ONS 2011 5+1","All","27","2,761"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","Black","ONS 2011 5+1","All","25","1,022"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","Other","ONS 2011 5+1","All","31","227"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","All","ONS 2011 5+1","Children","17","8,491"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","White","ONS 2011 5+1","Children","15","6,465"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","White British","White ethnicity: detailed","Children","15","5,997"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","White other","","Children","15","468"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","Mixed","ONS 2011 5+1","Children","26","122"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","Asian","ONS 2011 5+1","Children","35","1,035"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","Black","ONS 2011 5+1","Children","32","399"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","Other","ONS 2011 5+1","Children","?","85"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","All","ONS 2011 5+1","Working-age adults","11","18,924"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","White","ONS 2011 5+1","Working-age adults","10","15,595"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","White British","White ethnicity: detailed","Working-age adults","10","14,650"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","White other","","Working-age adults","13","945"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","Mixed","ONS 2011 5+1","Working-age adults","17","200"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","Asian","ONS 2011 5+1","Working-age adults","23","1,540"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","Black","ONS 2011 5+1","Working-age adults","22","524"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","Other","ONS 2011 5+1","Working-age adults","29","121"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","All","ONS 2011 5+1","Pensioners","8","7,380"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","White","ONS 2011 5+1","Pensioners","8","6,832"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","White British","White ethnicity: detailed","Pensioners","8","6,539"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","White other","","Pensioners","13","293"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","Mixed","ONS 2011 5+1","Pensioners","?","34"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","Asian","ONS 2011 5+1","Pensioners","13","186"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","Black","ONS 2011 5+1","Pensioners","?","99"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2011-2015","Four survey periods","Other","ONS 2011 5+1","Pensioners","?","21"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","All","ONS 2011 5+1","All","19","34,795"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","White","ONS 2011 5+1","All","18","28,892"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","White British","White ethnicity: detailed","All","18","27,186"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","White other","","All","21","1,706"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","Mixed","ONS 2011 5+1","All","26","356"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","Asian","ONS 2011 5+1","All","37","2,761"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","Black","ONS 2011 5+1","All","33","1,022"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","Other","ONS 2011 5+1","All","37","227"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","All","ONS 2011 5+1","Children","28","8,491"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","White","ONS 2011 5+1","Children","26","6,465"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","White British","White ethnicity: detailed","Children","26","5,997"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","White other","","Children","25","468"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","Mixed","ONS 2011 5+1","Children","35","122"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","Asian","ONS 2011 5+1","Children","50","1,035"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","Black","ONS 2011 5+1","Children","41","399"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","Other","ONS 2011 5+1","Children","?","85"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","All","ONS 2011 5+1","Working-age adults","17","18,924"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","White","ONS 2011 5+1","Working-age adults","17","15,595"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","White British","White ethnicity: detailed","Working-age adults","17","14,650"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","White other","","Working-age adults","19","945"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","Mixed","ONS 2011 5+1","Working-age adults","23","200"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","Asian","ONS 2011 5+1","Working-age adults","32","1,540"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","Black","ONS 2011 5+1","Working-age adults","29","524"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","Other","ONS 2011 5+1","Working-age adults","34","121"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","All","ONS 2011 5+1","Pensioners","15","7,380"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","White","ONS 2011 5+1","Pensioners","15","6,832"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","White British","White ethnicity: detailed","Pensioners","15","6,539"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","White other","","Pensioners","20","293"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","Mixed","ONS 2011 5+1","Pensioners","?","34"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","Asian","ONS 2011 5+1","Pensioners","18","186"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","Black","ONS 2011 5+1","Pensioners","?","99"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2011-2015","Four survey periods","Other","ONS 2011 5+1","Pensioners","?","21"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","All","ONS 2011 5+1","All","9","47,048"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","White","ONS 2011 5+1","All","9","37,886"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","White British","White ethnicity: detailed","All","9","35,679"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","White other","","All","8","2,207"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","Mixed","ONS 2011 5+1","All","7","560"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","Asian","ONS 2011 5+1","All","20","4,165"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","Black","ONS 2011 5+1","All","16","1,774"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","Other","ONS 2011 5+1","All","22","311"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","All","ONS 2011 5+1","Children","11","12,159"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","White","ONS 2011 5+1","Children","10","8,996"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","White British","White ethnicity: detailed","Children","10","8,385"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","White other","","Children","8","611"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","Mixed","ONS 2011 5+1","Children","5","200"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","Asian","ONS 2011 5+1","Children","27","1,560"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","Black","ONS 2011 5+1","Children","19","679"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","Other","ONS 2011 5+1","Children","30","115"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","All","ONS 2011 5+1","Working-age adults","8","26,139"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","White","ONS 2011 5+1","Working-age adults","7","20,909"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","White British","White ethnicity: detailed","Working-age adults","7","19,672"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","White other","","Working-age adults","6","1,237"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","Mixed","ONS 2011 5+1","Working-age adults","8","317"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","Asian","ONS 2011 5+1","Working-age adults","17","2,359"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","Black","ONS 2011 5+1","Working-age adults","14","948"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","Other","ONS 2011 5+1","Working-age adults","19","163"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","All","ONS 2011 5+1","Pensioners","12","8,743"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","White","ONS 2011 5+1","Pensioners","12","7,974"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","White British","White ethnicity: detailed","Pensioners","12","7,617"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","White other","","Pensioners","18","357"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","Mixed","ONS 2011 5+1","Pensioners","?","43"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","Asian","ONS 2011 5+1","Pensioners","19","246"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","Black","ONS 2011 5+1","Pensioners","13","147"
"bhc60","Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","Other","ONS 2011 5+1","Pensioners","?","33"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","All","ONS 2011 5+1","All","17","47,048"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","White","ONS 2011 5+1","All","17","37,886"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","White British","White ethnicity: detailed","All","17","35,679"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","White other","","All","16","2,207"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","Mixed","ONS 2011 5+1","All","16","560"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","Asian","ONS 2011 5+1","All","30","4,165"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","Black","ONS 2011 5+1","All","26","1,774"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","Other","ONS 2011 5+1","All","28","311"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","All","ONS 2011 5+1","Children","22","12,159"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","White","ONS 2011 5+1","Children","21","8,996"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","White British","White ethnicity: detailed","Children","21","8,385"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","White other","","Children","16","611"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","Mixed","ONS 2011 5+1","Children","20","200"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","Asian","ONS 2011 5+1","Children","40","1,560"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","Black","ONS 2011 5+1","Children","33","679"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","Other","ONS 2011 5+1","Children","36","115"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","All","ONS 2011 5+1","Working-age adults","14","26,139"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","White","ONS 2011 5+1","Working-age adults","14","20,909"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","White British","White ethnicity: detailed","Working-age adults","14","19,672"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","White other","","Working-age adults","13","1,237"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","Mixed","ONS 2011 5+1","Working-age adults","14","317"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","Asian","ONS 2011 5+1","Working-age adults","25","2,359"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","Black","ONS 2011 5+1","Working-age adults","22","948"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","Other","ONS 2011 5+1","Working-age adults","25","163"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","All","ONS 2011 5+1","Pensioners","22","8,743"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","White","ONS 2011 5+1","Pensioners","22","7,974"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","White British","White ethnicity: detailed","Pensioners","22","7,617"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","White other","","Pensioners","28","357"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","Mixed","ONS 2011 5+1","Pensioners","?","43"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","Asian","ONS 2011 5+1","Pensioners","27","246"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","Black","ONS 2011 5+1","Pensioners","26","147"
"bhc70","Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","Other","ONS 2011 5+1","Pensioners","?","33"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","All","ONS 2011 5+1","All","12","40,482"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","White","ONS 2011 5+1","All","11","33,426"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","White British","White ethnicity: detailed","All","11","31,442"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","White other","","All","14","1,984"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","Mixed","ONS 2011 5+1","All","16","478"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","Asian","ONS 2011 5+1","All","26","3,212"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","Black","ONS 2011 5+1","All","23","1,245"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","Other","ONS 2011 5+1","All","31","249"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","All","ONS 2011 5+1","Children","17","10,145"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","White","ONS 2011 5+1","Children","16","7,728"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","White British","White ethnicity: detailed","Children","16","7,193"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","White other","","Children","17","535"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","Mixed","ONS 2011 5+1","Children","20","171"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","Asian","ONS 2011 5+1","Children","34","1,216"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","Black","ONS 2011 5+1","Children","25","479"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","Other","ONS 2011 5+1","Children","?","90"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","All","ONS 2011 5+1","Working-age adults","12","22,176"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","White","ONS 2011 5+1","Working-age adults","11","18,201"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","White British","White ethnicity: detailed","Working-age adults","11","17,093"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","White other","","Working-age adults","14","1,108"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","Mixed","ONS 2011 5+1","Working-age adults","15","270"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","Asian","ONS 2011 5+1","Working-age adults","23","1,783"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","Black","ONS 2011 5+1","Working-age adults","22","657"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","Other","ONS 2011 5+1","Working-age adults","31","132"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","All","ONS 2011 5+1","Pensioners","8","8,156"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","White","ONS 2011 5+1","Pensioners","8","7,492"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","White British","White ethnicity: detailed","Pensioners","7","7,152"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","White other","","Pensioners","12","340"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","Mixed","ONS 2011 5+1","Pensioners","?","37"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","Asian","ONS 2011 5+1","Pensioners","10","213"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","Black","ONS 2011 5+1","Pensioners","15","109"
"ahc60","Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","Other","ONS 2011 5+1","Pensioners","?","27"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","All","ONS 2011 5+1","All","19","40,482"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","White","ONS 2011 5+1","All","18","33,426"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","White British","White ethnicity: detailed","All","18","31,442"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","White other","","All","22","1,984"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","Mixed","ONS 2011 5+1","All","27","478"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","Asian","ONS 2011 5+1","All","37","3,212"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","Black","ONS 2011 5+1","All","33","1,245"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","Other","ONS 2011 5+1","All","35","249"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","All","ONS 2011 5+1","Children","28","10,145"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","White","ONS 2011 5+1","Children","27","7,728"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","White British","White ethnicity: detailed","Children","26","7,193"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","White other","","Children","29","535"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","Mixed","ONS 2011 5+1","Children","37","171"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","Asian","ONS 2011 5+1","Children","48","1,216"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","Black","ONS 2011 5+1","Children","37","479"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","Other","ONS 2011 5+1","Children","?","90"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","All","ONS 2011 5+1","Working-age adults","18","22,176"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","White","ONS 2011 5+1","Working-age adults","17","18,201"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","White British","White ethnicity: detailed","Working-age adults","17","17,093"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","White other","","Working-age adults","20","1,108"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","Mixed","ONS 2011 5+1","Working-age adults","23","270"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","Asian","ONS 2011 5+1","Working-age adults","32","1,783"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","Black","ONS 2011 5+1","Working-age adults","31","657"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","Other","ONS 2011 5+1","Working-age adults","35","132"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","All","ONS 2011 5+1","Pensioners","15","8,156"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","White","ONS 2011 5+1","Pensioners","15","7,492"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","White British","White ethnicity: detailed","Pensioners","15","7,152"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","White other","","Pensioners","23","340"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","Mixed","ONS 2011 5+1","Pensioners","?","37"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","Asian","ONS 2011 5+1","Pensioners","23","213"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","Black","ONS 2011 5+1","Pensioners","27","109"
"ahc70","Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","Other","ONS 2011 5+1","Pensioners","?","27"
