"Title","Low income"
"Location","UK"
"Time period","2011 to 2015"
"Data source","Department for Work and Pensions"
"Data source link","https://www.gov.uk/government/statistics/income-dynamics-experimental"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","16 March 2017"
"Measure","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value","Denominator","Numerator","Upper bound","Lower bound","Note"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","19","679","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","29","118","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","Working-age adults","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","8","26,146","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","White British","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","7","19,627","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","White other","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","7","1,232","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","7","317","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","16","2,343","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","15","948","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","21","164","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","Pensioners","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","12","8,744","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","White British","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","12","7,618","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","White other","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","20","356","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","?","?","","","","Suppressed"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","17","244","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","16","147","","","",""
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2010-2014","Four survey periods","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","?","?","","","","Suppressed"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","Cases available for analysis by Ethnicity","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","17","47,057","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","17","35,601","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","White other","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","15","2,198","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","15","560","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","29","4,136","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","27","1,774","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","32","315","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","Cases available for analysis by Ethnicity","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","21","12,160","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","White British","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","20","8,351","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","White other","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","14","608","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","17","200","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","40","1,549","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","33","679","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","38","118","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","Working-age adults","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","14","26,146","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","White British","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","13","19,627","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","White other","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","12","1,232","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","14","317","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","24","2,343","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","23","948","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","30","164","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","Pensioners","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","22","8,744","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","White British","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","22","7,618","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","White other","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","29","356","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","?","?","","","","Suppressed"
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","25","244","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","29","147","","","",""
"Percentage in persistent low income (based on 70% of median income, Before Housing Costs)","2010-2014","Four survey periods","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","?","?","","","","Suppressed"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","Cases available for analysis by Ethnicity","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","12","40,491","","","",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","11","31,372","","","",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","White other","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","14","1,975","","","",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","14","478","","","",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","26","3,208","","","",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","24","1,245","","","",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","31","253","","","",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","Cases available for analysis by Ethnicity","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","16","10,146","","","",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","White British","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","15","7,163","","","",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","White other","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","16","532","","","",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","16","171","","","",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","35","1,214","","","",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","26","479","","","",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","?","?","","","","Suppressed"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","Working-age adults","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","11","22,183","","","",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","White British","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","11","17,052","","","",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","White other","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","14","1,103","","","",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","14","270","","","",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","22","1,781","","","",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","24","657","","","",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","32","133","","","",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","Pensioners","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","8","8,157","","","",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","White British","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","7","7,153","","","",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","White other","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","11","339","","","",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","?","?","","","","Suppressed"
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","9","213","","","",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","18","109","","","",""
"Percentage in persistent low income (based on 60% of median income, After Housing Costs)","2010-2014","Four survey periods","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","?","?","","","","Suppressed"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","Cases available for analysis by Ethnicity","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","19","40,491","","","",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","18","31,372","","","",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","White other","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","24","1,975","","","",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","29","478","","","",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","37","3,208","","","",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","33","1,245","","","",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All/Children/Working-age adults/pensioners","34","253","","","",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","Cases available for analysis by Ethnicity","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","28","10,146","","","",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","White British","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","26","7,163","","","",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","White other","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","30","532","","","",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","41","171","","","",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","48","1,214","","","",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","37","479","","","",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","Children","All/Children/Working-age adults/pensioners","?","?","","","","Suppressed"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","Working-age adults","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","18","22,183","","","",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","White British","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","17","17,052","","","",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","White other","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","21","1,103","","","",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","25","270","","","",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","32","1,781","","","",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","31","657","","","",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","Working-age adults","All/Children/Working-age adults/pensioners","35","133","","","",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","Pensioners","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","15","8,157","","","",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","White British","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","15","7,153","","","",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","White other","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","24","339","","","",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","?","?","","","","Suppressed"
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","19","213","","","",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","29","109","","","",""
"Percentage in persistent low income (based on 70% of median income, After Housing Costs)","2010-2014","Four survey periods","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","Pensioners","All/Children/Working-age adults/pensioners","?","?","","","","Suppressed"
