"Ethnicity","Local authority","Score","Pupils"
"Mixed","Dorset","46.7","77"
"Mixed","Gloucestershire","48.4","215"
"Mixed","Isles of Scilly","!","!"
"Mixed","North Somerset","50.8","41"
"Mixed","Plymouth","44.6","40"
"Mixed","Poole","55.8","49"
"Mixed","Somerset","47.8","90"
"Mixed","South Gloucestershire","42.8","107"
"Mixed","Swindon","44.8","79"
"Mixed","Torbay","!","!"
"Mixed","Wiltshire","52.9","113"
"White","County Durham","44.8","4,459"
"White","Darlington","45.2","998"
"White","Gateshead","46.3","1,784"
"White","Hartlepool","43.7","939"
"White","Middlesbrough","42.5","1,061"
"White","Newcastle upon Tyne","42.6","1,888"
"White","North Tyneside","46.8","1,845"
"White","Northumberland","44.6","3,046"
"White","Redcar and Cleveland","44.1","1,480"
"White","South Tyneside","43.0","1,388"
"White","Stockton-on-Tees","45.4","1,758"
"White","Sunderland","43.5","2,590"
"White","Blackburn with Darwen","43.3","890"
"White","Blackpool","38.6","1,134"
"White","Bolton","42.5","2,313"
"White","Bury","46.0","1,697"
"White","Cheshire East","48.8","3,378"
"White","Cheshire West and Chester","46.4","3,181"
"White","Cumbria","46.3","4,652"
"White","Halton","44.8","1,347"
"White","Knowsley","37.5","944"
"White","Lancashire","45.4","10,415"
"White","Liverpool","43.5","3,768"
"White","Manchester","40.5","2,120"
"White","Oldham","43.4","1,802"
"White","Rochdale","42.3","1,493"
"White","Salford","41.2","1,775"
"White","Sefton","45.5","2,833"
"White","St. Helens","44.4","1,566"
"White","Stockport","47.9","2,276"
"White","Tameside","44.2","1,995"
"White","Trafford","54.8","2,042"
"White","Warrington","47.0","2,126"
"White","Wigan","46.1","3,172"
"White","Wirral","47.7","3,158"
"White","Barnsley","43.9","2,051"
"White","Bradford","42.0","2,743"
"White","Calderdale","48.1","1,997"
"White","Doncaster","43.2","2,757"
"White","East Riding of Yorkshire","47.0","3,236"
"White","Kingston upon Hull, City of","42.5","2,018"
"White","Kirklees","46.0","2,794"
"White","Leeds","46.1","5,420"
"White","North East Lincolnshire","44.1","1,431"
"White","North Lincolnshire","44.5","1,630"
"White","North Yorkshire","49.4","5,632"
"White","Rotherham","44.9","2,672"
"White","Sheffield","44.6","3,879"
"White","Wakefield","45.4","3,161"
"White","York","49.0","1,512"
"White","Derby","42.0","1,944"
"White","Derbyshire","45.5","6,965"
"White","Leicester","38.1","1,139"
"White","Leicestershire","44.9","5,987"
"White","Lincolnshire","46.0","7,160"
"White","Northamptonshire","44.3","6,228"
"White","Nottingham","38.5","1,453"
"White","Nottinghamshire","47.6","6,821"
"White","Rutland","52.1","458"
"White","Birmingham","45.6","4,326"
"White","Coventry","41.2","2,198"
"White","Dudley","43.9","2,820"
"White","Herefordshire, County of","45.4","1,655"
"White","Sandwell","41.6","1,901"
"White","Shropshire","46.3","2,647"
"White","Solihull","46.8","2,217"
"White","Staffordshire","44.8","7,861"
"White","Stoke-on-Trent","43.0","1,706"
"White","Telford and Wrekin","46.0","1,596"
"White","Walsall","41.9","2,191"
"White","Warwickshire","48.5","4,875"
"White","Wolverhampton","43.0","1,362"
"White","Worcestershire","46.4","4,937"
"White","Bedford","46.8","1,294"
"White","Cambridgeshire","47.6","5,032"
"White","Central Bedfordshire","45.5","2,347"
"White","Essex","46.0","12,778"
"White","Hertfordshire","49.2","10,391"
"White","Luton","41.4","780"
"White","Norfolk","44.8","7,418"
"White","Peterborough","41.6","1,608"
"White","Southend-on-Sea","48.7","1,715"
"White","Suffolk","44.7","6,201"
"White","Thurrock","43.2","1,276"
"White","Camden","49.7","577"
"White","City of London","N/A","N/A"
"White","Hackney","52.2","648"
"White","Hammersmith and Fulham","56.6","578"
"White","Haringey","48.6","1,024"
"White","Islington","44.7","525"
"White","Kensington and Chelsea","56.9","302"
"White","Lambeth","47.6","504"
"White","Lewisham","45.2","675"
"White","Newham","43.2","597"
"White","Southwark","52.2","656"
"White","Tower Hamlets","40.7","300"
"White","Wandsworth","52.9","556"
"White","Westminster","56.2","385"
"White","Barking and Dagenham","43.3","970"
"White","Barnet","53.9","1,728"
"White","Bexley","45.8","2,086"
"White","Brent","46.7","507"
"White","Bromley","50.3","2,231"
"White","Croydon","45.6","1,338"
"White","Ealing","50.0","736"
"White","Enfield","45.2","1,747"
"White","Greenwich","44.6","1,008"
"White","Harrow","47.6","540"
"White","Havering","46.5","2,141"
"White","Hillingdon","44.4","1,482"
"White","Hounslow","47.9","958"
"White","Kingston upon Thames","53.0","915"
"White","Merton","50.5","672"
"White","Redbridge","46.9","856"
"White","Richmond upon Thames","53.4","1,018"
"White","Sutton","51.4","1,644"
"White","Waltham Forest","46.0","883"
"White","Bracknell Forest","46.2","989"
"White","Brighton and Hove","46.6","1,847"
"White","Buckinghamshire","52.8","4,016"
"White","East Sussex","45.1","4,395"
"White","Hampshire","46.8","11,749"
"White","Isle of Wight","39.9","1,196"
"White","Kent","45.4","13,538"
"White","Medway","44.4","2,415"
"White","Milton Keynes","44.3","1,985"
"White","Oxfordshire","47.7","5,077"
"White","Portsmouth","41.0","1,412"
"White","Reading","48.9","642"
"White","Slough","47.7","456"
"White","Southampton","43.1","1,489"
"White","Surrey","49.5","8,621"
"White","West Berkshire","48.0","1,587"
"White","West Sussex","46.7","7,007"
"White","Windsor and Maidenhead","49.9","1,159"
"White","Wokingham","51.7","1,270"
"White","Bath and North East Somerset","47.7","1,838"
"White","Bournemouth","47.7","1,428"
"White","Bristol, City of","44.3","2,376"
"White","Cornwall","45.7","4,928"
"White","Devon","46.4","6,265"
"White","Dorset","45.1","3,792"
"White","Gloucestershire","48.3","5,633"
"White","Isles of Scilly","44.8","18"
"White","North Somerset","45.8","1,996"
"White","Plymouth","44.3","2,371"
"White","Poole","51.2","1,222"
"White","Somerset","45.6","4,648"
"White","South Gloucestershire","43.6","2,337"
"White","Swindon","42.6","1,667"
"White","Torbay","49.7","1,186"
"White","Wiltshire","46.7","4,225"
