"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Black","ONS 5+2","Other income","United Kingdom","29","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Asian","ONS 5+2","All benefit income (including State Pension)","United Kingdom","98","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Asian","ONS 5+2","Benefit Income of which State Pension","United Kingdom","90","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Asian","ONS 5+2","Benefit Income of which Income-related benefits","United Kingdom","45","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Asian","ONS 5+2","Benefit Income of which Disability benefits","United Kingdom","24","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Asian","ONS 5+2","Occupational pension income","United Kingdom","32","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Asian","ONS 5+2","Personal pension income","United Kingdom","8","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Asian","ONS 5+2","Investment income","United Kingdom","43","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Asian","ONS 5+2","Earnings income","United Kingdom","17","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Asian","ONS 5+2","Other income","United Kingdom","32","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Other","ONS 5+2","All benefit income (including State Pension)","United Kingdom","99","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Other","ONS 5+2","Benefit Income of which State Pension","United Kingdom","84","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Other","ONS 5+2","Benefit Income of which Income-related benefits","United Kingdom","32","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Other","ONS 5+2","Benefit Income of which Disability benefits","United Kingdom","26","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Other","ONS 5+2","Occupational pension income","United Kingdom","42","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Other","ONS 5+2","Personal pension income","United Kingdom","14","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Other","ONS 5+2","Investment income","United Kingdom","60","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Other","ONS 5+2","Earnings income","United Kingdom","19","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Other","ONS 5+2","Other income","United Kingdom","40","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Mixed/Multiple and Other","ONS 5+2","All benefit income (including State Pension)","United Kingdom","99","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Mixed/Multiple and Other","ONS 5+2","Benefit Income of which State Pension","United Kingdom","87","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Mixed/Multiple and Other","ONS 5+2","Benefit Income of which Income-related benefits","United Kingdom","34","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Mixed/Multiple and Other","ONS 5+2","Benefit Income of which Disability benefits","United Kingdom","23","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Mixed/Multiple and Other","ONS 5+2","Occupational pension income","United Kingdom","46","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Mixed/Multiple and Other","ONS 5+2","Personal pension income","United Kingdom","14","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Mixed/Multiple and Other","ONS 5+2","Investment income","United Kingdom","57","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Mixed/Multiple and Other","ONS 5+2","Earnings income","United Kingdom","18","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Mixed/Multiple and Other","ONS 5+2","Other income","United Kingdom","36","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","All","ONS 5+2","Gross income","United Kingdom","496","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","All","ONS 5+2","Benefit income","United Kingdom","213","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","All","ONS 5+2","Benefit Income of which State Pension","United Kingdom","158","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","All","ONS 5+2","Benefit Income of which Income-related benefits","United Kingdom","26","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","All","ONS 5+2","Benefit Income of which Disability benefits","United Kingdom","18","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","All","ONS 5+2","Occupational pension income","United Kingdom","124","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","All","ONS 5+2","Personal pension income","United Kingdom","18","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","All","ONS 5+2","Investment income","United Kingdom","40","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","All","ONS 5+2","Earnings income","United Kingdom","98","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","All","ONS 5+2","Other income ","United Kingdom","4","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","White All","ONS 5+2","Gross income","United Kingdom","499","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","White All","ONS 5+2","Benefit income","United Kingdom","213","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","White All","ONS 5+2","Benefit Income of which State Pension","United Kingdom","159","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","White All","ONS 5+2","Benefit Income of which Income-related benefits","United Kingdom","25","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","White All","ONS 5+2","Benefit Income of which Disability benefits","United Kingdom","18","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","White All","ONS 5+2","Occupational pension income","United Kingdom","126","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","White All","ONS 5+2","Personal pension income","United Kingdom","18","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","White All","ONS 5+2","Investment income","United Kingdom","40","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","White All","ONS 5+2","Earnings income","United Kingdom","98","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","White All","ONS 5+2","Other income ","United Kingdom","4","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","White British","ONS 5+2","Gross income","United Kingdom","500","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","White British","ONS 5+2","Benefit income","United Kingdom","213","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","White British","ONS 5+2","Benefit Income of which State Pension","United Kingdom","159","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","White British","ONS 5+2","Benefit Income of which Income-related benefits","United Kingdom","25","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","White British","ONS 5+2","Benefit Income of which Disability benefits","United Kingdom","18","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","White British","ONS 5+2","Occupational pension income","United Kingdom","126","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","White British","ONS 5+2","Personal pension income","United Kingdom","18","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","White British","ONS 5+2","Investment income","United Kingdom","40","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","White British","ONS 5+2","Earnings income","United Kingdom","98","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","White British","ONS 5+2","Other income ","United Kingdom","4","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","White Other","ONS 5+2","Gross income","United Kingdom","489","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","White Other","ONS 5+2","Benefit income","United Kingdom","208","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","White Other","ONS 5+2","Benefit Income of which State Pension","United Kingdom","146","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","White Other","ONS 5+2","Benefit Income of which Income-related benefits","United Kingdom","33","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","White Other","ONS 5+2","Benefit Income of which Disability benefits","United Kingdom","19","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","White Other","ONS 5+2","Occupational pension income","United Kingdom","113","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","White Other","ONS 5+2","Personal pension income","United Kingdom","12","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","White Other","ONS 5+2","Investment income","United Kingdom","52","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","White Other","ONS 5+2","Earnings income","United Kingdom","100","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","White Other","ONS 5+2","Other income ","United Kingdom","4","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Mixed/Multiple","ONS 5+2","Gross income","United Kingdom","436","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Mixed/Multiple","ONS 5+2","Benefit income","United Kingdom","197","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Mixed/Multiple","ONS 5+2","Benefit Income of which State Pension","United Kingdom","129","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Mixed/Multiple","ONS 5+2","Benefit Income of which Income-related benefits","United Kingdom","45","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Mixed/Multiple","ONS 5+2","Benefit Income of which Disability benefits","United Kingdom","10","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Mixed/Multiple","ONS 5+2","Occupational pension income","United Kingdom","110","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Mixed/Multiple","ONS 5+2","Personal pension income","United Kingdom","10","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Mixed/Multiple","ONS 5+2","Investment income","United Kingdom","16","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Mixed/Multiple","ONS 5+2","Earnings income","United Kingdom","98","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Mixed/Multiple","ONS 5+2","Other income ","United Kingdom","5","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Black","ONS 5+2","Gross income","United Kingdom","392","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Black","ONS 5+2","Benefit income","United Kingdom","209","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Black","ONS 5+2","Benefit Income of which State Pension","United Kingdom","126","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Black","ONS 5+2","Benefit Income of which Income-related benefits","United Kingdom","58","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Black","ONS 5+2","Benefit Income of which Disability benefits","United Kingdom","13","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Black","ONS 5+2","Occupational pension income","United Kingdom","69","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Black","ONS 5+2","Personal pension income","United Kingdom","4","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Black","ONS 5+2","Investment income","United Kingdom","5","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Black","ONS 5+2","Earnings income","United Kingdom","104","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Black","ONS 5+2","Other income ","United Kingdom","3","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Asian","ONS 5+2","Gross income","United Kingdom","417","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Asian","ONS 5+2","Benefit income","United Kingdom","203","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Asian","ONS 5+2","Benefit Income of which State Pension","United Kingdom","131","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Asian","ONS 5+2","Benefit Income of which Income-related benefits","United Kingdom","41","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Asian","ONS 5+2","Benefit Income of which Disability benefits","United Kingdom","19","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Asian","ONS 5+2","Occupational pension income","United Kingdom","74","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Asian","ONS 5+2","Personal pension income","United Kingdom","14","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Asian","ONS 5+2","Investment income","United Kingdom","36","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Asian","ONS 5+2","Earnings income","United Kingdom","84","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Asian","ONS 5+2","Other income ","United Kingdom","6","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Other","ONS 5+2","Gross income","United Kingdom","478","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Other","ONS 5+2","Benefit income","United Kingdom","204","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Other","ONS 5+2","Benefit Income of which State Pension","United Kingdom","140","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Other","ONS 5+2","Benefit Income of which Income-related benefits","United Kingdom","33","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Other","ONS 5+2","Benefit Income of which Disability benefits","United Kingdom","21","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Other","ONS 5+2","Occupational pension income","United Kingdom","112","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Other","ONS 5+2","Personal pension income","United Kingdom","25","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Other","ONS 5+2","Investment income","United Kingdom","48","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Other","ONS 5+2","Earnings income","United Kingdom","83","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Other","ONS 5+2","Other income ","United Kingdom","6","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Mixed/Multiple and Other","ONS 5+2","Gross income","United Kingdom","465","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Mixed/Multiple and Other","ONS 5+2","Benefit income","United Kingdom","201","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Mixed/Multiple and Other","ONS 5+2","Benefit Income of which State Pension","United Kingdom","136","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Mixed/Multiple and Other","ONS 5+2","Benefit Income of which Income-related benefits","United Kingdom","37","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Mixed/Multiple and Other","ONS 5+2","Benefit Income of which Disability benefits","United Kingdom","17","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Mixed/Multiple and Other","ONS 5+2","Occupational pension income","United Kingdom","113","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Mixed/Multiple and Other","ONS 5+2","Personal pension income","United Kingdom","19","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Mixed/Multiple and Other","ONS 5+2","Investment income","United Kingdom","37","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Mixed/Multiple and Other","ONS 5+2","Earnings income","United Kingdom","89","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Gross income, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Mixed/Multiple and Other","ONS 5+2","Other income ","United Kingdom","5","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income BHC, £ per week","2008/09; 2009/10; 2010/11","3-Year average","All","ONS 5+2","Mean","United Kingdom","412","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income BHC, £ per week","2008/09; 2009/10; 2010/11","3-Year average","White All","ONS 5+2","Mean","United Kingdom","415","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income BHC, £ per week","2008/09; 2009/10; 2010/11","3-Year average","White British","ONS 5+2","Mean","United Kingdom","415","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income BHC, £ per week","2008/09; 2009/10; 2010/11","3-Year average","White Other","ONS 5+2","Mean","United Kingdom","406","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income BHC, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Mixed/Multiple","ONS 5+2","Mean","United Kingdom","360","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income BHC, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Black","ONS 5+2","Mean","United Kingdom","331","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income BHC, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Asian","ONS 5+2","Mean","United Kingdom","343","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income BHC, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Other","ONS 5+2","Mean","United Kingdom","386","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income BHC, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Mixed/Multiple and Other","ONS 5+2","Mean","United Kingdom","378","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income BHC, £ per week","2008/09; 2009/10; 2010/11","3-Year average","All","ONS 5+2","Median","United Kingdom","325","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income BHC, £ per week","2008/09; 2009/10; 2010/11","3-Year average","White All","ONS 5+2","Median","United Kingdom","327","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income BHC, £ per week","2008/09; 2009/10; 2010/11","3-Year average","White British","ONS 5+2","Median","United Kingdom","327","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income BHC, £ per week","2008/09; 2009/10; 2010/11","3-Year average","White Other","ONS 5+2","Median","United Kingdom","311","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income BHC, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Mixed/Multiple","ONS 5+2","Median","United Kingdom","291","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income BHC, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Black","ONS 5+2","Median","United Kingdom","263","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income BHC, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Asian","ONS 5+2","Median","United Kingdom","253","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income BHC, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Other","ONS 5+2","Median","United Kingdom","294","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income BHC, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Mixed/Multiple and Other","ONS 5+2","Median","United Kingdom","288","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income AHC, £ per week","2008/09; 2009/10; 2010/11","3-Year average","All","ONS 5+2","Mean","United Kingdom","380","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income AHC, £ per week","2008/09; 2009/10; 2010/11","3-Year average","White All","ONS 5+2","Mean","United Kingdom","383","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income AHC, £ per week","2008/09; 2009/10; 2010/11","3-Year average","White British","ONS 5+2","Mean","United Kingdom","384","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income AHC, £ per week","2008/09; 2009/10; 2010/11","3-Year average","White Other","ONS 5+2","Mean","United Kingdom","366","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income AHC, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Mixed/Multiple","ONS 5+2","Mean","United Kingdom","308","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income AHC, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Black","ONS 5+2","Mean","United Kingdom","276","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income AHC, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Asian","ONS 5+2","Mean","United Kingdom","312","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income AHC, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Other","ONS 5+2","Mean","United Kingdom","343","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Net income AHC, £ per week","2008/09; 2009/10; 2010/11","3-Year average","Mixed/Multiple and Other","ONS 5+2","Mean","United Kingdom","333","£","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
