"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Gender","Gender_type","Age_Group","Age_Group_type","Geography","Geography_type","Number of arrests","Population by ethnicity, gender, and PFA (based on 2011 Census)","Rate per 1,000 population by ethnicity, gender, and PFA","Proportion of arrests of this ethnicity, in this year, of this gender and in this police force area (excludes unreported)"
"Number of arrests","2009/10","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Thames Valley","Police Force Area","1,965","28,138","69.83","4.49%"
"Number of arrests","2009/10","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Thames Valley","Police Force Area","508"," N/A "," N/A ","N/A"
"Number of arrests","2009/10","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Thames Valley","Police Force Area","33,746","947,841","35.6","77.07%"
"Number of arrests","2009/10","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Warwickshire","Police Force Area","340","11,305","30.08","4.58%"
"Number of arrests","2009/10","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Warwickshire","Police Force Area","243","2,293","105.97","3.27%"
"Number of arrests","2009/10","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Warwickshire","Police Force Area","48","2,289","20.97","0.65%"
"Number of arrests","2009/10","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Warwickshire","Police Force Area","212","3,993","53.09","2.85%"
"Number of arrests","2009/10","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Warwickshire","Police Force Area","83"," N/A "," N/A ","N/A"
"Number of arrests","2009/10","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Warwickshire","Police Force Area","6,583","249,196","26.42","88.65%"
"Number of arrests","2009/10","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","West Mercia","Police Force Area","668","10,832","61.67","3.36%"
"Number of arrests","2009/10","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","West Mercia","Police Force Area","418","2,776","150.58","2.10%"
"Number of arrests","2009/10","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","West Mercia","Police Force Area","94","2,835","33.16","0.47%"
"Number of arrests","2009/10","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","West Mercia","Police Force Area","280","6,787","41.26","1.41%"
"Number of arrests","2009/10","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","West Mercia","Police Force Area","33"," N/A "," N/A ","N/A"
"Number of arrests","2009/10","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","West Mercia","Police Force Area","18,426","580,018","31.77","92.66%"
"Number of arrests","2009/10","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","West Midlands","Police Force Area","6,819","249,306","27.35","15.91%"
"Number of arrests","2009/10","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","West Midlands","Police Force Area","5,639","79,035","71.35","13.16%"
"Number of arrests","2009/10","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","West Midlands","Police Force Area","1,085","34,071","31.85","2.53%"
"Number of arrests","2009/10","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","West Midlands","Police Force Area","2,133","47,934","44.5","4.98%"
"Number of arrests","2009/10","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","West Midlands","Police Force Area","941"," N/A "," N/A ","N/A"
"Number of arrests","2009/10","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","West Midlands","Police Force Area","27,175","936,604","29.01","63.42%"
"Number of arrests","2009/10","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","West Yorkshire","Police Force Area","6,406","141,376","45.31","12.54%"
"Number of arrests","2009/10","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","West Yorkshire","Police Force Area","2,106","23,679","88.94","4.12%"
"Number of arrests","2009/10","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","West Yorkshire","Police Force Area","545","17,188","31.71","1.07%"
"Number of arrests","2009/10","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","West Yorkshire","Police Force Area","2,062","24,418","84.45","4.04%"
"Number of arrests","2009/10","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","West Yorkshire","Police Force Area","1,940"," N/A "," N/A ","N/A"
"Number of arrests","2009/10","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","West Yorkshire","Police Force Area","39,982","886,603","45.1","78.24%"
"Number of arrests","2009/10","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Wiltshire","Police Force Area","165","8,879","18.58","2.08%"
"Number of arrests","2009/10","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Wiltshire","Police Force Area","335","3,178","105.41","4.23%"
"Number of arrests","2009/10","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Wiltshire","Police Force Area","58","1,891","30.67","0.73%"
"Number of arrests","2009/10","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Wiltshire","Police Force Area","180","5,024","35.83","2.27%"
"Number of arrests","2009/10","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Wiltshire","Police Force Area","139"," N/A "," N/A ","N/A"
"Number of arrests","2009/10","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Wiltshire","Police Force Area","7,180","317,400","22.62","90.68%"
"Number of arrests","2010/11","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Avon & Somerset","Police Force Area","617","16,660","37.03","2.09%"
"Number of arrests","2010/11","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Avon & Somerset","Police Force Area","1,666","15,701","106.11","5.64%"
"Number of arrests","2010/11","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Avon & Somerset","Police Force Area","175","7,933","22.06","0.59%"
"Number of arrests","2010/11","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Avon & Somerset","Police Force Area","853","14,023","60.83","2.89%"
"Number of arrests","2010/11","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Avon & Somerset","Police Force Area","289"," N/A "," N/A ","N/A"
"Number of arrests","2010/11","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Avon & Somerset","Police Force Area","26,230","732,109","35.83","88.79%"
"Number of arrests","2010/11","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Bedfordshire","Police Force Area","1,828","41,827","43.7","14.43%"
"Number of arrests","2010/11","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Bedfordshire","Police Force Area","1,381","14,626","94.42","10.90%"
"Number of arrests","2010/11","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Bedfordshire","Police Force Area","146","4,810","30.35","1.15%"
"Number of arrests","2010/11","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Bedfordshire","Police Force Area","686","9,322","73.59","5.41%"
"Number of arrests","2010/11","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Bedfordshire","Police Force Area","78"," N/A "," N/A ","N/A"
"Number of arrests","2010/11","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Bedfordshire","Police Force Area","8,629","234,725","36.76","68.11%"
"Number of arrests","2010/11","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Cambridgeshire","Police Force Area","831","20,025","41.5","5.32%"
"Number of arrests","2010/11","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Cambridgeshire","Police Force Area","700","5,343","131.01","4.48%"
"Number of arrests","2010/11","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Cambridgeshire","Police Force Area","119","6,679","17.82","0.76%"
"Number of arrests","2010/11","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Cambridgeshire","Police Force Area","459","8,197","56","2.94%"
"Number of arrests","2010/11","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Cambridgeshire","Police Force Area","730"," N/A "," N/A ","N/A"
"Number of arrests","2010/11","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Cambridgeshire","Police Force Area","13,514","360,175","37.52","86.50%"
"Number of arrests","2010/11","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Cheshire","Police Force Area","235","6,333","37.11","1.51%"
"Number of arrests","2010/11","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Cheshire","Police Force Area","245","1,870","131.02","1.57%"
"Number of arrests","2010/11","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Cheshire","Police Force Area","110","2,624","41.92","0.71%"
"Number of arrests","2010/11","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Cheshire","Police Force Area","120","5,246","22.87","0.77%"
"Number of arrests","2010/11","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Cheshire","Police Force Area","74"," N/A "," N/A ","N/A"
"Number of arrests","2010/11","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Cheshire","Police Force Area","14,853","487,590","30.46","95.44%"
"Number of arrests","2010/11","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Cleveland","Police Force Area","510","8,893","57.35","2.73%"
"Number of arrests","2010/11","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Cleveland","Police Force Area","201","1,700","118.24","1.07%"
"Number of arrests","2010/11","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Cleveland","Police Force Area","127","2,529","50.22","0.68%"
"Number of arrests","2010/11","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Cleveland","Police Force Area","171","2,947","58.03","0.91%"
"Number of arrests","2010/11","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Cleveland","Police Force Area","23"," N/A "," N/A ","N/A"
"Number of arrests","2010/11","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Cleveland","Police Force Area","17,702","256,151","69.11","94.61%"
"Number of arrests","2010/11","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Cumbria","Police Force Area","46","1,425","32.28","0.54%"
"Number of arrests","2010/11","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Cumbria","Police Force Area","27","323","83.59","0.32%"
"Number of arrests","2010/11","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Cumbria","Police Force Area","18","827","21.77","0.21%"
"Number of arrests","2010/11","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Cumbria","Police Force Area","23","1,203","19.12","0.27%"
"Number of arrests","2010/11","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Cumbria","Police Force Area","3"," N/A "," N/A ","N/A"
"Number of arrests","2010/11","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Cumbria","Police Force Area","8,382","242,287","34.6","98.66%"
"Number of arrests","2010/11","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Derbyshire","Police Force Area","936","18,457","50.71","5.24%"
"Number of arrests","2010/11","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Derbyshire","Police Force Area","571","5,087","112.25","3.20%"
"Number of arrests","2010/11","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Derbyshire","Police Force Area","167","4,083","40.9","0.93%"
"Number of arrests","2010/11","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Derbyshire","Police Force Area","465","7,198","64.6","2.60%"
"Number of arrests","2010/11","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Derbyshire","Police Force Area","19"," N/A "," N/A ","N/A"
"Number of arrests","2010/11","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Derbyshire","Police Force Area","15,732","467,007","33.69","88.03%"
"Number of arrests","2010/11","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Devon & Cornwall","Police Force Area","210","5,526","38","0.91%"
"Number of arrests","2010/11","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Devon & Cornwall","Police Force Area","308","2,180","141.28","1.34%"
"Number of arrests","2010/11","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Devon & Cornwall","Police Force Area","93","4,855","19.16","0.40%"
"Number of arrests","2010/11","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Devon & Cornwall","Police Force Area","245","8,016","30.56","1.06%"
"Number of arrests","2010/11","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Devon & Cornwall","Police Force Area","156"," N/A "," N/A ","N/A"
"Number of arrests","2010/11","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Devon & Cornwall","Police Force Area","22,176","789,869","28.08","96.28%"
"Number of arrests","2010/11","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Dorset","Police Force Area","146","5,421","26.93","1.29%"
"Number of arrests","2010/11","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Dorset","Police Force Area","336","1,872","179.49","2.97%"
"Number of arrests","2010/11","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Dorset","Police Force Area","73","3,061","23.85","0.65%"
"Number of arrests","2010/11","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Dorset","Police Force Area","213","4,878","43.67","1.88%"
"Number of arrests","2010/11","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Dorset","Police Force Area","205"," N/A "," N/A ","N/A"
"Number of arrests","2010/11","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Dorset","Police Force Area","10,535","349,546","30.14","93.21%"
"Number of arrests","2010/11","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Durham","Police Force Area","143","2,447","58.44","0.88%"
"Number of arrests","2010/11","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Durham","Police Force Area","72","545","132.11","0.44%"
"Number of arrests","2010/11","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Durham","Police Force Area","60","1,472","40.76","0.37%"
"Number of arrests","2010/11","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Durham","Police Force Area","107","2,160","49.54","0.66%"
"Number of arrests","2010/11","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Durham","Police Force Area","54"," N/A "," N/A ","N/A"
"Number of arrests","2010/11","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Durham","Police Force Area","15,798","296,139","53.35","97.64%"
"Number of arrests","2010/11","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Dyfed-Powys","Police Force Area","46","2,124","21.66","0.48%"
"Number of arrests","2010/11","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Dyfed-Powys","Police Force Area","70","449","155.9","0.72%"
"Number of arrests","2010/11","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Dyfed-Powys","Police Force Area","28","1,085","25.81","0.29%"
"Number of arrests","2010/11","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Dyfed-Powys","Police Force Area","22","1,628","13.51","0.23%"
"Number of arrests","2010/11","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Dyfed-Powys","Police Force Area","7"," N/A "," N/A ","N/A"
"Number of arrests","2010/11","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Dyfed-Powys","Police Force Area","9,516","247,850","38.39","98.29%"
"Number of arrests","2010/11","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Essex","Police Force Area","828","18,710","44.25","2.57%"
"Number of arrests","2010/11","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Essex","Police Force Area","1,812","17,082","106.08","5.63%"
"Number of arrests","2010/11","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Essex","Police Force Area","271","7,754","34.95","0.84%"
"Number of arrests","2010/11","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Essex","Police Force Area","743","13,868","53.58","2.31%"
"Number of arrests","2010/11","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Essex","Police Force Area","245"," N/A "," N/A ","N/A"
"Number of arrests","2010/11","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Essex","Police Force Area","28,557","785,607","36.35","88.66%"
"Number of arrests","2010/11","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Gloucestershire","Police Force Area","177","5,053","35.03","2.26%"
"Number of arrests","2010/11","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Gloucestershire","Police Force Area","394","2,559","153.97","5.03%"
"Number of arrests","2010/11","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Gloucestershire","Police Force Area","75","1,402","53.5","0.96%"
"Number of arrests","2010/11","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Gloucestershire","Police Force Area","262","4,312","60.76","3.34%"
"Number of arrests","2010/11","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Gloucestershire","Police Force Area","375"," N/A "," N/A ","N/A"
"Number of arrests","2010/11","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Gloucestershire","Police Force Area","6,926","279,260","24.8","88.41%"
"Number of arrests","2010/11","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Greater Manchester","Police Force Area","4,627","125,846","36.77","8.08%"
"Number of arrests","2010/11","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Greater Manchester","Police Force Area","3,046","37,168","81.95","5.32%"
"Number of arrests","2010/11","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Greater Manchester","Police Force Area","621","28,808","21.56","1.08%"
"Number of arrests","2010/11","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Greater Manchester","Police Force Area","2,031","30,265","67.11","3.55%"
"Number of arrests","2010/11","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Greater Manchester","Police Force Area","1,295"," N/A "," N/A ","N/A"
"Number of arrests","2010/11","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Greater Manchester","Police Force Area","46,938","1,103,368","42.54","81.97%"
"Number of arrests","2010/11","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Gwent","Police Force Area","404","5,173","78.1","3.36%"
"Number of arrests","2010/11","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Gwent","Police Force Area","226","1,789","126.33","1.88%"
"Number of arrests","2010/11","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Gwent","Police Force Area","83","2,063","40.23","0.69%"
"Number of arrests","2010/11","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Gwent","Police Force Area","149","2,832","52.61","1.24%"
"Number of arrests","2010/11","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Gwent","Police Force Area","3"," N/A "," N/A ","N/A"
"Number of arrests","2010/11","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Gwent","Police Force Area","11,164","270,853","41.22","92.83%"
"Number of arrests","2010/11","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Hampshire","Police Force Area","809","28,777","28.11","2.35%"
"Number of arrests","2010/11","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Hampshire","Police Force Area","1,147","9,202","124.65","3.33%"
"Number of arrests","2010/11","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Hampshire","Police Force Area","364","11,080","32.85","1.06%"
"Number of arrests","2010/11","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Hampshire","Police Force Area","637","15,831","40.24","1.85%"
"Number of arrests","2010/11","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Hampshire","Police Force Area","631"," N/A "," N/A ","N/A"
"Number of arrests","2010/11","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Hampshire","Police Force Area","31,518","870,126","36.22","91.42%"
"Number of arrests","2010/11","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Hertfordshire","Police Force Area","961","32,070","29.97","5.40%"
"Number of arrests","2010/11","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Hertfordshire","Police Force Area","1,459","15,423","94.6","8.19%"
"Number of arrests","2010/11","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Hertfordshire","Police Force Area","187","7,760","24.1","1.05%"
"Number of arrests","2010/11","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Hertfordshire","Police Force Area","810","13,658","59.31","4.55%"
"Number of arrests","2010/11","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Hertfordshire","Police Force Area","1,014"," N/A "," N/A ","N/A"
"Number of arrests","2010/11","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Hertfordshire","Police Force Area","14,387","478,199","30.09","80.81%"
"Number of arrests","2010/11","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Humberside","Police Force Area","407","6,360","63.99","1.96%"
"Number of arrests","2010/11","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Humberside","Police Force Area","282","2,490","113.25","1.36%"
"Number of arrests","2010/11","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Humberside","Police Force Area","168","4,147","40.51","0.81%"
"Number of arrests","2010/11","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Humberside","Police Force Area","191","4,304","44.38","0.92%"
"Number of arrests","2010/11","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Humberside","Police Force Area","116"," N/A "," N/A ","N/A"
"Number of arrests","2010/11","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Humberside","Police Force Area","19,672","435,377","45.18","94.94%"
"Number of arrests","2010/11","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Kent","Police Force Area","898","27,497","32.66","3.18%"
"Number of arrests","2010/11","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Kent","Police Force Area","1,218","11,341","107.4","4.31%"
"Number of arrests","2010/11","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Kent","Police Force Area","747","8,021","93.13","2.64%"
"Number of arrests","2010/11","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Kent","Police Force Area","417","13,841","30.13","1.47%"
"Number of arrests","2010/11","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Kent","Police Force Area","1,698"," N/A "," N/A ","N/A"
"Number of arrests","2010/11","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Kent","Police Force Area","24,992","785,738","31.81","88.40%"
"Number of arrests","2010/11","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Lancashire","Police Force Area","1,878","54,702","34.33","5.18%"
"Number of arrests","2010/11","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Lancashire","Police Force Area","214","2,957","72.37","0.59%"
"Number of arrests","2010/11","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Lancashire","Police Force Area","49","5,727","8.56","0.14%"
"Number of arrests","2010/11","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Lancashire","Police Force Area","689","8,225","83.77","1.90%"
"Number of arrests","2010/11","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Lancashire","Police Force Area","138"," N/A "," N/A ","N/A"
"Number of arrests","2010/11","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Lancashire","Police Force Area","33,424","646,857","51.67","92.19%"
"Number of arrests","2010/11","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Leicestershire","Police Force Area","2,371","77,517","30.59","12.93%"
"Number of arrests","2010/11","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Leicestershire","Police Force Area","1,276","12,135","105.15","6.96%"
"Number of arrests","2010/11","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Leicestershire","Police Force Area","227","10,054","22.58","1.24%"
"Number of arrests","2010/11","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Leicestershire","Police Force Area","596","10,276","58","3.25%"
"Number of arrests","2010/11","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Leicestershire","Police Force Area","23"," N/A "," N/A ","N/A"
"Number of arrests","2010/11","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Leicestershire","Police Force Area","13,868","393,233","35.27","75.62%"
"Number of arrests","2010/11","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Lincolnshire","Police Force Area","119","2,691","44.22","1.00%"
"Number of arrests","2010/11","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Lincolnshire","Police Force Area","134","1,385","96.75","1.12%"
"Number of arrests","2010/11","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Lincolnshire","Police Force Area","160","1,414","113.15","1.34%"
"Number of arrests","2010/11","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Lincolnshire","Police Force Area","116","3,081","37.65","0.97%"
"Number of arrests","2010/11","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Lincolnshire","Police Force Area","149"," N/A "," N/A ","N/A"
"Number of arrests","2010/11","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Lincolnshire","Police Force Area","11,427","339,034","33.7","95.58%"
