"Title","Household income"
"Location","United Kingdom"
"Time period","2013/14 to 2015/16"
"Data source","Department for Work and Pensions"
"Data source link","https://www.gov.uk/government/statistics/family-resources-survey-financial-year-201516"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","16 March 2017"
"Measure","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value","Denominator","Numerator","Upper bound","Lower bound","Note"
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2010/11-2012/13","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","26","2,479","","","",""
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","491","","","",""
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","491","","","",""
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","13","491","","","",""
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","14","491","","","",""
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","491","","","",""
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","11","491","","","",""
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","491","","","",""
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","491","","","",""
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","491","","","",""
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","4","491","","","",""
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","18","491","","","",""
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","2,454","","","",""
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","2,454","","","",""
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","2,454","","","",""
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","11","2,454","","","",""
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","11","2,454","","","",""
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","11","2,454","","","",""
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","2,454","","","",""
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","2,454","","","",""
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","2,454","","","",""
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","4","2,454","","","",""
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","25","2,454","","","",""
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","1,047","","","",""
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","4","1,047","","","",""
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","1,047","","","",""
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","1,047","","","",""
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","1,047","","","",""
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","10","1,047","","","",""
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","1,047","","","",""
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","1,047","","","",""
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","1,047","","","",""
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","1,047","","","",""
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2010/11-2012/13","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","33","1,047","","","",""
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","570","","","",""
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","570","","","",""
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","11","570","","","",""
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","14","570","","","",""
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","16","570","","","",""
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","13","570","","","",""
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","11","570","","","",""
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","570","","","",""
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","4","570","","","",""
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","570","","","",""
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2010/11-2012/13","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","15","570","","","",""
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","228","","","",""
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","228","","","",""
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","228","","","",""
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","16","228","","","",""
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","16","228","","","",""
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","13","228","","","",""
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","228","","","",""
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","228","","","",""
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","228","","","",""
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","228","","","",""
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2010/11-2012/13","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","228","","","",""
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","213","","","",""
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","213","","","",""
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","10","213","","","",""
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","213","","","",""
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","213","","","",""
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","213","","","",""
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","213","","","",""
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","213","","","",""
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","213","","","",""
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","213","","","",""
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2010/11-2012/13","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","27","213","","","",""
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","396","","","",""
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","396","","","",""
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","396","","","",""
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","12","396","","","",""
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","396","","","",""
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","396","","","",""
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","396","","","",""
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","396","","","",""
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","396","","","",""
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","4","396","","","",""
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2010/11-2012/13","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","24","396","","","",""
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","1,355","","","",""
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","1,355","","","",""
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","15","1,355","","","",""
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","15","1,355","","","",""
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","11","1,355","","","",""
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","1,355","","","",""
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","1,355","","","",""
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","1,355","","","",""
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","1,355","","","",""
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","1,355","","","",""
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2010/11-2012/13","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","15","1,355","","","",""
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","600","","","",""
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","10","600","","","",""
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","11","600","","","",""
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","12","600","","","",""
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","10","600","","","",""
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","600","","","",""
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","10","600","","","",""
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","600","","","",""
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","4","600","","","",""
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","4","600","","","",""
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2010/11-2012/13","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","20","600","","","",""
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","61,106","","","",""
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","61,106","","","",""
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","12","61,106","","","",""
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","12","61,106","","","",""
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","11","61,106","","","",""
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","61,106","","","",""
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","61,106","","","",""
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","61,106","","","",""
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","61,106","","","",""
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","61,106","","","",""
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2011/12-2013/14","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","23","61,106","","","",""
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","56,608","","","",""
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","56,608","","","",""
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","13","56,608","","","",""
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","13","56,608","","","",""
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","11","56,608","","","",""
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","56,608","","","",""
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","56,608","","","",""
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","56,608","","","",""
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","56,608","","","",""
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","56,608","","","",""
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2011/12-2013/14","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","23","56,608","","","",""
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","54,352","","","",""
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","54,352","","","",""
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","13","54,352","","","",""
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","13","54,352","","","",""
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","11","54,352","","","",""
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","54,352","","","",""
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","54,352","","","",""
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","54,352","","","",""
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","54,352","","","",""
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","54,352","","","",""
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2011/12-2013/14","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","23","54,352","","","",""
"Percentages of households with incomes of  Less than 
£100 a week by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","2,256","","","",""
"Percentages of households with incomes of  £100 but 
less than 
£200 by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","2,256","","","",""
"Percentages of households with incomes of  £200 but 
less than 
£300 by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","2,256","","","",""
"Percentages of households with incomes of  £300 but 
less than 
£400 by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","11","2,256","","","",""
"Percentages of households with incomes of  £400 but 
less than 
£500 by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","10","2,256","","","",""
"Percentages of households with incomes of  £500 but 
less than 
£600 by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","2,256","","","",""
"Percentages of households with incomes of  £600 but 
less than 
£700 by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","2,256","","","",""
"Percentages of households with incomes of  £700 but 
less than 
£800 by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","2,256","","","",""
"Percentages of households with incomes of  £800 but 
less than 
£900 by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","2,256","","","",""
"Percentages of households with incomes of  £900 but less than £1,000  by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","2,256","","","",""
"Percentages of households with incomes of  £1,000 or more  by ethnic group of head","2011/12-2013/14","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","27","2,256","","","",""
