"Title","Employment by sector"
"Time period","2004 to 2016"
"Location","United Kingdom"
"Source","Annual Population Survey"
"Department","Department for Business, Energy & Industrial Strategy"
"Last update","n/a"
"
"
Measure,Time,Time_type,Ethnicity,Ethnicity_type,Industry,Value,Value, Denominator , Numerator ,Conf,Note
"Proportion of ethnic group who are employed, split by industry",2004,Year,All,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),1.0,," 28,156,000 "," 271,600 ",0.0,
"Proportion of ethnic group who are employed, split by industry",2006,Year,All,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",14.1,," 28,801,000 "," 4,075,200 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2006,Year,All,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",28.6,," 28,801,000 "," 8,234,500 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2006,Year,All,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),5.3,," 28,801,000 "," 1,536,700 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2006,Year,Black or Black British,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),0.1,," 579,500 ", 700 ,*,* Estimate and confidence interval unreliable since the group sample size is small (3-9).
"Proportion of ethnic group who are employed, split by industry",2006,Year,Black or Black British,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",0.7,," 579,500 "," 4,200 ",0.5,
"Proportion of ethnic group who are employed, split by industry",2006,Year,Black or Black British,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),6.2,," 579,500 "," 36,000 ",1.5,
"Proportion of ethnic group who are employed, split by industry",2006,Year,Black or Black British,ONS defined grouping (NOMIS),F:construction (SIC 2007),5.1,," 579,500 "," 29,400 ",1.4,
"Proportion of ethnic group who are employed, split by industry",2006,Year,Black or Black British,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",15.2,," 579,500 "," 88,300 ",2.3,
"Proportion of ethnic group who are employed, split by industry",2006,Year,Black or Black British,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),87.9,," 579,500 "," 509,200 ",2.1,
"Proportion of ethnic group who are employed, split by industry",2006,Year,Black or Black British,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",11.4,," 579,500 "," 66,000 ",2,
"Proportion of ethnic group who are employed, split by industry",2006,Year,Black or Black British,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",14.7,," 579,500 "," 85,100 ",2.2,
"Proportion of ethnic group who are employed, split by industry",2006,Year,Black or Black British,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",41.5,," 579,500 "," 240,400 ",3.1,
"Proportion of ethnic group who are employed, split by industry",2006,Year,Black or Black British,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),5.1,," 579,500 "," 29,500 ",1.4,
"Proportion of ethnic group who are employed, split by industry",2006,Year,Indian,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),?,," 593,400 ", ? ,?,? Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2).
"Proportion of ethnic group who are employed, split by industry",2006,Year,Indian,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",0.9,," 593,400 "," 5,100 ",0.5,
"Proportion of ethnic group who are employed, split by industry",2006,Year,Indian,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),12.5,," 593,400 "," 73,900 ",1.9,
"Proportion of ethnic group who are employed, split by industry",2006,Year,Indian,ONS defined grouping (NOMIS),F:construction (SIC 2007),4.3,," 593,400 "," 25,800 ",1.2,
"Proportion of ethnic group who are employed, split by industry",2006,Year,Indian,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",23,," 593,400 "," 136,200 ",2.5,
"Proportion of ethnic group who are employed, split by industry",2006,Year,Indian,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),82.3,," 593,400 "," 488,300 ",2.2,
"Proportion of ethnic group who are employed, split by industry",2006,Year,Indian,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",13.4,," 593,400 "," 79,600 ",2,
"Proportion of ethnic group who are employed, split by industry",2006,Year,Indian,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",16.1,," 593,400 "," 95,800 ",2.2,
"Proportion of ethnic group who are employed, split by industry",2006,Year,Indian,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",26.9,," 593,400 "," 159,700 ",2.6,
"Proportion of ethnic group who are employed, split by industry",2006,Year,Indian,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),2.9,," 593,400 "," 17,000 ",1,
"Proportion of ethnic group who are employed, split by industry",2006,Year,Mixed,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),0.4,," 182,400 ", 700 ,*,* Estimate and confidence interval unreliable since the group sample size is small (3-9).
"Proportion of ethnic group who are employed, split by industry",2006,Year,Mixed,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",1.7,," 182,400 "," 3,100 ",1.4,
"Proportion of ethnic group who are employed, split by industry",2006,Year,Mixed,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),9.2,," 182,400 "," 16,800 ",3.1,
"Proportion of ethnic group who are employed, split by industry",2006,Year,Mixed,ONS defined grouping (NOMIS),F:construction (SIC 2007),4.7,," 182,400 "," 8,600 ",2.3,
"Proportion of ethnic group who are employed, split by industry",2006,Year,Mixed,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",23.8,," 182,400 "," 43,400 ",4.6,
"Proportion of ethnic group who are employed, split by industry",2006,Year,Mixed,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),84,," 182,400 "," 153,200 ",3.9,
"Proportion of ethnic group who are employed, split by industry",2006,Year,Mixed,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",10.7,," 182,400 "," 19,500 ",3.3,
"Proportion of ethnic group who are employed, split by industry",2006,Year,Mixed,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",14.8,," 182,400 "," 26,900 ",3.8,
"Proportion of ethnic group who are employed, split by industry",2006,Year,Mixed,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",29.3,," 182,400 "," 53,400 ",4.9,
"Proportion of ethnic group who are employed, split by industry",2006,Year,Mixed,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),5.5,," 182,400 "," 10,000 ",2.4,
"Proportion of ethnic group who are employed, split by industry",2006,Year,Other,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),0.1,," 638,400 ", 900 ,*,* Estimate and confidence interval unreliable since the group sample size is small (3-9).
"Proportion of ethnic group who are employed, split by industry",2006,Year,Other,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",0.6,," 638,400 "," 4,000 ",0.5,
"Proportion of ethnic group who are employed, split by industry",2006,Year,Other,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),9.3,," 638,400 "," 59,700 ",1.7,
"Proportion of ethnic group who are employed, split by industry",2006,Year,Other,ONS defined grouping (NOMIS),F:construction (SIC 2007),4.5,," 638,400 "," 29,000 ",1.2,
"Proportion of ethnic group who are employed, split by industry",2006,Year,Other,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",26.9,," 638,400 "," 171,800 ",2.6,
"Proportion of ethnic group who are employed, split by industry",2006,Year,Other,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),85.3,," 638,400 "," 544,800 ",2,
"Proportion of ethnic group who are employed, split by industry",2006,Year,Other,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",10.6,," 638,400 "," 67,600 ",1.8,
"Proportion of ethnic group who are employed, split by industry",2006,Year,Other,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",14.3,," 638,400 "," 91,400 ",2,
"Proportion of ethnic group who are employed, split by industry",2006,Year,Other,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",28.4,," 638,400 "," 181,500 ",2.6,
"Proportion of ethnic group who are employed, split by industry",2006,Year,Other,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),5.1,," 638,400 "," 32,400 ",1.3,
"Proportion of ethnic group who are employed, split by industry",2006,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),?,," 347,400 ", ? ,?,? Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2).
"Proportion of ethnic group who are employed, split by industry",2006,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",0.5,," 347,400 "," 1,600 ",*,* Estimate and confidence interval unreliable since the group sample size is small (3-9).
"Proportion of ethnic group who are employed, split by industry",2006,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),9.6,," 347,400 "," 33,300 ",2.3,
"Proportion of ethnic group who are employed, split by industry",2006,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),F:construction (SIC 2007),2.7,," 347,400 "," 9,300 ",1.3,
"Proportion of ethnic group who are employed, split by industry",2006,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",33.6,," 347,400 "," 116,600 ",3.7,
"Proportion of ethnic group who are employed, split by industry",2006,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),87.2,," 347,400 "," 303,100 ",2.6,
"Proportion of ethnic group who are employed, split by industry",2006,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",19,," 347,400 "," 65,900 ",3,
"Proportion of ethnic group who are employed, split by industry",2006,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",13.6,," 347,400 "," 47,300 ",2.7,
"Proportion of ethnic group who are employed, split by industry",2006,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",18.9,," 347,400 "," 65,500 ",3,
"Proportion of ethnic group who are employed, split by industry",2006,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),2.2,," 347,400 "," 7,800 ",1.1,
"Proportion of ethnic group who are employed, split by industry",2006,Year,White,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),1.1,," 26,442,900 "," 293,200 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2006,Year,White,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",1.6,," 26,442,900 "," 421,200 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2006,Year,White,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),12.6,," 26,442,900 "," 3,325,300 ",0.3,
"Proportion of ethnic group who are employed, split by industry",2006,Year,White,ONS defined grouping (NOMIS),F:construction (SIC 2007),9.1,," 26,442,900 "," 2,409,200 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2006,Year,White,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",18.4,," 26,442,900 "," 4,872,300 ",0.3,
"Proportion of ethnic group who are employed, split by industry",2006,Year,White,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),75.6,," 26,442,900 "," 19,994,000 ",0.3,
"Proportion of ethnic group who are employed, split by industry",2006,Year,White,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",9.2,," 26,442,900 "," 2,426,400 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2006,Year,White,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",14.1,," 26,442,900 "," 3,726,100 ",0.3,
"Proportion of ethnic group who are employed, split by industry",2006,Year,White,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",28.5,," 26,442,900 "," 7,530,400 ",0.4,
"Proportion of ethnic group who are employed, split by industry",2006,Year,White,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),5.4,," 26,442,900 "," 1,438,800 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2007,Year,All,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),1.0,," 29,105,600 "," 295,700 ",0.0,
"Proportion of ethnic group who are employed, split by industry",2007,Year,All,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",1.6,," 29,105,600 "," 474,800 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2007,Year,All,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),12.2,," 29,105,600 "," 3,539,400 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2007,Year,All,ONS defined grouping (NOMIS),F:construction (SIC 2007),8.7,," 29,105,600 "," 2,539,400 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2007,Year,All,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",18.7,," 29,105,600 "," 5,432,600 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2007,Year,All,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),76.5,," 29,105,600 "," 22,256,300 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2007,Year,All,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",9.4,," 29,105,600 "," 2,741,500 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2007,Year,All,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",14.8,," 29,105,600 "," 4,295,400 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2007,Year,All,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",28.3,," 29,105,600 "," 8,233,800 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2007,Year,All,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),5.3,," 29,105,600 "," 1,552,900 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2007,Year,Black or Black British,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),0.2,," 613,100 "," 1,300 ",*,* Estimate and confidence interval unreliable since the group sample size is small (3-9).
"Proportion of ethnic group who are employed, split by industry",2007,Year,Black or Black British,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",1.1,," 613,100 "," 6,600 ",0.6,
"Proportion of ethnic group who are employed, split by industry",2007,Year,Black or Black British,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),7.2,," 613,100 "," 43,900 ",1.6,
"Proportion of ethnic group who are employed, split by industry",2007,Year,Black or Black British,ONS defined grouping (NOMIS),F:construction (SIC 2007),5.6,," 613,100 "," 34,200 ",1.4,
"Proportion of ethnic group who are employed, split by industry",2007,Year,Black or Black British,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",14.3,," 613,100 "," 87,500 ",2.2,
"Proportion of ethnic group who are employed, split by industry",2007,Year,Black or Black British,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),86,," 613,100 "," 527,200 ",2.1,
"Proportion of ethnic group who are employed, split by industry",2007,Year,Black or Black British,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",10.7,," 613,100 "," 65,900 ",1.9,
"Proportion of ethnic group who are employed, split by industry",2007,Year,Black or Black British,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",16.1,," 613,100 "," 98,800 ",2.3,
"Proportion of ethnic group who are employed, split by industry",2007,Year,Black or Black British,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",40.2,," 613,100 "," 246,400 ",3,
"Proportion of ethnic group who are employed, split by industry",2007,Year,Black or Black British,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),4.7,," 613,100 "," 28,600 ",1.3,
"Proportion of ethnic group who are employed, split by industry",2007,Year,Indian,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),?,," 610,300 ", ? ,?,? Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2).
"Proportion of ethnic group who are employed, split by industry",2007,Year,Indian,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",1.6,," 610,300 "," 9,700 ",0.7,
"Proportion of ethnic group who are employed, split by industry",2007,Year,Indian,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),13.6,," 610,300 "," 82,800 ",2,
"Proportion of ethnic group who are employed, split by industry",2007,Year,Indian,ONS defined grouping (NOMIS),F:construction (SIC 2007),4.3,," 610,300 "," 26,400 ",1.2,
"Proportion of ethnic group who are employed, split by industry",2007,Year,Indian,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",21.1,," 610,300 "," 129,000 ",2.4,
"Proportion of ethnic group who are employed, split by industry",2007,Year,Indian,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),80.5,," 610,300 "," 491,200 ",2.3,
"Proportion of ethnic group who are employed, split by industry",2007,Year,Indian,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",12.9,," 610,300 "," 78,700 ",2,
"Proportion of ethnic group who are employed, split by industry",2007,Year,Indian,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",18.3,," 610,300 "," 111,400 ",2.3,
"Proportion of ethnic group who are employed, split by industry",2007,Year,Indian,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",25.9,," 610,300 "," 158,300 ",2.6,
"Proportion of ethnic group who are employed, split by industry",2007,Year,Indian,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),2.3,," 610,300 "," 13,800 ",0.9,
"Proportion of ethnic group who are employed, split by industry",2007,Year,Mixed,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),0.4,," 193,400 ", 800 ,*,* Estimate and confidence interval unreliable since the group sample size is small (3-9).
"Proportion of ethnic group who are employed, split by industry",2007,Year,Mixed,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",1.2,," 193,400 "," 2,300 ",1.2,
"Proportion of ethnic group who are employed, split by industry",2007,Year,Mixed,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),7.7,," 193,400 "," 14,900 ",2.8,
"Proportion of ethnic group who are employed, split by industry",2007,Year,Mixed,ONS defined grouping (NOMIS),F:construction (SIC 2007),6.1,," 193,400 "," 11,700 ",2.5,
"Proportion of ethnic group who are employed, split by industry",2007,Year,Mixed,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",23.1,," 193,400 "," 44,700 ",4.4,
"Proportion of ethnic group who are employed, split by industry",2007,Year,Mixed,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),84.6,," 193,400 "," 163,500 ",3.8,
"Proportion of ethnic group who are employed, split by industry",2007,Year,Mixed,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",9.5,," 193,400 "," 18,400 ",3.1,
"Proportion of ethnic group who are employed, split by industry",2007,Year,Mixed,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",16.2,," 193,400 "," 31,400 ",3.9,
"Proportion of ethnic group who are employed, split by industry",2007,Year,Mixed,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",28.4,," 193,400 "," 54,900 ",4.8,
"Proportion of ethnic group who are employed, split by industry",2007,Year,Mixed,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),7.4,," 193,400 "," 14,300 ",2.8,
"Proportion of ethnic group who are employed, split by industry",2007,Year,Other,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),0.2,," 716,300 "," 1,600 ",*,* Estimate and confidence interval unreliable since the group sample size is small (3-9).
"Proportion of ethnic group who are employed, split by industry",2007,Year,Other,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",0.9,," 716,300 "," 6,400 ",0.5,
"Proportion of ethnic group who are employed, split by industry",2007,Year,Other,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),10.2,," 716,300 "," 73,400 ",1.7,
"Proportion of ethnic group who are employed, split by industry",2007,Year,Other,ONS defined grouping (NOMIS),F:construction (SIC 2007),3.8,," 716,300 "," 27,200 ",1.1,
"Proportion of ethnic group who are employed, split by industry",2007,Year,Other,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",27.4,," 716,300 "," 196,300 ",2.5,
"Proportion of ethnic group who are employed, split by industry",2007,Year,Other,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),84.8,," 716,300 "," 607,700 ",2,
"Proportion of ethnic group who are employed, split by industry",2007,Year,Other,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",10.4,," 716,300 "," 74,400 ",1.7,
"Proportion of ethnic group who are employed, split by industry",2007,Year,Other,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",15.5,," 716,300 "," 111,400 ",2,
"Proportion of ethnic group who are employed, split by industry",2007,Year,Other,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",27,," 716,300 "," 193,600 ",2.5,
"Proportion of ethnic group who are employed, split by industry",2007,Year,Other,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),4.5,," 716,300 "," 32,000 ",1.2,
"Proportion of ethnic group who are employed, split by industry",2007,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),?,," 365,400 ", ? ,?,? Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2).
"Proportion of ethnic group who are employed, split by industry",2007,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",1,," 365,400 "," 3,600 ",0.8,
"Proportion of ethnic group who are employed, split by industry",2007,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),9.2,," 365,400 "," 33,700 ",2.2,
"Proportion of ethnic group who are employed, split by industry",2007,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),F:construction (SIC 2007),2,," 365,400 "," 7,400 ",1.1,
"Proportion of ethnic group who are employed, split by industry",2007,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",32,," 365,400 "," 117,000 ",3.6,
"Proportion of ethnic group who are employed, split by industry",2007,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),87.6,," 365,400 "," 320,200 ",2.5,
"Proportion of ethnic group who are employed, split by industry",2007,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",20.4,," 365,400 "," 74,700 ",3.1,
"Proportion of ethnic group who are employed, split by industry",2007,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",14.7,," 365,400 "," 53,800 ",2.7,
"Proportion of ethnic group who are employed, split by industry",2007,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",18.7,," 365,400 "," 68,200 ",3,
"Proportion of ethnic group who are employed, split by industry",2007,Year,Pakistani/Bangladeshi,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),1.8,," 365,400 "," 6,500 ",1,
"Proportion of ethnic group who are employed, split by industry",2007,Year,White,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),1.1,," 26,590,600 "," 291,200 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2007,Year,White,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",1.7,," 26,590,600 "," 446,200 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2007,Year,White,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),12.4,," 26,590,600 "," 3,290,100 ",0.3,
"Proportion of ethnic group who are employed, split by industry",2007,Year,White,ONS defined grouping (NOMIS),F:construction (SIC 2007),9.1,," 26,590,600 "," 2,431,700 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2007,Year,White,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",18.3,," 26,590,600 "," 4,854,900 ",0.3,
"Proportion of ethnic group who are employed, split by industry",2007,Year,White,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),75.7,," 26,590,600 "," 20,131,500 ",0.3,
"Proportion of ethnic group who are employed, split by industry",2007,Year,White,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",9.1,," 26,590,600 "," 2,426,400 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2007,Year,White,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",14.6,," 26,590,600 "," 3,885,900 ",0.3,
"Proportion of ethnic group who are employed, split by industry",2007,Year,White,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",28.2,," 26,590,600 "," 7,507,600 ",0.4,
"Proportion of ethnic group who are employed, split by industry",2007,Year,White,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),5.5,," 26,590,600 "," 1,456,800 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2008,Year,All,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),1.1,," 29,259,500 "," 334,600 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2008,Year,All,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",1.7,," 29,259,500 "," 492,000 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2008,Year,All,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),11.5,," 29,259,500 "," 3,359,500 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2008,Year,All,ONS defined grouping (NOMIS),F:construction (SIC 2007),8.8,," 29,259,500 "," 2,584,200 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2008,Year,All,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",18.8,," 29,259,500 "," 5,508,700 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2008,Year,All,ONS defined grouping (NOMIS),G-Q:total services (SIC 2007),76.9,," 29,259,500 "," 22,489,100 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2008,Year,All,ONS defined grouping (NOMIS),"H,J:transport & comms. (SIC 2007)",9.4,," 29,259,500 "," 2,761,000 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2008,Year,All,ONS defined grouping (NOMIS),"K-N:banking, finance & ins. (SIC 2007)",14.6,," 29,259,500 "," 4,271,100 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2008,Year,All,ONS defined grouping (NOMIS),"O-Q:pub. admin, educ. & health (SIC 2007)",28.6,," 29,259,500 "," 8,376,400 ",0.2,
"Proportion of ethnic group who are employed, split by industry",2008,Year,All,ONS defined grouping (NOMIS),R-U:other services (SIC 2007),5.4,," 29,259,500 "," 1,572,000 ",0.1,
"Proportion of ethnic group who are employed, split by industry",2008,Year,Black or Black British,ONS defined grouping (NOMIS),A:agriculture & fishing (SIC 2007),0.2,," 622,200 "," 1,200 ",*,* Estimate and confidence interval unreliable since the group sample size is small (3-9).
"Proportion of ethnic group who are employed, split by industry",2008,Year,Black or Black British,ONS defined grouping (NOMIS),"B,D,E:energy & water (SIC 2007)",1.5,," 622,200 "," 9,200 ",0.7,
"Proportion of ethnic group who are employed, split by industry",2008,Year,Black or Black British,ONS defined grouping (NOMIS),C:manufacturing (SIC 2007),6.2,," 622,200 "," 38,600 ",1.5,
"Proportion of ethnic group who are employed, split by industry",2008,Year,Black or Black British,ONS defined grouping (NOMIS),F:construction (SIC 2007),5.5,," 622,200 "," 34,000 ",1.4,
"Proportion of ethnic group who are employed, split by industry",2008,Year,Black or Black British,ONS defined grouping (NOMIS),"G,I:distn. hotels & rests. (SIC 2007)",15.9,," 622,200 "," 99,000 ",2.2,
