"Title","A* to C in English and Maths GCSE by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19 January 2017 (revised)"

"Standard Ethnicity","Local authority","%","Pupils"
"White","North Yorkshire","67","5,886"
"White","Rotherham","62","2,980"
"White","Sheffield","61","4,001"
"White","Wakefield","64","3,407"
"White","York","68","1,511"
"White","Derby","55","2,015"
"White","Derbyshire","62","7,297"
"White","Leicester","44","1,149"
"White","Leicestershire","64","6,108"
"White","Lincolnshire","62","7,464"
"White","Northamptonshire","59","6,612"
"White","Nottingham","46","1,528"
"White","Nottinghamshire","66","7,243"
"White","Rutland","77","472"
"White","Birmingham","61","4,492"
"White","Coventry","58","2,275"
"White","Dudley","56","2,974"
"White","Herefordshire, County of","62","1,681"
"White","Sandwell","46","1,986"
"White","Shropshire","63","2,857"
"White","Solihull","66","2,375"
"White","Staffordshire","60","8,176"
"White","Stoke-on-Trent","55","1,801"
"White","Telford and Wrekin","59","1,769"
"White","Walsall","55","2,306"
"White","Warwickshire","67","5,003"
"White","Wolverhampton","56","1,457"
"White","Worcestershire","65","5,183"
"White","Bedford","59","1,308"
"White","Cambridgeshire","67","5,139"
"White","Central Bedfordshire","65","2,376"
"White","Essex","64","13,142"
"White","Hertfordshire","69","10,336"
"White","Luton","52","937"
"White","Norfolk","61","7,551"
"White","Peterborough","54","1,698"
"White","Southend-on-Sea","67","1,649"
"White","Suffolk","60","6,440"
"White","Thurrock","59","1,385"
"White","Camden","65","549"
"White","City of London","N/A","N/A"
"White","Hackney","73","687"
"White","Hammersmith and Fulham","75","624"
"White","Haringey","65","1,005"
"White","Islington","60","506"
"White","Kensington and Chelsea","76","297"
"White","Lambeth","69","491"
"White","Lewisham","54","698"
"White","Newham","54","582"
"White","Southwark","66","685"
"White","Tower Hamlets","52","316"
"White","Wandsworth","71","571"
"White","Westminster","78","483"
"White","Barking and Dagenham","55","1,051"
"White","Barnet","72","1,835"
"White","Bexley","62","2,183"
"White","Brent","59","579"
"White","Bromley","74","2,419"
"White","Croydon","63","1,534"
"White","Ealing","66","826"
"White","Enfield","61","1,754"
"White","Greenwich","55","1,071"
"White","Harrow","62","610"
"White","Havering","64","2,237"
"White","Hillingdon","61","1,479"
"White","Hounslow","66","951"
"White","Kingston upon Thames","75","871"
"White","Merton","70","734"
"White","Redbridge","69","903"
"White","Richmond upon Thames","73","1,025"
"White","Sutton","71","1,623"
"White","Waltham Forest","63","969"
"White","Bracknell Forest","60","946"
"White","Brighton and Hove","65","1,802"
"White","Buckinghamshire","75","4,220"
"White","East Sussex","63","4,532"
"White","Hampshire","67","12,110"
"White","Isle of Wight","52","1,249"
"White","Kent","62","14,022"
"White","Medway","64","2,508"
"White","Milton Keynes","59","1,994"
"White","Oxfordshire","67","5,136"
"White","Portsmouth","57","1,515"
"White","Reading","62","711"
"White","Slough","63","497"
"White","Southampton","54","1,593"
"White","Surrey","70","8,958"
"White","West Berkshire","66","1,704"
"White","West Sussex","65","7,316"
"White","Windsor and Maidenhead","73","1,119"
"White","Wokingham","75","1,231"
"White","Bath and North East Somerset","70","1,863"
"White","Bournemouth","66","1,429"
"White","Bristol, City of","60","2,316"
"White","Cornwall","64","5,232"
"White","Devon","65","6,726"
"White","Dorset","65","3,933"
"White","Gloucestershire","66","5,882"
"White","Isles of Scilly","67","21"
"White","North Somerset","63","2,043"
"White","Plymouth","57","2,489"
"White","Poole","68","1,338"
"White","Somerset","63","4,933"
"White","South Gloucestershire","60","2,530"
"White","Swindon","60","1,756"
"White","Torbay","65","1,335"
"White","Wiltshire","66","4,582"
