"Title","GCSE-level exam results (‘Attainment 8’) by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19 January 2017 (revised)"

"Standard Ethnicity","Local authority","Score","Pupils"
"White","Derby","46","2,015"
"White","Derbyshire","49","7,297"
"White","Leicester","40","1,149"
"White","Leicestershire","49","6,108"
"White","Lincolnshire","50","7,464"
"White","Northamptonshire","48","6,612"
"White","Nottingham","43","1,528"
"White","Nottinghamshire","51","7,243"
"White","Rutland","55","472"
"White","Birmingham","49","4,492"
"White","Coventry","47","2,275"
"White","Dudley","48","2,974"
"White","Herefordshire, County of","49","1,681"
"White","Sandwell","43","1,986"
"White","Shropshire","51","2,857"
"White","Solihull","52","2,375"
"White","Staffordshire","49","8,176"
"White","Stoke-on-Trent","47","1,801"
"White","Telford and Wrekin","49","1,769"
"White","Walsall","47","2,306"
"White","Warwickshire","52","5,003"
"White","Wolverhampton","46","1,457"
"White","Worcestershire","51","5,183"
"White","Bedford","50","1,308"
"White","Cambridgeshire","51","5,139"
"White","Central Bedfordshire","49","2,376"
"White","Essex","50","13,142"
"White","Hertfordshire","53","10,336"
"White","Luton","46","937"
"White","Norfolk","49","7,551"
"White","Peterborough","46","1,698"
"White","Southend-on-Sea","52","1,649"
"White","Suffolk","49","6,440"
"White","Thurrock","47","1,385"
"White","Camden","52","549"
"White","City of London","N/A","N/A"
"White","Hackney","55","687"
"White","Hammersmith and Fulham","57","624"
"White","Haringey","52","1,005"
"White","Islington","50","506"
"White","Kensington and Chelsea","58","297"
"White","Lambeth","53","491"
"White","Lewisham","47","698"
"White","Newham","46","582"
"White","Southwark","53","685"
"White","Tower Hamlets","46","316"
"White","Wandsworth","53","571"
"White","Westminster","58","483"
"White","Barking and Dagenham","47","1,051"
"White","Barnet","55","1,835"
"White","Bexley","50","2,183"
"White","Brent","49","579"
"White","Bromley","54","2,419"
"White","Croydon","50","1,534"
"White","Ealing","52","826"
"White","Enfield","50","1,754"
"White","Greenwich","47","1,071"
"White","Harrow","52","610"
"White","Havering","50","2,237"
"White","Hillingdon","48","1,479"
"White","Hounslow","53","951"
"White","Kingston upon Thames","56","871"
"White","Merton","52","734"
"White","Redbridge","52","903"
"White","Richmond upon Thames","55","1,025"
"White","Sutton","55","1,623"
"White","Waltham Forest","51","969"
"White","Bracknell Forest","51","946"
"White","Brighton and Hove","50","1,802"
"White","Buckinghamshire","56","4,220"
"White","East Sussex","49","4,532"
"White","Hampshire","51","12,110"
"White","Isle of Wight","44","1,249"
"White","Kent","50","14,022"
"White","Medway","49","2,508"
"White","Milton Keynes","48","1,994"
"White","Oxfordshire","51","5,136"
"White","Portsmouth","46","1,515"
"White","Reading","50","711"
"White","Slough","51","497"
"White","Southampton","46","1,593"
"White","Surrey","53","8,958"
"White","West Berkshire","52","1,704"
"White","West Sussex","51","7,316"
"White","Windsor and Maidenhead","53","1,119"
"White","Wokingham","54","1,231"
"White","Bath and North East Somerset","52","1,863"
"White","Bournemouth","50","1,429"
"White","Bristol, City of","48","2,316"
"White","Cornwall","50","5,232"
"White","Devon","50","6,726"
"White","Dorset","50","3,933"
"White","Gloucestershire","52","5,882"
"White","Isles of Scilly","49","21"
"White","North Somerset","50","2,043"
"White","Plymouth","48","2,489"
"White","Poole","52","1,338"
"White","Somerset","50","4,933"
"White","South Gloucestershire","48","2,530"
"White","Swindon","48","1,756"
"White","Torbay","52","1,335"
"White","Wiltshire","51","4,582"
