"Title","Fire and rescue services workforce"
"Location","England"
"Time period","2011 to 2017"
"Data source","Home Office"
"Data source link","https://www.gov.uk/government/statistics/fire-and-rescue-workforce-and-pensions-statistics-england-april-2016-to-march-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-09-13"
"Ethnicity","Area","Type","Value","Value_type","Headcount"
"Asian","Hampshire","Total firefighters","0.3","%","4"
"Asian","Hampshire","Wholetime firefighters","0.5","%","3"
"Asian","Hereford and Worcester","Fire Control","0","%","0"
"Asian","Hereford and Worcester","Retained Duty System firefighters","0.5","%","2"
"Asian","Hereford and Worcester","Support Staff","0","%","0"
"Asian","Hereford and Worcester","Total Staff","0.3","%","2"
"Asian","Hereford and Worcester","Total firefighters","0.3","%","2"
"Asian","Hereford and Worcester","Wholetime firefighters","0","%","0"
"Asian","Hertfordshire","Fire Control","0","%","0"
"Asian","Hertfordshire","Retained Duty System firefighters","0","%","0"
"Asian","Hertfordshire","Support Staff","1.9","%","3"
"Asian","Hertfordshire","Total Staff","0.5","%","4"
"Asian","Hertfordshire","Total firefighters","0.2","%","1"
"Asian","Hertfordshire","Wholetime firefighters","0.2","%","1"
"Asian","Humberside","Fire Control","0","%","0"
"Asian","Humberside","Retained Duty System firefighters","0","%","0"
"Asian","Humberside","Support Staff","0.5","%","1"
"Asian","Humberside","Total Staff","0.1","%","1"
"Asian","Humberside","Total firefighters","0","%","0"
"Asian","Humberside","Wholetime firefighters","0","%","0"
"Asian","Isle Of Wight","Fire Control","N.A","%","0"
"Asian","Isle Of Wight","Retained Duty System firefighters","0","%","0"
"Asian","Isle Of Wight","Support Staff","0","%","0"
"Asian","Isle Of Wight","Total Staff","0","%","0"
"Asian","Isle Of Wight","Total firefighters","0","%","0"
"Asian","Isle Of Wight","Wholetime firefighters","0","%","0"
"Asian","Isles of Scilly","Fire Control","N.A","%","0"
"Asian","Isles of Scilly","Retained Duty System firefighters","0","%","0"
"Asian","Isles of Scilly","Support Staff","N.A","%","0"
"Asian","Isles of Scilly","Total Staff","0","%","0"
"Asian","Isles of Scilly","Total firefighters","0","%","0"
"Asian","Isles of Scilly","Wholetime firefighters","N.A","%","0"
"Asian","Kent","Fire Control","0","%","0"
"Asian","Kent","Retained Duty System firefighters","0","%","0"
"Asian","Kent","Support Staff","3.1","%","6"
"Asian","Kent","Total Staff","0.7","%","7"
"Asian","Kent","Total firefighters","?","%","1"
"Asian","Kent","Wholetime firefighters","0.2","%","1"
"Asian","Lancashire","Fire Control","0","%","0"
"Asian","Lancashire","Retained Duty System firefighters","1.3","%","5"
"Asian","Lancashire","Support Staff","2.9","%","6"
"Asian","Lancashire","Total Staff","1.2","%","14"
"Asian","Lancashire","Total firefighters","0.8","%","8"
"Asian","Lancashire","Wholetime firefighters","0.5","%","3"
"Asian","Leicestershire","Fire Control","9.1","%","2"
"Asian","Leicestershire","Retained Duty System firefighters","0.5","%","1"
"Asian","Leicestershire","Support Staff","4.3","%","5"
"Asian","Leicestershire","Total Staff","1.6","%","11"
"Asian","Leicestershire","Total firefighters","0.7","%","4"
"Asian","Leicestershire","Wholetime firefighters","0.9","%","3"
"Asian","Lincolnshire","Fire Control","0","%","0"
"Asian","Lincolnshire","Retained Duty System firefighters","0.5","%","2"
"Asian","Lincolnshire","Support Staff","0","%","0"
"Asian","Lincolnshire","Total Staff","0.4","%","3"
"Asian","Lincolnshire","Total firefighters","0.5","%","3"
"Asian","Lincolnshire","Wholetime firefighters","0.6","%","1"
"Asian","Merseyside","Fire Control","0","%","0"
"Asian","Merseyside","Retained Duty System firefighters","0","%","0"
"Asian","Merseyside","Support Staff","0.7","%","2"
"Asian","Merseyside","Total Staff","0.2","%","2"
"Asian","Merseyside","Total firefighters","0","%","0"
"Asian","Merseyside","Wholetime firefighters","0","%","0"
"Asian","Metropolitan fire and rescue authorities","Fire Control","0","%","0"
"Asian","Metropolitan fire and rescue authorities","Retained Duty System firefighters","0.2","%","1"
"Asian","Metropolitan fire and rescue authorities","Support Staff","4.7","%","121"
"Asian","Metropolitan fire and rescue authorities","Total Staff","1.7","%","229"
"Asian","Metropolitan fire and rescue authorities","Total firefighters","1","%","108"
"Asian","Metropolitan fire and rescue authorities","Wholetime firefighters","1.1","%","107"
"Asian","Non Metropolitan fire and rescue authorities","Fire Control","0.4","%","3"
"Asian","Non Metropolitan fire and rescue authorities","Retained Duty System firefighters","0.2","%","19"
"Asian","Non Metropolitan fire and rescue authorities","Support Staff","1.5","%","61"
"Asian","Non Metropolitan fire and rescue authorities","Total Staff","0.5","%","127"
"Asian","Non Metropolitan fire and rescue authorities","Total firefighters","0.3","%","63"
"Asian","Non Metropolitan fire and rescue authorities","Wholetime firefighters","0.4","%","44"
"Asian","Norfolk","Fire Control","0","%","0"
"Asian","Norfolk","Retained Duty System firefighters","0","%","0"
"Asian","Norfolk","Support Staff","0","%","0"
"Asian","Norfolk","Total Staff","0","%","0"
"Asian","Norfolk","Total firefighters","0","%","0"
"Asian","Norfolk","Wholetime firefighters","0","%","0"
"Asian","North West Fire Control","Fire Control","1.6","%","1"
"Asian","North West Fire Control","Retained Duty System firefighters","N.A","%","0"
"Asian","North West Fire Control","Support Staff","0","%","0"
"Asian","North West Fire Control","Total Staff","1.5","%","1"
"Asian","North West Fire Control","Total firefighters","N.A","%","0"
"Asian","North West Fire Control","Wholetime firefighters","N.A","%","0"
"Asian","North Yorkshire","Fire Control","0","%","0"
"Asian","North Yorkshire","Retained Duty System firefighters","0.8","%","2"
"Asian","North Yorkshire","Support Staff","1.1","%","1"
"Asian","North Yorkshire","Total Staff","0.5","%","3"
"Asian","North Yorkshire","Total firefighters","0.4","%","2"
"Asian","North Yorkshire","Wholetime firefighters","0","%","0"
"Asian","Northamptonshire","Fire Control","0","%","0"
"Asian","Northamptonshire","Retained Duty System firefighters","0","%","0"
"Asian","Northamptonshire","Support Staff","4.4","%","2"
"Asian","Northamptonshire","Total Staff","0.5","%","2"
"Asian","Northamptonshire","Total firefighters","0","%","0"
"Asian","Northamptonshire","Wholetime firefighters","0","%","0"
"Asian","Northumberland","Fire Control","0","%","0"
"Asian","Northumberland","Retained Duty System firefighters","0","%","0"
"Asian","Northumberland","Support Staff","0","%","0"
"Asian","Northumberland","Total Staff","0","%","0"
"Asian","Northumberland","Total firefighters","0","%","0"
"Asian","Northumberland","Wholetime firefighters","0","%","0"
"Asian","Nottinghamshire","Fire Control","0","%","0"
"Asian","Nottinghamshire","Retained Duty System firefighters","0.4","%","1"
"Asian","Nottinghamshire","Support Staff","2","%","3"
"Asian","Nottinghamshire","Total Staff","0.8","%","7"
"Asian","Nottinghamshire","Total firefighters","0.6","%","4"
"Asian","Nottinghamshire","Wholetime firefighters","0.7","%","3"
"Asian","Oxfordshire","Fire Control","N.A","%","0"
"Asian","Oxfordshire","Retained Duty System firefighters","0","%","0"
"Asian","Oxfordshire","Support Staff","2.7","%","2"
"Asian","Oxfordshire","Total Staff","0.3","%","2"
"Asian","Oxfordshire","Total firefighters","0","%","0"
"Asian","Oxfordshire","Wholetime firefighters","0","%","0"
"Asian","Shropshire","Fire Control","0","%","0"
"Asian","Shropshire","Retained Duty System firefighters","0","%","0"
"Asian","Shropshire","Support Staff","3.1","%","2"
"Asian","Shropshire","Total Staff","0.5","%","2"
"Asian","Shropshire","Total firefighters","0","%","0"
"Asian","Shropshire","Wholetime firefighters","0","%","0"
"Asian","South Yorkshire","Fire Control","0","%","0"
"Asian","South Yorkshire","Retained Duty System firefighters","0","%","0"
"Asian","South Yorkshire","Support Staff","1.5","%","3"
"Asian","South Yorkshire","Total Staff","0.5","%","4"
"Asian","South Yorkshire","Total firefighters","0.2","%","1"
"Asian","South Yorkshire","Wholetime firefighters","0.2","%","1"
"Asian","Staffordshire","Fire Control","N.A","%","0"
"Asian","Staffordshire","Retained Duty System firefighters","N.A","%","0"
"Asian","Staffordshire","Support Staff","N.A","%","0"
"Asian","Staffordshire","Total Staff","17.7","%","3"
"Asian","Staffordshire","Total firefighters","?","%","3"
"Asian","Staffordshire","Wholetime firefighters","17.7","%","3"
"Asian","Suffolk","Fire Control","N.A","%","0"
"Asian","Suffolk","Retained Duty System firefighters","0","%","0"
"Asian","Suffolk","Support Staff","1.4","%","1"
"Asian","Suffolk","Total Staff","0.3","%","2"
"Asian","Suffolk","Total firefighters","0.2","%","1"
"Asian","Suffolk","Wholetime firefighters","0.5","%","1"
"Asian","Surrey","Fire Control","0","%","0"
"Asian","Surrey","Retained Duty System firefighters","0","%","0"
"Asian","Surrey","Support Staff","1.6","%","1"
"Asian","Surrey","Total Staff","0.8","%","5"
"Asian","Surrey","Total firefighters","0.7","%","4"
"Asian","Surrey","Wholetime firefighters","0.9","%","4"
"Asian","Tyne and Wear","Fire Control","0","%","0"
"Asian","Tyne and Wear","Retained Duty System firefighters","0","%","0"
"Asian","Tyne and Wear","Support Staff","2.3","%","4"
"Asian","Tyne and Wear","Total Staff","1.2","%","10"
"Asian","Tyne and Wear","Total firefighters","0.9","%","6"
"Asian","Tyne and Wear","Wholetime firefighters","1","%","6"
"Asian","Warwickshire","Fire Control","0","%","0"
"Asian","Warwickshire","Retained Duty System firefighters","1.1","%","1"
"Asian","Warwickshire","Support Staff","0","%","0"
"Asian","Warwickshire","Total Staff","1.1","%","4"
"Asian","Warwickshire","Total firefighters","1.4","%","4"
"Asian","Warwickshire","Wholetime firefighters","1.5","%","3"
"Asian","West Midlands","Fire Control","0","%","0"
"Asian","West Midlands","Retained Duty System firefighters","0","%","0"
"Asian","West Midlands","Support Staff","9","%","40"
"Asian","West Midlands","Total Staff","3","%","56"
"Asian","West Midlands","Total firefighters","1.2","%","16"
"Asian","West Midlands","Wholetime firefighters","1.2","%","16"
"Asian","West Sussex","Fire Control","N.A","%","0"
"Asian","West Sussex","Retained Duty System firefighters","0","%","0"
"Asian","West Sussex","Support Staff","0","%","0"
"Asian","West Sussex","Total Staff","0","%","0"
"Asian","West Sussex","Total firefighters","0","%","0"
"Asian","West Sussex","Wholetime firefighters","0","%","0"
"Asian","West Yorkshire","Fire Control","0","%","0"
"Asian","West Yorkshire","Retained Duty System firefighters","0.7","%","1"
"Asian","West Yorkshire","Support Staff","4.6","%","13"
"Asian","West Yorkshire","Total Staff","2","%","29"
"Asian","West Yorkshire","Total firefighters","1.4","%","16"
"Asian","West Yorkshire","Wholetime firefighters","1.5","%","15"
"Black","Avon","Fire Control","0","%","0"
"Black","Avon","Retained Duty System firefighters","0","%","0"
"Black","Avon","Support Staff","0","%","0"
"Black","Avon","Total Staff","0.6","%","5"
"Black","Avon","Total firefighters","0.8","%","5"
"Black","Avon","Wholetime firefighters","1.1","%","5"
"Black","Bedfordshire","Fire Control","9.1","%","1"
"Black","Bedfordshire","Retained Duty System firefighters","0","%","0"
"Black","Bedfordshire","Support Staff","4","%","4"
"Black","Bedfordshire","Total Staff","1.9","%","7"
"Black","Bedfordshire","Total firefighters","?","%","2"
"Black","Bedfordshire","Wholetime firefighters","1.1","%","2"
"Black","Berkshire","Fire Control","3","%","1"
"Black","Berkshire","Retained Duty System firefighters","0","%","0"
"Black","Berkshire","Support Staff","3.5","%","4"
"Black","Berkshire","Total Staff","1.4","%","8"
"Black","Berkshire","Total firefighters","0.7","%","3"
"Black","Berkshire","Wholetime firefighters","0.8","%","3"
"Black","Buckinghamshire","Fire Control","N.A","%","0"
"Black","Buckinghamshire","Retained Duty System firefighters","0","%","0"
"Black","Buckinghamshire","Support Staff","1","%","1"
"Black","Buckinghamshire","Total Staff","0.7","%","3"
"Black","Buckinghamshire","Total firefighters","0.6","%","2"
"Black","Buckinghamshire","Wholetime firefighters","0.9","%","2"
"Black","Cambridgeshire","Fire Control","0","%","0"
"Black","Cambridgeshire","Retained Duty System firefighters","1.4","%","3"
"Black","Cambridgeshire","Support Staff","0.8","%","1"
"Black","Cambridgeshire","Total Staff","1.4","%","9"
"Black","Cambridgeshire","Total firefighters","1.7","%","8"
"Black","Cambridgeshire","Wholetime firefighters","1.9","%","5"
"Black","Cheshire","Fire Control","N.A","%","0"
"Black","Cheshire","Retained Duty System firefighters","0.8","%","2"
"Black","Cheshire","Support Staff","0","%","0"
"Black","Cheshire","Total Staff","0.3","%","3"
"Black","Cheshire","Total firefighters","0.5","%","3"
"Black","Cheshire","Wholetime firefighters","0.3","%","1"
"Black","Cleveland","Fire Control","0","%","0"
"Black","Cleveland","Retained Duty System firefighters","0","%","0"
"Black","Cleveland","Support Staff","0","%","0"
"Black","Cleveland","Total Staff","0.3","%","2"
"Black","Cleveland","Total firefighters","0.5","%","2"
"Black","Cleveland","Wholetime firefighters","0.6","%","2"
"Black","Cornwall","Fire Control","0","%","0"
"Black","Cornwall","Retained Duty System firefighters","0.3","%","1"
"Black","Cornwall","Support Staff","0.9","%","1"
"Black","Cornwall","Total Staff","0.5","%","3"
"Black","Cornwall","Total firefighters","0.4","%","2"
"Black","Cornwall","Wholetime firefighters","0.6","%","1"
"Black","Cumbria","Fire Control","N.A","%","0"
"Black","Cumbria","Retained Duty System firefighters","0","%","0"
"Black","Cumbria","Support Staff","0","%","0"
"Black","Cumbria","Total Staff","0.2","%","1"
"Black","Cumbria","Total firefighters","0.2","%","1"
"Black","Cumbria","Wholetime firefighters","0.5","%","1"
"Black","Derbyshire","Fire Control","3.9","%","1"
"Black","Derbyshire","Retained Duty System firefighters","0","%","0"
"Black","Derbyshire","Support Staff","0","%","0"
"Black","Derbyshire","Total Staff","0.1","%","1"
"Black","Derbyshire","Total firefighters","0","%","0"
"Black","Derbyshire","Wholetime firefighters","0","%","0"
"Black","Devon and Somerset","Fire Control","0","%","0"
"Black","Devon and Somerset","Retained Duty System firefighters","0","%","0"
"Black","Devon and Somerset","Support Staff","0","%","0"
"Black","Devon and Somerset","Total Staff","0","%","0"
"Black","Devon and Somerset","Total firefighters","0","%","0"
"Black","Devon and Somerset","Wholetime firefighters","0","%","0"
"Black","Dorset and Wiltshire","Fire Control","0","%","0"
"Black","Dorset and Wiltshire","Retained Duty System firefighters","0.4","%","2"
"Black","Dorset and Wiltshire","Support Staff","0","%","0"
"Black","Dorset and Wiltshire","Total Staff","0.4","%","5"
"Black","Dorset and Wiltshire","Total firefighters","0.5","%","5"
"Black","Dorset and Wiltshire","Wholetime firefighters","0.7","%","3"
"Black","Durham","Fire Control","0","%","0"
"Black","Durham","Retained Duty System firefighters","0.6","%","1"
"Black","Durham","Support Staff","0","%","0"
"Black","Durham","Total Staff","0.5","%","3"
"Black","Durham","Total firefighters","0.6","%","3"
"Black","Durham","Wholetime firefighters","0.7","%","2"
"Black","East Sussex","Fire Control","0","%","0"
"Black","East Sussex","Retained Duty System firefighters","0.3","%","1"
"Black","East Sussex","Support Staff","0","%","0"
"Black","East Sussex","Total Staff","0.1","%","1"
"Black","East Sussex","Total firefighters","0.2","%","1"
"Black","East Sussex","Wholetime firefighters","0","%","0"
"Black","England","Fire Control","0.9","%","9"
"Black","England","Retained Duty System firefighters","0.2","%","21"
"Black","England","Support Staff","2.6","%","173"
"Black","England","Total Staff","1.6","%","610"
"Black","England","Total firefighters","1.4","%","428"
"Black","England","Wholetime firefighters","1.9","%","407"
"Black","Essex","Fire Control","0","%","0"
"Black","Essex","Retained Duty System firefighters","0","%","0"
"Black","Essex","Support Staff","0.6","%","1"
"Black","Essex","Total Staff","0.3","%","2"
"Black","Essex","Total firefighters","?","%","1"
"Black","Essex","Wholetime firefighters","0.5","%","1"
"Black","Gloucestershire","Fire Control","0","%","0"
"Black","Gloucestershire","Retained Duty System firefighters","0","%","0"
"Black","Gloucestershire","Support Staff","0","%","0"
"Black","Gloucestershire","Total Staff","1.1","%","4"
"Black","Gloucestershire","Total firefighters","1.3","%","4"
"Black","Gloucestershire","Wholetime firefighters","2.8","%","4"
"Black","Greater London","Fire Control","4.9","%","5"
"Black","Greater London","Retained Duty System firefighters","N.A","%","0"
"Black","Greater London","Support Staff","15","%","117"
"Black","Greater London","Total Staff","6.9","%","381"
"Black","Greater London","Total firefighters","5.6","%","259"
"Black","Greater London","Wholetime firefighters","5.6","%","259"
"Black","Greater Manchester","Fire Control","N.A","%","0"
"Black","Greater Manchester","Retained Duty System firefighters","0","%","0"
"Black","Greater Manchester","Support Staff","2","%","8"
"Black","Greater Manchester","Total Staff","1.3","%","21"
"Black","Greater Manchester","Total firefighters","1.1","%","13"
"Black","Greater Manchester","Wholetime firefighters","1.1","%","13"
"Black","Hampshire","Fire Control","0","%","0"
"Black","Hampshire","Retained Duty System firefighters","0","%","0"
"Black","Hampshire","Support Staff","0","%","0"
"Black","Hampshire","Total Staff","0","%","0"
"Black","Hampshire","Total firefighters","0","%","0"
"Black","Hampshire","Wholetime firefighters","0","%","0"
"Black","Hereford and Worcester","Fire Control","0","%","0"
"Black","Hereford and Worcester","Retained Duty System firefighters","0.3","%","1"
"Black","Hereford and Worcester","Support Staff","1","%","1"
"Black","Hereford and Worcester","Total Staff","0.3","%","2"
"Black","Hereford and Worcester","Total firefighters","0.2","%","1"
"Black","Hereford and Worcester","Wholetime firefighters","0","%","0"
"Black","Hertfordshire","Fire Control","0","%","0"
"Black","Hertfordshire","Retained Duty System firefighters","0.6","%","1"
"Black","Hertfordshire","Support Staff","0","%","0"
"Black","Hertfordshire","Total Staff","0.6","%","5"
"Black","Hertfordshire","Total firefighters","0.8","%","5"
"Black","Hertfordshire","Wholetime firefighters","0.9","%","4"
"Black","Humberside","Fire Control","0","%","0"
"Black","Humberside","Retained Duty System firefighters","0.4","%","1"
"Black","Humberside","Support Staff","0","%","0"
"Black","Humberside","Total Staff","0.3","%","3"
"Black","Humberside","Total firefighters","0.4","%","3"
"Black","Humberside","Wholetime firefighters","0.4","%","2"
"Black","Isle Of Wight","Fire Control","N.A","%","0"
"Black","Isle Of Wight","Retained Duty System firefighters","0","%","0"
"Black","Isle Of Wight","Support Staff","0","%","0"
"Black","Isle Of Wight","Total Staff","0","%","0"
"Black","Isle Of Wight","Total firefighters","0","%","0"
"Black","Isle Of Wight","Wholetime firefighters","0","%","0"
"Black","Isles of Scilly","Fire Control","N.A","%","0"
"Black","Isles of Scilly","Retained Duty System firefighters","0","%","0"
"Black","Isles of Scilly","Support Staff","N.A","%","0"
"Black","Isles of Scilly","Total Staff","0","%","0"
"Black","Isles of Scilly","Total firefighters","0","%","0"
"Black","Isles of Scilly","Wholetime firefighters","N.A","%","0"
"Black","Kent","Fire Control","0","%","0"
"Black","Kent","Retained Duty System firefighters","0.3","%","1"
"Black","Kent","Support Staff","0","%","0"
"Black","Kent","Total Staff","0.2","%","2"
"Black","Kent","Total firefighters","?","%","2"
"Black","Kent","Wholetime firefighters","0.2","%","1"
"Black","Lancashire","Fire Control","0","%","0"
"Black","Lancashire","Retained Duty System firefighters","0.5","%","2"
"Black","Lancashire","Support Staff","0","%","0"
"Black","Lancashire","Total Staff","0.3","%","4"
"Black","Lancashire","Total firefighters","0.4","%","4"
"Black","Lancashire","Wholetime firefighters","0.3","%","2"
"Black","Leicestershire","Fire Control","0","%","0"
"Black","Leicestershire","Retained Duty System firefighters","0","%","0"
"Black","Leicestershire","Support Staff","0.9","%","1"
"Black","Leicestershire","Total Staff","0.6","%","4"
"Black","Leicestershire","Total firefighters","0.6","%","3"
"Black","Leicestershire","Wholetime firefighters","0.9","%","3"
"Black","Lincolnshire","Fire Control","0","%","0"
"Black","Lincolnshire","Retained Duty System firefighters","0","%","0"
"Black","Lincolnshire","Support Staff","0","%","0"
"Black","Lincolnshire","Total Staff","0.2","%","1"
"Black","Lincolnshire","Total firefighters","0.2","%","1"
"Black","Lincolnshire","Wholetime firefighters","0.6","%","1"
"Black","Merseyside","Fire Control","0","%","0"
"Black","Merseyside","Retained Duty System firefighters","0.9","%","3"
"Black","Merseyside","Support Staff","1.3","%","4"
"Black","Merseyside","Total Staff","1.1","%","14"
"Black","Merseyside","Total firefighters","1","%","10"
"Black","Merseyside","Wholetime firefighters","1.1","%","7"
"Black","Metropolitan fire and rescue authorities","Fire Control","2","%","6"
"Black","Metropolitan fire and rescue authorities","Retained Duty System firefighters","0.5","%","3"
"Black","Metropolitan fire and rescue authorities","Support Staff","6.1","%","157"
"Black","Metropolitan fire and rescue authorities","Total Staff","3.8","%","510"
"Black","Metropolitan fire and rescue authorities","Total firefighters","3.3","%","347"
"Black","Metropolitan fire and rescue authorities","Wholetime firefighters","3.4","%","344"
"Black","Non Metropolitan fire and rescue authorities","Fire Control","0.4","%","3"
"Black","Non Metropolitan fire and rescue authorities","Retained Duty System firefighters","0.2","%","18"
"Black","Non Metropolitan fire and rescue authorities","Support Staff","0.4","%","16"
"Black","Non Metropolitan fire and rescue authorities","Total Staff","0.4","%","100"
"Black","Non Metropolitan fire and rescue authorities","Total firefighters","0.4","%","81"
"Black","Non Metropolitan fire and rescue authorities","Wholetime firefighters","0.6","%","63"
"Black","Norfolk","Fire Control","0","%","0"
"Black","Norfolk","Retained Duty System firefighters","0","%","0"
"Black","Norfolk","Support Staff","0","%","0"
"Black","Norfolk","Total Staff","0.3","%","2"
"Black","Norfolk","Total firefighters","0.4","%","2"
"Black","Norfolk","Wholetime firefighters","1","%","2"
"Black","North West Fire Control","Fire Control","0","%","0"
"Black","North West Fire Control","Retained Duty System firefighters","N.A","%","0"
"Black","North West Fire Control","Support Staff","0","%","0"
"Black","North West Fire Control","Total Staff","0","%","0"
"Black","North West Fire Control","Total firefighters","N.A","%","0"
"Black","North West Fire Control","Wholetime firefighters","N.A","%","0"
"Black","North Yorkshire","Fire Control","0","%","0"
"Black","North Yorkshire","Retained Duty System firefighters","0","%","0"
"Black","North Yorkshire","Support Staff","0","%","0"
"Black","North Yorkshire","Total Staff","0","%","0"
"Black","North Yorkshire","Total firefighters","0","%","0"
"Black","North Yorkshire","Wholetime firefighters","0","%","0"
"Black","Northamptonshire","Fire Control","0","%","0"
"Black","Northamptonshire","Retained Duty System firefighters","0","%","0"
"Black","Northamptonshire","Support Staff","0","%","0"
"Black","Northamptonshire","Total Staff","0.2","%","1"
"Black","Northamptonshire","Total firefighters","0.3","%","1"
"Black","Northamptonshire","Wholetime firefighters","0.5","%","1"
"Black","Northumberland","Fire Control","0","%","0"
"Black","Northumberland","Retained Duty System firefighters","0","%","0"
"Black","Northumberland","Support Staff","0","%","0"
"Black","Northumberland","Total Staff","0","%","0"
"Black","Northumberland","Total firefighters","0","%","0"
"Black","Northumberland","Wholetime firefighters","0","%","0"
"Black","Nottinghamshire","Fire Control","0","%","0"
"Black","Nottinghamshire","Retained Duty System firefighters","0.8","%","2"
"Black","Nottinghamshire","Support Staff","1.3","%","2"
"Black","Nottinghamshire","Total Staff","0.8","%","7"
"Black","Nottinghamshire","Total firefighters","0.7","%","5"
"Black","Nottinghamshire","Wholetime firefighters","0.7","%","3"
"Black","Oxfordshire","Fire Control","N.A","%","0"
"Black","Oxfordshire","Retained Duty System firefighters","0","%","0"
"Black","Oxfordshire","Support Staff","0","%","0"
"Black","Oxfordshire","Total Staff","0.2","%","1"
"Black","Oxfordshire","Total firefighters","0.2","%","1"
"Black","Oxfordshire","Wholetime firefighters","0.4","%","1"
"Black","Shropshire","Fire Control","0","%","0"
"Black","Shropshire","Retained Duty System firefighters","0","%","0"
"Black","Shropshire","Support Staff","0","%","0"
"Black","Shropshire","Total Staff","0.5","%","2"
"Black","Shropshire","Total firefighters","0.5","%","2"
"Black","Shropshire","Wholetime firefighters","1.4","%","2"
"Black","South Yorkshire","Fire Control","0","%","0"
"Black","South Yorkshire","Retained Duty System firefighters","0","%","0"
"Black","South Yorkshire","Support Staff","2.5","%","5"
"Black","South Yorkshire","Total Staff","1.3","%","11"
"Black","South Yorkshire","Total firefighters","0.9","%","6"
"Black","South Yorkshire","Wholetime firefighters","1.1","%","6"
"Black","Staffordshire","Fire Control","N.A","%","0"
"Black","Staffordshire","Retained Duty System firefighters","N.A","%","0"
"Black","Staffordshire","Support Staff","N.A","%","0"
"Black","Staffordshire","Total Staff","17.7","%","3"
"Black","Staffordshire","Total firefighters","?","%","3"
"Black","Staffordshire","Wholetime firefighters","17.7","%","3"
"Black","Suffolk","Fire Control","N.A","%","0"
"Black","Suffolk","Retained Duty System firefighters","0","%","0"
"Black","Suffolk","Support Staff","0","%","0"
"Black","Suffolk","Total Staff","0.2","%","1"
"Black","Suffolk","Total firefighters","0.2","%","1"
"Black","Suffolk","Wholetime firefighters","0.5","%","1"
"Black","Surrey","Fire Control","0","%","0"
"Black","Surrey","Retained Duty System firefighters","0","%","0"
"Black","Surrey","Support Staff","0","%","0"
"Black","Surrey","Total Staff","0.3","%","2"
"Black","Surrey","Total firefighters","0.3","%","2"
"Black","Surrey","Wholetime firefighters","0.4","%","2"
"Black","Tyne and Wear","Fire Control","0","%","0"
"Black","Tyne and Wear","Retained Duty System firefighters","0","%","0"
"Black","Tyne and Wear","Support Staff","0","%","0"
"Black","Tyne and Wear","Total Staff","0.2","%","2"
"Black","Tyne and Wear","Total firefighters","0.3","%","2"
"Black","Tyne and Wear","Wholetime firefighters","0.3","%","2"
"Black","Warwickshire","Fire Control","0","%","0"
"Black","Warwickshire","Retained Duty System firefighters","0","%","0"
"Black","Warwickshire","Support Staff","0","%","0"
"Black","Warwickshire","Total Staff","0.8","%","3"
"Black","Warwickshire","Total firefighters","1","%","3"
"Black","Warwickshire","Wholetime firefighters","1.5","%","3"
"Black","West Midlands","Fire Control","1.6","%","1"
"Black","West Midlands","Retained Duty System firefighters","0","%","0"
"Black","West Midlands","Support Staff","5.2","%","23"
"Black","West Midlands","Total Staff","4.1","%","77"
"Black","West Midlands","Total firefighters","3.8","%","53"
"Black","West Midlands","Wholetime firefighters","3.8","%","53"
"Black","West Sussex","Fire Control","N.A","%","0"
"Black","West Sussex","Retained Duty System firefighters","0","%","0"
"Black","West Sussex","Support Staff","0","%","0"
"Black","West Sussex","Total Staff","0","%","0"
"Black","West Sussex","Total firefighters","0","%","0"
"Black","West Sussex","Wholetime firefighters","0","%","0"
"Black","West Yorkshire","Fire Control","0","%","0"
"Black","West Yorkshire","Retained Duty System firefighters","0","%","0"
"Black","West Yorkshire","Support Staff","0","%","0"
"Black","West Yorkshire","Total Staff","0.3","%","4"
"Black","West Yorkshire","Total firefighters","0.4","%","4"
"Black","West Yorkshire","Wholetime firefighters","0.4","%","4"
"Other inc Chinese","Avon","Fire Control","0","%","0"
"Other inc Chinese","Avon","Retained Duty System firefighters","0.5","%","1"
"Other inc Chinese","Avon","Support Staff","0.9","%","1"
"Other inc Chinese","Avon","Total Staff","0.4","%","3"
"Other inc Chinese","Avon","Total firefighters","0.3","%","2"
"Other inc Chinese","Avon","Wholetime firefighters","0.2","%","1"
"Other inc Chinese","Bedfordshire","Fire Control","0","%","0"
"Other inc Chinese","Bedfordshire","Retained Duty System firefighters","0","%","0"
"Other inc Chinese","Bedfordshire","Support Staff","2","%","2"
"Other inc Chinese","Bedfordshire","Total Staff","0.5","%","2"
"Other inc Chinese","Bedfordshire","Total firefighters","?","%","0"
"Other inc Chinese","Bedfordshire","Wholetime firefighters","0","%","0"
"Other inc Chinese","Berkshire","Fire Control","0","%","0"
"Other inc Chinese","Berkshire","Retained Duty System firefighters","0","%","0"
"Other inc Chinese","Berkshire","Support Staff","0.9","%","1"
"Other inc Chinese","Berkshire","Total Staff","0.3","%","2"
"Other inc Chinese","Berkshire","Total firefighters","0.2","%","1"
"Other inc Chinese","Berkshire","Wholetime firefighters","0.3","%","1"
"Other inc Chinese","Buckinghamshire","Fire Control","N.A","%","0"
"Other inc Chinese","Buckinghamshire","Retained Duty System firefighters","0","%","0"
"Other inc Chinese","Buckinghamshire","Support Staff","1","%","1"
"Other inc Chinese","Buckinghamshire","Total Staff","0.2","%","1"
"Other inc Chinese","Buckinghamshire","Total firefighters","0","%","0"
