"Title","Jobseeker’s Allowance: how long people claim for"
"Location","England, Wales and Scotland"
"Time period","May 2012 to April 2017"
"Data source","Department for Work and Pensions"
"Data source link","https://www.nomisweb.co.uk"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"
"Month","Ethnicity","Duration","Region","Caseload","Value","Value"
"Jul-2012","Black","over 104 weeks","Wales","70","8.0%",""
"Jul-2012","Asian","over 104 weeks","Wales","65","6.9%",""
"Jul-2012","Mixed","over 104 weeks","Wales","30","4.3%",""
"Jul-2012","Other","over 104 weeks","Wales","45","7.3%",""
"Jul-2012","Unreported","over 104 weeks","Wales","295","9.3%",""
"Jul-2012","All","All","West Midlands","163,110","100.0%",""
"Jul-2012","White","All","West Midlands","111,495","100.0%",""
"Jul-2012","Ethnic Minority","All","West Midlands","39,680","100.0%",""
"Jul-2012","White British","All","West Midlands","107,680","100.0%",""
"Jul-2012","White Other","All","West Midlands","3,815","100.0%",""
"Jul-2012","Black","All","West Midlands","12,570","100.0%",""
"Jul-2012","Asian","All","West Midlands","19,055","100.0%",""
"Jul-2012","Mixed","All","West Midlands","4,480","100.0%",""
"Jul-2012","Other","All","West Midlands","3,575","100.0%",""
"Jul-2012","Unreported","All","West Midlands","11,935","100.0%",""
"Jul-2012","All","13 weeks or less","West Midlands","55,690","34.1%",""
"Jul-2012","White","13 weeks or less","West Midlands","38,760","34.8%",""
"Jul-2012","Ethnic Minority","13 weeks or less","West Midlands","12,860","32.4%",""
"Jul-2012","White British","13 weeks or less","West Midlands","37,300","34.6%",""
"Jul-2012","White Other","13 weeks or less","West Midlands","1,460","38.3%",""
"Jul-2012","Black","13 weeks or less","West Midlands","3,425","27.2%",""
"Jul-2012","Asian","13 weeks or less","West Midlands","6,740","35.4%",""
"Jul-2012","Mixed","13 weeks or less","West Midlands","1,520","33.9%",""
"Jul-2012","Other","13 weeks or less","West Midlands","1,175","32.9%",""
"Jul-2012","Unreported","13 weeks or less","West Midlands","4,070","34.1%",""
"Jul-2012","All","over 13 and up to 26 weeks","West Midlands","27,090","16.6%",""
"Jul-2012","White","over 13 and up to 26 weeks","West Midlands","18,590","16.7%",""
"Jul-2012","Ethnic Minority","over 13 and up to 26 weeks","West Midlands","6,700","16.9%",""
"Jul-2012","White British","over 13 and up to 26 weeks","West Midlands","17,760","16.5%",""
"Jul-2012","White Other","over 13 and up to 26 weeks","West Midlands","830","21.8%",""
"Jul-2012","Black","over 13 and up to 26 weeks","West Midlands","1,905","15.2%",""
"Jul-2012","Asian","over 13 and up to 26 weeks","West Midlands","3,380","17.7%",""
"Jul-2012","Mixed","over 13 and up to 26 weeks","West Midlands","740","16.5%",""
"Jul-2012","Other","over 13 and up to 26 weeks","West Midlands","670","18.7%",""
"Jul-2012","Unreported","over 13 and up to 26 weeks","West Midlands","1,800","15.1%",""
"Jul-2012","All","over 26 and up to 52 weeks","West Midlands","32,410","19.9%",""
"Jul-2012","White","over 26 and up to 52 weeks","West Midlands","21,905","19.6%",""
"Jul-2012","Ethnic Minority","over 26 and up to 52 weeks","West Midlands","8,175","20.6%",""
"Jul-2012","White British","over 26 and up to 52 weeks","West Midlands","21,155","19.6%",""
"Jul-2012","White Other","over 26 and up to 52 weeks","West Midlands","750","19.7%",""
"Jul-2012","Black","over 26 and up to 52 weeks","West Midlands","2,600","20.7%",""
"Jul-2012","Asian","over 26 and up to 52 weeks","West Midlands","3,895","20.4%",""
"Jul-2012","Mixed","over 26 and up to 52 weeks","West Midlands","915","20.4%",""
"Jul-2012","Other","over 26 and up to 52 weeks","West Midlands","770","21.5%",""
"Jul-2012","Unreported","over 26 and up to 52 weeks","West Midlands","2,330","19.5%",""
"Jul-2012","All","over 52 and up to 78 weeks","West Midlands","20,510","12.6%",""
"Jul-2012","White","over 52 and up to 78 weeks","West Midlands","13,625","12.2%",""
"Jul-2012","Ethnic Minority","over 52 and up to 78 weeks","West Midlands","5,365","13.5%",""
"Jul-2012","White British","over 52 and up to 78 weeks","West Midlands","13,240","12.3%",""
"Jul-2012","White Other","over 52 and up to 78 weeks","West Midlands","385","10.1%",""
"Jul-2012","Black","over 52 and up to 78 weeks","West Midlands","1,920","15.3%",""
"Jul-2012","Asian","over 52 and up to 78 weeks","West Midlands","2,415","12.7%",""
"Jul-2012","Mixed","over 52 and up to 78 weeks","West Midlands","570","12.7%",""
"Jul-2012","Other","over 52 and up to 78 weeks","West Midlands","460","12.9%",""
"Jul-2012","Unreported","over 52 and up to 78 weeks","West Midlands","1,520","12.7%",""
"Jul-2012","All","over 78 and up to 104 weeks","West Midlands","13,115","8.0%",""
"Jul-2012","White","over 78 and up to 104 weeks","West Midlands","8,840","7.9%",""
"Jul-2012","Ethnic Minority","over 78 and up to 104 weeks","West Midlands","3,260","8.2%",""
"Jul-2012","White British","over 78 and up to 104 weeks","West Midlands","8,660","8.0%",""
"Jul-2012","White Other","over 78 and up to 104 weeks","West Midlands","175","4.6%",""
"Jul-2012","Black","over 78 and up to 104 weeks","West Midlands","1,230","9.8%",""
"Jul-2012","Asian","over 78 and up to 104 weeks","West Midlands","1,390","7.3%",""
"Jul-2012","Mixed","over 78 and up to 104 weeks","West Midlands","355","7.9%",""
"Jul-2012","Other","over 78 and up to 104 weeks","West Midlands","285","8.0%",""
"Jul-2012","Unreported","over 78 and up to 104 weeks","West Midlands","1,020","8.5%",""
"Jul-2012","All","over 104 weeks","West Midlands","14,295","8.8%",""
"Jul-2012","White","over 104 weeks","West Midlands","9,780","8.8%",""
"Jul-2012","Ethnic Minority","over 104 weeks","West Midlands","3,320","8.4%",""
"Jul-2012","White British","over 104 weeks","West Midlands","9,565","8.9%",""
"Jul-2012","White Other","over 104 weeks","West Midlands","215","5.6%",""
"Jul-2012","Black","over 104 weeks","West Midlands","1,490","11.9%",""
"Jul-2012","Asian","over 104 weeks","West Midlands","1,240","6.5%",""
"Jul-2012","Mixed","over 104 weeks","West Midlands","380","8.5%",""
"Jul-2012","Other","over 104 weeks","West Midlands","210","5.9%",""
"Jul-2012","Unreported","over 104 weeks","West Midlands","1,195","10.0%",""
"Jul-2012","All","All","Yorkshire and The Humber","163,560","100.0%",""
"Jul-2012","White","All","Yorkshire and The Humber","132,210","100.0%",""
"Jul-2012","Ethnic Minority","All","Yorkshire and The Humber","21,380","100.0%",""
"Jul-2012","White British","All","Yorkshire and The Humber","127,780","100.0%",""
"Jul-2012","White Other","All","Yorkshire and The Humber","4,435","100.0%",""
"Jul-2012","Black","All","Yorkshire and The Humber","4,445","100.0%",""
"Jul-2012","Asian","All","Yorkshire and The Humber","11,055","100.0%",""
"Jul-2012","Mixed","All","Yorkshire and The Humber","2,320","100.0%",""
"Jul-2012","Other","All","Yorkshire and The Humber","3,560","100.0%",""
"Jul-2012","Unreported","All","Yorkshire and The Humber","9,965","100.0%",""
"Jul-2012","All","13 weeks or less","Yorkshire and The Humber","55,560","34.0%",""
"Jul-2012","White","13 weeks or less","Yorkshire and The Humber","44,430","33.6%",""
"Jul-2012","Ethnic Minority","13 weeks or less","Yorkshire and The Humber","7,190","33.6%",""
"Jul-2012","White British","13 weeks or less","Yorkshire and The Humber","42,770","33.5%",""
"Jul-2012","White Other","13 weeks or less","Yorkshire and The Humber","1,660","37.4%",""
"Jul-2012","Black","13 weeks or less","Yorkshire and The Humber","1,285","28.9%",""
"Jul-2012","Asian","13 weeks or less","Yorkshire and The Humber","3,890","35.2%",""
"Jul-2012","Mixed","13 weeks or less","Yorkshire and The Humber","765","33.0%",""
"Jul-2012","Other","13 weeks or less","Yorkshire and The Humber","1,250","35.1%",""
"Jul-2012","Unreported","13 weeks or less","Yorkshire and The Humber","3,945","39.6%",""
"Jul-2012","All","over 13 and up to 26 weeks","Yorkshire and The Humber","27,670","16.9%",""
"Jul-2012","White","over 13 and up to 26 weeks","Yorkshire and The Humber","22,065","16.7%",""
"Jul-2012","Ethnic Minority","over 13 and up to 26 weeks","Yorkshire and The Humber","3,830","17.9%",""
"Jul-2012","White British","over 13 and up to 26 weeks","Yorkshire and The Humber","21,065","16.5%",""
"Jul-2012","White Other","over 13 and up to 26 weeks","Yorkshire and The Humber","1,000","22.5%",""
"Jul-2012","Black","over 13 and up to 26 weeks","Yorkshire and The Humber","755","17.0%",""
"Jul-2012","Asian","over 13 and up to 26 weeks","Yorkshire and The Humber","1,930","17.5%",""
"Jul-2012","Mixed","over 13 and up to 26 weeks","Yorkshire and The Humber","390","16.8%",""
"Jul-2012","Other","over 13 and up to 26 weeks","Yorkshire and The Humber","755","21.2%",""
"Jul-2012","Unreported","over 13 and up to 26 weeks","Yorkshire and The Humber","1,775","17.8%",""
"Jul-2012","All","over 26 and up to 52 weeks","Yorkshire and The Humber","34,860","21.3%",""
"Jul-2012","White","over 26 and up to 52 weeks","Yorkshire and The Humber","27,935","21.1%",""
"Jul-2012","Ethnic Minority","over 26 and up to 52 weeks","Yorkshire and The Humber","4,870","22.8%",""
"Jul-2012","White British","over 26 and up to 52 weeks","Yorkshire and The Humber","26,855","21.0%",""
"Jul-2012","White Other","over 26 and up to 52 weeks","Yorkshire and The Humber","1,080","24.4%",""
"Jul-2012","Black","over 26 and up to 52 weeks","Yorkshire and The Humber","1,010","22.7%",""
"Jul-2012","Asian","over 26 and up to 52 weeks","Yorkshire and The Humber","2,445","22.1%",""
"Jul-2012","Mixed","over 26 and up to 52 weeks","Yorkshire and The Humber","545","23.5%",""
"Jul-2012","Other","over 26 and up to 52 weeks","Yorkshire and The Humber","870","24.4%",""
"Jul-2012","Unreported","over 26 and up to 52 weeks","Yorkshire and The Humber","2,055","20.6%",""
"Jul-2012","All","over 52 and up to 78 weeks","Yorkshire and The Humber","21,640","13.2%",""
"Jul-2012","White","over 52 and up to 78 weeks","Yorkshire and The Humber","17,750","13.4%",""
"Jul-2012","Ethnic Minority","over 52 and up to 78 weeks","Yorkshire and The Humber","2,835","13.3%",""
"Jul-2012","White British","over 52 and up to 78 weeks","Yorkshire and The Humber","17,365","13.6%",""
"Jul-2012","White Other","over 52 and up to 78 weeks","Yorkshire and The Humber","385","8.7%",""
"Jul-2012","Black","over 52 and up to 78 weeks","Yorkshire and The Humber","645","14.5%",""
"Jul-2012","Asian","over 52 and up to 78 weeks","Yorkshire and The Humber","1,475","13.3%",""
"Jul-2012","Mixed","over 52 and up to 78 weeks","Yorkshire and The Humber","345","14.9%",""
"Jul-2012","Other","over 52 and up to 78 weeks","Yorkshire and The Humber","375","10.5%",""
"Jul-2012","Unreported","over 52 and up to 78 weeks","Yorkshire and The Humber","1,050","10.5%",""
"Jul-2012","All","over 78 and up to 104 weeks","Yorkshire and The Humber","12,200","7.5%",""
"Jul-2012","White","over 78 and up to 104 weeks","Yorkshire and The Humber","10,190","7.7%",""
"Jul-2012","Ethnic Minority","over 78 and up to 104 weeks","Yorkshire and The Humber","1,445","6.8%",""
"Jul-2012","White British","over 78 and up to 104 weeks","Yorkshire and The Humber","10,025","7.8%",""
"Jul-2012","White Other","over 78 and up to 104 weeks","Yorkshire and The Humber","165","3.7%",""
"Jul-2012","Black","over 78 and up to 104 weeks","Yorkshire and The Humber","405","9.1%",""
"Jul-2012","Asian","over 78 and up to 104 weeks","Yorkshire and The Humber","730","6.6%",""
"Jul-2012","Mixed","over 78 and up to 104 weeks","Yorkshire and The Humber","160","6.9%",""
"Jul-2012","Other","over 78 and up to 104 weeks","Yorkshire and The Humber","150","4.2%",""
"Jul-2012","Unreported","over 78 and up to 104 weeks","Yorkshire and The Humber","565","5.7%",""
"Jul-2012","All","over 104 weeks","Yorkshire and The Humber","11,625","7.1%",""
"Jul-2012","White","over 104 weeks","Yorkshire and The Humber","9,840","7.4%",""
"Jul-2012","Ethnic Minority","over 104 weeks","Yorkshire and The Humber","1,210","5.7%",""
"Jul-2012","White British","over 104 weeks","Yorkshire and The Humber","9,695","7.6%",""
"Jul-2012","White Other","over 104 weeks","Yorkshire and The Humber","145","3.3%",""
"Jul-2012","Black","over 104 weeks","Yorkshire and The Humber","355","8.0%",""
"Jul-2012","Asian","over 104 weeks","Yorkshire and The Humber","585","5.3%",""
"Jul-2012","Mixed","over 104 weeks","Yorkshire and The Humber","115","5.0%",""
"Jul-2012","Other","over 104 weeks","Yorkshire and The Humber","160","4.5%",""
"Jul-2012","Unreported","over 104 weeks","Yorkshire and The Humber","575","5.8%",""
"Aug-2012","All","All","All","1,501,845","100.0%",""
"Aug-2012","White","All","All","1,167,990","100.0%",""
"Aug-2012","Ethnic Minority","All","All","249,440","100.0%",""
"Aug-2012","White British","All","All","1,113,625","100.0%",""
"Aug-2012","White Other","All","All","54,370","100.0%",""
"Aug-2012","Black","All","All","100,025","100.0%",""
"Aug-2012","Asian","All","All","90,725","100.0%",""
"Aug-2012","Mixed","All","All","29,750","100.0%",""
"Aug-2012","Other","All","All","28,940","100.0%",""
"Aug-2012","Unreported","All","All","84,415","100.0%",""
"Aug-2012","All","13 weeks or less","All","559,220","37.2%",""
"Aug-2012","White","13 weeks or less","All","438,015","37.5%",""
"Aug-2012","Ethnic Minority","13 weeks or less","All","89,590","35.9%",""
"Aug-2012","White British","13 weeks or less","All","415,375","37.3%",""
"Aug-2012","White Other","13 weeks or less","All","22,640","41.6%",""
"Aug-2012","Black","13 weeks or less","All","32,525","32.5%",""
"Aug-2012","Asian","13 weeks or less","All","35,210","38.8%",""
"Aug-2012","Mixed","13 weeks or less","All","11,490","38.6%",""
"Aug-2012","Other","13 weeks or less","All","10,365","35.8%",""
"Aug-2012","Unreported","13 weeks or less","All","31,615","37.5%",""
"Aug-2012","All","over 13 and up to 26 weeks","All","243,575","16.2%",""
"Aug-2012","White","over 13 and up to 26 weeks","All","189,250","16.2%",""
"Aug-2012","Ethnic Minority","over 13 and up to 26 weeks","All","41,155","16.5%",""
"Aug-2012","White British","over 13 and up to 26 weeks","All","179,060","16.1%",""
"Aug-2012","White Other","over 13 and up to 26 weeks","All","10,190","18.7%",""
"Aug-2012","Black","over 13 and up to 26 weeks","All","15,085","15.1%",""
"Aug-2012","Asian","over 13 and up to 26 weeks","All","16,130","17.8%",""
"Aug-2012","Mixed","over 13 and up to 26 weeks","All","4,845","16.3%",""
"Aug-2012","Other","over 13 and up to 26 weeks","All","5,095","17.6%",""
"Aug-2012","Unreported","over 13 and up to 26 weeks","All","13,170","15.6%",""
"Aug-2012","All","over 26 and up to 52 weeks","All","291,375","19.4%",""
"Aug-2012","White","over 26 and up to 52 weeks","All","227,185","19.5%",""
"Aug-2012","Ethnic Minority","over 26 and up to 52 weeks","All","48,570","19.5%",""
"Aug-2012","White British","over 26 and up to 52 weeks","All","216,200","19.4%",""
"Aug-2012","White Other","over 26 and up to 52 weeks","All","10,985","20.2%",""
"Aug-2012","Black","over 26 and up to 52 weeks","All","19,410","19.4%",""
"Aug-2012","Asian","over 26 and up to 52 weeks","All","17,255","19.0%",""
"Aug-2012","Mixed","over 26 and up to 52 weeks","All","5,840","19.6%",""
"Aug-2012","Other","over 26 and up to 52 weeks","All","6,065","21.0%",""
"Aug-2012","Unreported","over 26 and up to 52 weeks","All","15,625","18.5%",""
"Aug-2012","All","over 52 and up to 78 weeks","All","180,425","12.0%",""
"Aug-2012","White","over 52 and up to 78 weeks","All","139,115","11.9%",""
"Aug-2012","Ethnic Minority","over 52 and up to 78 weeks","All","31,170","12.5%",""
"Aug-2012","White British","over 52 and up to 78 weeks","All","134,090","12.0%",""
"Aug-2012","White Other","over 52 and up to 78 weeks","All","5,025","9.2%",""
"Aug-2012","Black","over 52 and up to 78 weeks","All","13,645","13.6%",""
"Aug-2012","Asian","over 52 and up to 78 weeks","All","10,580","11.7%",""
"Aug-2012","Mixed","over 52 and up to 78 weeks","All","3,545","11.9%",""
"Aug-2012","Other","over 52 and up to 78 weeks","All","3,400","11.7%",""
"Aug-2012","Unreported","over 52 and up to 78 weeks","All","10,145","12.0%",""
"Aug-2012","All","over 78 and up to 104 weeks","All","113,575","7.6%",""
"Aug-2012","White","over 78 and up to 104 weeks","All","87,775","7.5%",""
"Aug-2012","Ethnic Minority","over 78 and up to 104 weeks","All","19,405","7.8%",""
"Aug-2012","White British","over 78 and up to 104 weeks","All","85,045","7.6%",""
"Aug-2012","White Other","over 78 and up to 104 weeks","All","2,735","5.0%",""
"Aug-2012","Black","over 78 and up to 104 weeks","All","9,180","9.2%",""
"Aug-2012","Asian","over 78 and up to 104 weeks","All","6,100","6.7%",""
"Aug-2012","Mixed","over 78 and up to 104 weeks","All","2,040","6.9%",""
"Aug-2012","Other","over 78 and up to 104 weeks","All","2,090","7.2%",""
"Aug-2012","Unreported","over 78 and up to 104 weeks","All","6,395","7.6%",""
"Aug-2012","All","over 104 weeks","All","113,670","7.6%",""
"Aug-2012","White","over 104 weeks","All","86,650","7.4%",""
"Aug-2012","Ethnic Minority","over 104 weeks","All","19,555","7.8%",""
"Aug-2012","White British","over 104 weeks","All","83,860","7.5%",""
"Aug-2012","White Other","over 104 weeks","All","2,790","5.1%",""
"Aug-2012","Black","over 104 weeks","All","10,185","10.2%",""
"Aug-2012","Asian","over 104 weeks","All","5,455","6.0%",""
"Aug-2012","Mixed","over 104 weeks","All","1,985","6.7%",""
"Aug-2012","Other","over 104 weeks","All","1,930","6.7%",""
"Aug-2012","Unreported","over 104 weeks","All","7,465","8.8%",""
"Aug-2012","All","All","East","112,150","100.0%",""
"Aug-2012","White","All","East","94,250","100.0%",""
"Aug-2012","Ethnic Minority","All","East","11,675","100.0%",""
"Aug-2012","White British","All","East","89,325","100.0%",""
"Aug-2012","White Other","All","East","4,930","100.0%",""
"Aug-2012","Black","All","East","4,015","100.0%",""
"Aug-2012","Asian","All","East","4,345","100.0%",""
"Aug-2012","Mixed","All","East","2,080","100.0%",""
"Aug-2012","Other","All","East","1,230","100.0%",""
"Aug-2012","Unreported","All","East","6,225","100.0%",""
"Aug-2012","All","13 weeks or less","East","42,775","38.1%",""
"Aug-2012","White","13 weeks or less","East","35,815","38.0%",""
"Aug-2012","Ethnic Minority","13 weeks or less","East","4,460","38.2%",""
"Aug-2012","White British","13 weeks or less","East","33,735","37.8%",""
"Aug-2012","White Other","13 weeks or less","East","2,080","42.2%",""
"Aug-2012","Black","13 weeks or less","East","1,410","35.1%",""
"Aug-2012","Asian","13 weeks or less","East","1,765","40.6%",""
"Aug-2012","Mixed","13 weeks or less","East","805","38.7%",""
"Aug-2012","Other","13 weeks or less","East","480","39.0%",""
"Aug-2012","Unreported","13 weeks or less","East","2,505","40.2%",""
"Aug-2012","All","over 13 and up to 26 weeks","East","18,400","16.4%",""
"Aug-2012","White","over 13 and up to 26 weeks","East","15,475","16.4%",""
"Aug-2012","Ethnic Minority","over 13 and up to 26 weeks","East","1,970","16.9%",""
"Aug-2012","White British","over 13 and up to 26 weeks","East","14,575","16.3%",""
"Aug-2012","White Other","over 13 and up to 26 weeks","East","900","18.3%",""
"Aug-2012","Black","over 13 and up to 26 weeks","East","670","16.7%",""
"Aug-2012","Asian","over 13 and up to 26 weeks","East","730","16.8%",""
"Aug-2012","Mixed","over 13 and up to 26 weeks","East","335","16.1%",""
"Aug-2012","Other","over 13 and up to 26 weeks","East","235","19.1%",""
"Aug-2012","Unreported","over 13 and up to 26 weeks","East","955","15.3%",""
"Aug-2012","All","over 26 and up to 52 weeks","East","21,680","19.3%",""
"Aug-2012","White","over 26 and up to 52 weeks","East","18,215","19.3%",""
"Aug-2012","Ethnic Minority","over 26 and up to 52 weeks","East","2,330","20.0%",""
"Aug-2012","White British","over 26 and up to 52 weeks","East","17,220","19.3%",""
"Aug-2012","White Other","over 26 and up to 52 weeks","East","1,000","20.3%",""
"Aug-2012","Black","over 26 and up to 52 weeks","East","785","19.6%",""
"Aug-2012","Asian","over 26 and up to 52 weeks","East","840","19.3%",""
"Aug-2012","Mixed","over 26 and up to 52 weeks","East","460","22.1%",""
"Aug-2012","Other","over 26 and up to 52 weeks","East","250","20.3%",""
"Aug-2012","Unreported","over 26 and up to 52 weeks","East","1,130","18.2%",""
"Aug-2012","All","over 52 and up to 78 weeks","East","12,930","11.5%",""
"Aug-2012","White","over 52 and up to 78 weeks","East","10,940","11.6%",""
"Aug-2012","Ethnic Minority","over 52 and up to 78 weeks","East","1,305","11.2%",""
"Aug-2012","White British","over 52 and up to 78 weeks","East","10,485","11.7%",""
"Aug-2012","White Other","over 52 and up to 78 weeks","East","455","9.2%",""
"Aug-2012","Black","over 52 and up to 78 weeks","East","485","12.1%",""
"Aug-2012","Asian","over 52 and up to 78 weeks","East","450","10.4%",""
"Aug-2012","Mixed","over 52 and up to 78 weeks","East","245","11.8%",""
"Aug-2012","Other","over 52 and up to 78 weeks","East","125","10.2%",""
"Aug-2012","Unreported","over 52 and up to 78 weeks","East","685","11.0%",""
"Aug-2012","All","over 78 and up to 104 weeks","East","7,925","7.1%",""
"Aug-2012","White","over 78 and up to 104 weeks","East","6,645","7.1%",""
"Aug-2012","Ethnic Minority","over 78 and up to 104 weeks","East","815","7.0%",""
"Aug-2012","White British","over 78 and up to 104 weeks","East","6,390","7.2%",""
"Aug-2012","White Other","over 78 and up to 104 weeks","East","250","5.1%",""
"Aug-2012","Black","over 78 and up to 104 weeks","East","335","8.3%",""
"Aug-2012","Asian","over 78 and up to 104 weeks","East","295","6.8%",""
"Aug-2012","Mixed","over 78 and up to 104 weeks","East","115","5.5%",""
"Aug-2012","Other","over 78 and up to 104 weeks","East","75","6.1%",""
"Aug-2012","Unreported","over 78 and up to 104 weeks","East","465","7.5%",""
"Aug-2012","All","over 104 weeks","East","8,450","7.5%",""
"Aug-2012","White","over 104 weeks","East","7,165","7.6%",""
"Aug-2012","Ethnic Minority","over 104 weeks","East","795","6.8%",""
"Aug-2012","White British","over 104 weeks","East","6,920","7.7%",""
"Aug-2012","White Other","over 104 weeks","East","245","5.0%",""
"Aug-2012","Black","over 104 weeks","East","335","8.3%",""
"Aug-2012","Asian","over 104 weeks","East","270","6.2%",""
"Aug-2012","Mixed","over 104 weeks","East","125","6.0%",""
"Aug-2012","Other","over 104 weeks","East","65","5.3%",""
"Aug-2012","Unreported","over 104 weeks","East","490","7.9%",""
"Aug-2012","All","All","East Midlands","107,755","100.0%",""
"Aug-2012","White","All","East Midlands","87,370","100.0%",""
"Aug-2012","Ethnic Minority","All","East Midlands","15,515","100.0%",""
"Aug-2012","White British","All","East Midlands","83,785","100.0%",""
"Aug-2012","White Other","All","East Midlands","3,590","100.0%",""
"Aug-2012","Black","All","East Midlands","4,705","100.0%",""
"Aug-2012","Asian","All","East Midlands","6,720","100.0%",""
"Aug-2012","Mixed","All","East Midlands","2,385","100.0%",""
"Aug-2012","Other","All","East Midlands","1,700","100.0%",""
"Aug-2012","Unreported","All","East Midlands","4,870","100.0%",""
"Aug-2012","All","13 weeks or less","East Midlands","40,005","37.1%",""
"Aug-2012","White","13 weeks or less","East Midlands","32,480","37.2%",""
"Aug-2012","Ethnic Minority","13 weeks or less","East Midlands","5,675","36.6%",""
"Aug-2012","White British","13 weeks or less","East Midlands","31,020","37.0%",""
"Aug-2012","White Other","13 weeks or less","East Midlands","1,460","40.7%",""
"Aug-2012","Black","13 weeks or less","East Midlands","1,480","31.5%",""
"Aug-2012","Asian","13 weeks or less","East Midlands","2,635","39.2%",""
"Aug-2012","Mixed","13 weeks or less","East Midlands","960","40.3%",""
"Aug-2012","Other","13 weeks or less","East Midlands","600","35.3%",""
"Aug-2012","Unreported","13 weeks or less","East Midlands","1,850","38.0%",""
"Aug-2012","All","over 13 and up to 26 weeks","East Midlands","18,305","17.0%",""
"Aug-2012","White","over 13 and up to 26 weeks","East Midlands","14,740","16.9%",""
"Aug-2012","Ethnic Minority","over 13 and up to 26 weeks","East Midlands","2,770","17.9%",""
"Aug-2012","White British","over 13 and up to 26 weeks","East Midlands","13,990","16.7%",""
"Aug-2012","White Other","over 13 and up to 26 weeks","East Midlands","750","20.9%",""
"Aug-2012","Black","over 13 and up to 26 weeks","East Midlands","775","16.5%",""
"Aug-2012","Asian","over 13 and up to 26 weeks","East Midlands","1,290","19.2%",""
"Aug-2012","Mixed","over 13 and up to 26 weeks","East Midlands","375","15.7%",""
"Aug-2012","Other","over 13 and up to 26 weeks","East Midlands","335","19.7%",""
"Aug-2012","Unreported","over 13 and up to 26 weeks","East Midlands","795","16.3%",""
"Aug-2012","All","over 26 and up to 52 weeks","East Midlands","21,965","20.4%",""
"Aug-2012","White","over 26 and up to 52 weeks","East Midlands","17,675","20.2%",""
"Aug-2012","Ethnic Minority","over 26 and up to 52 weeks","East Midlands","3,385","21.8%",""
"Aug-2012","White British","over 26 and up to 52 weeks","East Midlands","16,875","20.1%",""
"Aug-2012","White Other","over 26 and up to 52 weeks","East Midlands","800","22.3%",""
"Aug-2012","Black","over 26 and up to 52 weeks","East Midlands","1,055","22.4%",""
"Aug-2012","Asian","over 26 and up to 52 weeks","East Midlands","1,425","21.2%",""
"Aug-2012","Mixed","over 26 and up to 52 weeks","East Midlands","475","19.9%",""
"Aug-2012","Other","over 26 and up to 52 weeks","East Midlands","430","25.3%",""
"Aug-2012","Unreported","over 26 and up to 52 weeks","East Midlands","910","18.7%",""
"Aug-2012","All","over 52 and up to 78 weeks","East Midlands","12,645","11.7%",""
"Aug-2012","White","over 52 and up to 78 weeks","East Midlands","10,275","11.8%",""
"Aug-2012","Ethnic Minority","over 52 and up to 78 weeks","East Midlands","1,795","11.6%",""
"Aug-2012","White British","over 52 and up to 78 weeks","East Midlands","9,950","11.9%",""
"Aug-2012","White Other","over 52 and up to 78 weeks","East Midlands","320","8.9%",""
"Aug-2012","Black","over 52 and up to 78 weeks","East Midlands","635","13.5%",""
"Aug-2012","Asian","over 52 and up to 78 weeks","East Midlands","715","10.6%",""
"Aug-2012","Mixed","over 52 and up to 78 weeks","East Midlands","275","11.5%",""
"Aug-2012","Other","over 52 and up to 78 weeks","East Midlands","170","10.0%",""
"Aug-2012","Unreported","over 52 and up to 78 weeks","East Midlands","575","11.8%",""
"Aug-2012","All","over 78 and up to 104 weeks","East Midlands","7,905","7.3%",""
"Aug-2012","White","over 78 and up to 104 weeks","East Midlands","6,555","7.5%",""
"Aug-2012","Ethnic Minority","over 78 and up to 104 weeks","East Midlands","965","6.2%",""
"Aug-2012","White British","over 78 and up to 104 weeks","East Midlands","6,425","7.7%",""
"Aug-2012","White Other","over 78 and up to 104 weeks","East Midlands","135","3.8%",""
"Aug-2012","Black","over 78 and up to 104 weeks","East Midlands","360","7.7%",""
"Aug-2012","Asian","over 78 and up to 104 weeks","East Midlands","345","5.1%",""
"Aug-2012","Mixed","over 78 and up to 104 weeks","East Midlands","175","7.3%",""
"Aug-2012","Other","over 78 and up to 104 weeks","East Midlands","85","5.0%",""
"Aug-2012","Unreported","over 78 and up to 104 weeks","East Midlands","380","7.8%",""
"Aug-2012","All","over 104 weeks","East Midlands","6,930","6.4%",""
"Aug-2012","White","over 104 weeks","East Midlands","5,650","6.5%",""
"Aug-2012","Ethnic Minority","over 104 weeks","East Midlands","920","5.9%",""
"Aug-2012","White British","over 104 weeks","East Midlands","5,525","6.6%",""
"Aug-2012","White Other","over 104 weeks","East Midlands","125","3.5%",""
"Aug-2012","Black","over 104 weeks","East Midlands","395","8.4%",""
"Aug-2012","Asian","over 104 weeks","East Midlands","310","4.6%",""
"Aug-2012","Mixed","over 104 weeks","East Midlands","135","5.7%",""
"Aug-2012","Other","over 104 weeks","East Midlands","80","4.7%",""
"Aug-2012","Unreported","over 104 weeks","East Midlands","360","7.4%",""
"Aug-2012","All","All","London","217,720","100.0%",""
"Aug-2012","White","All","London","89,635","100.0%",""
"Aug-2012","Ethnic Minority","All","London","109,025","100.0%",""
"Aug-2012","White British","All","London","70,810","100.0%",""
"Aug-2012","White Other","All","London","18,825","100.0%",""
