"Title","Income spent on rent for new lettings of social housing","","","","","","",""
"Location","England","","","","","","",""
"Time period","2016/17","","","","","","",""
"Data source","Ministry of Housing, Communities and Local Government","","","","","","",""
"Data source link","https://www.gov.uk/government/statistics/social-housing-lettings-in-england-april-2016-to-march-2017","","","","","","",""
"Source","https://www.ethnicity-facts-figures.service.gov.uk/","","","","","","",""
"Last updated","-","","","","","","",""
"Measure","Time","Time_type","Geography_code","Geography_name","Geography_type","Ethnicity","Ethnicity_type","Value"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000002 ","North West","Region","Mixed","ONS 5+1 2011","41"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000003 ","Yorkshire & Humber","Region","Mixed","ONS 5+1 2011","38"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000004 ","East Midlands","Region","Mixed","ONS 5+1 2011","42"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000005 ","West Midlands","Region","Mixed","ONS 5+1 2011","40"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000006 ","East of England","Region","Mixed","ONS 5+1 2011","45"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000007 ","London","Region","Mixed","ONS 5+1 2011","54"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000008 ","South East","Region","Mixed","ONS 5+1 2011","46"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000009 ","South West","Region","Mixed","ONS 5+1 2011","43"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000001 ","North East","Region","White","ONS 5+1 2011","43"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000002 ","North West","Region","White","ONS 5+1 2011","42"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000003 ","Yorkshire & Humber","Region","White","ONS 5+1 2011","40"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000004 ","East Midlands","Region","White","ONS 5+1 2011","43"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000005 ","West Midlands","Region","White","ONS 5+1 2011","41"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000006 ","East of England","Region","White","ONS 5+1 2011","46"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000007 ","London","Region","White","ONS 5+1 2011","53"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000008 ","South East","Region","White","ONS 5+1 2011","45"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000009 ","South West","Region","White","ONS 5+1 2011","43"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000001 ","North East","Region","Other","ONS 5+1 2011","43"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000002 ","North West","Region","Other","ONS 5+1 2011","41"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000003 ","Yorkshire & Humber","Region","Other","ONS 5+1 2011","38"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000004 ","East Midlands","Region","Other","ONS 5+1 2011","38"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000005 ","West Midlands","Region","Other","ONS 5+1 2011","39"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000006 ","East of England","Region","Other","ONS 5+1 2011","45"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000007 ","London","Region","Other","ONS 5+1 2011","51"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000008 ","South East","Region","Other","ONS 5+1 2011","44"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000009 ","South West","Region","Other","ONS 5+1 2011","43"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000001 ","North East","Region","All","All","43"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000002 ","North West","Region","All","All","42"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000003 ","Yorkshire & Humber","Region","All","All","39"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000004 ","East Midlands","Region","All","All","42"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000005 ","West Midlands","Region","All","All","41"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000006 ","East of England","Region","All","All","45"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000007 ","London","Region","All","All","52"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000008 ","South East","Region","All","All","45"
"Percentage of income spent on rent for new social housing","2016/17","Financial year","E12000009 ","South West","Region","All","All","43"
