"Title","Employment and Support Allowance: sanctions"
"Location","England, Wales and Scotland"
"Time period","February 2013 to November 2016"
"Data source","Department for Work and Pensions"
"Data source link","https://stat-xplore.dwp.gov.uk/webapi/jsf/login.xhtml"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-03-05"
"Date","Date type","Region","Region type","Age","Age type","Ethnicity","Ethnicity type","Numerator","Numerator type","Denominator","Denominator type","Rate","Rate type","Suppression","Suppression type"
"August 2010","Month","East of England","Government Region","All ages","Age range of individuals sanctioned","White British","ONS 5+2","74","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","6,909","Number of ESA claimants matching geographic, ethnicity and age status ","1.1","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","East of England","Government Region","All ages","Age range of individuals sanctioned","White Other","ONS 5+2","10","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","211","Number of ESA claimants matching geographic, ethnicity and age status ","4.7","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","London","Government Region","All ages","Age range of individuals sanctioned","All","All","320","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","12,928","Number of ESA claimants matching geographic, ethnicity and age status ","2.5","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","London","Government Region","All ages","Age range of individuals sanctioned","Asian","ONS 5+2","22","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","1,074","Number of ESA claimants matching geographic, ethnicity and age status ","2.0","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","London","Government Region","All ages","Age range of individuals sanctioned","Black","ONS 5+2","61","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","1,519","Number of ESA claimants matching geographic, ethnicity and age status ","4.0","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","London","Government Region","All ages","Age range of individuals sanctioned","Ethnic Minority","ONS 2+1","111","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","3,710","Number of ESA claimants matching geographic, ethnicity and age status ","3.0","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","London","Government Region","All ages","Age range of individuals sanctioned","Mixed","ONS 5+2","13","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","312","Number of ESA claimants matching geographic, ethnicity and age status ","4.2","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","London","Government Region","All ages","Age range of individuals sanctioned","Other","ONS 5+2","19","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","811","Number of ESA claimants matching geographic, ethnicity and age status ","2.3","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","London","Government Region","All ages","Age range of individuals sanctioned","Unreported","ONS 2+1 /ONS 5+2","74","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","3,696","Number of ESA claimants matching geographic, ethnicity and age status ","2.0","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","London","Government Region","All ages","Age range of individuals sanctioned","White","ONS 2+1","140","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","5,517","Number of ESA claimants matching geographic, ethnicity and age status ","2.5","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","London","Government Region","All ages","Age range of individuals sanctioned","White British","ONS 5+2","107","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","4,664","Number of ESA claimants matching geographic, ethnicity and age status ","2.3","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","London","Government Region","All ages","Age range of individuals sanctioned","White Other","ONS 5+2","32","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","853","Number of ESA claimants matching geographic, ethnicity and age status ","3.8","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","North East","Government Region","All ages","Age range of individuals sanctioned","All","All","46","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","6,161","Number of ESA claimants matching geographic, ethnicity and age status ","0.7","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","North East","Government Region","All ages","Age range of individuals sanctioned","Asian","ONS 5+2","!","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","56","Number of ESA claimants matching geographic, ethnicity and age status ","!","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","Suppress","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","North East","Government Region","All ages","Age range of individuals sanctioned","Black","ONS 5+2","!","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","13","Number of ESA claimants matching geographic, ethnicity and age status ","!","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","Suppress","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","North East","Government Region","All ages","Age range of individuals sanctioned","Ethnic Minority","ONS 2+1","!","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","117","Number of ESA claimants matching geographic, ethnicity and age status ","!","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","Suppress","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","North East","Government Region","All ages","Age range of individuals sanctioned","Mixed","ONS 5+2","!","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","10","Number of ESA claimants matching geographic, ethnicity and age status ","!","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","Suppress","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","North East","Government Region","All ages","Age range of individuals sanctioned","Other","ONS 5+2","!","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","34","Number of ESA claimants matching geographic, ethnicity and age status ","!","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","Suppress","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","North East","Government Region","All ages","Age range of individuals sanctioned","Unreported","ONS 2+1 /ONS 5+2","!","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","743","Number of ESA claimants matching geographic, ethnicity and age status ","!","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","Suppress","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","North East","Government Region","All ages","Age range of individuals sanctioned","White","ONS 2+1","42","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","5,310","Number of ESA claimants matching geographic, ethnicity and age status ","0.8","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","North East","Government Region","All ages","Age range of individuals sanctioned","White British","ONS 5+2","42","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","5,270","Number of ESA claimants matching geographic, ethnicity and age status ","0.8","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","North East","Government Region","All ages","Age range of individuals sanctioned","White Other","ONS 5+2","!","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","39","Number of ESA claimants matching geographic, ethnicity and age status ","!","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","Suppress","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","North West","Government Region","All ages","Age range of individuals sanctioned","All","All","431","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","22,327","Number of ESA claimants matching geographic, ethnicity and age status ","1.9","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","North West","Government Region","All ages","Age range of individuals sanctioned","Asian","ONS 5+2","17","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","672","Number of ESA claimants matching geographic, ethnicity and age status ","2.5","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","North West","Government Region","All ages","Age range of individuals sanctioned","Black","ONS 5+2","!","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","220","Number of ESA claimants matching geographic, ethnicity and age status ","!","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","Suppress","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","North West","Government Region","All ages","Age range of individuals sanctioned","Ethnic Minority","ONS 2+1","26","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","1,177","Number of ESA claimants matching geographic, ethnicity and age status ","2.2","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","North West","Government Region","All ages","Age range of individuals sanctioned","Mixed","ONS 5+2","6","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","146","Number of ESA claimants matching geographic, ethnicity and age status ","4.1","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","North West","Government Region","All ages","Age range of individuals sanctioned","Other","ONS 5+2","!","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","139","Number of ESA claimants matching geographic, ethnicity and age status ","!","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","Suppress","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","North West","Government Region","All ages","Age range of individuals sanctioned","Unreported","ONS 2+1 /ONS 5+2","51","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","3,503","Number of ESA claimants matching geographic, ethnicity and age status ","1.5","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","North West","Government Region","All ages","Age range of individuals sanctioned","White","ONS 2+1","352","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","17,652","Number of ESA claimants matching geographic, ethnicity and age status ","2.0","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","North West","Government Region","All ages","Age range of individuals sanctioned","White British","ONS 5+2","345","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","17,389","Number of ESA claimants matching geographic, ethnicity and age status ","2.0","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","North West","Government Region","All ages","Age range of individuals sanctioned","White Other","ONS 5+2","9","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","265","Number of ESA claimants matching geographic, ethnicity and age status ","3.4","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","Scotland","Government Region","All ages","Age range of individuals sanctioned","All","All","131","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","11,605","Number of ESA claimants matching geographic, ethnicity and age status ","1.1","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","Scotland","Government Region","All ages","Age range of individuals sanctioned","Asian","ONS 5+2","!","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","100","Number of ESA claimants matching geographic, ethnicity and age status ","!","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","Suppress","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","Scotland","Government Region","All ages","Age range of individuals sanctioned","Black","ONS 5+2","!","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","31","Number of ESA claimants matching geographic, ethnicity and age status ","!","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","Suppress","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","Scotland","Government Region","All ages","Age range of individuals sanctioned","Ethnic Minority","ONS 2+1","!","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","170","Number of ESA claimants matching geographic, ethnicity and age status ","!","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","Suppress","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","Scotland","Government Region","All ages","Age range of individuals sanctioned","Mixed","ONS 5+2","!","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","10","Number of ESA claimants matching geographic, ethnicity and age status ","!","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","Suppress","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","Scotland","Government Region","All ages","Age range of individuals sanctioned","Other","ONS 5+2","!","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","28","Number of ESA claimants matching geographic, ethnicity and age status ","!","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","Suppress","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","Scotland","Government Region","All ages","Age range of individuals sanctioned","Unreported","ONS 2+1 /ONS 5+2","10","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","1,743","Number of ESA claimants matching geographic, ethnicity and age status ","0.6","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","Scotland","Government Region","All ages","Age range of individuals sanctioned","White","ONS 2+1","116","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","9,689","Number of ESA claimants matching geographic, ethnicity and age status ","1.2","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","Scotland","Government Region","All ages","Age range of individuals sanctioned","White British","ONS 5+2","114","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","9,583","Number of ESA claimants matching geographic, ethnicity and age status ","1.2","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","Scotland","Government Region","All ages","Age range of individuals sanctioned","White Other","ONS 5+2","6","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","111","Number of ESA claimants matching geographic, ethnicity and age status ","5.4","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","South East","Government Region","All ages","Age range of individuals sanctioned","All","All","472","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","14,773","Number of ESA claimants matching geographic, ethnicity and age status ","3.2","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","South East","Government Region","All ages","Age range of individuals sanctioned","Asian","ONS 5+2","16","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","305","Number of ESA claimants matching geographic, ethnicity and age status ","5.2","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","South East","Government Region","All ages","Age range of individuals sanctioned","Black","ONS 5+2","13","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","160","Number of ESA claimants matching geographic, ethnicity and age status ","8.1","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","South East","Government Region","All ages","Age range of individuals sanctioned","Ethnic Minority","ONS 2+1","34","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","643","Number of ESA claimants matching geographic, ethnicity and age status ","5.3","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","South East","Government Region","All ages","Age range of individuals sanctioned","Mixed","ONS 5+2","6","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","102","Number of ESA claimants matching geographic, ethnicity and age status ","5.9","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","South East","Government Region","All ages","Age range of individuals sanctioned","Other","ONS 5+2","!","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","84","Number of ESA claimants matching geographic, ethnicity and age status ","!","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","Suppress","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","South East","Government Region","All ages","Age range of individuals sanctioned","Unreported","ONS 2+1 /ONS 5+2","89","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","3,542","Number of ESA claimants matching geographic, ethnicity and age status ","2.5","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","South East","Government Region","All ages","Age range of individuals sanctioned","White","ONS 2+1","348","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","10,584","Number of ESA claimants matching geographic, ethnicity and age status ","3.3","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","South East","Government Region","All ages","Age range of individuals sanctioned","White British","ONS 5+2","332","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","10,301","Number of ESA claimants matching geographic, ethnicity and age status ","3.2","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","South East","Government Region","All ages","Age range of individuals sanctioned","White Other","ONS 5+2","13","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","283","Number of ESA claimants matching geographic, ethnicity and age status ","4.6","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","South West","Government Region","All ages","Age range of individuals sanctioned","All","All","110","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","12,007","Number of ESA claimants matching geographic, ethnicity and age status ","0.9","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","South West","Government Region","All ages","Age range of individuals sanctioned","Asian","ONS 5+2","!","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","71","Number of ESA claimants matching geographic, ethnicity and age status ","!","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","Suppress","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","South West","Government Region","All ages","Age range of individuals sanctioned","Black","ONS 5+2","!","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","117","Number of ESA claimants matching geographic, ethnicity and age status ","!","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","Suppress","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","South West","Government Region","All ages","Age range of individuals sanctioned","Ethnic Minority","ONS 2+1","7","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","291","Number of ESA claimants matching geographic, ethnicity and age status ","2.4","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","South West","Government Region","All ages","Age range of individuals sanctioned","Mixed","ONS 5+2","!","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","56","Number of ESA claimants matching geographic, ethnicity and age status ","!","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","Suppress","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","South West","Government Region","All ages","Age range of individuals sanctioned","Other","ONS 5+2","!","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","46","Number of ESA claimants matching geographic, ethnicity and age status ","!","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","Suppress","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","South West","Government Region","All ages","Age range of individuals sanctioned","Unreported","ONS 2+1 /ONS 5+2","32","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","2,506","Number of ESA claimants matching geographic, ethnicity and age status ","1.3","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","South West","Government Region","All ages","Age range of individuals sanctioned","White","ONS 2+1","70","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","9,211","Number of ESA claimants matching geographic, ethnicity and age status ","0.8","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","South West","Government Region","All ages","Age range of individuals sanctioned","White British","ONS 5+2","69","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","9,006","Number of ESA claimants matching geographic, ethnicity and age status ","0.8","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","South West","Government Region","All ages","Age range of individuals sanctioned","White Other","ONS 5+2","6","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","205","Number of ESA claimants matching geographic, ethnicity and age status ","2.9","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","Unknown or missing Region","Government Region","All ages","Age range of individuals sanctioned","All","All","!","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","!","Number of ESA claimants matching geographic, ethnicity and age status ","!","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","Suppress","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","Unknown or missing Region","Government Region","All ages","Age range of individuals sanctioned","Asian","ONS 5+2","!","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","!","Number of ESA claimants matching geographic, ethnicity and age status ","!","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","Suppress","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","Unknown or missing Region","Government Region","All ages","Age range of individuals sanctioned","Black","ONS 5+2","!","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","!","Number of ESA claimants matching geographic, ethnicity and age status ","!","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","Suppress","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","Unknown or missing Region","Government Region","All ages","Age range of individuals sanctioned","Ethnic Minority","ONS 2+1","!","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","!","Number of ESA claimants matching geographic, ethnicity and age status ","!","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","Suppress","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","Unknown or missing Region","Government Region","All ages","Age range of individuals sanctioned","Mixed","ONS 5+2","!","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","!","Number of ESA claimants matching geographic, ethnicity and age status ","!","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","Suppress","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","Unknown or missing Region","Government Region","All ages","Age range of individuals sanctioned","Other","ONS 5+2","!","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","!","Number of ESA claimants matching geographic, ethnicity and age status ","!","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","Suppress","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","Unknown or missing Region","Government Region","All ages","Age range of individuals sanctioned","Unreported","ONS 2+1 /ONS 5+2","!","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","!","Number of ESA claimants matching geographic, ethnicity and age status ","!","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","Suppress","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","Unknown or missing Region","Government Region","All ages","Age range of individuals sanctioned","White","ONS 2+1","!","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","!","Number of ESA claimants matching geographic, ethnicity and age status ","!","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","Suppress","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","Unknown or missing Region","Government Region","All ages","Age range of individuals sanctioned","White British","ONS 5+2","!","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","!","Number of ESA claimants matching geographic, ethnicity and age status ","!","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","Suppress","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","Unknown or missing Region","Government Region","All ages","Age range of individuals sanctioned","White Other","ONS 5+2","!","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","!","Number of ESA claimants matching geographic, ethnicity and age status ","!","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","Suppress","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","Wales","Government Region","All ages","Age range of individuals sanctioned","All","All","115","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","10,075","Number of ESA claimants matching geographic, ethnicity and age status ","1.1","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","Wales","Government Region","All ages","Age range of individuals sanctioned","Asian","ONS 5+2","!","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","52","Number of ESA claimants matching geographic, ethnicity and age status ","!","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","Suppress","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","Wales","Government Region","All ages","Age range of individuals sanctioned","Black","ONS 5+2","!","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","24","Number of ESA claimants matching geographic, ethnicity and age status ","!","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","Suppress","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","Wales","Government Region","All ages","Age range of individuals sanctioned","Ethnic Minority","ONS 2+1","8","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","155","Number of ESA claimants matching geographic, ethnicity and age status ","5.2","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","Wales","Government Region","All ages","Age range of individuals sanctioned","Mixed","ONS 5+2","!","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","42","Number of ESA claimants matching geographic, ethnicity and age status ","!","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","Suppress","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","Wales","Government Region","All ages","Age range of individuals sanctioned","Other","ONS 5+2","!","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","37","Number of ESA claimants matching geographic, ethnicity and age status ","!","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","Suppress","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","Wales","Government Region","All ages","Age range of individuals sanctioned","Unreported","ONS 2+1 /ONS 5+2","6","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","1,672","Number of ESA claimants matching geographic, ethnicity and age status ","0.4","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
"August 2010","Month","Wales","Government Region","All ages","Age range of individuals sanctioned","White","ONS 2+1","102","Number of adverse sanction decisions applied to individuals matching geographic, ethnicity and age status","8,251","Number of ESA claimants matching geographic, ethnicity and age status ","1.2","Sanctions per 100 people ( (Numerator / Denominator) x 100) )","","Disclosure control has been applied to this  to avoid the release of confidential data."
