"Title","Economic inactivity"
"Location","England, Wales and Scotland"
"Time period","2004 to 2017"
"Data source","Department for Work and Pensions"
"Data source link","https://www.nomisweb.co.uk/home/release_group.asp?g=16"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-09-21"
"measure","year","region","ethnicity","ethnicity_type","sex","age_band","value","confidence_interval","numerator","denominator","samp_size"
"Percentage of individuals employed","2004","North East","Other Asian","Detailed","Women","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","North East","Other than White","White and Other","All","16-24","46.4","19.6","6000","13000","62"
"Percentage of individuals employed","2004","North East","Other than White","White and Other","All","25-49","34.6","13.3","11000","31000","122"
"Percentage of individuals employed","2004","North East","Other than White","White and Other","All","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","North East","Other than White","White and Other","All","All (16-64)","38.0","10.5","18000","49000","204"
"Percentage of individuals employed","2004","North East","Other than White","White and Other","Men","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","North East","Other than White","White and Other","Men","25-49","23.8","20.1","4000","18000","43"
"Percentage of individuals employed","2004","North East","Other than White","White and Other","Men","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","North East","Other than White","White and Other","Men","All (16-64)","26.1","16.4","7000","25000","69"
"Percentage of individuals employed","2004","North East","Other than White","White and Other","Women","16-24","54.7","24.4","4000","7000","40"
"Percentage of individuals employed","2004","North East","Other than White","White and Other","Women","25-49","48.2","17.4","7000","14000","79"
"Percentage of individuals employed","2004","North East","Other than White","White and Other","Women","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","North East","Other than White","White and Other","Women","All (16-64)","50.7","13.3","12000","23000","135"
"Percentage of individuals employed","2004","North East","Pakistani/Bangladeshi","Detailed","All","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","North East","Pakistani/Bangladeshi","Detailed","All","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","North East","Pakistani/Bangladeshi","Detailed","All","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","North East","Pakistani/Bangladeshi","Detailed","All","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","North East","Pakistani/Bangladeshi","Detailed","Men","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","North East","Pakistani/Bangladeshi","Detailed","Men","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","North East","Pakistani/Bangladeshi","Detailed","Men","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","North East","Pakistani/Bangladeshi","Detailed","Women","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","North East","Pakistani/Bangladeshi","Detailed","Women","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","North East","Pakistani/Bangladeshi","Detailed","Women","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","North East","Pakistani/Bangladeshi","Detailed","Women","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","North East","Unknown","ONS 2011 5+1","All","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","North East","Unknown","ONS 2011 5+1","All","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","North East","Unknown","ONS 2011 5+1","All","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","North East","Unknown","ONS 2011 5+1","Men","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","North East","Unknown","ONS 2011 5+1","Men","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","North East","Unknown","ONS 2011 5+1","Women","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","North East","Unknown","ONS 2011 5+1","Women","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","North East","White","ONS 2011 5+1","All","16-24","30.3","4.3","87000","288000","1087"
"Percentage of individuals employed","2004","North East","White","ONS 2011 5+1","All","25-49","17.3","2.7","143000","825000","1866"
"Percentage of individuals employed","2004","North East","White","ONS 2011 5+1","All","50-64","43.4","2.9","199000","458000","2796"
"Percentage of individuals employed","2004","North East","White","ONS 2011 5+1","All","All (16-64)","27.3","1.8","429000","1571000","5749"
"Percentage of individuals employed","2004","North East","White","ONS 2011 5+1","Men","16-24","25.7","6.2","37000","145000","482"
"Percentage of individuals employed","2004","North East","White","ONS 2011 5+1","Men","25-49","10.6","4.2","43000","400000","519"
"Percentage of individuals employed","2004","North East","White","ONS 2011 5+1","Men","50-64","36.5","4.5","83000","227000","1089"
"Percentage of individuals employed","2004","North East","White","ONS 2011 5+1","Men","All (16-64)","21.0","2.8","162000","772000","2090"
"Percentage of individuals employed","2004","North East","White","ONS 2011 5+1","Women","16-24","35.1","6","50000","143000","605"
"Percentage of individuals employed","2004","North East","White","ONS 2011 5+1","Women","25-49","23.7","3.6","101000","425000","1347"
"Percentage of individuals employed","2004","North East","White","ONS 2011 5+1","Women","50-64","50.2","3.7","116000","231000","1707"
"Percentage of individuals employed","2004","North East","White","ONS 2011 5+1","Women","All (16-64)","33.4","2.4","267000","799000","3659"
"Percentage of individuals employed","2004","North East","White British","Detailed","All","16-24","30.3","4.3","86000","285000","1077"
"Percentage of individuals employed","2004","North East","White British","Detailed","All","25-49","17.3","2.7","141000","815000","1846"
"Percentage of individuals employed","2004","North East","White British","Detailed","All","50-64","43.4","2.9","197000","455000","2778"
"Percentage of individuals employed","2004","North East","White British","Detailed","All","All (16-64)","27.4","1.8","425000","1555000","5701"
"Percentage of individuals employed","2004","North East","White British","Detailed","Men","16-24","25.6","6.2","37000","144000","478"
"Percentage of individuals employed","2004","North East","White British","Detailed","Men","25-49","10.5","4.2","42000","395000","510"
"Percentage of individuals employed","2004","North East","White British","Detailed","Men","50-64","36.4","4.5","82000","225000","1079"
"Percentage of individuals employed","2004","North East","White British","Detailed","Men","All (16-64)","21.0","2.8","160000","764000","2067"
"Percentage of individuals employed","2004","North East","White British","Detailed","Women","16-24","35.1","6","50000","141000","599"
"Percentage of individuals employed","2004","North East","White British","Detailed","Women","25-49","23.8","3.6","100000","420000","1336"
"Percentage of individuals employed","2004","North East","White British","Detailed","Women","50-64","50.3","3.8","116000","230000","1699"
"Percentage of individuals employed","2004","North East","White British","Detailed","Women","All (16-64)","33.5","2.4","265000","791000","3634"
"Percentage of individuals employed","2004","North East","White Other","Detailed","All","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","North East","White Other","Detailed","All","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","North East","White Other","Detailed","All","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","North East","White Other","Detailed","All","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","North East","White Other","Detailed","Men","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","North East","White Other","Detailed","Men","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","North East","White Other","Detailed","Men","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","North East","White Other","Detailed","Men","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","North East","White Other","Detailed","Women","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","North East","White Other","Detailed","Women","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","North East","White Other","Detailed","Women","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","North East","White Other","Detailed","Women","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","All","All","All","16-24","34.3","2","274000","800000","2122"
"Percentage of individuals employed","2004","North West","All","All","All","25-49","16.7","1.3","389000","2333000","3375"
"Percentage of individuals employed","2004","North West","All","All","All","50-64","38.1","1.4","466000","1224000","4436"
"Percentage of individuals employed","2004","North West","All","All","All","All (16-64)","25.9","0.9","1130000","4357000","9933"
"Percentage of individuals employed","2004","North West","All","All","Men","16-24","30.7","3","123000","401000","909"
"Percentage of individuals employed","2004","North West","All","All","Men","25-49","9.7","1.9","112000","1151000","898"
"Percentage of individuals employed","2004","North West","All","All","Men","50-64","31.1","2.2","189000","607000","1734"
"Percentage of individuals employed","2004","North West","All","All","Men","All (16-64)","19.6","1.3","424000","2158000","3541"
"Percentage of individuals employed","2004","North West","All","All","Women","16-24","37.8","2.7","151000","399000","1213"
"Percentage of individuals employed","2004","North West","All","All","Women","25-49","23.5","1.7","278000","1182000","2477"
"Percentage of individuals employed","2004","North West","All","All","Women","50-64","44.9","1.9","277000","617000","2702"
"Percentage of individuals employed","2004","North West","All","All","Women","All (16-64)","32.1","1.1","706000","2198000","6392"
"Percentage of individuals employed","2004","North West","Asian","ONS 2011 5+1","All","16-24","58.9","10.3","30000","51000","217"
"Percentage of individuals employed","2004","North West","Asian","ONS 2011 5+1","All","25-49","34.7","8.3","36000","104000","317"
"Percentage of individuals employed","2004","North West","Asian","ONS 2011 5+1","All","50-64","56.3","15","12000","21000","105"
"Percentage of individuals employed","2004","North West","Asian","ONS 2011 5+1","All","All (16-64)","44.3","6.1","78000","177000","639"
"Percentage of individuals employed","2004","North West","Asian","ONS 2011 5+1","Men","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Asian","ONS 2011 5+1","Men","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Asian","ONS 2011 5+1","Men","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Asian","ONS 2011 5+1","Men","All (16-64)","29.0","10.3","26000","90000","188"
"Percentage of individuals employed","2004","North West","Asian","ONS 2011 5+1","Women","16-24","57.9","13.8","16000","27000","122"
"Percentage of individuals employed","2004","North West","Asian","ONS 2011 5+1","Women","25-49","58.1","9.4","30000","51000","266"
"Percentage of individuals employed","2004","North West","Asian","ONS 2011 5+1","Women","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Asian","ONS 2011 5+1","Women","All (16-64)","60.0","7.1","52000","87000","451"
"Percentage of individuals employed","2004","North West","Black","ONS 2011 5+1","All","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Black","ONS 2011 5+1","All","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Black","ONS 2011 5+1","All","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Black","ONS 2011 5+1","All","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Black","ONS 2011 5+1","Men","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Black","ONS 2011 5+1","Men","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Black","ONS 2011 5+1","Men","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Black","ONS 2011 5+1","Men","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Black","ONS 2011 5+1","Women","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Black","ONS 2011 5+1","Women","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Black","ONS 2011 5+1","Women","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Black","ONS 2011 5+1","Women","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Indian","Detailed","All","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Indian","Detailed","All","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Indian","Detailed","All","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Indian","Detailed","All","All (16-64)","33.7","12.5","15000","46000","137"
"Percentage of individuals employed","2004","North West","Indian","Detailed","Men","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Indian","Detailed","Men","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Indian","Detailed","Men","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Indian","Detailed","Men","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Indian","Detailed","Women","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Indian","Detailed","Women","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Indian","Detailed","Women","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Indian","Detailed","Women","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Mixed","ONS 2011 5+1","All","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Mixed","ONS 2011 5+1","All","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Mixed","ONS 2011 5+1","All","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Mixed","ONS 2011 5+1","All","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Mixed","ONS 2011 5+1","Men","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Mixed","ONS 2011 5+1","Men","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Mixed","ONS 2011 5+1","Men","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Mixed","ONS 2011 5+1","Men","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Mixed","ONS 2011 5+1","Women","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Mixed","ONS 2011 5+1","Women","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Mixed","ONS 2011 5+1","Women","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Mixed","ONS 2011 5+1","Women","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Other","ONS 2011 5+1","All","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Other","ONS 2011 5+1","All","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Other","ONS 2011 5+1","All","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Other","ONS 2011 5+1","All","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Other","ONS 2011 5+1","Men","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Other","ONS 2011 5+1","Men","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Other","ONS 2011 5+1","Men","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Other","ONS 2011 5+1","Men","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Other","ONS 2011 5+1","Women","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Other","ONS 2011 5+1","Women","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Other","ONS 2011 5+1","Women","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Other","ONS 2011 5+1","Women","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Other Asian","Detailed","All","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Other Asian","Detailed","All","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Other Asian","Detailed","All","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Other Asian","Detailed","All","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Other Asian","Detailed","Men","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Other Asian","Detailed","Men","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Other Asian","Detailed","Men","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Other Asian","Detailed","Men","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Other Asian","Detailed","Women","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Other Asian","Detailed","Women","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Other Asian","Detailed","Women","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Other Asian","Detailed","Women","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Other than White","White and Other","All","16-24","57.4","9","43000","75000","290"
"Percentage of individuals employed","2004","North West","Other than White","White and Other","All","25-49","33.8","6.9","56000","166000","447"
"Percentage of individuals employed","2004","North West","Other than White","White and Other","All","50-64","51.6","13.2","16000","31000","137"
"Percentage of individuals employed","2004","North West","Other than White","White and Other","All","All (16-64)","42.4","5.2","115000","272000","874"
"Percentage of individuals employed","2004","North West","Other than White","White and Other","Men","16-24","57.1","13.4","22000","38000","131"
"Percentage of individuals employed","2004","North West","Other than White","White and Other","Men","25-49","17.3","11.8","15000","88000","99"
"Percentage of individuals employed","2004","North West","Other than White","White and Other","Men","50-64","37.9","20.6","7000","17000","53"
"Percentage of individuals employed","2004","North West","Other than White","White and Other","Men","All (16-64)","30.4","8.5","43000","143000","283"
"Percentage of individuals employed","2004","North West","Other than White","White and Other","Women","16-24","57.8","12.1","21000","37000","159"
"Percentage of individuals employed","2004","North West","Other than White","White and Other","Women","25-49","52.4","8.3","41000","78000","348"
"Percentage of individuals employed","2004","North West","Other than White","White and Other","Women","50-64","67.9","15.8","10000","14000","84"
"Percentage of individuals employed","2004","North West","Other than White","White and Other","Women","All (16-64)","55.6","6.3","72000","129000","591"
"Percentage of individuals employed","2004","North West","Pakistani/Bangladeshi","Detailed","All","16-24","61.8","12.1","21000","34000","155"
"Percentage of individuals employed","2004","North West","Pakistani/Bangladeshi","Detailed","All","25-49","41.9","10.4","24000","57000","217"
"Percentage of individuals employed","2004","North West","Pakistani/Bangladeshi","Detailed","All","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Pakistani/Bangladeshi","Detailed","All","All (16-64)","50.8","7.4","51000","101000","432"
"Percentage of individuals employed","2004","North West","Pakistani/Bangladeshi","Detailed","Men","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Pakistani/Bangladeshi","Detailed","Men","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Pakistani/Bangladeshi","Detailed","Men","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Pakistani/Bangladeshi","Detailed","Men","All (16-64)","31.1","12.9","16000","52000","123"
"Percentage of individuals employed","2004","North West","Pakistani/Bangladeshi","Detailed","Women","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Pakistani/Bangladeshi","Detailed","Women","25-49","74.0","10.1","19000","26000","180"
"Percentage of individuals employed","2004","North West","Pakistani/Bangladeshi","Detailed","Women","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Pakistani/Bangladeshi","Detailed","Women","All (16-64)","71.4","8","35000","49000","309"
"Percentage of individuals employed","2004","North West","Unknown","ONS 2011 5+1","All","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Unknown","ONS 2011 5+1","All","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Unknown","ONS 2011 5+1","All","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Unknown","ONS 2011 5+1","All","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Unknown","ONS 2011 5+1","Men","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Unknown","ONS 2011 5+1","Men","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Unknown","ONS 2011 5+1","Men","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Unknown","ONS 2011 5+1","Men","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Unknown","ONS 2011 5+1","Women","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Unknown","ONS 2011 5+1","Women","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Unknown","ONS 2011 5+1","Women","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","Unknown","ONS 2011 5+1","Women","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","White","ONS 2011 5+1","All","16-24","31.8","3.4","231000","725000","1829"
"Percentage of individuals employed","2004","North West","White","ONS 2011 5+1","All","25-49","15.4","2.1","333000","2166000","2924"
"Percentage of individuals employed","2004","North West","White","ONS 2011 5+1","All","50-64","37.7","2.3","450000","1192000","4297"
"Percentage of individuals employed","2004","North West","White","ONS 2011 5+1","All","All (16-64)","24.8","1.4","1013000","4083000","9050"
"Percentage of individuals employed","2004","North West","White","ONS 2011 5+1","Men","16-24","27.9","5","101000","363000","776"
"Percentage of individuals employed","2004","North West","White","ONS 2011 5+1","Men","25-49","9.1","3.2","96000","1062000","798"
"Percentage of individuals employed","2004","North West","White","ONS 2011 5+1","Men","50-64","30.9","3.5","182000","589000","1680"
"Percentage of individuals employed","2004","North West","White","ONS 2011 5+1","Men","All (16-64)","18.9","2.1","380000","2015000","3254"
"Percentage of individuals employed","2004","North West","White","ONS 2011 5+1","Women","16-24","35.8","4.6","130000","362000","1053"
"Percentage of individuals employed","2004","North West","White","ONS 2011 5+1","Women","25-49","21.4","2.8","236000","1104000","2126"
"Percentage of individuals employed","2004","North West","White","ONS 2011 5+1","Women","50-64","44.4","3","267000","602000","2617"
"Percentage of individuals employed","2004","North West","White","ONS 2011 5+1","Women","All (16-64)","30.6","1.9","633000","2068000","5796"
"Percentage of individuals employed","2004","North West","White British","Detailed","All","16-24","31.6","3.4","226000","713000","1801"
"Percentage of individuals employed","2004","North West","White British","Detailed","All","25-49","15.2","2.1","322000","2123000","2847"
"Percentage of individuals employed","2004","North West","White British","Detailed","All","50-64","37.6","2.3","439000","1167000","4199"
"Percentage of individuals employed","2004","North West","White British","Detailed","All","All (16-64)","24.7","1.4","987000","4002000","8847"
"Percentage of individuals employed","2004","North West","White British","Detailed","Men","16-24","27.7","5","99000","358000","764"
"Percentage of individuals employed","2004","North West","White British","Detailed","Men","25-49","8.8","3.2","92000","1041000","773"
"Percentage of individuals employed","2004","North West","White British","Detailed","Men","50-64","30.8","3.5","177000","576000","1635"
"Percentage of individuals employed","2004","North West","White British","Detailed","Men","All (16-64)","18.7","2.1","369000","1974000","3172"
"Percentage of individuals employed","2004","North West","White British","Detailed","Women","16-24","35.6","4.6","126000","355000","1037"
"Percentage of individuals employed","2004","North West","White British","Detailed","Women","25-49","21.3","2.8","230000","1082000","2074"
"Percentage of individuals employed","2004","North West","White British","Detailed","Women","50-64","44.3","3","261000","591000","2564"
"Percentage of individuals employed","2004","North West","White British","Detailed","Women","All (16-64)","30.5","1.9","618000","2028000","5675"
"Percentage of individuals employed","2004","North West","White Other","Detailed","All","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","White Other","Detailed","All","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","White Other","Detailed","All","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","White Other","Detailed","All","All (16-64)","33.0","10.2","26000","80000","203"
"Percentage of individuals employed","2004","North West","White Other","Detailed","Men","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","White Other","Detailed","Men","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","White Other","Detailed","Men","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","White Other","Detailed","Men","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","White Other","Detailed","Women","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","White Other","Detailed","Women","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","White Other","Detailed","Women","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","North West","White Other","Detailed","Women","All (16-64)","37.7","13.6","15000","40000","121"
"Percentage of individuals employed","2004","Scotland","All","All","All","16-24","27.6","2.4","161000","583000","1385"
"Percentage of individuals employed","2004","Scotland","All","All","All","25-49","15.1","1.4","270000","1781000","2594"
"Percentage of individuals employed","2004","Scotland","All","All","All","50-64","36.2","1.5","335000","925000","3862"
"Percentage of individuals employed","2004","Scotland","All","All","All","All (16-64)","23.3","0.9","765000","3289000","7841"
"Percentage of individuals employed","2004","Scotland","All","All","Men","16-24","24.2","3.4","70000","291000","617"
"Percentage of individuals employed","2004","Scotland","All","All","Men","25-49","8.8","2.2","76000","862000","662"
"Percentage of individuals employed","2004","Scotland","All","All","Men","50-64","28.1","2.4","127000","451000","1380"
"Percentage of individuals employed","2004","Scotland","All","All","Men","All (16-64)","17.0","1.4","273000","1604000","2659"
"Percentage of individuals employed","2004","Scotland","All","All","Women","16-24","31.1","3.3","91000","292000","768"
"Percentage of individuals employed","2004","Scotland","All","All","Women","25-49","21.1","1.8","194000","919000","1932"
"Percentage of individuals employed","2004","Scotland","All","All","Women","50-64","43.8","2","208000","474000","2482"
"Percentage of individuals employed","2004","Scotland","All","All","Women","All (16-64)","29.2","1.2","492000","1685000","5182"
"Percentage of individuals employed","2004","Scotland","Asian","ONS 2011 5+1","All","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","Scotland","Asian","ONS 2011 5+1","All","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","Scotland","Asian","ONS 2011 5+1","All","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","Scotland","Asian","ONS 2011 5+1","All","All (16-64)","38.1","14","18000","48000","116"
"Percentage of individuals employed","2004","Scotland","Asian","ONS 2011 5+1","Men","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","Scotland","Asian","ONS 2011 5+1","Men","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","Scotland","Asian","ONS 2011 5+1","Men","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","Scotland","Asian","ONS 2011 5+1","Men","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","Scotland","Asian","ONS 2011 5+1","Women","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","Scotland","Asian","ONS 2011 5+1","Women","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","Scotland","Asian","ONS 2011 5+1","Women","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","Scotland","Asian","ONS 2011 5+1","Women","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","Scotland","Black","ONS 2011 5+1","All","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","Scotland","Black","ONS 2011 5+1","All","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","Scotland","Black","ONS 2011 5+1","All","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","Scotland","Black","ONS 2011 5+1","Men","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","Scotland","Black","ONS 2011 5+1","Men","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","Scotland","Black","ONS 2011 5+1","Men","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","Scotland","Black","ONS 2011 5+1","Women","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","Scotland","Black","ONS 2011 5+1","Women","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","Scotland","Black","ONS 2011 5+1","Women","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","Scotland","Indian","Detailed","All","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","Scotland","Indian","Detailed","All","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","Scotland","Indian","Detailed","All","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","Scotland","Indian","Detailed","All","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","Scotland","Indian","Detailed","Men","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","Scotland","Indian","Detailed","Men","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","Scotland","Indian","Detailed","Men","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","Scotland","Indian","Detailed","Men","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","Scotland","Indian","Detailed","Women","16-24","?","?","?","?","?"
"Percentage of individuals employed","2004","Scotland","Indian","Detailed","Women","25-49","?","?","?","?","?"
"Percentage of individuals employed","2004","Scotland","Indian","Detailed","Women","50-64","?","?","?","?","?"
"Percentage of individuals employed","2004","Scotland","Indian","Detailed","Women","All (16-64)","?","?","?","?","?"
"Percentage of individuals employed","2004","Scotland","Mixed","ONS 2011 5+1","All","16-24","?","?","?","?","?"
