Date,Date type,Region,Region type,Ethncity,Ethncity type,Numerator,Numerator type,Denominator,Denominator type,Rate,Rate type
2012,Calendar Year,South East,Government Region,White,ONS 2,"98,681",Average number of claimants a month matching geographic and ethnicity status,"4,956,229",Number of people in the population matching geographic and ethnicity status,2.0,Percentage of Numerator / Denominator
2013,Calendar Year,South East,Government Region,White,ONS 2,"73,359",Average number of claimants a month matching geographic and ethnicity status,"4,952,237",Number of people in the population matching geographic and ethnicity status,1.5,Percentage of Numerator / Denominator
2014,Calendar Year,South East,Government Region,White,ONS 2,"63,753",Average number of claimants a month matching geographic and ethnicity status,"4,964,507",Number of people in the population matching geographic and ethnicity status,1.3,Percentage of Numerator / Denominator
2015,Calendar Year,South East,Government Region,White,ONS 2,"58,868",Average number of claimants a month matching geographic and ethnicity status,"4,981,922",Number of people in the population matching geographic and ethnicity status,1.2,Percentage of Numerator / Denominator
2011,Calendar Year,South West,Government Region,White,ONS 2,"86,723",Average number of claimants a month matching geographic and ethnicity status,"3,164,908",Number of people in the population matching geographic and ethnicity status,2.7,Percentage of Numerator / Denominator
2012,Calendar Year,South West,Government Region,White,ONS 2,"69,282",Average number of claimants a month matching geographic and ethnicity status,"3,151,297",Number of people in the population matching geographic and ethnicity status,2.2,Percentage of Numerator / Denominator
2013,Calendar Year,South West,Government Region,White,ONS 2,"50,780",Average number of claimants a month matching geographic and ethnicity status,"3,149,609",Number of people in the population matching geographic and ethnicity status,1.6,Percentage of Numerator / Denominator
2014,Calendar Year,South West,Government Region,White,ONS 2,"43,979",Average number of claimants a month matching geographic and ethnicity status,"3,153,860",Number of people in the population matching geographic and ethnicity status,1.4,Percentage of Numerator / Denominator
2015,Calendar Year,South West,Government Region,White,ONS 2,"39,591",Average number of claimants a month matching geographic and ethnicity status,"3,166,138",Number of people in the population matching geographic and ethnicity status,1.3,Percentage of Numerator / Denominator
2011,Calendar Year,Wales,Government Region,White,ONS 2,"75,838",Average number of claimants a month matching geographic and ethnicity status,"1,850,051",Number of people in the population matching geographic and ethnicity status,4.1,Percentage of Numerator / Denominator
2012,Calendar Year,Wales,Government Region,White,ONS 2,"60,566",Average number of claimants a month matching geographic and ethnicity status,"1,838,848",Number of people in the population matching geographic and ethnicity status,3.3,Percentage of Numerator / Denominator
2013,Calendar Year,Wales,Government Region,White,ONS 2,"45,445",Average number of claimants a month matching geographic and ethnicity status,"1,832,178",Number of people in the population matching geographic and ethnicity status,2.5,Percentage of Numerator / Denominator
2014,Calendar Year,Wales,Government Region,White,ONS 2,"39,043",Average number of claimants a month matching geographic and ethnicity status,"1,826,489",Number of people in the population matching geographic and ethnicity status,2.1,Percentage of Numerator / Denominator
2015,Calendar Year,Wales,Government Region,White,ONS 2,"36,359",Average number of claimants a month matching geographic and ethnicity status,"1,821,427",Number of people in the population matching geographic and ethnicity status,2.0,Percentage of Numerator / Denominator
2011,Calendar Year,West Midlands,Government Region,White,ONS 2,"98,672",Average number of claimants a month matching geographic and ethnicity status,"2,941,587",Number of people in the population matching geographic and ethnicity status,3.4,Percentage of Numerator / Denominator
2012,Calendar Year,West Midlands,Government Region,White,ONS 2,"79,884",Average number of claimants a month matching geographic and ethnicity status,"2,924,086",Number of people in the population matching geographic and ethnicity status,2.7,Percentage of Numerator / Denominator
2013,Calendar Year,West Midlands,Government Region,White,ONS 2,"61,896",Average number of claimants a month matching geographic and ethnicity status,"2,913,985",Number of people in the population matching geographic and ethnicity status,2.1,Percentage of Numerator / Denominator
2014,Calendar Year,West Midlands,Government Region,White,ONS 2,"55,096",Average number of claimants a month matching geographic and ethnicity status,"2,908,345",Number of people in the population matching geographic and ethnicity status,1.9,Percentage of Numerator / Denominator
2015,Calendar Year,West Midlands,Government Region,White,ONS 2,"51,375",Average number of claimants a month matching geographic and ethnicity status,"2,906,373",Number of people in the population matching geographic and ethnicity status,1.8,Percentage of Numerator / Denominator
2011,Calendar Year,Yorkshire and The Humber,Government Region,White,ONS 2,"102,788",Average number of claimants a month matching geographic and ethnicity status,"3,029,864",Number of people in the population matching geographic and ethnicity status,3.4,Percentage of Numerator / Denominator
2012,Calendar Year,Yorkshire and The Humber,Government Region,White,ONS 2,"82,351",Average number of claimants a month matching geographic and ethnicity status,"3,013,965",Number of people in the population matching geographic and ethnicity status,2.7,Percentage of Numerator / Denominator
2013,Calendar Year,Yorkshire and The Humber,Government Region,White,ONS 2,"62,098",Average number of claimants a month matching geographic and ethnicity status,"2,999,903",Number of people in the population matching geographic and ethnicity status,2.1,Percentage of Numerator / Denominator
2014,Calendar Year,Yorkshire and The Humber,Government Region,White,ONS 2,"55,640",Average number of claimants a month matching geographic and ethnicity status,"2,987,328",Number of people in the population matching geographic and ethnicity status,1.9,Percentage of Numerator / Denominator
2015,Calendar Year,Yorkshire and The Humber,Government Region,White,ONS 2,"52,502",Average number of claimants a month matching geographic and ethnicity status,"2,986,069",Number of people in the population matching geographic and ethnicity status,1.8,Percentage of Numerator / Denominator
