"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography_type","Geography_code","Geography_name","Age group_type","Age group","Value","Numerator","Denominator"
"Average number of offences per reoffender",2007,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","50+",2.3,322,138
"Average number of offences per reoffender",2007,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","50+",3,782,258
"Average number of offences per reoffender",2007,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","50+",2.2,249,114
"Average number of offences per reoffender",2007,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","50+",2,57,28
"Average number of offences per reoffender",2007,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","50+",2.8,10917,3890
"Average number of offences per reoffender",2007,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000002","North West","Adult","18 to 20",3,436,143
"Average number of offences per reoffender",2007,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000002","North West","Adult","18 to 20",2.7,427,157
"Average number of offences per reoffender",2007,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000002","North West","Adult","18 to 20",2,168,82
"Average number of offences per reoffender",2007,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000002","North West","Adult","18 to 20",2.5,32,13
"Average number of offences per reoffender",2007,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000002","North West","Adult","18 to 20",3,12434,4113
"Average number of offences per reoffender",2007,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000002","North West","Adult","21 to 24",2.7,520,192
"Average number of offences per reoffender",2007,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000002","North West","Adult","21 to 24",2.5,378,149
"Average number of offences per reoffender",2007,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000002","North West","Adult","21 to 24",1.8,119,68
"Average number of offences per reoffender",2007,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000002","North West","Adult","21 to 24",2.6,55,21
"Average number of offences per reoffender",2007,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000002","North West","Adult","21 to 24",2.8,10222,3589
"Average number of offences per reoffender",2007,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000002","North West","Adult","25 to 29",3.1,449,145
"Average number of offences per reoffender",2007,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000002","North West","Adult","25 to 29",2.7,394,147
"Average number of offences per reoffender",2007,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000002","North West","Adult","25 to 29",2.7,89,33
"Average number of offences per reoffender",2007,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000002","North West","Adult","25 to 29",2.5,62,25
"Average number of offences per reoffender",2007,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000002","North West","Adult","25 to 29",3.2,9689,3062
"Average number of offences per reoffender",2007,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000002","North West","Adult","30 to 34",2.8,243,88
"Average number of offences per reoffender",2007,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000002","North West","Adult","30 to 34",3,322,109
"Average number of offences per reoffender",2007,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000002","North West","Adult","30 to 34",2.2,31,14
"Average number of offences per reoffender",2007,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000002","North West","Adult","30 to 34",2,34,17
"Average number of offences per reoffender",2007,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000002","North West","Adult","30 to 34",3.3,9261,2807
"Average number of offences per reoffender",2007,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000002","North West","Adult","35 to 39",3.2,146,45
"Average number of offences per reoffender",2007,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000002","North West","Adult","35 to 39",2.8,227,81
"Average number of offences per reoffender",2007,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000002","North West","Adult","35 to 39",2.3,46,20
"Average number of offences per reoffender",2007,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000002","North West","Adult","35 to 39",2.2,20,9
"Average number of offences per reoffender",2007,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000002","North West","Adult","35 to 39",3,7058,2328
"Average number of offences per reoffender",2007,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000002","North West","Adult","40 to 44",2.3,23,10
"Average number of offences per reoffender",2007,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000002","North West","Adult","40 to 44",2.8,151,54
"Average number of offences per reoffender",2007,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000002","North West","Adult","40 to 44",2.3,51,22
"Average number of offences per reoffender",2007,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000002","North West","Adult","40 to 44",4.3,13,3
"Average number of offences per reoffender",2007,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000002","North West","Adult","40 to 44",2.9,4395,1510
"Average number of offences per reoffender",2007,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000002","North West","Adult","45 to 49",3.1,31,10
"Average number of offences per reoffender",2007,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000002","North West","Adult","45 to 49",3,77,26
"Average number of offences per reoffender",2007,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000002","North West","Adult","45 to 49",1.3,13,10
"Average number of offences per reoffender",2007,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000002","North West","Adult","45 to 49",NA,0,0
"Average number of offences per reoffender",2007,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000002","North West","Adult","45 to 49",3.1,1930,632
"Average number of offences per reoffender",2007,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000002","North West","Adult","50+",1.8,22,12
"Average number of offences per reoffender",2007,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000002","North West","Adult","50+",3.3,40,12
"Average number of offences per reoffender",2007,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000002","North West","Adult","50+",2.4,43,18
"Average number of offences per reoffender",2007,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000002","North West","Adult","50+",NA,0,0
"Average number of offences per reoffender",2007,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000002","North West","Adult","50+",2.7,1388,522
"Average number of offences per reoffender",2002,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","18 to 20",3,4607,1523
"Average number of offences per reoffender",2002,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","18 to 20",3.1,7582,2430
"Average number of offences per reoffender",2002,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","18 to 20",3.1,837,270
"Average number of offences per reoffender",2002,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","18 to 20",2.7,390,147
"Average number of offences per reoffender",2002,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","18 to 20",3.6,99940,27626
"Average number of offences per reoffender",2002,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","21 to 24",3.1,5089,1662
"Average number of offences per reoffender",2002,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","21 to 24",3.2,7074,2234
"Average number of offences per reoffender",2002,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","21 to 24",3,656,217
"Average number of offences per reoffender",2002,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","21 to 24",3.2,608,191
"Average number of offences per reoffender",2002,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","21 to 24",3.9,103124,26472
"Average number of offences per reoffender",2002,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","25 to 29",3.2,3522,1116
"Average number of offences per reoffender",2002,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","25 to 29",3.5,6128,1774
"Average number of offences per reoffender",2002,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","25 to 29",3.1,489,157
"Average number of offences per reoffender",2002,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","25 to 29",3.2,627,196
"Average number of offences per reoffender",2002,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","25 to 29",3.9,91247,23410
"Average number of offences per reoffender",2002,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","30 to 34",2.9,1672,569
"Average number of offences per reoffender",2002,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","30 to 34",3.4,5206,1510
"Average number of offences per reoffender",2002,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","30 to 34",2.7,375,139
"Average number of offences per reoffender",2002,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","30 to 34",3.1,377,122
"Average number of offences per reoffender",2002,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","30 to 34",3.7,66216,17948
"Average number of offences per reoffender",2002,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","35 to 39",2.9,701,244
"Average number of offences per reoffender",2002,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","35 to 39",3.4,4710,1395
"Average number of offences per reoffender",2002,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","35 to 39",2.6,296,113
"Average number of offences per reoffender",2002,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","35 to 39",3.2,224,69
"Average number of offences per reoffender",2002,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","35 to 39",3.3,38743,11647
"Average number of offences per reoffender",2002,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","40 to 44",3.2,520,165
"Average number of offences per reoffender",2002,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","40 to 44",3.1,2292,746
"Average number of offences per reoffender",2002,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","40 to 44",2.4,186,77
"Average number of offences per reoffender",2002,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","40 to 44",2.2,117,53
"Average number of offences per reoffender",2002,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","40 to 44",3,18585,6231
"Average number of offences per reoffender",2002,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","45 to 49",2.7,227,85
"Average number of offences per reoffender",2002,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","45 to 49",3.1,805,261
"Average number of offences per reoffender",2002,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","45 to 49",3.2,190,60
"Average number of offences per reoffender",2002,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","45 to 49",2.7,35,13
"Average number of offences per reoffender",2002,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","45 to 49",3,8677,2895
"Average number of offences per reoffender",2002,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","50+",2.7,144,54
"Average number of offences per reoffender",2002,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","50+",2.8,412,148
"Average number of offences per reoffender",2002,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","50+",2.1,153,73
"Average number of offences per reoffender",2002,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","50+",2.2,20,9
"Average number of offences per reoffender",2002,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Country","K04000001","England and Wales","Adult","50+",3,8570,2892
"Average number of offences per reoffender",2006,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","18 to 20",2.4,71,29
"Average number of offences per reoffender",2006,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","18 to 20",2.1,32,15
"Average number of offences per reoffender",2006,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","18 to 20",3.6,40,11
"Average number of offences per reoffender",2006,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","18 to 20",5,15,3
"Average number of offences per reoffender",2006,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","18 to 20",3.2,8457,2615
"Average number of offences per reoffender",2006,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","21 to 24",2.8,88,31
"Average number of offences per reoffender",2006,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","21 to 24",2.6,42,16
"Average number of offences per reoffender",2006,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","21 to 24",2,18,9
"Average number of offences per reoffender",2006,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","21 to 24",2.3,34,15
"Average number of offences per reoffender",2006,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","21 to 24",3.3,7714,2368
"Average number of offences per reoffender",2006,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","25 to 29",2.4,69,29
"Average number of offences per reoffender",2006,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","25 to 29",2.5,58,23
"Average number of offences per reoffender",2006,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","25 to 29",2.9,40,14
"Average number of offences per reoffender",2006,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","25 to 29",4.9,54,11
"Average number of offences per reoffender",2006,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","25 to 29",3.3,6636,1988
"Average number of offences per reoffender",2006,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","30 to 34",3.3,20,6
"Average number of offences per reoffender",2006,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","30 to 34",2.6,31,12
"Average number of offences per reoffender",2006,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","30 to 34",4.4,40,9
"Average number of offences per reoffender",2006,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","30 to 34",2.3,7,3
"Average number of offences per reoffender",2006,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","30 to 34",3.3,4341,1313
"Average number of offences per reoffender",2006,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","35 to 39",3.6,40,11
"Average number of offences per reoffender",2006,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","35 to 39",3.1,22,7
"Average number of offences per reoffender",2006,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","35 to 39",2.2,13,6
"Average number of offences per reoffender",2006,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","35 to 39",6.6,33,5
"Average number of offences per reoffender",2006,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","35 to 39",2.8,2665,943
"Average number of offences per reoffender",2006,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","40 to 44",1.5,6,4
"Average number of offences per reoffender",2006,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","40 to 44",4.5,36,8
"Average number of offences per reoffender",2006,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","40 to 44",1.3,9,7
"Average number of offences per reoffender",2006,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","40 to 44",1,3,3
"Average number of offences per reoffender",2006,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","40 to 44",2.6,1365,520
"Average number of offences per reoffender",2006,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","45 to 49",2,4,2
"Average number of offences per reoffender",2006,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","45 to 49",11.5,23,2
"Average number of offences per reoffender",2006,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","45 to 49",1,4,4
"Average number of offences per reoffender",2006,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","45 to 49",1,1,1
"Average number of offences per reoffender",2006,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","45 to 49",3.1,866,278
"Average number of offences per reoffender",2006,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","50+",NA,0,0
"Average number of offences per reoffender",2006,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","50+",NA,0,0
"Average number of offences per reoffender",2006,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","50+",1.2,6,5
"Average number of offences per reoffender",2006,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","50+",NA,0,0
"Average number of offences per reoffender",2006,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000001","North East","Adult","50+",2.8,786,279
"Average number of offences per reoffender",2006,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","18 to 20",4.1,61,15
"Average number of offences per reoffender",2006,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","18 to 20",3.5,301,86
"Average number of offences per reoffender",2006,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","18 to 20",1.7,33,19
"Average number of offences per reoffender",2006,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","18 to 20",1.8,11,6
"Average number of offences per reoffender",2006,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","18 to 20",3.2,5878,1853
"Average number of offences per reoffender",2006,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","21 to 24",3.8,77,20
"Average number of offences per reoffender",2006,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","21 to 24",4,321,80
"Average number of offences per reoffender",2006,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","21 to 24",1.6,21,13
"Average number of offences per reoffender",2006,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","21 to 24",5.7,40,7
"Average number of offences per reoffender",2006,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","21 to 24",3.3,5931,1809
"Average number of offences per reoffender",2006,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","25 to 29",3.1,59,19
"Average number of offences per reoffender",2006,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","25 to 29",3.5,283,82
"Average number of offences per reoffender",2006,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","25 to 29",3.4,55,16
"Average number of offences per reoffender",2006,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","25 to 29",2.3,16,7
"Average number of offences per reoffender",2006,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","25 to 29",3.4,5741,1692
"Average number of offences per reoffender",2006,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","30 to 34",2.5,32,13
"Average number of offences per reoffender",2006,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","30 to 34",2.7,169,62
"Average number of offences per reoffender",2006,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","30 to 34",4.1,37,9
"Average number of offences per reoffender",2006,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","30 to 34",2.2,9,4
"Average number of offences per reoffender",2006,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","30 to 34",3.3,4583,1394
"Average number of offences per reoffender",2006,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","35 to 39",4.4,40,9
"Average number of offences per reoffender",2006,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","35 to 39",3.3,164,49
"Average number of offences per reoffender",2006,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","35 to 39",1.7,22,13
"Average number of offences per reoffender",2006,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","35 to 39",2.1,15,7
"Average number of offences per reoffender",2006,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","35 to 39",3.1,3588,1173
"Average number of offences per reoffender",2006,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","40 to 44",2.5,10,4
"Average number of offences per reoffender",2006,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","40 to 44",3.3,141,43
"Average number of offences per reoffender",2006,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","40 to 44",2.2,27,12
"Average number of offences per reoffender",2006,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","40 to 44",1.5,3,2
"Average number of offences per reoffender",2006,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","40 to 44",3,2152,713
"Average number of offences per reoffender",2006,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","45 to 49",1,1,1
"Average number of offences per reoffender",2006,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","45 to 49",2.5,52,21
"Average number of offences per reoffender",2006,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","45 to 49",2.6,26,10
"Average number of offences per reoffender",2006,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","45 to 49",1,1,1
"Average number of offences per reoffender",2006,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","45 to 49",2.8,904,323
"Average number of offences per reoffender",2006,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","50+",NA,0,0
"Average number of offences per reoffender",2006,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","50+",1.8,16,9
"Average number of offences per reoffender",2006,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","50+",2.2,27,12
"Average number of offences per reoffender",2006,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","50+",NA,0,0
"Average number of offences per reoffender",2006,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000009","South West","Adult","50+",2.6,906,343
"Average number of offences per reoffender",2006,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000003","Yorkshire and The Humber","Adult","18 to 20",3.3,709,216
"Average number of offences per reoffender",2006,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000003","Yorkshire and The Humber","Adult","18 to 20",2.7,369,135
"Average number of offences per reoffender",2006,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000003","Yorkshire and The Humber","Adult","18 to 20",3,57,19
"Average number of offences per reoffender",2006,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000003","Yorkshire and The Humber","Adult","18 to 20",2.8,50,18
"Average number of offences per reoffender",2006,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000003","Yorkshire and The Humber","Adult","18 to 20",3,8971,2972
"Average number of offences per reoffender",2006,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000003","Yorkshire and The Humber","Adult","21 to 24",2.8,601,213
"Average number of offences per reoffender",2006,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000003","Yorkshire and The Humber","Adult","21 to 24",2.8,432,155
"Average number of offences per reoffender",2006,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000003","Yorkshire and The Humber","Adult","21 to 24",2.7,51,19
"Average number of offences per reoffender",2006,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000003","Yorkshire and The Humber","Adult","21 to 24",2,47,23
"Average number of offences per reoffender",2006,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000003","Yorkshire and The Humber","Adult","21 to 24",3.1,8882,2905
"Average number of offences per reoffender",2006,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000003","Yorkshire and The Humber","Adult","25 to 29",2.8,469,165
"Average number of offences per reoffender",2006,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000003","Yorkshire and The Humber","Adult","25 to 29",2.8,349,124
"Average number of offences per reoffender",2006,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000003","Yorkshire and The Humber","Adult","25 to 29",2.9,56,19
"Average number of offences per reoffender",2006,"Year ending June","Other","White/Black/Asian/Other/Not Recorded","Region","E12000003","Yorkshire and The Humber","Adult","25 to 29",2.4,70,29
"Average number of offences per reoffender",2006,"Year ending June","White","White/Black/Asian/Other/Not Recorded","Region","E12000003","Yorkshire and The Humber","Adult","25 to 29",3.2,8452,2653
"Average number of offences per reoffender",2006,"Year ending June","Asian","White/Black/Asian/Other/Not Recorded","Region","E12000003","Yorkshire and The Humber","Adult","30 to 34",2.8,271,96
"Average number of offences per reoffender",2006,"Year ending June","Black","White/Black/Asian/Other/Not Recorded","Region","E12000003","Yorkshire and The Humber","Adult","30 to 34",2.6,208,80
"Average number of offences per reoffender",2006,"Year ending June","Not Recorded","White/Black/Asian/Other/Not Recorded","Region","E12000003","Yorkshire and The Humber","Adult","30 to 34",1.7,27,16
