"Title","Employment by occupation"
"Location","UK"
"Time period","2004 to 2017"
"Data source","Department for Business, Energy & Industrial Strategy"
"Data source link","https://www.nomisweb.co.uk/query/select/getdatasetbytheme.asp?opt%3D3%26theme%3D%26subgrp%3D&sa=D&ust=1505757273319000&usg=AFQjCNFnS64ZDSibYXaOTf54ZPpw97wNXg"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-10"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Occupation","Occupation_Type","Value","Denominator","Numerator","Conf","Note"
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","Indian","ONS defined grouping","associate prof. & technical occupations (SOC2010)","SOC 2010","12","610100","75100","1.9",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","Indian","ONS defined grouping","caring, leisure and other occupations (SOC2010)","SOC 2010","5","610100","30000","1.3",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","Indian","ONS defined grouping","elementary occupations (SOC2010) occupations (SOC2010)","SOC 2010","10","610100","62800","1.8",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","Indian","ONS defined grouping","managers, directors & senior officials (SOC2010)(SOC2010)","SOC 2010","9","610100","54800","1.7",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","Indian","ONS defined grouping","process, plant & machine operatives (SOC2010)(SOC2010)","SOC 2010","8","610100","46000","1.5",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","Indian","ONS defined grouping","professional occupations (SOC2010) occupations (SOC2010)","SOC 2010","28","610100","169200","2.6",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","Indian","ONS defined grouping","sales & consumer service occupations (SOC2010)","SOC 2010","9","610100","56500","1.7",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","Indian","ONS defined grouping","skilled trades occupations (SOC2010)","SOC 2010","7","610100","42700","1.5",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","Mixed","ONS defined grouping","administrative & secretarial occupations (SOC2010)","SOC 2010","11","193700","21800","3.3",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","Mixed","ONS defined grouping","associate prof. & technical occupations (SOC2010)","SOC 2010","18","193700","33900","4",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","Mixed","ONS defined grouping","caring, leisure and other occupations (SOC2010)","SOC 2010","10","193700","19100","3.1",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","Mixed","ONS defined grouping","elementary occupations (SOC2010) occupations (SOC2010)","SOC 2010","11","193700","21900","3.3",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","Mixed","ONS defined grouping","managers, directors & senior officials (SOC2010)(SOC2010)","SOC 2010","10","193700","18700","3.1",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","Mixed","ONS defined grouping","process, plant & machine operatives (SOC2010)(SOC2010)","SOC 2010","3","193700","6400","1.9",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","Mixed","ONS defined grouping","professional occupations (SOC2010) occupations (SOC2010)","SOC 2010","17","193700","32900","4",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","Mixed","ONS defined grouping","sales & consumer service occupations (SOC2010)","SOC 2010","13","193700","24800","3.5",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","Mixed","ONS defined grouping","skilled trades occupations (SOC2010)","SOC 2010","7","193700","14200","2.7",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","Other","ONS defined grouping","administrative & secretarial occupations (SOC2010)","SOC 2010","8","717400","57500","1.5",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","Other","ONS defined grouping","associate prof. & technical occupations (SOC2010)","SOC 2010","11","717400","78100","1.7",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","Other","ONS defined grouping","caring, leisure and other occupations (SOC2010)","SOC 2010","9","717400","66000","1.6",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","Other","ONS defined grouping","elementary occupations (SOC2010) occupations (SOC2010)","SOC 2010","15","717400","103700","2",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","Other","ONS defined grouping","managers, directors & senior officials (SOC2010)(SOC2010)","SOC 2010","8","717400","59800","1.5",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","Other","ONS defined grouping","process, plant & machine operatives (SOC2010)(SOC2010)","SOC 2010","6","717400","43800","1.3",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","Other","ONS defined grouping","professional occupations (SOC2010) occupations (SOC2010)","SOC 2010","23","717400","165000","2.3",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","Other","ONS defined grouping","sales & consumer service occupations (SOC2010)","SOC 2010","10","717400","73700","1.7",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","Other","ONS defined grouping","skilled trades occupations (SOC2010)","SOC 2010","10","717400","70000","1.7",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","Pakistani/Bangladeshi","ONS defined grouping","administrative & secretarial occupations (SOC2010)","SOC 2010","10","364900","37900","2.3",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","Pakistani/Bangladeshi","ONS defined grouping","associate prof. & technical occupations (SOC2010)","SOC 2010","8","364900","28700","2",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","Pakistani/Bangladeshi","ONS defined grouping","caring, leisure and other occupations (SOC2010)","SOC 2010","5","364900","17700","1.6",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","Pakistani/Bangladeshi","ONS defined grouping","elementary occupations (SOC2010) occupations (SOC2010)","SOC 2010","14","364900","49700","2.6",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","Pakistani/Bangladeshi","ONS defined grouping","managers, directors & senior officials (SOC2010)(SOC2010)","SOC 2010","10","364900","34500","2.2",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","Pakistani/Bangladeshi","ONS defined grouping","process, plant & machine operatives (SOC2010)(SOC2010)","SOC 2010","17","364900","63100","2.9",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","Pakistani/Bangladeshi","ONS defined grouping","professional occupations (SOC2010) occupations (SOC2010)","SOC 2010","14","364900","51900","2.7",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","Pakistani/Bangladeshi","ONS defined grouping","sales & consumer service occupations (SOC2010)","SOC 2010","15","364900","54600","2.7",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","Pakistani/Bangladeshi","ONS defined grouping","skilled trades occupations (SOC2010)","SOC 2010","7","364900","26700","2",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","White","ONS defined grouping","administrative & secretarial occupations (SOC2010)","SOC 2010","13","26604200","3340100","0.3",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","White","ONS defined grouping","associate prof. & technical occupations (SOC2010)","SOC 2010","14","26604200","3641600","0.3",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","White","ONS defined grouping","caring, leisure and other occupations (SOC2010)","SOC 2010","8","26604200","2170000","0.2",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","White","ONS defined grouping","elementary occupations (SOC2010) occupations (SOC2010)","SOC 2010","11","26604200","2883600","0.3",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","White","ONS defined grouping","managers, directors & senior officials (SOC2010)(SOC2010)","SOC 2010","10","26604200","2659000","0.2",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","White","ONS defined grouping","process, plant & machine operatives (SOC2010)(SOC2010)","SOC 2010","7","26604200","1914400","0.2",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","White","ONS defined grouping","professional occupations (SOC2010) occupations (SOC2010)","SOC 2010","18","26604200","4660400","0.3",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","White","ONS defined grouping","sales & consumer service occupations (SOC2010)","SOC 2010","8","26604200","2151500","0.2",""
"Proportion of ethnic group who are employed, split by occupation group","2007","Year","White","ONS defined grouping","skilled trades occupations (SOC2010)","SOC 2010","12","26604200","3183600","0.3",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","All","ONS defined grouping","administrative & secretarial occupations (SOC2010)","SOC 2010","12","29273600","3519500","0.2",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","All","ONS defined grouping","associate prof. & technical occupations (SOC2010)","SOC 2010","14","29273600","3947100","0.2",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","All","ONS defined grouping","caring, leisure and other occupations (SOC2010)","SOC 2010","8","29273600","2466200","0.1",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","All","ONS defined grouping","elementary occupations (SOC2010) occupations (SOC2010)","SOC 2010","11","29273600","3234100","0.2",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","All","ONS defined grouping","managers, directors & senior officials (SOC2010)(SOC2010)","SOC 2010","10","29273600","2963900","0.2",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","All","ONS defined grouping","process, plant & machine operatives (SOC2010)(SOC2010)","SOC 2010","7","29273600","2084300","0.1",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","All","ONS defined grouping","professional occupations (SOC2010) occupations (SOC2010)","SOC 2010","18","29273600","5250200","0.2",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","All","ONS defined grouping","sales & consumer service occupations (SOC2010)","SOC 2010","8","29273600","2431800","0.1",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","All","ONS defined grouping","skilled trades occupations (SOC2010)","SOC 2010","12","29273600","3376700","0.2",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Black or Black British","ONS defined grouping","administrative & secretarial occupations (SOC2010)","SOC 2010","12","624500","71500","2",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Black or Black British","ONS defined grouping","associate prof. & technical occupations (SOC2010)","SOC 2010","10","624500","64800","1.9",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Black or Black British","ONS defined grouping","caring, leisure and other occupations (SOC2010)","SOC 2010","16","624500","99200","2.2",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Black or Black British","ONS defined grouping","elementary occupations (SOC2010) occupations (SOC2010)","SOC 2010","15","624500","90800","2.2",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Black or Black British","ONS defined grouping","managers, directors & senior officials (SOC2010)(SOC2010)","SOC 2010","6","624500","34600","1.4",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Black or Black British","ONS defined grouping","process, plant & machine operatives (SOC2010)(SOC2010)","SOC 2010","6","624500","34600","1.4",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Black or Black British","ONS defined grouping","professional occupations (SOC2010) occupations (SOC2010)","SOC 2010","21","624500","131300","2.5",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Black or Black British","ONS defined grouping","sales & consumer service occupations (SOC2010)","SOC 2010","10","624500","59800","1.8",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Black or Black British","ONS defined grouping","skilled trades occupations (SOC2010)","SOC 2010","6","624500","37900","1.5",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Indian","ONS defined grouping","administrative & secretarial occupations (SOC2010)","SOC 2010","12","638400","73300","1.8",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Indian","ONS defined grouping","associate prof. & technical occupations (SOC2010)","SOC 2010","12","638400","73300","1.8",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Indian","ONS defined grouping","caring, leisure and other occupations (SOC2010)","SOC 2010","6","638400","37100","1.4",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Indian","ONS defined grouping","elementary occupations (SOC2010) occupations (SOC2010)","SOC 2010","10","638400","63400","1.7",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Indian","ONS defined grouping","managers, directors & senior officials (SOC2010)(SOC2010)","SOC 2010","10","638400","65200","1.8",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Indian","ONS defined grouping","process, plant & machine operatives (SOC2010)(SOC2010)","SOC 2010","6","638400","41200","1.4",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Indian","ONS defined grouping","professional occupations (SOC2010) occupations (SOC2010)","SOC 2010","28","638400","181400","2.6",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Indian","ONS defined grouping","sales & consumer service occupations (SOC2010)","SOC 2010","10","638400","63000","1.7",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Indian","ONS defined grouping","skilled trades occupations (SOC2010)","SOC 2010","6","638400","40600","1.4",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Mixed","ONS defined grouping","administrative & secretarial occupations (SOC2010)","SOC 2010","12","194400","23500","3.5",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Mixed","ONS defined grouping","associate prof. & technical occupations (SOC2010)","SOC 2010","16","194400","30600","3.9",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Mixed","ONS defined grouping","caring, leisure and other occupations (SOC2010)","SOC 2010","10","194400","18400","3.1",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Mixed","ONS defined grouping","elementary occupations (SOC2010) occupations (SOC2010)","SOC 2010","14","194400","27600","3.7",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Mixed","ONS defined grouping","managers, directors & senior officials (SOC2010)(SOC2010)","SOC 2010","8","194400","16200","2.9",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Mixed","ONS defined grouping","process, plant & machine operatives (SOC2010)(SOC2010)","SOC 2010","2","194400","4700","1.6",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Mixed","ONS defined grouping","professional occupations (SOC2010) occupations (SOC2010)","SOC 2010","17","194400","33200","4",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Mixed","ONS defined grouping","sales & consumer service occupations (SOC2010)","SOC 2010","14","194400","26800","3.7",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Mixed","ONS defined grouping","skilled trades occupations (SOC2010)","SOC 2010","7","194400","13400","2.7",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Other","ONS defined grouping","administrative & secretarial occupations (SOC2010)","SOC 2010","10","774500","76000","1.6",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Other","ONS defined grouping","associate prof. & technical occupations (SOC2010)","SOC 2010","11","774500","84800","1.7",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Other","ONS defined grouping","caring, leisure and other occupations (SOC2010)","SOC 2010","8","774500","65100","1.5",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Other","ONS defined grouping","elementary occupations (SOC2010) occupations (SOC2010)","SOC 2010","16","774500","120900","2",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Other","ONS defined grouping","managers, directors & senior officials (SOC2010)(SOC2010)","SOC 2010","9","774500","72700","1.6",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Other","ONS defined grouping","process, plant & machine operatives (SOC2010)(SOC2010)","SOC 2010","7","774500","52800","1.4",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Other","ONS defined grouping","professional occupations (SOC2010) occupations (SOC2010)","SOC 2010","21","774500","166000","2.2",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Other","ONS defined grouping","sales & consumer service occupations (SOC2010)","SOC 2010","9","774500","69800","1.5",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Other","ONS defined grouping","skilled trades occupations (SOC2010)","SOC 2010","9","774500","66400","1.5",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Pakistani/Bangladeshi","ONS defined grouping","administrative & secretarial occupations (SOC2010)","SOC 2010","9","394700","34800","2.1",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Pakistani/Bangladeshi","ONS defined grouping","associate prof. & technical occupations (SOC2010)","SOC 2010","8","394700","32800","2",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Pakistani/Bangladeshi","ONS defined grouping","caring, leisure and other occupations (SOC2010)","SOC 2010","6","394700","22100","1.7",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Pakistani/Bangladeshi","ONS defined grouping","elementary occupations (SOC2010) occupations (SOC2010)","SOC 2010","14","394700","53800","2.5",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Pakistani/Bangladeshi","ONS defined grouping","managers, directors & senior officials (SOC2010)(SOC2010)","SOC 2010","9","394700","37200","2.2",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Pakistani/Bangladeshi","ONS defined grouping","process, plant & machine operatives (SOC2010)(SOC2010)","SOC 2010","18","394700","69800","2.8",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Pakistani/Bangladeshi","ONS defined grouping","professional occupations (SOC2010) occupations (SOC2010)","SOC 2010","13","394700","53000","2.5",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Pakistani/Bangladeshi","ONS defined grouping","sales & consumer service occupations (SOC2010)","SOC 2010","15","394700","60200","2.6",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","Pakistani/Bangladeshi","ONS defined grouping","skilled trades occupations (SOC2010)","SOC 2010","8","394700","30900","2",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White","ONS defined grouping","administrative & secretarial occupations (SOC2010)","SOC 2010","12","26631500","3239500","0.3",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White","ONS defined grouping","associate prof. & technical occupations (SOC2010)","SOC 2010","14","26631500","3657500","0.3",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White","ONS defined grouping","caring, leisure and other occupations (SOC2010)","SOC 2010","8","26631500","2223200","0.2",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White","ONS defined grouping","elementary occupations (SOC2010) occupations (SOC2010)","SOC 2010","11","26631500","2875900","0.3",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White","ONS defined grouping","managers, directors & senior officials (SOC2010)(SOC2010)","SOC 2010","10","26631500","2737100","0.2",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White","ONS defined grouping","process, plant & machine operatives (SOC2010)(SOC2010)","SOC 2010","7","26631500","1880000","0.2",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White","ONS defined grouping","professional occupations (SOC2010) occupations (SOC2010)","SOC 2010","18","26631500","4681700","0.3",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White","ONS defined grouping","sales & consumer service occupations (SOC2010)","SOC 2010","8","26631500","2150500","0.2",""
"Proportion of ethnic group who are employed, split by occupation group","2008","Year","White","ONS defined grouping","skilled trades occupations (SOC2010)","SOC 2010","12","26631500","3186200","0.3",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","All","ONS defined grouping","administrative & secretarial occupations (SOC2010)","SOC 2010","12","28847500","3426900","0.2",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","All","ONS defined grouping","associate prof. & technical occupations (SOC2010)","SOC 2010","14","28847500","3942600","0.2",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","All","ONS defined grouping","caring, leisure and other occupations (SOC2010)","SOC 2010","9","28847500","2568900","0.1",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","All","ONS defined grouping","elementary occupations (SOC2010) occupations (SOC2010)","SOC 2010","11","28847500","3176600","0.2",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","All","ONS defined grouping","managers, directors & senior officials (SOC2010)(SOC2010)","SOC 2010","10","28847500","2882700","0.2",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","All","ONS defined grouping","process, plant & machine operatives (SOC2010)(SOC2010)","SOC 2010","7","28847500","1951100","0.1",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","All","ONS defined grouping","professional occupations (SOC2010) occupations (SOC2010)","SOC 2010","19","28847500","5342300","0.2",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","All","ONS defined grouping","sales & consumer service occupations (SOC2010)","SOC 2010","8","28847500","2326600","0.1",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","All","ONS defined grouping","skilled trades occupations (SOC2010)","SOC 2010","11","28847500","3229900","0.2",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Black or Black British","ONS defined grouping","administrative & secretarial occupations (SOC2010)","SOC 2010","10","612200","63300","1.9",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Black or Black British","ONS defined grouping","associate prof. & technical occupations (SOC2010)","SOC 2010","10","612200","62900","1.9",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Black or Black British","ONS defined grouping","caring, leisure and other occupations (SOC2010)","SOC 2010","16","612200","97000","2.3",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Black or Black British","ONS defined grouping","elementary occupations (SOC2010) occupations (SOC2010)","SOC 2010","15","612200","91700","2.3",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Black or Black British","ONS defined grouping","managers, directors & senior officials (SOC2010)(SOC2010)","SOC 2010","6","612200","35100","1.5",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Black or Black British","ONS defined grouping","process, plant & machine operatives (SOC2010)(SOC2010)","SOC 2010","7","612200","39700","1.6",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Black or Black British","ONS defined grouping","professional occupations (SOC2010) occupations (SOC2010)","SOC 2010","21","612200","130200","2.6",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Black or Black British","ONS defined grouping","sales & consumer service occupations (SOC2010)","SOC 2010","9","612200","51900","1.8",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Black or Black British","ONS defined grouping","skilled trades occupations (SOC2010)","SOC 2010","7","612200","40400","1.6",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Indian","ONS defined grouping","administrative & secretarial occupations (SOC2010)","SOC 2010","11","668000","71000","1.8",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Indian","ONS defined grouping","associate prof. & technical occupations (SOC2010)","SOC 2010","12","668000","79200","1.9",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Indian","ONS defined grouping","caring, leisure and other occupations (SOC2010)","SOC 2010","6","668000","36900","1.3",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Indian","ONS defined grouping","elementary occupations (SOC2010) occupations (SOC2010)","SOC 2010","9","668000","63100","1.7",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Indian","ONS defined grouping","managers, directors & senior officials (SOC2010)(SOC2010)","SOC 2010","9","668000","62800","1.7",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Indian","ONS defined grouping","process, plant & machine operatives (SOC2010)(SOC2010)","SOC 2010","7","668000","45100","1.4",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Indian","ONS defined grouping","professional occupations (SOC2010) occupations (SOC2010)","SOC 2010","30","668000","201500","2.6",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Indian","ONS defined grouping","sales & consumer service occupations (SOC2010)","SOC 2010","11","668000","71700","1.8",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Indian","ONS defined grouping","skilled trades occupations (SOC2010)","SOC 2010","6","668000","36800","1.3",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Mixed","ONS defined grouping","administrative & secretarial occupations (SOC2010)","SOC 2010","10","211400","22100","3.2",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Mixed","ONS defined grouping","associate prof. & technical occupations (SOC2010)","SOC 2010","15","211400","30700","3.7",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Mixed","ONS defined grouping","caring, leisure and other occupations (SOC2010)","SOC 2010","9","211400","19100","3",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Mixed","ONS defined grouping","elementary occupations (SOC2010) occupations (SOC2010)","SOC 2010","13","211400","27100","3.5",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Mixed","ONS defined grouping","managers, directors & senior officials (SOC2010)(SOC2010)","SOC 2010","8","211400","17500","2.9",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Mixed","ONS defined grouping","process, plant & machine operatives (SOC2010)(SOC2010)","SOC 2010","3","211400","7300","1.9",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Mixed","ONS defined grouping","professional occupations (SOC2010) occupations (SOC2010)","SOC 2010","21","211400","43700","4.3",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Mixed","ONS defined grouping","sales & consumer service occupations (SOC2010)","SOC 2010","13","211400","27600","3.6",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Mixed","ONS defined grouping","skilled trades occupations (SOC2010)","SOC 2010","8","211400","16300","2.8",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Other","ONS defined grouping","administrative & secretarial occupations (SOC2010)","SOC 2010","9","744200","63000","1.6",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Other","ONS defined grouping","associate prof. & technical occupations (SOC2010)","SOC 2010","10","744200","76800","1.7",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Other","ONS defined grouping","caring, leisure and other occupations (SOC2010)","SOC 2010","10","744200","75900","1.7",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Other","ONS defined grouping","elementary occupations (SOC2010) occupations (SOC2010)","SOC 2010","16","744200","115600","2",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Other","ONS defined grouping","managers, directors & senior officials (SOC2010)(SOC2010)","SOC 2010","8","744200","62300","1.6",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Other","ONS defined grouping","process, plant & machine operatives (SOC2010)(SOC2010)","SOC 2010","6","744200","44800","1.3",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Other","ONS defined grouping","professional occupations (SOC2010) occupations (SOC2010)","SOC 2010","23","744200","173100","2.4",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Other","ONS defined grouping","sales & consumer service occupations (SOC2010)","SOC 2010","9","744200","69000","1.6",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Other","ONS defined grouping","skilled trades occupations (SOC2010)","SOC 2010","9","744200","63700","1.6",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Pakistani/Bangladeshi","ONS defined grouping","administrative & secretarial occupations (SOC2010)","SOC 2010","9","418900","38700","2.1",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Pakistani/Bangladeshi","ONS defined grouping","associate prof. & technical occupations (SOC2010)","SOC 2010","9","418900","39100","2.1",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Pakistani/Bangladeshi","ONS defined grouping","caring, leisure and other occupations (SOC2010)","SOC 2010","7","418900","28500","1.9",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Pakistani/Bangladeshi","ONS defined grouping","elementary occupations (SOC2010) occupations (SOC2010)","SOC 2010","15","418900","61900","2.6",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Pakistani/Bangladeshi","ONS defined grouping","managers, directors & senior officials (SOC2010)(SOC2010)","SOC 2010","9","418900","36300","2.1",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Pakistani/Bangladeshi","ONS defined grouping","process, plant & machine operatives (SOC2010)(SOC2010)","SOC 2010","16","418900","67600","2.7",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Pakistani/Bangladeshi","ONS defined grouping","professional occupations (SOC2010) occupations (SOC2010)","SOC 2010","13","418900","56300","2.5",""
"Proportion of ethnic group who are employed, split by occupation group","2009","Year","Pakistani/Bangladeshi","ONS defined grouping","sales & consumer service occupations (SOC2010)","SOC 2010","14","418900","59000","2.6",""
