"Measure","Year","Sex","Age Group","Ethnicity","Remand Status","Police Force Area","Count","Denominator","Value"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Bail","Gloucestershire","3","20","15.0"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Custody","Gloucestershire","6","20","30.0"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Bail","Greater Manchester","46","116","39.7"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Custody","Greater Manchester","57","116","49.1"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Not remanded","Greater Manchester","13","116","11.2"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Bail","Hampshire","14","45","31.1"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Custody","Hampshire","27","45","60.0"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Not remanded","Hampshire","4","45","8.9"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Bail","Hertfordshire","7","18","38.9"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Custody","Hertfordshire","7","18","38.9"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Not remanded","Hertfordshire","4","18","22.2"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Bail","Humberside","5","24","20.8"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Custody","Humberside","10","24","41.7"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Bail","Kent","9","24","37.5"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Custody","Kent","28","37","75.7"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Not remanded","Kent","6","37","16.2"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Custody","Lancashire","3","37","8.1"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Bail","Leicestershire","5","25","20.0"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Custody","Leicestershire","19","25","76.0"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Not remanded","Leicestershire","1","25","4.0"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Bail","Lincolnshire","1","27","3.7"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Custody","Lincolnshire","1","27","3.7"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Bail","Merseyside","25","27","92.6"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Custody","Merseyside","31","295","10.5"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Not remanded","Merseyside","8","295","2.7"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Bail","Metropolitan Police","256","295","86.8"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Custody","Metropolitan Police","357","445","80.2"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Not remanded","Metropolitan Police","84","445","18.9"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Custody","Norfolk","4","445","0.9"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Not remanded","Norfolk","1","16","6.3"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Bail","North Wales","2","16","12.5"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Custody","North Wales","13","16","81.3"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Bail","North Yorkshire","31","50","62.0"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Custody","North Yorkshire","11","50","22.0"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Not remanded","North Yorkshire","8","50","16.0"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Bail","Northamptonshire","2","7","28.6"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Custody","Northamptonshire","3","7","42.9"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Not remanded","Northamptonshire","2","7","28.6"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Bail","Northumbria","74","125","59.2"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Custody","Northumbria","41","125","32.8"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Not remanded","Northumbria","10","125","8.0"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Bail","Nottinghamshire","10","29","34.5"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Custody","Nottinghamshire","16","29","55.2"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Not remanded","Nottinghamshire","3","29","10.3"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Bail","South Wales","5","25","20.0"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Custody","South Wales","19","25","76.0"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Not remanded","South Wales","1","25","4.0"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Bail","South Yorkshire","10","29","34.5"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Custody","South Yorkshire","17","29","58.6"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Not remanded","South Yorkshire","2","29","6.9"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Bail","Staffordshire","7","25","28.0"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Custody","Staffordshire","12","25","48.0"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Bail","Suffolk","6","25","24.0"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Custody","Suffolk","7","14","50.0"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Not remanded","Suffolk","3","14","21.4"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Bail","Surrey","4","14","28.6"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Custody","Surrey","8","17","47.1"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Not remanded","Surrey","2","17","11.8"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Bail","Sussex","7","17","41.2"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Custody","Sussex","8","24","33.3"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Bail","Thames Valley","5","24","20.8"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Custody","Thames Valley","11","24","45.8"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Bail","Warwickshire","1","4","25.0"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Custody","Warwickshire","2","4","50.0"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Not remanded","Warwickshire","1","4","25.0"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Custody","West Mercia","6","46","13.0"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Not remanded","West Mercia","1","46","2.2"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Bail","West Midlands","39","46","84.8"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Custody","West Midlands","75","106","70.8"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Not remanded","West Midlands","13","106","12.3"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Bail","West Yorkshire","18","106","17.0"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Custody","West Yorkshire","28","35","80.0"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Not remanded","West Yorkshire","5","35","14.3"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Bail","Wiltshire","2","35","5.7"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Custody","Wiltshire","3","744","0.4"
"percentage of people on remand by status and police force area","2009","All","All","Other inc Chinese","Not remanded","Wiltshire","2","744","0.3"
"percentage of people on remand by status and police force area","2009","All","All","White","Bail","Avon and Somerset","739","744","99.3"
"percentage of people on remand by status and police force area","2009","All","All","White","Custody","Avon and Somerset","528","1060","49.8"
"percentage of people on remand by status and police force area","2009","All","All","White","Not remanded","Avon and Somerset","289","1060","27.3"
"percentage of people on remand by status and police force area","2009","All","All","White","Bail","Bedfordshire","243","1060","22.9"
"percentage of people on remand by status and police force area","2009","All","All","White","Custody","Bedfordshire","171","780","21.9"
"percentage of people on remand by status and police force area","2009","All","All","White","Not remanded","Bedfordshire","69","780","8.8"
"percentage of people on remand by status and police force area","2009","All","All","White","Bail","Cambridgeshire","540","780","69.2"
"percentage of people on remand by status and police force area","2009","All","All","White","Custody","Cambridgeshire","355","1227","28.9"
"percentage of people on remand by status and police force area","2009","All","All","White","Not remanded","Cambridgeshire","198","1227","16.1"
"percentage of people on remand by status and police force area","2009","All","All","White","Bail","Cheshire","674","1227","54.9"
"percentage of people on remand by status and police force area","2009","All","All","White","Custody","Cheshire","397","668","59.4"
"percentage of people on remand by status and police force area","2009","All","All","White","Not remanded","Cheshire","250","668","37.4"
"percentage of people on remand by status and police force area","2009","All","All","White","Bail","City of London","21","668","3.1"
"percentage of people on remand by status and police force area","2009","All","All","White","Custody","City of London","15","764","2.0"
"percentage of people on remand by status and police force area","2009","All","All","White","Not remanded","City of London","2","764","0.3"
"percentage of people on remand by status and police force area","2009","All","All","White","Bail","Cleveland","747","764","97.8"
"percentage of people on remand by status and police force area","2009","All","All","White","Custody","Cleveland","459","1092","42.0"
"percentage of people on remand by status and police force area","2009","All","All","White","Not remanded","Cleveland","167","1092","15.3"
"percentage of people on remand by status and police force area","2009","All","All","White","Bail","Cumbria","466","1092","42.7"
"percentage of people on remand by status and police force area","2009","All","All","White","Custody","Cumbria","266","1007","26.4"
"percentage of people on remand by status and police force area","2009","All","All","White","Not remanded","Cumbria","135","1007","13.4"
"percentage of people on remand by status and police force area","2009","All","All","White","Bail","Derbyshire","606","1007","60.2"
"percentage of people on remand by status and police force area","2009","All","All","White","Custody","Derbyshire","385","1396","27.6"
"percentage of people on remand by status and police force area","2009","All","All","White","Not remanded","Derbyshire","200","1396","14.3"
"percentage of people on remand by status and police force area","2009","All","All","White","Bail","Devon and Cornwall","811","1396","58.1"
"percentage of people on remand by status and police force area","2009","All","All","White","Custody","Devon and Cornwall","471","1104","42.7"
"percentage of people on remand by status and police force area","2009","All","All","White","Not remanded","Devon and Cornwall","254","1104","23.0"
"percentage of people on remand by status and police force area","2009","All","All","White","Bail","Dorset","379","1104","34.3"
"percentage of people on remand by status and police force area","2009","All","All","White","Custody","Dorset","204","1181","17.3"
"percentage of people on remand by status and police force area","2009","All","All","White","Not remanded","Dorset","156","1181","13.2"
"percentage of people on remand by status and police force area","2009","All","All","White","Bail","Durham","821","1181","69.5"
"percentage of people on remand by status and police force area","2009","All","All","White","Custody","Durham","351","695","50.5"
"percentage of people on remand by status and police force area","2009","All","All","White","Not remanded","Durham","165","695","23.7"
"percentage of people on remand by status and police force area","2009","All","All","White","Bail","Dyfed-Powys","179","695","25.8"
"percentage of people on remand by status and police force area","2009","All","All","White","Custody","Dyfed-Powys","137","1021","13.4"
"percentage of people on remand by status and police force area","2009","All","All","White","Not remanded","Dyfed-Powys","106","1021","10.4"
"percentage of people on remand by status and police force area","2009","All","All","White","Bail","Essex","778","1021","76.2"
"percentage of people on remand by status and police force area","2009","All","All","White","Custody","Essex","375","897","41.8"
"percentage of people on remand by status and police force area","2009","All","All","White","Not remanded","Essex","227","897","25.3"
"percentage of people on remand by status and police force area","2009","All","All","White","Bail","Gloucestershire","295","897","32.9"
"percentage of people on remand by status and police force area","2009","All","All","White","Custody","Gloucestershire","172","2943","5.8"
"percentage of people on remand by status and police force area","2009","All","All","White","Not remanded","Gloucestershire","102","2943","3.5"
"percentage of people on remand by status and police force area","2009","All","All","White","Bail","Greater Manchester","2669","2943","90.7"
"percentage of people on remand by status and police force area","2009","All","All","White","Custody","Greater Manchester","1901","2799","67.9"
"percentage of people on remand by status and police force area","2009","All","All","White","Not remanded","Greater Manchester","593","2799","21.2"
"percentage of people on remand by status and police force area","2009","All","All","White","Bail","Gwent","305","2799","10.9"
"percentage of people on remand by status and police force area","2009","All","All","White","Custody","Gwent","125","1567","8.0"
"percentage of people on remand by status and police force area","2009","All","All","White","Not remanded","Gwent","81","1567","5.2"
"percentage of people on remand by status and police force area","2009","All","All","White","Bail","Hampshire","1361","1567","86.9"
"percentage of people on remand by status and police force area","2009","All","All","White","Custody","Hampshire","729","1662","43.9"
"percentage of people on remand by status and police force area","2009","All","All","White","Not remanded","Hampshire","381","1662","22.9"
"percentage of people on remand by status and police force area","2009","All","All","White","Bail","Hertfordshire","552","1662","33.2"
"percentage of people on remand by status and police force area","2009","All","All","White","Custody","Hertfordshire","303","773","39.2"
"percentage of people on remand by status and police force area","2009","All","All","White","Not remanded","Hertfordshire","149","773","19.3"
"percentage of people on remand by status and police force area","2009","All","All","White","Bail","Humberside","321","773","41.5"
"percentage of people on remand by status and police force area","2009","All","All","White","Custody","Humberside","304","1486","20.5"
"percentage of people on remand by status and police force area","2009","All","All","White","Not remanded","Humberside","200","1486","13.5"
"percentage of people on remand by status and police force area","2009","All","All","White","Bail","Kent","982","1486","66.1"
"percentage of people on remand by status and police force area","2009","All","All","White","Custody","Kent","728","2631","27.7"
"percentage of people on remand by status and police force area","2009","All","All","White","Not remanded","Kent","262","2631","10.0"
"percentage of people on remand by status and police force area","2009","All","All","White","Bail","Lancashire","1641","2631","62.4"
"percentage of people on remand by status and police force area","2009","All","All","White","Custody","Lancashire","754","1484","50.8"
"percentage of people on remand by status and police force area","2009","All","All","White","Not remanded","Lancashire","336","1484","22.6"
"percentage of people on remand by status and police force area","2009","All","All","White","Bail","Leicestershire","394","1484","26.5"
"percentage of people on remand by status and police force area","2009","All","All","White","Custody","Leicestershire","222","528","42.0"
"percentage of people on remand by status and police force area","2009","All","All","White","Not remanded","Leicestershire","103","528","19.5"
"percentage of people on remand by status and police force area","2009","All","All","White","Bail","Lincolnshire","203","528","38.4"
"percentage of people on remand by status and police force area","2009","All","All","White","Custody","Lincolnshire","129","1542","8.4"
"percentage of people on remand by status and police force area","2009","All","All","White","Not remanded","Lincolnshire","74","1542","4.8"
"percentage of people on remand by status and police force area","2009","All","All","White","Bail","Merseyside","1339","1542","86.8"
"percentage of people on remand by status and police force area","2009","All","All","White","Custody","Merseyside","807","4780","16.9"
"percentage of people on remand by status and police force area","2009","All","All","White","Not remanded","Merseyside","334","4780","7.0"
"percentage of people on remand by status and police force area","2009","All","All","White","Bail","Metropolitan Police","3639","4780","76.1"
"percentage of people on remand by status and police force area","2009","All","All","White","Custody","Metropolitan Police","2691","4497","59.8"
"percentage of people on remand by status and police force area","2009","All","All","White","Not remanded","Metropolitan Police","1152","4497","25.6"
"percentage of people on remand by status and police force area","2009","All","All","White","Bail","Norfolk","654","4497","14.5"
"percentage of people on remand by status and police force area","2009","All","All","White","Custody","Norfolk","228","770","29.6"
"percentage of people on remand by status and police force area","2009","All","All","White","Not remanded","Norfolk","127","770","16.5"
"percentage of people on remand by status and police force area","2009","All","All","White","Bail","North Wales","415","770","53.9"
"percentage of people on remand by status and police force area","2009","All","All","White","Custody","North Wales","208","1031","20.2"
"percentage of people on remand by status and police force area","2009","All","All","White","Not remanded","North Wales","175","1031","17.0"
"percentage of people on remand by status and police force area","2009","All","All","White","Bail","North Yorkshire","648","1031","62.9"
"percentage of people on remand by status and police force area","2009","All","All","White","Custody","North Yorkshire","246","670","36.7"
"percentage of people on remand by status and police force area","2009","All","All","White","Not remanded","North Yorkshire","192","670","28.7"
"percentage of people on remand by status and police force area","2009","All","All","White","Bail","Northamptonshire","232","670","34.6"
"percentage of people on remand by status and police force area","2009","All","All","White","Custody","Northamptonshire","153","1400","10.9"
"percentage of people on remand by status and police force area","2009","All","All","White","Not remanded","Northamptonshire","51","1400","3.6"
"percentage of people on remand by status and police force area","2009","All","All","White","Bail","Northumbria","1196","1400","85.4"
"percentage of people on remand by status and police force area","2009","All","All","White","Custody","Northumbria","548","1523","36.0"
"percentage of people on remand by status and police force area","2009","All","All","White","Not remanded","Northumbria","229","1523","15.0"
"percentage of people on remand by status and police force area","2009","All","All","White","Bail","Nottinghamshire","746","1523","49.0"
"percentage of people on remand by status and police force area","2009","All","All","White","Custody","Nottinghamshire","491","1980","24.8"
"percentage of people on remand by status and police force area","2009","All","All","White","Not remanded","Nottinghamshire","150","1980","7.6"
"percentage of people on remand by status and police force area","2009","All","All","White","Bail","South Wales","1339","1980","67.6"
"percentage of people on remand by status and police force area","2009","All","All","White","Custody","South Wales","785","2544","30.9"
"percentage of people on remand by status and police force area","2009","All","All","White","Not remanded","South Wales","582","2544","22.9"
"percentage of people on remand by status and police force area","2009","All","All","White","Bail","South Yorkshire","1177","2544","46.3"
"percentage of people on remand by status and police force area","2009","All","All","White","Custody","South Yorkshire","872","2201","39.6"
"percentage of people on remand by status and police force area","2009","All","All","White","Not remanded","South Yorkshire","400","2201","18.2"
"percentage of people on remand by status and police force area","2009","All","All","White","Bail","Staffordshire","929","2201","42.2"
"percentage of people on remand by status and police force area","2009","All","All","White","Custody","Staffordshire","443","974","45.5"
"percentage of people on remand by status and police force area","2009","All","All","White","Not remanded","Staffordshire","183","974","18.8"
"percentage of people on remand by status and police force area","2009","All","All","White","Bail","Suffolk","348","974","35.7"
"percentage of people on remand by status and police force area","2009","All","All","White","Custody","Suffolk","176","784","22.4"
"percentage of people on remand by status and police force area","2009","All","All","White","Not remanded","Suffolk","158","784","20.2"
"percentage of people on remand by status and police force area","2009","All","All","White","Bail","Surrey","450","784","57.4"
"percentage of people on remand by status and police force area","2009","All","All","White","Custody","Surrey","175","1267","13.8"
"percentage of people on remand by status and police force area","2009","All","All","White","Not remanded","Surrey","89","1267","7.0"
"percentage of people on remand by status and police force area","2009","All","All","White","Bail","Sussex","1003","1267","79.2"
"percentage of people on remand by status and police force area","2009","All","All","White","Custody","Sussex","589","1548","38.0"
"percentage of people on remand by status and police force area","2009","All","All","White","Not remanded","Sussex","232","1548","15.0"
"percentage of people on remand by status and police force area","2009","All","All","White","Bail","Thames Valley","727","1548","47.0"
"percentage of people on remand by status and police force area","2009","All","All","White","Custody","Thames Valley","445","850","52.4"
"percentage of people on remand by status and police force area","2009","All","All","White","Not remanded","Thames Valley","236","850","27.8"
"percentage of people on remand by status and police force area","2009","All","All","White","Bail","Warwickshire","169","850","19.9"
"percentage of people on remand by status and police force area","2009","All","All","White","Custody","Warwickshire","137","796","17.2"
"percentage of people on remand by status and police force area","2009","All","All","White","Not remanded","Warwickshire","91","796","11.4"
"percentage of people on remand by status and police force area","2009","All","All","White","Bail","West Mercia","568","796","71.4"
"percentage of people on remand by status and police force area","2009","All","All","White","Custody","West Mercia","349","2350","14.9"
"percentage of people on remand by status and police force area","2009","All","All","White","Not remanded","West Mercia","258","2350","11.0"
"percentage of people on remand by status and police force area","2009","All","All","White","Bail","West Midlands","1743","2350","74.2"
"percentage of people on remand by status and police force area","2009","All","All","White","Custody","West Midlands","1192","3504","34.0"
"percentage of people on remand by status and police force area","2009","All","All","White","Not remanded","West Midlands","585","3504","16.7"
"percentage of people on remand by status and police force area","2009","All","All","White","Bail","West Yorkshire","1727","3504","49.3"
"percentage of people on remand by status and police force area","2009","All","All","White","Custody","West Yorkshire","898","1600","56.1"
"percentage of people on remand by status and police force area","2009","All","All","White","Not remanded","West Yorkshire","493","1600","30.8"
"percentage of people on remand by status and police force area","2009","All","All","White","Bail","Wiltshire","209","1600","13.1"
"percentage of people on remand by status and police force area","2009","All","All","White","Custody","Wiltshire","191","248","77.0"
"percentage of people on remand by status and police force area","2009","All","All","White","Not remanded","Wiltshire","56","248","22.6"
"percentage of people on remand by status and police force area","2009","All","All","White","Custody","special/miscellaneous and unknown police forces","1","248","0.4"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Bail","Avon and Somerset","26","85","30.6"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Custody","Avon and Somerset","50","85","58.8"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Not remanded","Avon and Somerset","9","85","10.6"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Bail","Bedfordshire","108","184","58.7"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Custody","Bedfordshire","56","184","30.4"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Not remanded","Bedfordshire","20","184","10.9"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Bail","Cambridgeshire","55","89","61.8"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Custody","Cambridgeshire","28","89","31.5"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Not remanded","Cambridgeshire","6","89","6.7"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Bail","Cheshire","5","22","22.7"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Custody","Cheshire","12","22","54.5"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Not remanded","Cheshire","5","22","22.7"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Bail","City of London","12","59","20.3"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Custody","City of London","5","59","8.5"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Bail","Cleveland","42","59","71.2"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Custody","Cleveland","15","30","50.0"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Not remanded","Cleveland","1","30","3.3"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Bail","Cumbria","14","30","46.7"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Custody","Cumbria","1","90","1.1"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Bail","Derbyshire","45","90","50.0"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Custody","Derbyshire","44","90","48.9"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Not remanded","Derbyshire","16","29","55.2"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Bail","Devon and Cornwall","3","29","10.3"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Custody","Devon and Cornwall","10","29","34.5"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Not remanded","Devon and Cornwall","3","20","15.0"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Bail","Dorset","5","20","25.0"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Custody","Dorset","12","20","60.0"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Not remanded","Dorset","3","13","23.1"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Bail","Durham","4","13","30.8"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Custody","Durham","6","13","46.2"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Not remanded","Durham","2","7","28.6"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Bail","Dyfed-Powys","3","7","42.9"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Custody","Dyfed-Powys","2","7","28.6"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Not remanded","Dyfed-Powys","1","83","1.2"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Bail","Essex","39","83","47.0"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Custody","Essex","43","83","51.8"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Not remanded","Essex","7","15","46.7"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Bail","Gloucestershire","3","15","20.0"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Custody","Gloucestershire","5","15","33.3"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Not remanded","Gloucestershire","1","632","0.2"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Bail","Greater Manchester","375","632","59.3"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Custody","Greater Manchester","256","632","40.5"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Not remanded","Greater Manchester","28","45","62.2"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Bail","Gwent","6","45","13.3"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Custody","Gwent","11","45","24.4"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Bail","Hampshire","63","106","59.4"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Custody","Hampshire","36","106","34.0"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Not remanded","Hampshire","7","106","6.6"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Bail","Hertfordshire","70","110","63.6"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Custody","Hertfordshire","31","110","28.2"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Not remanded","Hertfordshire","9","110","8.2"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Bail","Humberside","24","53","45.3"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Custody","Humberside","20","53","37.7"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Not remanded","Humberside","9","53","17.0"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Bail","Kent","44","101","43.6"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Custody","Kent","50","101","49.5"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Not remanded","Kent","7","101","6.9"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Bail","Lancashire","278","370","75.1"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Custody","Lancashire","66","370","17.8"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Not remanded","Lancashire","26","370","7.0"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Bail","Leicestershire","148","255","58.0"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Custody","Leicestershire","92","255","36.1"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Not remanded","Leicestershire","15","255","5.9"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Bail","Lincolnshire","3","8","37.5"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Custody","Lincolnshire","3","8","37.5"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Not remanded","Lincolnshire","2","8","25.0"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Bail","Merseyside","25","45","55.6"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Custody","Merseyside","18","45","40.0"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Not remanded","Merseyside","2","45","4.4"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Bail","Metropolitan Police","1452","2464","58.9"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Custody","Metropolitan Police","829","2464","33.6"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Not remanded","Metropolitan Police","183","2464","7.4"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Bail","Norfolk","8","16","50.0"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Custody","Norfolk","7","16","43.8"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Not remanded","Norfolk","1","16","6.3"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Bail","North Wales","2","36","5.6"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Custody","North Wales","20","36","55.6"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Bail","North Yorkshire","14","36","38.9"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Custody","North Yorkshire","11","53","20.8"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Bail","Northamptonshire","23","53","43.4"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Custody","Northamptonshire","19","53","35.8"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Not remanded","Northamptonshire","7","104","6.7"
"percentage of people on remand by status and police force area","2010","All","All","Asian","Bail","Northumbria","58","104","55.8"
