"Title","Remand status at Crown Court"
"Location","England and Wales"
"Time period","2009 to 2017"
"Data source","Ministry of Justice"
"Data source link","https://www.gov.uk/government/collections/criminal-justice-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-02"
"Measure","Year","Sex","Age group","ethnicity","remand status","count","denominator","value"
"percentage of defendants by remand status","2013","All"," Adults","White","Custody","20485","59056","34.7"
"percentage of defendants by remand status","2013","All"," Adults","White","Not remanded","10674","59056","18.1"
"percentage of defendants by remand status","2013","All"," Juveniles","Asian","Bail","126","176","71.6"
"percentage of defendants by remand status","2013","All"," Juveniles","Asian","Custody","45","176","25.6"
"percentage of defendants by remand status","2013","All"," Juveniles","Asian","Not remanded","5","176","2.8"
"percentage of defendants by remand status","2013","All"," Juveniles","Black","Bail","201","412","48.8"
"percentage of defendants by remand status","2013","All"," Juveniles","Black","Custody","185","412","44.9"
"percentage of defendants by remand status","2013","All"," Juveniles","Black","Not remanded","26","412","6.3"
"percentage of defendants by remand status","2013","All"," Juveniles","Mixed","Bail","79","160","49.4"
"percentage of defendants by remand status","2013","All"," Juveniles","Mixed","Custody","70","160","43.8"
"percentage of defendants by remand status","2013","All"," Juveniles","Mixed","Not remanded","11","160","6.9"
"percentage of defendants by remand status","2013","All"," Juveniles","Other inc Chinese","Bail","11","24","45.8"
"percentage of defendants by remand status","2013","All"," Juveniles","Other inc Chinese","Custody","9","24","37.5"
"percentage of defendants by remand status","2013","All"," Juveniles","Other inc Chinese","Not remanded","4","24","16.7"
"percentage of defendants by remand status","2013","All"," Juveniles","White","Bail","697","1159","60.1"
"percentage of defendants by remand status","2013","All"," Juveniles","White","Custody","388","1159","33.5"
"percentage of defendants by remand status","2013","All"," Juveniles","White","Not remanded","74","1159","6.4"
"percentage of defendants by remand status","2013","All"," Young adults","Asian","Bail","471","838","56.2"
"percentage of defendants by remand status","2013","All"," Young adults","Asian","Custody","293","838","35"
"percentage of defendants by remand status","2013","All"," Young adults","Asian","Not remanded","74","838","8.8"
"percentage of defendants by remand status","2013","All"," Young adults","Black","Bail","547","1434","38.1"
"percentage of defendants by remand status","2013","All"," Young adults","Black","Custody","720","1434","50.2"
"percentage of defendants by remand status","2013","All"," Young adults","Black","Not remanded","167","1434","11.6"
"percentage of defendants by remand status","2013","All"," Young adults","Mixed","Bail","225","564","39.9"
"percentage of defendants by remand status","2013","All"," Young adults","Mixed","Custody","247","564","43.8"
"percentage of defendants by remand status","2013","All"," Young adults","Mixed","Not remanded","92","564","16.3"
"percentage of defendants by remand status","2013","All"," Young adults","Other inc Chinese","Bail","43","133","32.3"
"percentage of defendants by remand status","2013","All"," Young adults","Other inc Chinese","Custody","71","133","53.4"
"percentage of defendants by remand status","2013","All"," Young adults","Other inc Chinese","Not remanded","19","133","14.3"
"percentage of defendants by remand status","2013","All"," Young adults","White","Bail","3294","7293","45.2"
"percentage of defendants by remand status","2013","All"," Young adults","White","Custody","2587","7293","35.5"
"percentage of defendants by remand status","2013","All"," Young adults","White","Not remanded","1412","7293","19.4"
"percentage of defendants by remand status","2014","All"," Adults","Asian","Bail","3009","5652","53.2"
"percentage of defendants by remand status","2014","All"," Adults","Asian","Custody","2134","5652","37.8"
"percentage of defendants by remand status","2014","All"," Adults","Asian","Not remanded","509","5652","9"
"percentage of defendants by remand status","2014","All"," Adults","Black","Bail","3300","7633","43.2"
"percentage of defendants by remand status","2014","All"," Adults","Black","Custody","3582","7633","46.9"
"percentage of defendants by remand status","2014","All"," Adults","Black","Not remanded","751","7633","9.8"
"percentage of defendants by remand status","2014","All"," Adults","Mixed","Bail","883","2157","40.9"
"percentage of defendants by remand status","2014","All"," Adults","Mixed","Custody","967","2157","44.8"
"percentage of defendants by remand status","2014","All"," Adults","Mixed","Not remanded","307","2157","14.2"
"percentage of defendants by remand status","2014","All"," Adults","Other inc Chinese","Bail","613","1368","44.8"
"percentage of defendants by remand status","2014","All"," Adults","Other inc Chinese","Custody","597","1368","43.6"
"percentage of defendants by remand status","2014","All"," Adults","Other inc Chinese","Not remanded","158","1368","11.5"
"percentage of defendants by remand status","2014","All"," Adults","White","Bail","28300","59907","47.2"
"percentage of defendants by remand status","2014","All"," Adults","White","Custody","22303","59907","37.2"
"percentage of defendants by remand status","2014","All"," Adults","White","Not remanded","9304","59907","15.5"
"percentage of defendants by remand status","2014","All"," Juveniles","Asian","Bail","111","159","69.8"
"percentage of defendants by remand status","2014","All"," Juveniles","Asian","Custody","34","159","21.4"
"percentage of defendants by remand status","2014","All"," Juveniles","Asian","Not remanded","14","159","8.8"
"percentage of defendants by remand status","2014","All"," Juveniles","Black","Bail","142","313","45.4"
"percentage of defendants by remand status","2014","All"," Juveniles","Black","Custody","148","313","47.3"
"percentage of defendants by remand status","2014","All"," Juveniles","Black","Not remanded","23","313","7.3"
"percentage of defendants by remand status","2014","All"," Juveniles","Mixed","Bail","66","133","49.6"
"percentage of defendants by remand status","2014","All"," Juveniles","Mixed","Custody","58","133","43.6"
"percentage of defendants by remand status","2014","All"," Juveniles","Mixed","Not remanded","9","133","6.8"
"percentage of defendants by remand status","2014","All"," Juveniles","Other inc Chinese","Bail","8","25","32"
"percentage of defendants by remand status","2014","All"," Juveniles","Other inc Chinese","Custody","17","25","68"
"percentage of defendants by remand status","2014","All"," Juveniles","Other inc Chinese","Not remanded","0","25","0"
"percentage of defendants by remand status","2014","All"," Juveniles","White","Bail","697","1088","64.1"
"percentage of defendants by remand status","2014","All"," Juveniles","White","Custody","325","1088","29.9"
"percentage of defendants by remand status","2014","All"," Juveniles","White","Not remanded","66","1088","6.1"
"percentage of defendants by remand status","2014","All"," Young adults","Asian","Bail","447","826","54.1"
"percentage of defendants by remand status","2014","All"," Young adults","Asian","Custody","286","826","34.6"
"percentage of defendants by remand status","2014","All"," Young adults","Asian","Not remanded","93","826","11.3"
"percentage of defendants by remand status","2014","All"," Young adults","Black","Bail","580","1367","42.4"
"percentage of defendants by remand status","2014","All"," Young adults","Black","Custody","658","1367","48.1"
"percentage of defendants by remand status","2014","All"," Young adults","Black","Not remanded","129","1367","9.4"
"percentage of defendants by remand status","2014","All"," Young adults","Mixed","Bail","228","520","43.8"
"percentage of defendants by remand status","2014","All"," Young adults","Mixed","Custody","234","520","45"
"percentage of defendants by remand status","2014","All"," Young adults","Mixed","Not remanded","58","520","11.2"
"percentage of defendants by remand status","2014","All"," Young adults","Other inc Chinese","Bail","63","139","45.3"
"percentage of defendants by remand status","2014","All"," Young adults","Other inc Chinese","Custody","64","139","46"
"percentage of defendants by remand status","2014","All"," Young adults","Other inc Chinese","Not remanded","12","139","8.6"
"percentage of defendants by remand status","2014","All"," Young adults","White","Bail","3524","7161","49.2"
"percentage of defendants by remand status","2014","All"," Young adults","White","Custody","2483","7161","34.7"
"percentage of defendants by remand status","2014","All"," Young adults","White","Not remanded","1154","7161","16.1"
"percentage of defendants by remand status","2015","All"," Adults","Asian","Bail","3189","5853","54.5"
"percentage of defendants by remand status","2015","All"," Adults","Asian","Custody","2160","5853","36.9"
"percentage of defendants by remand status","2015","All"," Adults","Asian","Not remanded","504","5853","8.6"
"percentage of defendants by remand status","2015","All"," Adults","Black","Bail","3368","7485","45"
"percentage of defendants by remand status","2015","All"," Adults","Black","Custody","3394","7485","45.3"
"percentage of defendants by remand status","2015","All"," Adults","Black","Not remanded","723","7485","9.7"
"percentage of defendants by remand status","2015","All"," Adults","Mixed","Bail","993","2221","44.7"
"percentage of defendants by remand status","2015","All"," Adults","Mixed","Custody","966","2221","43.5"
"percentage of defendants by remand status","2015","All"," Adults","Mixed","Not remanded","262","2221","11.8"
"percentage of defendants by remand status","2015","All"," Adults","Other inc Chinese","Bail","634","1386","45.7"
"percentage of defendants by remand status","2015","All"," Adults","Other inc Chinese","Custody","608","1386","43.9"
"percentage of defendants by remand status","2015","All"," Adults","Other inc Chinese","Not remanded","144","1386","10.4"
"percentage of defendants by remand status","2015","All"," Adults","White","Bail","29269","59886","48.9"
"percentage of defendants by remand status","2015","All"," Adults","White","Custody","22114","59886","36.9"
"percentage of defendants by remand status","2015","All"," Adults","White","Not remanded","8503","59886","14.2"
"percentage of defendants by remand status","2015","All"," Juveniles","Asian","Bail","74","126","58.7"
"percentage of defendants by remand status","2015","All"," Juveniles","Asian","Custody","43","126","34.1"
"percentage of defendants by remand status","2015","All"," Juveniles","Asian","Not remanded","9","126","7.1"
"percentage of defendants by remand status","2015","All"," Juveniles","Black","Bail","111","249","44.6"
"percentage of defendants by remand status","2015","All"," Juveniles","Black","Custody","119","249","47.8"
"percentage of defendants by remand status","2015","All"," Juveniles","Black","Not remanded","19","249","7.6"
"percentage of defendants by remand status","2015","All"," Juveniles","Mixed","Bail","62","110","56.4"
"percentage of defendants by remand status","2015","All"," Juveniles","Mixed","Custody","38","110","34.5"
"percentage of defendants by remand status","2015","All"," Juveniles","Mixed","Not remanded","10","110","9.1"
"percentage of defendants by remand status","2015","All"," Juveniles","Other inc Chinese","Bail","17","39","43.6"
"percentage of defendants by remand status","2015","All"," Juveniles","Other inc Chinese","Custody","19","39","48.7"
"percentage of defendants by remand status","2015","All"," Juveniles","Other inc Chinese","Not remanded","3","39","7.7"
"percentage of defendants by remand status","2015","All"," Juveniles","White","Bail","552","908","60.8"
"percentage of defendants by remand status","2015","All"," Juveniles","White","Custody","278","908","30.6"
"percentage of defendants by remand status","2015","All"," Juveniles","White","Not remanded","78","908","8.6"
"percentage of defendants by remand status","2015","All"," Young adults","Asian","Bail","413","765","54"
"percentage of defendants by remand status","2015","All"," Young adults","Asian","Custody","275","765","35.9"
"percentage of defendants by remand status","2015","All"," Young adults","Asian","Not remanded","77","765","10.1"
"percentage of defendants by remand status","2015","All"," Young adults","Black","Bail","556","1417","39.2"
"percentage of defendants by remand status","2015","All"," Young adults","Black","Custody","677","1417","47.8"
"percentage of defendants by remand status","2015","All"," Young adults","Black","Not remanded","184","1417","13"
"percentage of defendants by remand status","2015","All"," Young adults","Mixed","Bail","225","470","47.9"
"percentage of defendants by remand status","2015","All"," Young adults","Mixed","Custody","195","470","41.5"
"percentage of defendants by remand status","2015","All"," Young adults","Mixed","Not remanded","50","470","10.6"
"percentage of defendants by remand status","2015","All"," Young adults","Other inc Chinese","Bail","77","163","47.2"
"percentage of defendants by remand status","2015","All"," Young adults","Other inc Chinese","Custody","67","163","41.1"
"percentage of defendants by remand status","2015","All"," Young adults","Other inc Chinese","Not remanded","19","163","11.7"
"percentage of defendants by remand status","2015","All"," Young adults","White","Bail","3367","6609","50.9"
"percentage of defendants by remand status","2015","All"," Young adults","White","Custody","2231","6609","33.8"
"percentage of defendants by remand status","2015","All"," Young adults","White","Not remanded","1011","6609","15.3"
"percentage of defendants by remand status","2016","All"," Adults","Asian","Bail","2792","5388","51.8"
"percentage of defendants by remand status","2016","All"," Adults","Asian","Custody","1984","5388","36.8"
"percentage of defendants by remand status","2016","All"," Adults","Asian","Not remanded","612","5388","11.4"
"percentage of defendants by remand status","2016","All"," Adults","Black","Bail","3359","7404","45.4"
"percentage of defendants by remand status","2016","All"," Adults","Black","Custody","3164","7404","42.7"
"percentage of defendants by remand status","2016","All"," Adults","Black","Not remanded","881","7404","11.9"
"percentage of defendants by remand status","2016","All"," Adults","Mixed","Bail","850","1982","42.9"
"percentage of defendants by remand status","2016","All"," Adults","Mixed","Custody","833","1982","42"
"percentage of defendants by remand status","2016","All"," Adults","Mixed","Not remanded","299","1982","15.1"
"percentage of defendants by remand status","2016","All"," Adults","Other inc Chinese","Bail","613","1200","51.1"
"percentage of defendants by remand status","2016","All"," Adults","Other inc Chinese","Custody","455","1200","37.9"
"percentage of defendants by remand status","2016","All"," Adults","Other inc Chinese","Not remanded","132","1200","11"
"percentage of defendants by remand status","2016","All"," Adults","White","Bail","25432","53847","47.2"
"percentage of defendants by remand status","2016","All"," Adults","White","Custody","19020","53847","35.3"
"percentage of defendants by remand status","2016","All"," Adults","White","Not remanded","9395","53847","17.4"
"percentage of defendants by remand status","2016","All"," Juveniles","Asian","Bail","52","112","46.4"
"percentage of defendants by remand status","2016","All"," Juveniles","Asian","Custody","48","112","42.9"
"percentage of defendants by remand status","2016","All"," Juveniles","Asian","Not remanded","12","112","10.7"
"percentage of defendants by remand status","2016","All"," Juveniles","Black","Bail","75","208","36.1"
"percentage of defendants by remand status","2016","All"," Juveniles","Black","Custody","101","208","48.6"
"percentage of defendants by remand status","2016","All"," Juveniles","Black","Not remanded","32","208","15.4"
"percentage of defendants by remand status","2016","All"," Juveniles","Mixed","Bail","39","77","50.6"
"percentage of defendants by remand status","2016","All"," Juveniles","Mixed","Custody","33","77","42.9"
"percentage of defendants by remand status","2016","All"," Juveniles","Mixed","Not remanded","5","77","6.5"
"percentage of defendants by remand status","2016","All"," Juveniles","Other inc Chinese","Bail","10","21","47.6"
"percentage of defendants by remand status","2016","All"," Juveniles","Other inc Chinese","Custody","10","21","47.6"
"percentage of defendants by remand status","2016","All"," Juveniles","Other inc Chinese","Not remanded","1","21","4.8"
"percentage of defendants by remand status","2016","All"," Juveniles","White","Bail","422","679","62.2"
"percentage of defendants by remand status","2016","All"," Juveniles","White","Custody","175","679","25.8"
"percentage of defendants by remand status","2016","All"," Juveniles","White","Not remanded","82","679","12.1"
"percentage of defendants by remand status","2016","All"," Young adults","Asian","Bail","393","703","55.9"
"percentage of defendants by remand status","2016","All"," Young adults","Asian","Custody","219","703","31.2"
"percentage of defendants by remand status","2016","All"," Young adults","Asian","Not remanded","91","703","12.9"
"percentage of defendants by remand status","2016","All"," Young adults","Black","Bail","576","1434","40.2"
"percentage of defendants by remand status","2016","All"," Young adults","Black","Custody","611","1434","42.6"
"percentage of defendants by remand status","2016","All"," Young adults","Black","Not remanded","247","1434","17.2"
"percentage of defendants by remand status","2016","All"," Young adults","Mixed","Bail","185","450","41.1"
"percentage of defendants by remand status","2016","All"," Young adults","Mixed","Custody","168","450","37.3"
"percentage of defendants by remand status","2016","All"," Young adults","Mixed","Not remanded","97","450","21.6"
"percentage of defendants by remand status","2016","All"," Young adults","Other inc Chinese","Bail","47","136","34.6"
"percentage of defendants by remand status","2016","All"," Young adults","Other inc Chinese","Custody","67","136","49.3"
"percentage of defendants by remand status","2016","All"," Young adults","Other inc Chinese","Not remanded","22","136","16.2"
"percentage of defendants by remand status","2016","All"," Young adults","White","Bail","2676","5410","49.5"
"percentage of defendants by remand status","2016","All"," Young adults","White","Custody","1699","5410","31.4"
"percentage of defendants by remand status","2016","All"," Young adults","White","Not remanded","1035","5410","19.1"
"percentage of defendants by remand status","2017","All"," Adults","Asian","Bail","2474","4898","50.5"
"percentage of defendants by remand status","2017","All"," Adults","Asian","Custody","1791","4898","36.6"
"percentage of defendants by remand status","2017","All"," Adults","Asian","Not remanded","633","4898","12.9"
"percentage of defendants by remand status","2017","All"," Adults","Black","Bail","2921","6759","43.2"
"percentage of defendants by remand status","2017","All"," Adults","Black","Custody","2861","6759","42.3"
"percentage of defendants by remand status","2017","All"," Adults","Black","Not remanded","977","6759","14.5"
"percentage of defendants by remand status","2017","All"," Adults","Mixed","Bail","685","1678","40.8"
"percentage of defendants by remand status","2017","All"," Adults","Mixed","Custody","736","1678","43.9"
"percentage of defendants by remand status","2017","All"," Adults","Mixed","Not remanded","257","1678","15.3"
"percentage of defendants by remand status","2017","All"," Adults","Other inc Chinese","Bail","469","1005","46.7"
"percentage of defendants by remand status","2017","All"," Adults","Other inc Chinese","Custody","395","1005","39.3"
"percentage of defendants by remand status","2017","All"," Adults","Other inc Chinese","Not remanded","141","1005","14"
"percentage of defendants by remand status","2017","All"," Adults","White","Bail","20574","47157","43.6"
"percentage of defendants by remand status","2017","All"," Adults","White","Custody","17136","47157","36.3"
"percentage of defendants by remand status","2017","All"," Adults","White","Not remanded","9447","47157","20"
"percentage of defendants by remand status","2017","All"," Juveniles","Asian","Bail","37","79","46.8"
"percentage of defendants by remand status","2017","All"," Juveniles","Asian","Custody","34","79","43"
"percentage of defendants by remand status","2017","All"," Juveniles","Asian","Not remanded","8","79","10.1"
"percentage of defendants by remand status","2017","All"," Juveniles","Black","Bail","84","224","37.5"
"percentage of defendants by remand status","2017","All"," Juveniles","Black","Custody","114","224","50.9"
"percentage of defendants by remand status","2017","All"," Juveniles","Black","Not remanded","26","224","11.6"
"percentage of defendants by remand status","2017","All"," Juveniles","Mixed","Bail","26","65","40"
"percentage of defendants by remand status","2017","All"," Juveniles","Mixed","Custody","27","65","41.5"
"percentage of defendants by remand status","2017","All"," Juveniles","Mixed","Not remanded","12","65","18.5"
"percentage of defendants by remand status","2017","All"," Juveniles","Other inc Chinese","Bail","8","20","40"
"percentage of defendants by remand status","2017","All"," Juveniles","Other inc Chinese","Custody","11","20","55"
"percentage of defendants by remand status","2017","All"," Juveniles","Other inc Chinese","Not remanded","1","20","5"
"percentage of defendants by remand status","2017","All"," Juveniles","White","Bail","343","633","54.2"
"percentage of defendants by remand status","2017","All"," Juveniles","White","Custody","198","633","31.3"
"percentage of defendants by remand status","2017","All"," Juveniles","White","Not remanded","92","633","14.5"
"percentage of defendants by remand status","2017","All"," Young adults","Asian","Bail","328","695","47.2"
"percentage of defendants by remand status","2017","All"," Young adults","Asian","Custody","229","695","32.9"
"percentage of defendants by remand status","2017","All"," Young adults","Asian","Not remanded","138","695","19.9"
"percentage of defendants by remand status","2017","All"," Young adults","Black","Bail","554","1427","38.8"
"percentage of defendants by remand status","2017","All"," Young adults","Black","Custody","611","1427","42.8"
"percentage of defendants by remand status","2017","All"," Young adults","Black","Not remanded","262","1427","18.4"
"percentage of defendants by remand status","2017","All"," Young adults","Mixed","Bail","172","411","41.8"
"percentage of defendants by remand status","2017","All"," Young adults","Mixed","Custody","174","411","42.3"
"percentage of defendants by remand status","2017","All"," Young adults","Mixed","Not remanded","65","411","15.8"
"percentage of defendants by remand status","2017","All"," Young adults","Other inc Chinese","Bail","37","126","29.4"
"percentage of defendants by remand status","2017","All"," Young adults","Other inc Chinese","Custody","59","126","46.8"
"percentage of defendants by remand status","2017","All"," Young adults","Other inc Chinese","Not remanded","30","126","23.8"
"percentage of defendants by remand status","2017","All"," Young adults","White","Bail","2213","4689","47.2"
"percentage of defendants by remand status","2017","All"," Young adults","White","Custody","1446","4689","30.8"
"percentage of defendants by remand status","2017","All"," Young adults","White","Not remanded","1030","4689","22"
"percentage of defendants by remand status","2009","Female","All","Asian","Bail","252","383","65.8"
"percentage of defendants by remand status","2009"," Female","All","Asian","Custody","94","383","24.5"
"percentage of defendants by remand status","2009","Female","All","Asian","Not remanded","37","383","9.7"
"percentage of defendants by remand status","2009","Female","All","Black","Bail","586","1118","52.4"
"percentage of defendants by remand status","2009"," Female","All","Black","Custody","422","1118","37.7"
"percentage of defendants by remand status","2009","Female","All","Black","Not remanded","110","1118","9.8"
"percentage of defendants by remand status","2009","Female","All","Mixed","Bail","154","222","69.4"
"percentage of defendants by remand status","2009"," Female","All","Mixed","Custody","43","222","19.4"
"percentage of defendants by remand status","2009","Female","All","Mixed","Not remanded","25","222","11.3"
"percentage of defendants by remand status","2009","Female","All","Other inc Chinese","Bail","75","184","40.8"
"percentage of defendants by remand status","2009"," Female","All","Other inc Chinese","Custody","84","184","45.7"
"percentage of defendants by remand status","2009","Female","All","Other inc Chinese","Not remanded","25","184","13.6"
"percentage of defendants by remand status","2009","Female","All","White","Bail","5219","7612","68.6"
"percentage of defendants by remand status","2009"," Female","All","White","Custody","1404","7612","18.4"
"percentage of defendants by remand status","2009","Female","All","White","Not remanded","989","7612","13"
"percentage of defendants by remand status","2009","Male","All","Asian","Bail","3178","5928","53.6"
"percentage of defendants by remand status","2009"," Male","All","Asian","Custody","2209","5928","37.3"
"percentage of defendants by remand status","2009","Male","All","Asian","Not remanded","541","5928","9.1"
"percentage of defendants by remand status","2009","Male","All","Black","Bail","3452","8715","39.6"
"percentage of defendants by remand status","2009"," Male","All","Black","Custody","4288","8715","49.2"
"percentage of defendants by remand status","2009","Male","All","Black","Not remanded","975","8715","11.2"
"percentage of defendants by remand status","2009","Male","All","Mixed","Bail","872","2081","41.9"
"percentage of defendants by remand status","2009"," Male","All","Mixed","Custody","958","2081","46"
"percentage of defendants by remand status","2009","Male","All","Mixed","Not remanded","251","2081","12.1"
"percentage of defendants by remand status","2009","Male","All","Other inc Chinese","Bail","564","1565","36"
"percentage of defendants by remand status","2009"," Male","All","Other inc Chinese","Custody","827","1565","52.8"
"percentage of defendants by remand status","2009","Male","All","Other inc Chinese","Not remanded","174","1565","11.1"
"percentage of defendants by remand status","2009","Male","All","White","Bail","29766","58751","50.7"
"percentage of defendants by remand status","2009"," Male","All","White","Custody","19702","58751","33.5"
"percentage of defendants by remand status","2009","Male","All","White","Not remanded","9283","58751","15.8"
"percentage of defendants by remand status","2010","Female","All","Asian","Bail","322","445","72.4"
"percentage of defendants by remand status","2010"," Female","All","Asian","Custody","98","445","22"
"percentage of defendants by remand status","2010","Female","All","Asian","Not remanded","25","445","5.6"
"percentage of defendants by remand status","2010","Female","All","Black","Bail","755","1245","60.6"
"percentage of defendants by remand status","2010"," Female","All","Black","Custody","410","1245","32.9"
"percentage of defendants by remand status","2010","Female","All","Black","Not remanded","80","1245","6.4"
"percentage of defendants by remand status","2010","Female","All","Mixed","Bail","268","396","67.7"
"percentage of defendants by remand status","2010"," Female","All","Mixed","Custody","86","396","21.7"
"percentage of defendants by remand status","2010","Female","All","Mixed","Not remanded","42","396","10.6"
"percentage of defendants by remand status","2010","Female","All","Other inc Chinese","Bail","128","254","50.4"
"percentage of defendants by remand status","2010"," Female","All","Other inc Chinese","Custody","107","254","42.1"
"percentage of defendants by remand status","2010","Female","All","Other inc Chinese","Not remanded","19","254","7.5"
"percentage of defendants by remand status","2010","Female","All","White","Bail","6572","9321","70.5"
"percentage of defendants by remand status","2010"," Female","All","White","Custody","1692","9321","18.2"
"percentage of defendants by remand status","2010","Female","All","White","Not remanded","1057","9321","11.3"
"percentage of defendants by remand status","2010","Male","All","Asian","Bail","4437","7768","57.1"
"percentage of defendants by remand status","2010"," Male","All","Asian","Custody","2731","7768","35.2"
"percentage of defendants by remand status","2010","Male","All","Asian","Not remanded","600","7768","7.7"
"percentage of defendants by remand status","2010","Male","All","Black","Bail","4648","10560","44"
"percentage of defendants by remand status","2010"," Male","All","Black","Custody","4963","10560","47"
"percentage of defendants by remand status","2010","Male","All","Black","Not remanded","949","10560","9"
"percentage of defendants by remand status","2010","Male","All","Mixed","Bail","1292","2771","46.6"
"percentage of defendants by remand status","2010"," Male","All","Mixed","Custody","1183","2771","42.7"
"percentage of defendants by remand status","2010","Male","All","Mixed","Not remanded","296","2771","10.7"
"percentage of defendants by remand status","2010","Male","All","Other inc Chinese","Bail","735","1922","38.2"
"percentage of defendants by remand status","2010"," Male","All","Other inc Chinese","Custody","985","1922","51.2"
"percentage of defendants by remand status","2010","Male","All","Other inc Chinese","Not remanded","202","1922","10.5"
"percentage of defendants by remand status","2010","Male","All","White","Bail","38239","73107","52.3"
"percentage of defendants by remand status","2010"," Male","All","White","Custody","24941","73107","34.1"
"percentage of defendants by remand status","2010","Male","All","White","Not remanded","9927","73107","13.6"
"percentage of defendants by remand status","2011","Error","All","Other inc Chinese","Custody","1","","#DIV/0!"
"percentage of defendants by remand status","2011","Female","All","Asian","Bail","336","441","76.2"
"percentage of defendants by remand status","2011"," Female","All","Asian","Custody","104","441","23.6"
"percentage of defendants by remand status","2011","Female","All","Asian","Not remanded","28","441","6.3"
"percentage of defendants by remand status","2011","Female","All","Black","Bail","770","1155","66.7"
"percentage of defendants by remand status","2011"," Female","All","Black","Custody","357","1155","30.9"
"percentage of defendants by remand status","2011","Female","All","Black","Not remanded","120","1155","10.4"
"percentage of defendants by remand status","2011","Female","All","Mixed","Bail","242","474","51.1"
"percentage of defendants by remand status","2011"," Female","All","Mixed","Custody","112","474","23.6"
"percentage of defendants by remand status","2011","Female","All","Mixed","Not remanded","40","474","8.4"
"percentage of defendants by remand status","2011","Female","All","Other inc Chinese","Bail","127","247","51.4"
"percentage of defendants by remand status","2011"," Female","All","Other inc Chinese","Custody","80","247","32.4"
"percentage of defendants by remand status","2011","Female","All","Other inc Chinese","Not remanded","18","247","7.3"
"percentage of defendants by remand status","2011","Female","All","White","Bail","6214","8105","76.7"
"percentage of defendants by remand status","2011"," Female","All","White","Custody","1873","8105","23.1"
"percentage of defendants by remand status","2011","Female","All","White","Not remanded","1147","8105","14.2"
"percentage of defendants by remand status","2011","Male","All","Asian","Bail","4371","8301","52.7"
"percentage of defendants by remand status","2011"," Male","All","Asian","Custody","2783","8301","33.5"
"percentage of defendants by remand status","2011","Male","All","Asian","Not remanded","690","8301","8.3"
"percentage of defendants by remand status","2011","Male","All","Black","Bail","4626","10503","44"
"percentage of defendants by remand status","2011"," Male","All","Black","Custody","5187","10503","49.4"
"percentage of defendants by remand status","2011","Male","All","Black","Not remanded","1050","10503","10"
"percentage of defendants by remand status","2011","Male","All","Mixed","Bail","1374","3779","36.4"
"percentage of defendants by remand status","2011"," Male","All","Mixed","Custody","1355","3779","35.9"
"percentage of defendants by remand status","2011","Male","All","Mixed","Not remanded","365","3779","9.7"
"percentage of defendants by remand status","2011","Male","All","Other inc Chinese","Bail","743","1965","37.8"
"percentage of defendants by remand status","2011"," Male","All","Other inc Chinese","Custody","857","1965","43.6"
"percentage of defendants by remand status","2011","Male","All","Other inc Chinese","Not remanded","228","1965","11.6"
"percentage of defendants by remand status","2011","Male","All","White","Bail","36141","62770","57.6"
"percentage of defendants by remand status","2011"," Male","All","White","Custody","26401","62770","42.1"
"percentage of defendants by remand status","2011","Male","All","White","Not remanded","11218","62770","17.9"
"percentage of defendants by remand status","2012","Female","All","Asian","Bail","301","11598","2.6"
"percentage of defendants by remand status","2012"," Female","All","Asian","Custody","79","11598","0.7"
"percentage of defendants by remand status","2012","Female","All","Asian","Not remanded","31","11598","0.3"
"percentage of defendants by remand status","2012","Female","All","Black","Bail","567","830","68.3"
"percentage of defendants by remand status","2012"," Female","All","Black","Custody","232","830","28"
"percentage of defendants by remand status","2012","Female","All","Black","Not remanded","109","830","13.1"
"percentage of defendants by remand status","2012","Female","All","Mixed","Bail","232","421","55.1"
"percentage of defendants by remand status","2012"," Female","All","Mixed","Custody","80","421","19"
"percentage of defendants by remand status","2012","Female","All","Mixed","Not remanded","48","421","11.4"
"percentage of defendants by remand status","2012","Female","All","Other inc Chinese","Bail","119","233","51.1"
"percentage of defendants by remand status","2012"," Female","All","Other inc Chinese","Custody","66","233","28.3"
"percentage of defendants by remand status","2012","Female","All","Other inc Chinese","Not remanded","21","233","9"
"percentage of defendants by remand status","2012","Female","All","White","Bail","5112","6678","76.5"
"percentage of defendants by remand status","2012"," Female","All","White","Custody","1545","6678","23.1"
"percentage of defendants by remand status","2012","Female","All","White","Not remanded","1140","6678","17.1"
"percentage of defendants by remand status","2012","Male","All","Asian","Bail","3751","7338","51.1"
"percentage of defendants by remand status","2012"," Male","All","Asian","Custody","2447","7338","33.3"
"percentage of defendants by remand status","2012","Male","All","Asian","Not remanded","685","7338","9.3"
"percentage of defendants by remand status","2012","Male","All","Black","Bail","4013","9209","43.6"
"percentage of defendants by remand status","2012"," Male","All","Black","Custody","4511","9209","49"
"percentage of defendants by remand status","2012","Male","All","Black","Not remanded","1036","9209","11.2"
"percentage of defendants by remand status","2012","Male","All","Mixed","Bail","1148","3408","33.7"
"percentage of defendants by remand status","2012"," Male","All","Mixed","Custody","1224","3408","35.9"
"percentage of defendants by remand status","2012","Male","All","Mixed","Not remanded","409","3408","12"
"percentage of defendants by remand status","2012","Male","All","Other inc Chinese","Bail","630","1786","35.3"
"percentage of defendants by remand status","2012"," Male","All","Other inc Chinese","Custody","747","1786","41.8"
