"Title","Destinations and earnings of graduates after higher education"
"Location","England"
"Time period","2015/16"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/statistics/graduate-outcomes-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","2018-06-28"
"Measure","tax_year","academic_year","years after graduation","ethnicity","ethnicity_type","destination","value","value_type"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Other Asian Background","LEO","sustained employment with or without further study","73.1","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","Other Black Background","LEO","sustained employment with or without further study","74.8","%"
"Percentage of graduates by destination after higher education","2015/2016","2013/2014","1","White","LEO","sustained employment with or without further study","82.3","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Asian or Asian British - Bangladeshi","LEO","sustained employment with or without further study","83.5","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Asian or Asian British - Indian","LEO","sustained employment with or without further study","85","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Asian or Asian British - Pakistani","LEO","sustained employment with or without further study","78.7","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Black or Black British - African","LEO","sustained employment with or without further study","78.1","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Black or Black British - Caribbean","LEO","sustained employment with or without further study","84.4","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Chinese","LEO","sustained employment with or without further study","70.6","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Unknown","LEO","sustained employment with or without further study","78","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Other (including mixed)","LEO","sustained employment with or without further study","78.4","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Other Asian Background","LEO","sustained employment with or without further study","76.5","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","Other Black Background","LEO","sustained employment with or without further study","75.1","%"
"Percentage of graduates by destination after higher education","2015/2016","2011/2012","3","White","LEO","sustained employment with or without further study","84.7","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Asian or Asian British - Bangladeshi","LEO","sustained employment with or without further study","82.6","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Asian or Asian British - Indian","LEO","sustained employment with or without further study","85","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Asian or Asian British - Pakistani","LEO","sustained employment with or without further study","78.1","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Black or Black British - African","LEO","sustained employment with or without further study","76.7","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Black or Black British - Caribbean","LEO","sustained employment with or without further study","83.4","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Chinese","LEO","sustained employment with or without further study","69","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Unknown","LEO","sustained employment with or without further study","78","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Other (including mixed)","LEO","sustained employment with or without further study","77.8","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Other Asian Background","LEO","sustained employment with or without further study","76.5","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","Other Black Background","LEO","sustained employment with or without further study","77.1","%"
"Percentage of graduates by destination after higher education","2015/2016","2009/2010","5","White","LEO","sustained employment with or without further study","84.8","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Asian or Asian British - Bangladeshi","LEO","sustained employment with or without further study","80.5","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Asian or Asian British - Indian","LEO","sustained employment with or without further study","83.3","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Asian or Asian British - Pakistani","LEO","sustained employment with or without further study","74.9","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Black or Black British - African","LEO","sustained employment with or without further study","72.9","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Black or Black British - Caribbean","LEO","sustained employment with or without further study","82.5","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Chinese","LEO","sustained employment with or without further study","66.6","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Unknown","LEO","sustained employment with or without further study","77.9","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Other (including mixed)","LEO","sustained employment with or without further study","75.3","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Other Asian Background","LEO","sustained employment with or without further study","76.1","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","Other Black Background","LEO","sustained employment with or without further study","73.4","%"
"Percentage of graduates by destination after higher education","2015/2016","2004/2005","10","White","LEO","sustained employment with or without further study","82.8","%"
