"Measure","Domain","decile_label","Ethnicity","Ethnicity_type","Value","Value_type","Numerator","Denominator"
"Percentage of people living in these neighbourhoods","Income Deprivation","60% to 70% most deprived","Asian: Chinese","ONS 2011 18+1","7.90","%","29985","379503"
"Percentage of people living in these neighbourhoods","Income Deprivation","60% to 70% most deprived","Asian: Asian Other","ONS 2011 18+1","6.92","%","56738","819402"
"Percentage of people living in these neighbourhoods","Income Deprivation","60% to 70% most deprived","Black:  All","ONS 2011 18+1","3.63","%","67042","1846614"
"Percentage of people living in these neighbourhoods","Income Deprivation","60% to 70% most deprived","Black:  Black African","ONS 2011 18+1","3.51","%","34340","977741"
"Percentage of people living in these neighbourhoods","Income Deprivation","60% to 70% most deprived","Black:  Black Caribbean","ONS 2011 18+1","3.97","%","23453","591016"
"Percentage of people living in these neighbourhoods","Income Deprivation","60% to 70% most deprived","Black:  Black Other","ONS 2011 18+1","3.33","%","9249","277857"
"Percentage of people living in these neighbourhoods","Income Deprivation","60% to 70% most deprived","Mixed: All","ONS 2011 18+1","7.25","%","86439","1192879"
"Percentage of people living in these neighbourhoods","Income Deprivation","60% to 70% most deprived","Mixed: White and Black Caribbean","ONS 2011 18+1","6.12","%","25420","415616"
"Percentage of people living in these neighbourhoods","Income Deprivation","60% to 70% most deprived","Mixed: White and Black African","ONS 2011 18+1","6.28","%","10152","161550"
"Percentage of people living in these neighbourhoods","Income Deprivation","60% to 70% most deprived","Mixed: White and Asian","ONS 2011 18+1","8.78","%","29198","332708"
"Percentage of people living in these neighbourhoods","Income Deprivation","60% to 70% most deprived","Mixed: Other Mixed","ONS 2011 18+1","7.66","%","21669","283005"
"Percentage of people living in these neighbourhoods","Income Deprivation","60% to 70% most deprived","Other: All","ONS 2011 18+1","6.22","%","34128","548418"
"Percentage of people living in these neighbourhoods","Income Deprivation","60% to 70% most deprived","Other: Arab","ONS 2011 18+1","6.09","%","13453","220985"
"Percentage of people living in these neighbourhoods","Income Deprivation","60% to 70% most deprived","Other: Any Other","ONS 2011 18+1","6.31","%","20675","327433"
"Percentage of people living in these neighbourhoods","Income Deprivation","60% to 70% most deprived","All","ONS 2011 18+1","9.94","%","5270566","53012456"
"Percentage of people living in these neighbourhoods","Income Deprivation","70% to 80% most deprived","White: All","ONS 2011 18+1","10.82","%","4899277","45281142"
"Percentage of people living in these neighbourhoods","Income Deprivation","70% to 80% most deprived","White: British","ONS 2011 18+1","11.04","%","4669309","42279236"
"Percentage of people living in these neighbourhoods","Income Deprivation","70% to 80% most deprived","White: Irish","ONS 2011 18+1","8.88","%","45890","517001"
"Percentage of people living in these neighbourhoods","Income Deprivation","70% to 80% most deprived","White: Gypsy or Irish Traveller","ONS 2011 18+1","8.10","%","4449","54895"
"Percentage of people living in these neighbourhoods","Income Deprivation","70% to 80% most deprived","White: White Other","ONS 2011 18+1","7.39","%","179629","2430010"
"Percentage of people living in these neighbourhoods","Income Deprivation","70% to 80% most deprived","Asian: All","ONS 2011 18+1","4.98","%","206150","4143403"
"Percentage of people living in these neighbourhoods","Income Deprivation","70% to 80% most deprived","Asian: Indian","ONS 2011 18+1","6.27","%","87456","1395702"
"Percentage of people living in these neighbourhoods","Income Deprivation","70% to 80% most deprived","Asian: Pakistani","ONS 2011 18+1","2.92","%","32480","1112282"
"Percentage of people living in these neighbourhoods","Income Deprivation","70% to 80% most deprived","Asian: Bangladeshi","ONS 2011 18+1","2.20","%","9594","436514"
"Percentage of people living in these neighbourhoods","Income Deprivation","70% to 80% most deprived","Asian: Chinese","ONS 2011 18+1","8.03","%","30484","379503"
"Percentage of people living in these neighbourhoods","Income Deprivation","70% to 80% most deprived","Asian: Asian Other","ONS 2011 18+1","5.63","%","46136","819402"
"Percentage of people living in these neighbourhoods","Income Deprivation","70% to 80% most deprived","Black:  All","ONS 2011 18+1","2.87","%","52939","1846614"
"Percentage of people living in these neighbourhoods","Income Deprivation","70% to 80% most deprived","Black:  Black African","ONS 2011 18+1","2.82","%","27525","977741"
"Percentage of people living in these neighbourhoods","Income Deprivation","70% to 80% most deprived","Black:  Black Caribbean","ONS 2011 18+1","3.05","%","18023","591016"
"Percentage of people living in these neighbourhoods","Income Deprivation","70% to 80% most deprived","Black:  Black Other","ONS 2011 18+1","2.66","%","7391","277857"
"Percentage of people living in these neighbourhoods","Income Deprivation","70% to 80% most deprived","Mixed: All","ONS 2011 18+1","6.67","%","79578","1192879"
"Percentage of people living in these neighbourhoods","Income Deprivation","70% to 80% most deprived","Mixed: White and Black Caribbean","ONS 2011 18+1","5.42","%","22514","415616"
"Percentage of people living in these neighbourhoods","Income Deprivation","70% to 80% most deprived","Mixed: White and Black African","ONS 2011 18+1","5.60","%","9041","161550"
"Percentage of people living in these neighbourhoods","Income Deprivation","70% to 80% most deprived","Mixed: White and Asian","ONS 2011 18+1","8.54","%","28413","332708"
"Percentage of people living in these neighbourhoods","Income Deprivation","70% to 80% most deprived","Mixed: Other Mixed","ONS 2011 18+1","6.93","%","19610","283005"
"Percentage of people living in these neighbourhoods","Income Deprivation","70% to 80% most deprived","Other: All","ONS 2011 18+1","5.27","%","28889","548418"
"Percentage of people living in these neighbourhoods","Income Deprivation","70% to 80% most deprived","Other: Arab","ONS 2011 18+1","5.12","%","11319","220985"
"Percentage of people living in these neighbourhoods","Income Deprivation","70% to 80% most deprived","Other: Any Other","ONS 2011 18+1","5.37","%","17570","327433"
"Percentage of people living in these neighbourhoods","Income Deprivation","70% to 80% most deprived","All","ONS 2011 18+1","9.94","%","5266833","53012456"
"Percentage of people living in these neighbourhoods","Income Deprivation","80% to 90% most deprived","White: All","ONS 2011 18+1","10.82","%","4898400","45281142"
"Percentage of people living in these neighbourhoods","Income Deprivation","80% to 90% most deprived","White: British","ONS 2011 18+1","11.06","%","4675876","42279236"
"Percentage of people living in these neighbourhoods","Income Deprivation","80% to 90% most deprived","White: Irish","ONS 2011 18+1","8.66","%","44785","517001"
"Percentage of people living in these neighbourhoods","Income Deprivation","80% to 90% most deprived","White: Gypsy or Irish Traveller","ONS 2011 18+1","7.84","%","4304","54895"
"Percentage of people living in these neighbourhoods","Income Deprivation","80% to 90% most deprived","White: White Other","ONS 2011 18+1","7.14","%","173435","2430010"
"Percentage of people living in these neighbourhoods","Income Deprivation","80% to 90% most deprived","Asian: All","ONS 2011 18+1","4.68","%","194114","4143403"
"Percentage of people living in these neighbourhoods","Income Deprivation","80% to 90% most deprived","Asian: Indian","ONS 2011 18+1","6.07","%","84683","1395702"
"Percentage of people living in these neighbourhoods","Income Deprivation","80% to 90% most deprived","Asian: Pakistani","ONS 2011 18+1","2.35","%","26157","1112282"
"Percentage of people living in these neighbourhoods","Income Deprivation","80% to 90% most deprived","Asian: Bangladeshi","ONS 2011 18+1","1.83","%","7989","436514"
"Percentage of people living in these neighbourhoods","Income Deprivation","80% to 90% most deprived","Asian: Chinese","ONS 2011 18+1","8.29","%","31454","379503"
"Percentage of people living in these neighbourhoods","Income Deprivation","80% to 90% most deprived","Asian: Asian Other","ONS 2011 18+1","5.35","%","43831","819402"
"Percentage of people living in these neighbourhoods","Income Deprivation","80% to 90% most deprived","Black:  All","ONS 2011 18+1","2.42","%","44736","1846614"
"Percentage of people living in these neighbourhoods","Income Deprivation","80% to 90% most deprived","Black:  Black African","ONS 2011 18+1","2.41","%","23605","977741"
"Percentage of people living in these neighbourhoods","Income Deprivation","80% to 90% most deprived","Black:  Black Caribbean","ONS 2011 18+1","2.57","%","15168","591016"
"Percentage of people living in these neighbourhoods","Income Deprivation","80% to 90% most deprived","Black:  Black Other","ONS 2011 18+1","2.15","%","5963","277857"
"Percentage of people living in these neighbourhoods","Income Deprivation","80% to 90% most deprived","Mixed: All","ONS 2011 18+1","6.38","%","76164","1192879"
"Percentage of people living in these neighbourhoods","Income Deprivation","80% to 90% most deprived","Mixed: White and Black Caribbean","ONS 2011 18+1","4.80","%","19969","415616"
"Percentage of people living in these neighbourhoods","Income Deprivation","80% to 90% most deprived","Mixed: White and Black African","ONS 2011 18+1","5.09","%","8223","161550"
"Percentage of people living in these neighbourhoods","Income Deprivation","80% to 90% most deprived","Mixed: White and Asian","ONS 2011 18+1","8.67","%","28837","332708"
"Percentage of people living in these neighbourhoods","Income Deprivation","80% to 90% most deprived","Mixed: Other Mixed","ONS 2011 18+1","6.76","%","19135","283005"
"Percentage of people living in these neighbourhoods","Income Deprivation","80% to 90% most deprived","Other: All","ONS 2011 18+1","4.86","%","26675","548418"
"Percentage of people living in these neighbourhoods","Income Deprivation","80% to 90% most deprived","Other: Arab","ONS 2011 18+1","4.82","%","10642","220985"
"Percentage of people living in these neighbourhoods","Income Deprivation","80% to 90% most deprived","Other: Any Other","ONS 2011 18+1","4.90","%","16033","327433"
"Percentage of people living in these neighbourhoods","Income Deprivation","80% to 90% most deprived","All","ONS 2011 18+1","9.88","%","5240089","53012456"
"Percentage of people living in these neighbourhoods","Income Deprivation","10% least deprived","White: All","ONS 2011 18+1","10.68","%","4836868","45281142"
"Percentage of people living in these neighbourhoods","Income Deprivation","10% least deprived","White: British","ONS 2011 18+1","10.79","%","4562573","42279236"
"Percentage of people living in these neighbourhoods","Income Deprivation","10% least deprived","White: Irish","ONS 2011 18+1","9.56","%","49421","517001"
"Percentage of people living in these neighbourhoods","Income Deprivation","10% least deprived","White: Gypsy or Irish Traveller","ONS 2011 18+1","6.11","%","3355","54895"
"Percentage of people living in these neighbourhoods","Income Deprivation","10% least deprived","White: White Other","ONS 2011 18+1","9.12","%","221519","2430010"
"Percentage of people living in these neighbourhoods","Income Deprivation","10% least deprived","Asian: All","ONS 2011 18+1","5.89","%","243882","4143403"
"Percentage of people living in these neighbourhoods","Income Deprivation","10% least deprived","Asian: Indian","ONS 2011 18+1","7.26","%","101362","1395702"
"Percentage of people living in these neighbourhoods","Income Deprivation","10% least deprived","Asian: Pakistani","ONS 2011 18+1","2.49","%","27744","1112282"
"Percentage of people living in these neighbourhoods","Income Deprivation","10% least deprived","Asian: Bangladeshi","ONS 2011 18+1","1.87","%","8149","436514"
"Percentage of people living in these neighbourhoods","Income Deprivation","10% least deprived","Asian: Chinese","ONS 2011 18+1","14.10","%","53525","379503"
"Percentage of people living in these neighbourhoods","Income Deprivation","10% least deprived","Asian: Asian Other","ONS 2011 18+1","6.48","%","53102","819402"
"Percentage of people living in these neighbourhoods","Income Deprivation","10% least deprived","Black:  All","ONS 2011 18+1","2.45","%","45192","1846614"
"Percentage of people living in these neighbourhoods","Income Deprivation","10% least deprived","Black:  Black African","ONS 2011 18+1","2.62","%","25656","977741"
"Percentage of people living in these neighbourhoods","Income Deprivation","10% least deprived","Black:  Black Caribbean","ONS 2011 18+1","2.31","%","13625","591016"
"Percentage of people living in these neighbourhoods","Income Deprivation","10% least deprived","Black:  Black Other","ONS 2011 18+1","2.13","%","5911","277857"
"Percentage of people living in these neighbourhoods","Income Deprivation","10% least deprived","Mixed: All","ONS 2011 18+1","7.20","%","85834","1192879"
"Percentage of people living in these neighbourhoods","Income Deprivation","10% least deprived","Mixed: White and Black Caribbean","ONS 2011 18+1","4.63","%","19256","415616"
"Percentage of people living in these neighbourhoods","Income Deprivation","10% least deprived","Mixed: White and Black African","ONS 2011 18+1","5.31","%","8574","161550"
"Percentage of people living in these neighbourhoods","Income Deprivation","10% least deprived","Mixed: White and Asian","ONS 2011 18+1","10.91","%","36313","332708"
"Percentage of people living in these neighbourhoods","Income Deprivation","10% least deprived","Mixed: Other Mixed","ONS 2011 18+1","7.66","%","21691","283005"
"Percentage of people living in these neighbourhoods","Income Deprivation","10% least deprived","Other: All","ONS 2011 18+1","6.46","%","35406","548418"
"Percentage of people living in these neighbourhoods","Income Deprivation","10% least deprived","Other: Arab","ONS 2011 18+1","7.49","%","16557","220985"
"Percentage of people living in these neighbourhoods","Income Deprivation","10% least deprived","Other: Any Other","ONS 2011 18+1","5.76","%","18849","327433"
"Percentage of people living in these neighbourhoods","Income Deprivation","10% least deprived","All","ONS 2011 18+1","9.90","%","5247182","53012456"
"Percentage of people living in these neighbourhoods","Employment Deprivation","10% most deprived","White: All","ONS 2011 18+1","9.23","%","4177287","45281142"
"Percentage of people living in these neighbourhoods","Employment Deprivation","10% most deprived","White: British","ONS 2011 18+1","9.33","%","3944955","42279236"
"Percentage of people living in these neighbourhoods","Employment Deprivation","10% most deprived","White: Irish","ONS 2011 18+1","7.68","%","39714","517001"
"Percentage of people living in these neighbourhoods","Employment Deprivation","10% most deprived","White: Gypsy or Irish Traveller","ONS 2011 18+1","10.98","%","6029","54895"
"Percentage of people living in these neighbourhoods","Employment Deprivation","10% most deprived","White: White Other","ONS 2011 18+1","7.68","%","186589","2430010"
"Percentage of people living in these neighbourhoods","Employment Deprivation","10% most deprived","Asian: All","ONS 2011 18+1","12.86","%","532649","4143403"
"Percentage of people living in these neighbourhoods","Employment Deprivation","10% most deprived","Asian: Indian","ONS 2011 18+1","6.60","%","92159","1395702"
"Percentage of people living in these neighbourhoods","Employment Deprivation","10% most deprived","Asian: Pakistani","ONS 2011 18+1","23.68","%","263405","1112282"
"Percentage of people living in these neighbourhoods","Employment Deprivation","10% most deprived","Asian: Bangladeshi","ONS 2011 18+1","17.42","%","76027","436514"
"Percentage of people living in these neighbourhoods","Employment Deprivation","10% most deprived","Asian: Chinese","ONS 2011 18+1","7.77","%","29478","379503"
"Percentage of people living in these neighbourhoods","Employment Deprivation","10% most deprived","Asian: Asian Other","ONS 2011 18+1","8.74","%","71580","819402"
"Percentage of people living in these neighbourhoods","Employment Deprivation","10% most deprived","Black:  All","ONS 2011 18+1","14.69","%","271242","1846614"
"Percentage of people living in these neighbourhoods","Employment Deprivation","10% most deprived","Black:  Black African","ONS 2011 18+1","14.88","%","145467","977741"
"Percentage of people living in these neighbourhoods","Employment Deprivation","10% most deprived","Black:  Black Caribbean","ONS 2011 18+1","13.70","%","80967","591016"
"Percentage of people living in these neighbourhoods","Employment Deprivation","10% most deprived","Black:  Black Other","ONS 2011 18+1","16.13","%","44808","277857"
"Percentage of people living in these neighbourhoods","Employment Deprivation","10% most deprived","Mixed: All","ONS 2011 18+1","12.50","%","149105","1192879"
"Percentage of people living in these neighbourhoods","Employment Deprivation","10% most deprived","Mixed: White and Black Caribbean","ONS 2011 18+1","16.60","%","69010","415616"
"Percentage of people living in these neighbourhoods","Employment Deprivation","10% most deprived","Mixed: White and Black African","ONS 2011 18+1","13.22","%","21350","161550"
"Percentage of people living in these neighbourhoods","Employment Deprivation","10% most deprived","Mixed: White and Asian","ONS 2011 18+1","9.33","%","31032","332708"
"Percentage of people living in these neighbourhoods","Employment Deprivation","10% most deprived","Mixed: Other Mixed","ONS 2011 18+1","9.79","%","27713","283005"
"Percentage of people living in these neighbourhoods","Employment Deprivation","10% most deprived","Other: All","ONS 2011 18+1","12.76","%","69966","548418"
"Percentage of people living in these neighbourhoods","Employment Deprivation","10% most deprived","Other: Arab","ONS 2011 18+1","14.99","%","33123","220985"
"Percentage of people living in these neighbourhoods","Employment Deprivation","10% most deprived","Other: Any Other","ONS 2011 18+1","11.25","%","36843","327433"
"Percentage of people living in these neighbourhoods","Employment Deprivation","10% most deprived","All","ONS 2011 18+1","9.81","%","5200249","53012456"
"Percentage of people living in these neighbourhoods","Employment Deprivation","10% to 20% most deprived","White: All","ONS 2011 18+1","9.05","%","4096214","45281142"
"Percentage of people living in these neighbourhoods","Employment Deprivation","10% to 20% most deprived","White: British","ONS 2011 18+1","8.96","%","3790147","42279236"
"Percentage of people living in these neighbourhoods","Employment Deprivation","10% to 20% most deprived","White: Irish","ONS 2011 18+1","9.47","%","48950","517001"
"Percentage of people living in these neighbourhoods","Employment Deprivation","10% to 20% most deprived","White: Gypsy or Irish Traveller","ONS 2011 18+1","12.22","%","6709","54895"
"Percentage of people living in these neighbourhoods","Employment Deprivation","10% to 20% most deprived","White: White Other","ONS 2011 18+1","10.30","%","250408","2430010"
"Percentage of people living in these neighbourhoods","Employment Deprivation","10% to 20% most deprived","Asian: All","ONS 2011 18+1","14.20","%","588476","4143403"
"Percentage of people living in these neighbourhoods","Employment Deprivation","10% to 20% most deprived","Asian: Indian","ONS 2011 18+1","10.24","%","142937","1395702"
"Percentage of people living in these neighbourhoods","Employment Deprivation","10% to 20% most deprived","Asian: Pakistani","ONS 2011 18+1","19.81","%","220339","1112282"
"Percentage of people living in these neighbourhoods","Employment Deprivation","10% to 20% most deprived","Asian: Bangladeshi","ONS 2011 18+1","23.21","%","101336","436514"
"Percentage of people living in these neighbourhoods","Employment Deprivation","10% to 20% most deprived","Asian: Chinese","ONS 2011 18+1","8.79","%","33360","379503"
"Percentage of people living in these neighbourhoods","Employment Deprivation","10% to 20% most deprived","Asian: Asian Other","ONS 2011 18+1","11.05","%","90504","819402"
"Percentage of people living in these neighbourhoods","Employment Deprivation","10% to 20% most deprived","Black:  All","ONS 2011 18+1","19.55","%","360967","1846614"
"Percentage of people living in these neighbourhoods","Employment Deprivation","10% to 20% most deprived","Black:  Black African","ONS 2011 18+1","19.96","%","195185","977741"
"Percentage of people living in these neighbourhoods","Employment Deprivation","10% to 20% most deprived","Black:  Black Caribbean","ONS 2011 18+1","18.65","%","110231","591016"
"Percentage of people living in these neighbourhoods","Employment Deprivation","10% to 20% most deprived","Black:  Black Other","ONS 2011 18+1","19.99","%","55551","277857"
"Percentage of people living in these neighbourhoods","Employment Deprivation","10% to 20% most deprived","Mixed: All","ONS 2011 18+1","13.08","%","156067","1192879"
"Percentage of people living in these neighbourhoods","Employment Deprivation","10% to 20% most deprived","Mixed: White and Black Caribbean","ONS 2011 18+1","15.89","%","66032","415616"
"Percentage of people living in these neighbourhoods","Employment Deprivation","10% to 20% most deprived","Mixed: White and Black African","ONS 2011 18+1","14.58","%","23560","161550"
"Percentage of people living in these neighbourhoods","Employment Deprivation","10% to 20% most deprived","Mixed: White and Asian","ONS 2011 18+1","9.68","%","32215","332708"
"Percentage of people living in these neighbourhoods","Employment Deprivation","10% to 20% most deprived","Mixed: Other Mixed","ONS 2011 18+1","12.11","%","34260","283005"
"Percentage of people living in these neighbourhoods","Employment Deprivation","10% to 20% most deprived","Other: All","ONS 2011 18+1","13.66","%","74905","548418"
"Percentage of people living in these neighbourhoods","Employment Deprivation","10% to 20% most deprived","Other: Arab","ONS 2011 18+1","12.61","%","27856","220985"
"Percentage of people living in these neighbourhoods","Employment Deprivation","10% to 20% most deprived","Other: Any Other","ONS 2011 18+1","14.37","%","47049","327433"
"Percentage of people living in these neighbourhoods","Employment Deprivation","10% to 20% most deprived","All","ONS 2011 18+1","9.95","%","5276629","53012456"
"Percentage of people living in these neighbourhoods","Employment Deprivation","20% to 30% most deprived","White: All","ONS 2011 18+1","9.39","%","4251696","45281142"
"Percentage of people living in these neighbourhoods","Employment Deprivation","20% to 30% most deprived","White: British","ONS 2011 18+1","9.26","%","3913412","42279236"
"Percentage of people living in these neighbourhoods","Employment Deprivation","20% to 30% most deprived","White: Irish","ONS 2011 18+1","10.20","%","52723","517001"
"Percentage of people living in these neighbourhoods","Employment Deprivation","20% to 30% most deprived","White: Gypsy or Irish Traveller","ONS 2011 18+1","11.64","%","6390","54895"
"Percentage of people living in these neighbourhoods","Employment Deprivation","20% to 30% most deprived","White: White Other","ONS 2011 18+1","11.49","%","279171","2430010"
"Percentage of people living in these neighbourhoods","Employment Deprivation","20% to 30% most deprived","Asian: All","ONS 2011 18+1","12.65","%","524146","4143403"
"Percentage of people living in these neighbourhoods","Employment Deprivation","20% to 30% most deprived","Asian: Indian","ONS 2011 18+1","11.27","%","157292","1395702"
"Percentage of people living in these neighbourhoods","Employment Deprivation","20% to 30% most deprived","Asian: Pakistani","ONS 2011 18+1","14.18","%","157692","1112282"
"Percentage of people living in these neighbourhoods","Employment Deprivation","20% to 30% most deprived","Asian: Bangladeshi","ONS 2011 18+1","17.82","%","77772","436514"
"Percentage of people living in these neighbourhoods","Employment Deprivation","20% to 30% most deprived","Asian: Chinese","ONS 2011 18+1","9.49","%","36020","379503"
"Percentage of people living in these neighbourhoods","Employment Deprivation","20% to 30% most deprived","Asian: Asian Other","ONS 2011 18+1","11.64","%","95370","819402"
"Percentage of people living in these neighbourhoods","Employment Deprivation","20% to 30% most deprived","Black:  All","ONS 2011 18+1","17.19","%","317385","1846614"
"Percentage of people living in these neighbourhoods","Employment Deprivation","20% to 30% most deprived","Black:  Black African","ONS 2011 18+1","17.70","%","173096","977741"
"Percentage of people living in these neighbourhoods","Employment Deprivation","20% to 30% most deprived","Black:  Black Caribbean","ONS 2011 18+1","16.44","%","97146","591016"
"Percentage of people living in these neighbourhoods","Employment Deprivation","20% to 30% most deprived","Black:  Black Other","ONS 2011 18+1","16.97","%","47143","277857"
"Percentage of people living in these neighbourhoods","Employment Deprivation","20% to 30% most deprived","Mixed: All","ONS 2011 18+1","12.29","%","146589","1192879"
"Percentage of people living in these neighbourhoods","Employment Deprivation","20% to 30% most deprived","Mixed: White and Black Caribbean","ONS 2011 18+1","13.72","%","57004","415616"
"Percentage of people living in these neighbourhoods","Employment Deprivation","20% to 30% most deprived","Mixed: White and Black African","ONS 2011 18+1","13.89","%","22446","161550"
"Percentage of people living in these neighbourhoods","Employment Deprivation","20% to 30% most deprived","Mixed: White and Asian","ONS 2011 18+1","9.95","%","33099","332708"
"Percentage of people living in these neighbourhoods","Employment Deprivation","20% to 30% most deprived","Mixed: Other Mixed","ONS 2011 18+1","12.03","%","34040","283005"
"Percentage of people living in these neighbourhoods","Employment Deprivation","20% to 30% most deprived","Other: All","ONS 2011 18+1","12.59","%","69071","548418"
"Percentage of people living in these neighbourhoods","Employment Deprivation","20% to 30% most deprived","Other: Arab","ONS 2011 18+1","11.65","%","25736","220985"
"Percentage of people living in these neighbourhoods","Employment Deprivation","20% to 30% most deprived","Other: Any Other","ONS 2011 18+1","13.23","%","43335","327433"
"Percentage of people living in these neighbourhoods","Employment Deprivation","20% to 30% most deprived","All","ONS 2011 18+1","10.01","%","5308887","53012456"
"Percentage of people living in these neighbourhoods","Employment Deprivation","30% to 40% most deprived","White: All","ONS 2011 18+1","9.70","%","4390091","45281142"
"Percentage of people living in these neighbourhoods","Employment Deprivation","30% to 40% most deprived","White: British","ONS 2011 18+1","9.57","%","4048148","42279236"
"Percentage of people living in these neighbourhoods","Employment Deprivation","30% to 40% most deprived","White: Irish","ONS 2011 18+1","10.79","%","55787","517001"
"Percentage of people living in these neighbourhoods","Employment Deprivation","30% to 40% most deprived","White: Gypsy or Irish Traveller","ONS 2011 18+1","10.80","%","5931","54895"
"Percentage of people living in these neighbourhoods","Employment Deprivation","30% to 40% most deprived","White: White Other","ONS 2011 18+1","11.53","%","280225","2430010"
"Percentage of people living in these neighbourhoods","Employment Deprivation","30% to 40% most deprived","Asian: All","ONS 2011 18+1","12.32","%","510472","4143403"
"Percentage of people living in these neighbourhoods","Employment Deprivation","30% to 40% most deprived","Asian: Indian","ONS 2011 18+1","13.17","%","183749","1395702"
"Percentage of people living in these neighbourhoods","Employment Deprivation","30% to 40% most deprived","Asian: Pakistani","ONS 2011 18+1","11.76","%","130805","1112282"
"Percentage of people living in these neighbourhoods","Employment Deprivation","30% to 40% most deprived","Asian: Bangladeshi","ONS 2011 18+1","12.41","%","54178","436514"
"Percentage of people living in these neighbourhoods","Employment Deprivation","30% to 40% most deprived","Asian: Chinese","ONS 2011 18+1","9.74","%","36982","379503"
"Percentage of people living in these neighbourhoods","Employment Deprivation","30% to 40% most deprived","Asian: Asian Other","ONS 2011 18+1","12.78","%","104758","819402"
"Percentage of people living in these neighbourhoods","Employment Deprivation","30% to 40% most deprived","Black:  All","ONS 2011 18+1","13.56","%","250437","1846614"
"Percentage of people living in these neighbourhoods","Employment Deprivation","30% to 40% most deprived","Black:  Black African","ONS 2011 18+1","13.35","%","130556","977741"
"Percentage of people living in these neighbourhoods","Employment Deprivation","30% to 40% most deprived","Black:  Black Caribbean","ONS 2011 18+1","13.92","%","82258","591016"
"Percentage of people living in these neighbourhoods","Employment Deprivation","30% to 40% most deprived","Black:  Black Other","ONS 2011 18+1","13.54","%","37623","277857"
"Percentage of people living in these neighbourhoods","Employment Deprivation","30% to 40% most deprived","Mixed: All","ONS 2011 18+1","11.17","%","133246","1192879"
"Percentage of people living in these neighbourhoods","Employment Deprivation","30% to 40% most deprived","Mixed: White and Black Caribbean","ONS 2011 18+1","11.64","%","48378","415616"
"Percentage of people living in these neighbourhoods","Employment Deprivation","30% to 40% most deprived","Mixed: White and Black African","ONS 2011 18+1","11.92","%","19259","161550"
"Percentage of people living in these neighbourhoods","Employment Deprivation","30% to 40% most deprived","Mixed: White and Asian","ONS 2011 18+1","10.01","%","33313","332708"
"Percentage of people living in these neighbourhoods","Employment Deprivation","30% to 40% most deprived","Mixed: Other Mixed","ONS 2011 18+1","11.41","%","32296","283005"
"Percentage of people living in these neighbourhoods","Employment Deprivation","30% to 40% most deprived","Other: All","ONS 2011 18+1","12.14","%","66601","548418"
"Percentage of people living in these neighbourhoods","Employment Deprivation","30% to 40% most deprived","Other: Arab","ONS 2011 18+1","11.32","%","25005","220985"
"Percentage of people living in these neighbourhoods","Employment Deprivation","30% to 40% most deprived","Other: Any Other","ONS 2011 18+1","12.70","%","41596","327433"
"Percentage of people living in these neighbourhoods","Employment Deprivation","30% to 40% most deprived","All","ONS 2011 18+1","10.09","%","5350847","53012456"
"Percentage of people living in these neighbourhoods","Employment Deprivation","40% to 50% most deprived","White: All","ONS 2011 18+1","9.92","%","4493922","45281142"
"Percentage of people living in these neighbourhoods","Employment Deprivation","40% to 50% most deprived","White: British","ONS 2011 18+1","9.86","%","4167174","42279236"
"Percentage of people living in these neighbourhoods","Employment Deprivation","40% to 50% most deprived","White: Irish","ONS 2011 18+1","10.82","%","55951","517001"
"Percentage of people living in these neighbourhoods","Employment Deprivation","40% to 50% most deprived","White: Gypsy or Irish Traveller","ONS 2011 18+1","11.55","%","6340","54895"
"Percentage of people living in these neighbourhoods","Employment Deprivation","40% to 50% most deprived","White: White Other","ONS 2011 18+1","10.88","%","264457","2430010"
"Percentage of people living in these neighbourhoods","Employment Deprivation","40% to 50% most deprived","Asian: All","ONS 2011 18+1","11.08","%","459026","4143403"
"Percentage of people living in these neighbourhoods","Employment Deprivation","40% to 50% most deprived","Asian: Indian","ONS 2011 18+1","12.54","%","174995","1395702"
"Percentage of people living in these neighbourhoods","Employment Deprivation","40% to 50% most deprived","Asian: Pakistani","ONS 2011 18+1","9.46","%","105262","1112282"
"Percentage of people living in these neighbourhoods","Employment Deprivation","40% to 50% most deprived","Asian: Bangladeshi","ONS 2011 18+1","10.18","%","44424","436514"
"Percentage of people living in these neighbourhoods","Employment Deprivation","40% to 50% most deprived","Asian: Chinese","ONS 2011 18+1","9.68","%","36749","379503"
"Percentage of people living in these neighbourhoods","Employment Deprivation","40% to 50% most deprived","Asian: Asian Other","ONS 2011 18+1","11.91","%","97596","819402"
"Percentage of people living in these neighbourhoods","Employment Deprivation","40% to 50% most deprived","Black:  All","ONS 2011 18+1","11.05","%","204138","1846614"
"Percentage of people living in these neighbourhoods","Employment Deprivation","40% to 50% most deprived","Black:  Black African","ONS 2011 18+1","10.50","%","102682","977741"
"Percentage of people living in these neighbourhoods","Employment Deprivation","40% to 50% most deprived","Black:  Black Caribbean","ONS 2011 18+1","11.98","%","70817","591016"
"Percentage of people living in these neighbourhoods","Employment Deprivation","40% to 50% most deprived","Black:  Black Other","ONS 2011 18+1","11.03","%","30639","277857"
"Percentage of people living in these neighbourhoods","Employment Deprivation","40% to 50% most deprived","Mixed: All","ONS 2011 18+1","10.33","%","123232","1192879"
"Percentage of people living in these neighbourhoods","Employment Deprivation","40% to 50% most deprived","Mixed: White and Black Caribbean","ONS 2011 18+1","10.05","%","41764","415616"
