"Title","Regional ethnic diversity"
"Location","England and Wales"
"Time period","2011"
"Data source","Office for National Statistics"
"Data source link","https://www.ons.gov.uk/census/2011census"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-08-03"
"Measure","Ethnicity","Region","Urban/Rural","Value","Source","Time"
"Ethnicity of the population","Black - African","Yorkshire and The Humber","Rural","2.86","Census","2011"
"Ethnicity of the population","Black - Caribbean","Yorkshire and The Humber","Rural","3.04","Census","2011"
"Ethnicity of the population","Black - Other ","Yorkshire and The Humber","Rural","4.24","Census","2011"
"Ethnicity of the population","Other ","Yorkshire and The Humber","Rural","3.41","Census","2011"
"Ethnicity of the population","Other - Arab","Yorkshire and The Humber","Rural","2.54","Census","2011"
"Ethnicity of the population","Other - Any other ethnic group","Yorkshire and The Humber","Rural","4.37","Census","2011"
"Ethnicity of the population","All usual residents","East Midlands","Rural","26.7","Census","2011"
"Ethnicity of the population","White","East Midlands","Rural","29.22","Census","2011"
"Ethnicity of the population","White - British","East Midlands","Rural","29.89","Census","2011"
"Ethnicity of the population","White - Irish","East Midlands","Rural","19.57","Census","2011"
"Ethnicity of the population","White - Gypsy or Irish Traveller","East Midlands","Rural","25.19","Census","2011"
"Ethnicity of the population","White - Other","East Midlands","Rural","13.23","Census","2011"
"Ethnicity of the population","Mixed","East Midlands","Rural","12.47","Census","2011"
"Ethnicity of the population","Mixed - White and Black Caribbean","East Midlands","Rural","9.91","Census","2011"
"Ethnicity of the population","Mixed - White and Black African","East Midlands","Rural","11.92","Census","2011"
"Ethnicity of the population","Mixed - White and Asian","East Midlands","Rural","16.21","Census","2011"
"Ethnicity of the population","Mixed - Other","East Midlands","Rural","14.28","Census","2011"
"Ethnicity of the population","Asian","East Midlands","Rural","4.03","Census","2011"
"Ethnicity of the population","Asian - Indian","East Midlands","Rural","3.45","Census","2011"
"Ethnicity of the population","Asian - Pakistani","East Midlands","Rural","2.4","Census","2011"
"Ethnicity of the population","Asian - Bangladeshi","East Midlands","Rural","2.82","Census","2011"
"Ethnicity of the population","Asian - Chinese","East Midlands","Rural","8.01","Census","2011"
"Ethnicity of the population","Asian - Other ","East Midlands","Rural","6.58","Census","2011"
"Ethnicity of the population","Black","East Midlands","Rural","4.79","Census","2011"
"Ethnicity of the population","Black - African","East Midlands","Rural","3.89","Census","2011"
"Ethnicity of the population","Black - Caribbean","East Midlands","Rural","5.88","Census","2011"
"Ethnicity of the population","Black - Other ","East Midlands","Rural","5.38","Census","2011"
"Ethnicity of the population","Other ","East Midlands","Rural","5.59","Census","2011"
"Ethnicity of the population","Other - Arab","East Midlands","Rural","4.14","Census","2011"
"Ethnicity of the population","Other - Any other ethnic group","East Midlands","Rural","6.48","Census","2011"
"Ethnicity of the population","All usual residents","West Midlands","Rural","15.11","Census","2011"
"Ethnicity of the population","White","West Midlands","Rural","17.82","Census","2011"
"Ethnicity of the population","White - British","West Midlands","Rural","18.18","Census","2011"
"Ethnicity of the population","White - Irish","West Midlands","Rural","8.27","Census","2011"
"Ethnicity of the population","White - Gypsy or Irish Traveller","West Midlands","Rural","27.71","Census","2011"
"Ethnicity of the population","White - Other","West Midlands","Rural","9.81","Census","2011"
"Ethnicity of the population","Mixed","West Midlands","Rural","5.41","Census","2011"
"Ethnicity of the population","Mixed - White and Black Caribbean","West Midlands","Rural","4.07","Census","2011"
"Ethnicity of the population","Mixed - White and Black African","West Midlands","Rural","6.03","Census","2011"
"Ethnicity of the population","Mixed - White and Asian","West Midlands","Rural","7.34","Census","2011"
"Ethnicity of the population","Mixed - Other","West Midlands","Rural","6.5","Census","2011"
"Ethnicity of the population","Asian","West Midlands","Rural","1.63","Census","2011"
"Ethnicity of the population","Asian - Indian","West Midlands","Rural","1.84","Census","2011"
"Ethnicity of the population","Asian - Pakistani","West Midlands","Rural","0.48","Census","2011"
"Ethnicity of the population","Asian - Bangladeshi","West Midlands","Rural","0.75","Census","2011"
"Ethnicity of the population","Asian - Chinese","West Midlands","Rural","6.39","Census","2011"
"Ethnicity of the population","Asian - Other ","West Midlands","Rural","3.09","Census","2011"
"Ethnicity of the population","Black","West Midlands","Rural","1.44","Census","2011"
"Ethnicity of the population","Black - African","West Midlands","Rural","1.61","Census","2011"
"Ethnicity of the population","Black - Caribbean","West Midlands","Rural","1.4","Census","2011"
"Ethnicity of the population","Black - Other ","West Midlands","Rural","1.16","Census","2011"
"Ethnicity of the population","Other ","West Midlands","Rural","2.35","Census","2011"
"Ethnicity of the population","Other - Arab","West Midlands","Rural","2.02","Census","2011"
"Ethnicity of the population","Other - Any other ethnic group","West Midlands","Rural","2.54","Census","2011"
"Ethnicity of the population","All usual residents","East","Rural","28.91","Census","2011"
"Ethnicity of the population","White","East","Rural","30.78","Census","2011"
"Ethnicity of the population","White - British","East","Rural","31.62","Census","2011"
"Ethnicity of the population","White - Irish","East","Rural","19.13","Census","2011"
"Ethnicity of the population","White - Gypsy or Irish Traveller","East","Rural","30.21","Census","2011"
"Ethnicity of the population","White - Other","East","Rural","17.22","Census","2011"
"Ethnicity of the population","Mixed","East","Rural","17.46","Census","2011"
"Ethnicity of the population","Mixed - White and Black Caribbean","East","Rural","15.1","Census","2011"
"Ethnicity of the population","Mixed - White and Black African","East","Rural","15.59","Census","2011"
"Ethnicity of the population","Mixed - White and Asian","East","Rural","20.03","Census","2011"
"Ethnicity of the population","Mixed - Other","East","Rural","18.72","Census","2011"
"Ethnicity of the population","Asian","East","Rural","7.82","Census","2011"
"Ethnicity of the population","Asian - Indian","East","Rural","9.02","Census","2011"
"Ethnicity of the population","Asian - Pakistani","East","Rural","2.13","Census","2011"
"Ethnicity of the population","Asian - Bangladeshi","East","Rural","3.93","Census","2011"
"Ethnicity of the population","Asian - Chinese","East","Rural","13.85","Census","2011"
"Ethnicity of the population","Asian - Other ","East","Rural","11.21","Census","2011"
"Ethnicity of the population","Black","East","Rural","8.67","Census","2011"
"Ethnicity of the population","Black - African","East","Rural","7.31","Census","2011"
"Ethnicity of the population","Black - Caribbean","East","Rural","9.48","Census","2011"
"Ethnicity of the population","Black - Other ","East","Rural","13.59","Census","2011"
"Ethnicity of the population","Other ","East","Rural","13.6","Census","2011"
"Ethnicity of the population","Other - Arab","East","Rural","11.07","Census","2011"
"Ethnicity of the population","Other - Any other ethnic group","East","Rural","15.01","Census","2011"
"Ethnicity of the population","All usual residents","London","Rural","0.2","Census","2011"
"Ethnicity of the population","White","London","Rural","0.28","Census","2011"
"Ethnicity of the population","White - British","London","Rural","0.35","Census","2011"
"Ethnicity of the population","White - Irish","London","Rural","0.17","Census","2011"
"Ethnicity of the population","White - Gypsy or Irish Traveller","London","Rural","0.48","Census","2011"
"Ethnicity of the population","White - Other","London","Rural","0.07","Census","2011"
"Ethnicity of the population","Mixed","London","Rural","0.1","Census","2011"
"Ethnicity of the population","Mixed - White and Black Caribbean","London","Rural","0.12","Census","2011"
"Ethnicity of the population","Mixed - White and Black African","London","Rural","0.09","Census","2011"
"Ethnicity of the population","Mixed - White and Asian","London","Rural","0.1","Census","2011"
"Ethnicity of the population","Mixed - Other","London","Rural","0.09","Census","2011"
"Ethnicity of the population","Asian","London","Rural","0.07","Census","2011"
"Ethnicity of the population","Asian - Indian","London","Rural","0.1","Census","2011"
"Ethnicity of the population","Asian - Pakistani","London","Rural","0.04","Census","2011"
"Ethnicity of the population","Asian - Bangladeshi","London","Rural","0.02","Census","2011"
"Ethnicity of the population","Asian - Chinese","London","Rural","0.06","Census","2011"
"Ethnicity of the population","Asian - Other ","London","Rural","0.06","Census","2011"
"Ethnicity of the population","Black","London","Rural","0.05","Census","2011"
"Ethnicity of the population","Black - African","London","Rural","0.05","Census","2011"
"Ethnicity of the population","Black - Caribbean","London","Rural","0.05","Census","2011"
"Ethnicity of the population","Black - Other ","London","Rural","0.05","Census","2011"
"Ethnicity of the population","Other ","London","Rural","0.07","Census","2011"
"Ethnicity of the population","Other - Arab","London","Rural","0.05","Census","2011"
"Ethnicity of the population","Other - Any other ethnic group","London","Rural","0.08","Census","2011"
"Ethnicity of the population","All usual residents","South East","Rural","20.37","Census","2011"
"Ethnicity of the population","White","South East","Rural","21.68","Census","2011"
"Ethnicity of the population","White - British","South East","Rural","22.15","Census","2011"
"Ethnicity of the population","White - Irish","South East","Rural","16.66","Census","2011"
"Ethnicity of the population","White - Gypsy or Irish Traveller","South East","Rural","33.26","Census","2011"
"Ethnicity of the population","White - Other","South East","Rural","13.1","Census","2011"
"Ethnicity of the population","Mixed","South East","Rural","12.57","Census","2011"
"Ethnicity of the population","Mixed - White and Black Caribbean","South East","Rural","11.64","Census","2011"
"Ethnicity of the population","Mixed - White and Black African","South East","Rural","10.18","Census","2011"
"Ethnicity of the population","Mixed - White and Asian","South East","Rural","14.21","Census","2011"
"Ethnicity of the population","Mixed - Other","South East","Rural","12.6","Census","2011"
"Ethnicity of the population","Asian","South East","Rural","6.32","Census","2011"
"Ethnicity of the population","Asian - Indian","South East","Rural","6.59","Census","2011"
"Ethnicity of the population","Asian - Pakistani","South East","Rural","2.68","Census","2011"
"Ethnicity of the population","Asian - Bangladeshi","South East","Rural","5.35","Census","2011"
"Ethnicity of the population","Asian - Chinese","South East","Rural","9.65","Census","2011"
"Ethnicity of the population","Asian - Other ","South East","Rural","7.76","Census","2011"
"Ethnicity of the population","Black","South East","Rural","6.38","Census","2011"
"Ethnicity of the population","Black - African","South East","Rural","5.43","Census","2011"
"Ethnicity of the population","Black - Caribbean","South East","Rural","8.12","Census","2011"
"Ethnicity of the population","Black - Other ","South East","Rural","7.95","Census","2011"
"Ethnicity of the population","Other ","South East","Rural","7.86","Census","2011"
"Ethnicity of the population","Other - Arab","South East","Rural","7.23","Census","2011"
"Ethnicity of the population","Other - Any other ethnic group","South East","Rural","8.24","Census","2011"
"Ethnicity of the population","All usual residents","South West","Rural","31.6","Census","2011"
"Ethnicity of the population","White","South West","Rural","32.52","Census","2011"
"Ethnicity of the population","White - British","South West","Rural","32.97","Census","2011"
"Ethnicity of the population","White - Irish","South West","Rural","25.43","Census","2011"
"Ethnicity of the population","White - Gypsy or Irish Traveller","South West","Rural","37.92","Census","2011"
"Ethnicity of the population","White - Other","South West","Rural","19.38","Census","2011"
"Ethnicity of the population","Mixed","South West","Rural","17.95","Census","2011"
"Ethnicity of the population","Mixed - White and Black Caribbean","South West","Rural","14.69","Census","2011"
"Ethnicity of the population","Mixed - White and Black African","South West","Rural","17.33","Census","2011"
"Ethnicity of the population","Mixed - White and Asian","South West","Rural","21.65","Census","2011"
"Ethnicity of the population","Mixed - Other","South West","Rural","18.54","Census","2011"
"Ethnicity of the population","Asian","South West","Rural","10.64","Census","2011"
"Ethnicity of the population","Asian - Indian","South West","Rural","7.06","Census","2011"
"Ethnicity of the population","Asian - Pakistani","South West","Rural","4.09","Census","2011"
"Ethnicity of the population","Asian - Bangladeshi","South West","Rural","8.4","Census","2011"
"Ethnicity of the population","Asian - Chinese","South West","Rural","12.5","Census","2011"
"Ethnicity of the population","Asian - Other ","South West","Rural","16.7","Census","2011"
"Ethnicity of the population","Black","South West","Rural","8.34","Census","2011"
"Ethnicity of the population","Black - African","South West","Rural","8.38","Census","2011"
"Ethnicity of the population","Black - Caribbean","South West","Rural","8.98","Census","2011"
"Ethnicity of the population","Black - Other ","South West","Rural","7.27","Census","2011"
"Ethnicity of the population","Other ","South West","Rural","12.98","Census","2011"
"Ethnicity of the population","Other - Arab","South West","Rural","8.52","Census","2011"
"Ethnicity of the population","Other - Any other ethnic group","South West","Rural","15.54","Census","2011"
"Ethnicity of the population","All usual residents","Wales","Rural","32.83","Census","2011"
"Ethnicity of the population","White","Wales","Rural","33.79","Census","2011"
"Ethnicity of the population","White - British","Wales","Rural","34.02","Census","2011"
"Ethnicity of the population","White - Irish","Wales","Rural","30.5","Census","2011"
"Ethnicity of the population","White - Gypsy or Irish Traveller","Wales","Rural","39.61","Census","2011"
"Ethnicity of the population","White - Other","Wales","Rural","22.45","Census","2011"
"Ethnicity of the population","Mixed","Wales","Rural","19.57","Census","2011"
"Ethnicity of the population","Mixed - White and Black Caribbean","Wales","Rural","18.24","Census","2011"
"Ethnicity of the population","Mixed - White and Black African","Wales","Rural","16.09","Census","2011"
"Ethnicity of the population","Mixed - White and Asian","Wales","Rural","22.84","Census","2011"
"Ethnicity of the population","Mixed - Other","Wales","Rural","19.67","Census","2011"
"Ethnicity of the population","Asian","Wales","Rural","10.04","Census","2011"
"Ethnicity of the population","Asian - Indian","Wales","Rural","10.48","Census","2011"
"Ethnicity of the population","Asian - Pakistani","Wales","Rural","4.69","Census","2011"
"Ethnicity of the population","Asian - Bangladeshi","Wales","Rural","4.52","Census","2011"
"Ethnicity of the population","Asian - Chinese","Wales","Rural","11.92","Census","2011"
"Ethnicity of the population","Asian - Other ","Wales","Rural","15.65","Census","2011"
"Ethnicity of the population","Black","Wales","Rural","8.78","Census","2011"
"Ethnicity of the population","Black - African","Wales","Rural","6.7","Census","2011"
"Ethnicity of the population","Black - Caribbean","Wales","Rural","16.04","Census","2011"
"Ethnicity of the population","Black - Other ","Wales","Rural","7.64","Census","2011"
"Ethnicity of the population","Other ","Wales","Rural","10.6","Census","2011"
"Ethnicity of the population","Other - Arab","Wales","Rural","8.39","Census","2011"
"Ethnicity of the population","Other - Any other ethnic group","Wales","Rural","14.36","Census","2011"
