"Title","Regional ethnic diversity"
"Location","England and Wales"
"Time period","2011"
"Data source","Office for National Statistics"
"Data source link","https://www.ons.gov.uk/census/2011census"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-08-20"
"Measure","local authority: county / unitary (prior to April 2015)","Ethnicity","Value","Value_type","Ethnicity_type","Source","Time","Geography"
"Ethnicity of local authorities","Tameside","Mixed/multiple ethnic groups","1.4","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Leicestershire","Mixed/multiple ethnic groups","1.3","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Northamptonshire","Mixed/multiple ethnic groups","2","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Southend-on-Sea","Mixed/multiple ethnic groups","2.1","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Bournemouth","Mixed/multiple ethnic groups","2.3","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Stockport","Mixed/multiple ethnic groups","1.8","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Lancashire","Mixed/multiple ethnic groups","1.1","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Cambridgeshire","Mixed/multiple ethnic groups","1.8","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Telford and Wrekin","Mixed/multiple ethnic groups","1.8","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Warwickshire","Mixed/multiple ethnic groups","1.5","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Rotherham","Mixed/multiple ethnic groups","1","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Kent","Mixed/multiple ethnic groups","1.5","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Central Bedfordshire","Mixed/multiple ethnic groups","1.9","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","West Sussex","Mixed/multiple ethnic groups","1.5","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Swansea","Mixed/multiple ethnic groups","0.9","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Kingston upon Hull, City of","Mixed/multiple ethnic groups","1.3","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Essex","Mixed/multiple ethnic groups","1.5","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","York","Mixed/multiple ethnic groups","1.2","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Bath and North East Somerset","Mixed/multiple ethnic groups","1.6","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Stockton-on-Tees","Mixed/multiple ethnic groups","1","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","West Berkshire","Mixed/multiple ethnic groups","1.6","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Hampshire","Mixed/multiple ethnic groups","1.4","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","South Gloucestershire","Mixed/multiple ethnic groups","1.4","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Suffolk","Mixed/multiple ethnic groups","1.7","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Doncaster","Mixed/multiple ethnic groups","1.1","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Gloucestershire","Mixed/multiple ethnic groups","1.5","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Wakefield","Mixed/multiple ethnic groups","0.9","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Nottinghamshire","Mixed/multiple ethnic groups","1.4","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Staffordshire","Mixed/multiple ethnic groups","1.1","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Worcestershire","Mixed/multiple ethnic groups","1.2","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Poole","Mixed/multiple ethnic groups","1.3","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","South Tyneside","Mixed/multiple ethnic groups","0.9","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Sunderland","Mixed/multiple ethnic groups","0.6","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Warrington","Mixed/multiple ethnic groups","1.1","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","East Sussex","Mixed/multiple ethnic groups","1.4","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","North Lincolnshire","Mixed/multiple ethnic groups","0.7","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Plymouth","Mixed/multiple ethnic groups","1.3","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Darlington","Mixed/multiple ethnic groups","1.1","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Gateshead","Mixed/multiple ethnic groups","0.8","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","The Vale of Glamorgan","Mixed/multiple ethnic groups","1.3","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Gwynedd","Mixed/multiple ethnic groups","0.8","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Norfolk","Mixed/multiple ethnic groups","1.2","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","North Tyneside","Mixed/multiple ethnic groups","0.9","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Wiltshire","Mixed/multiple ethnic groups","1.2","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Blackpool","Mixed/multiple ethnic groups","1.2","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Ceredigion","Mixed/multiple ethnic groups","1","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Cheshire East","Mixed/multiple ethnic groups","1","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Wrexham","Mixed/multiple ethnic groups","0.7","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Wirral","Mixed/multiple ethnic groups","1","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Rutland","Mixed/multiple ethnic groups","1","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Knowsley","Mixed/multiple ethnic groups","1.3","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Isle of Wight","Mixed/multiple ethnic groups","1.2","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","North Somerset","Mixed/multiple ethnic groups","1","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","North Yorkshire","Mixed/multiple ethnic groups","0.8","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Wigan","Mixed/multiple ethnic groups","0.9","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Cheshire West and Chester","Mixed/multiple ethnic groups","0.9","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Denbighshire","Mixed/multiple ethnic groups","0.8","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","North East Lincolnshire","Mixed/multiple ethnic groups","0.7","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Rhondda, Cynon, Taff","Mixed/multiple ethnic groups","0.6","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Sefton","Mixed/multiple ethnic groups","1","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Derbyshire","Mixed/multiple ethnic groups","0.9","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Devon","Mixed/multiple ethnic groups","0.9","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Torbay","Mixed/multiple ethnic groups","1.1","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Lincolnshire","Mixed/multiple ethnic groups","0.9","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Merthyr Tydfil","Mixed/multiple ethnic groups","0.8","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Conwy","Mixed/multiple ethnic groups","0.8","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Hartlepool","Mixed/multiple ethnic groups","0.6","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Bridgend","Mixed/multiple ethnic groups","0.7","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Halton","Mixed/multiple ethnic groups","1.1","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Barnsley","Mixed/multiple ethnic groups","0.7","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Dorset","Mixed/multiple ethnic groups","0.8","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Monmouthshire","Mixed/multiple ethnic groups","0.7","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Shropshire","Mixed/multiple ethnic groups","0.7","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Somerset","Mixed/multiple ethnic groups","0.8","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","St. Helens","Mixed/multiple ethnic groups","0.7","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Torfaen","Mixed/multiple ethnic groups","0.7","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Carmarthenshire","Mixed/multiple ethnic groups","0.6","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","East Riding of Yorkshire","Mixed/multiple ethnic groups","0.7","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Neath Port Talbot","Mixed/multiple ethnic groups","0.7","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Pembrokeshire","Mixed/multiple ethnic groups","0.6","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Anglesey","Mixed/multiple ethnic groups","0.7","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Cornwall","Mixed/multiple ethnic groups","0.8","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","County Durham","Mixed/multiple ethnic groups","0.6","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Herefordshire, County of","Mixed/multiple ethnic groups","0.7","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Caerphilly","Mixed/multiple ethnic groups","0.7","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Northumberland","Mixed/multiple ethnic groups","0.5","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Powys","Mixed/multiple ethnic groups","0.6","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Blaenau Gwent","Mixed/multiple ethnic groups","0.6","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Cumbria","Mixed/multiple ethnic groups","0.5","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Flintshire","Mixed/multiple ethnic groups","0.6","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Redcar and Cleveland","Mixed/multiple ethnic groups","0.6","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Isles of Scilly","Mixed/multiple ethnic groups","0.8","Percent","ONS 5+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Newham","Mixed/multiple ethnic groups: White and Black Caribbean","1.3","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Brent","Mixed/multiple ethnic groups: White and Black Caribbean","1.4","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Harrow","Mixed/multiple ethnic groups: White and Black Caribbean","1","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Redbridge","Mixed/multiple ethnic groups: White and Black Caribbean","1.1","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Tower Hamlets","Mixed/multiple ethnic groups: White and Black Caribbean","1.1","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Slough","Mixed/multiple ethnic groups: White and Black Caribbean","1.2","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Ealing","Mixed/multiple ethnic groups: White and Black Caribbean","1.2","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Leicester","Mixed/multiple ethnic groups: White and Black Caribbean","1.4","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Hounslow","Mixed/multiple ethnic groups: White and Black Caribbean","0.9","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Waltham Forest","Mixed/multiple ethnic groups: White and Black Caribbean","1.8","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Lewisham","Mixed/multiple ethnic groups: White and Black Caribbean","3.1","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Southwark","Mixed/multiple ethnic groups: White and Black Caribbean","2","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Hackney","Mixed/multiple ethnic groups: White and Black Caribbean","2","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Luton","Mixed/multiple ethnic groups: White and Black Caribbean","1.9","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Croydon","Mixed/multiple ethnic groups: White and Black Caribbean","2.7","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Lambeth","Mixed/multiple ethnic groups: White and Black Caribbean","2.7","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Birmingham","Mixed/multiple ethnic groups: White and Black Caribbean","2.3","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Barking and Dagenham","Mixed/multiple ethnic groups: White and Black Caribbean","1.4","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Haringey","Mixed/multiple ethnic groups: White and Black Caribbean","1.9","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Hillingdon","Mixed/multiple ethnic groups: White and Black Caribbean","1","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Enfield","Mixed/multiple ethnic groups: White and Black Caribbean","1.6","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Westminster","Mixed/multiple ethnic groups: White and Black Caribbean","0.9","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Greenwich","Mixed/multiple ethnic groups: White and Black Caribbean","1.6","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Barnet","Mixed/multiple ethnic groups: White and Black Caribbean","0.9","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Merton","Mixed/multiple ethnic groups: White and Black Caribbean","1.3","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Camden","Mixed/multiple ethnic groups: White and Black Caribbean","1.1","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Manchester","Mixed/multiple ethnic groups: White and Black Caribbean","1.8","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Bradford","Mixed/multiple ethnic groups: White and Black Caribbean","0.9","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Wolverhampton","Mixed/multiple ethnic groups: White and Black Caribbean","3.4","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Hammersmith and Fulham","Mixed/multiple ethnic groups: White and Black Caribbean","1.5","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Islington","Mixed/multiple ethnic groups: White and Black Caribbean","2.1","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Blackburn with Darwen","Mixed/multiple ethnic groups: White and Black Caribbean","0.2","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Sandwell","Mixed/multiple ethnic groups: White and Black Caribbean","2","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Kensington and Chelsea","Mixed/multiple ethnic groups: White and Black Caribbean","1.1","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Wandsworth","Mixed/multiple ethnic groups: White and Black Caribbean","1.5","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Nottingham","Mixed/multiple ethnic groups: White and Black Caribbean","4","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Coventry","Mixed/multiple ethnic groups: White and Black Caribbean","1.2","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Kingston upon Thames","Mixed/multiple ethnic groups: White and Black Caribbean","0.8","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Reading","Mixed/multiple ethnic groups: White and Black Caribbean","1.7","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Oldham","Mixed/multiple ethnic groups: White and Black Caribbean","0.9","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","City of London","Mixed/multiple ethnic groups: White and Black Caribbean","0.5","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Sutton","Mixed/multiple ethnic groups: White and Black Caribbean","1.2","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Walsall","Mixed/multiple ethnic groups: White and Black Caribbean","1.6","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Kirklees","Mixed/multiple ethnic groups: White and Black Caribbean","1.2","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Milton Keynes","Mixed/multiple ethnic groups: White and Black Caribbean","0.9","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Derby","Mixed/multiple ethnic groups: White and Black Caribbean","1.6","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Bedford","Mixed/multiple ethnic groups: White and Black Caribbean","1.5","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Rochdale","Mixed/multiple ethnic groups: White and Black Caribbean","0.5","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Bexley","Mixed/multiple ethnic groups: White and Black Caribbean","0.7","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Bolton","Mixed/multiple ethnic groups: White and Black Caribbean","0.6","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Peterborough","Mixed/multiple ethnic groups: White and Black Caribbean","0.8","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Sheffield","Mixed/multiple ethnic groups: White and Black Caribbean","1","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Bristol, City of","Mixed/multiple ethnic groups: White and Black Caribbean","1.7","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Bromley","Mixed/multiple ethnic groups: White and Black Caribbean","1.3","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Cardiff","Mixed/multiple ethnic groups: White and Black Caribbean","1.1","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Leeds","Mixed/multiple ethnic groups: White and Black Caribbean","1.2","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Newcastle upon Tyne","Mixed/multiple ethnic groups: White and Black Caribbean","0.3","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Trafford","Mixed/multiple ethnic groups: White and Black Caribbean","1.2","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Southampton","Mixed/multiple ethnic groups: White and Black Caribbean","0.7","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Thurrock","Mixed/multiple ethnic groups: White and Black Caribbean","0.7","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Richmond upon Thames","Mixed/multiple ethnic groups: White and Black Caribbean","0.7","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Windsor and Maidenhead","Mixed/multiple ethnic groups: White and Black Caribbean","0.5","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Buckinghamshire","Mixed/multiple ethnic groups: White and Black Caribbean","0.9","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Hertfordshire","Mixed/multiple ethnic groups: White and Black Caribbean","0.8","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Havering","Mixed/multiple ethnic groups: White and Black Caribbean","0.8","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Middlesbrough","Mixed/multiple ethnic groups: White and Black Caribbean","0.4","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Portsmouth","Mixed/multiple ethnic groups: White and Black Caribbean","0.5","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Wokingham","Mixed/multiple ethnic groups: White and Black Caribbean","0.6","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Stoke-on-Trent","Mixed/multiple ethnic groups: White and Black Caribbean","0.8","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Liverpool","Mixed/multiple ethnic groups: White and Black Caribbean","0.7","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Brighton and Hove","Mixed/multiple ethnic groups: White and Black Caribbean","0.8","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Solihull","Mixed/multiple ethnic groups: White and Black Caribbean","1.2","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Bury","Mixed/multiple ethnic groups: White and Black Caribbean","0.7","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Medway","Mixed/multiple ethnic groups: White and Black Caribbean","0.7","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Calderdale","Mixed/multiple ethnic groups: White and Black Caribbean","0.5","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Swindon","Mixed/multiple ethnic groups: White and Black Caribbean","0.7","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Newport","Mixed/multiple ethnic groups: White and Black Caribbean","0.9","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Dudley","Mixed/multiple ethnic groups: White and Black Caribbean","1.1","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Salford","Mixed/multiple ethnic groups: White and Black Caribbean","0.7","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Surrey","Mixed/multiple ethnic groups: White and Black Caribbean","0.4","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Bracknell Forest","Mixed/multiple ethnic groups: White and Black Caribbean","0.6","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Oxfordshire","Mixed/multiple ethnic groups: White and Black Caribbean","0.6","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Tameside","Mixed/multiple ethnic groups: White and Black Caribbean","0.6","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Leicestershire","Mixed/multiple ethnic groups: White and Black Caribbean","0.5","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Northamptonshire","Mixed/multiple ethnic groups: White and Black Caribbean","0.9","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Southend-on-Sea","Mixed/multiple ethnic groups: White and Black Caribbean","0.6","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Bournemouth","Mixed/multiple ethnic groups: White and Black Caribbean","0.6","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Stockport","Mixed/multiple ethnic groups: White and Black Caribbean","0.6","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Lancashire","Mixed/multiple ethnic groups: White and Black Caribbean","0.4","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Cambridgeshire","Mixed/multiple ethnic groups: White and Black Caribbean","0.4","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Telford and Wrekin","Mixed/multiple ethnic groups: White and Black Caribbean","0.9","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Warwickshire","Mixed/multiple ethnic groups: White and Black Caribbean","0.6","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Rotherham","Mixed/multiple ethnic groups: White and Black Caribbean","0.3","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Kent","Mixed/multiple ethnic groups: White and Black Caribbean","0.4","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Central Bedfordshire","Mixed/multiple ethnic groups: White and Black Caribbean","0.7","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","West Sussex","Mixed/multiple ethnic groups: White and Black Caribbean","0.4","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Swansea","Mixed/multiple ethnic groups: White and Black Caribbean","0.2","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Kingston upon Hull, City of","Mixed/multiple ethnic groups: White and Black Caribbean","0.3","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","Essex","Mixed/multiple ethnic groups: White and Black Caribbean","0.5","Percent","ONS 18+1 2011","Census","2011","England and Wales"
"Ethnicity of local authorities","York","Mixed/multiple ethnic groups: White and Black Caribbean","0.3","Percent","ONS 18+1 2011","Census","2011","England and Wales"
