"Title","State support"
"Location","UK"
"Time period","2009/10 to 2015/16"
"Data source","Department for Work and Pensions"
"Data source link","https://www.gov.uk/government/statistics/family-resources-survey-financial-year-201516"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-10"
"Benefit","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Geography_type","Value","Denominator","Numerator","Upper bound","Lower bound","Note"
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","1","1,761","","","",""
"State Pension by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","10","1,761","","","",""
"Widow's Benefits by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","-","1,761","","","",""
"Incapacity Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","2","1,761","","","",""
"Severe Disablement Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","-","1,761","","","",""
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","1","1,761","","","",""
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","1","1,761","","","",""
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","5","1,761","","","",""
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","4","1,761","","","",""
"Personal Independence Payment (daily living component) by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","0","1,761","","","","Not available in period"
"Personal Independence Payment (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","0","1,761","","","","Not available in period"
"Industrial Injuries Disablement Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","-","1,761","","","",""
"Armed Forces Compensation Scheme by ethnic group of head","2009/10-2011/12","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","-","1,761","","","",""
"All in receipt of state support by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","55","736","","","",""
"All in receipt of benefit by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","54","736","","","",""
"All in receipt of Tax Credits by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","18","736","","","",""
"On any income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","23","736","","","",""
"On any non-income-related benefit by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","45","736","","","",""
"Child Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","27","736","","","",""
"Working Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","8","736","","","",""
"Child Tax Credit by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","17","736","","","",""
"Income Support by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","5","736","","","",""
"Housing Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","17","736","","","",""
"Pension Credit by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","2","736","","","",""
"Council Tax Reduction by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","18","736","","","",""
"Jobseeker's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","5","736","","","",""
"Employment and Support Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","1","736","","","",""
"State Pension by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","12","736","","","",""
"Widow's Benefits by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","-","736","","","",""
"Incapacity Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","2","736","","","",""
"Severe Disablement Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","0","736","","","",""
"Attendance Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","-","736","","","",""
"Carer's Allowance by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","-","736","","","",""
"Disability Living Allowance (care component) by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","4","736","","","",""
"Disability Living Allowance (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","4","736","","","",""
"Personal Independence Payment (daily living component) by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","0","736","","","","Not available in period"
"Personal Independence Payment (mobility component) by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","0","736","","","","Not available in period"
"Industrial Injuries Disablement Benefit by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","0","736","","","",""
"Armed Forces Compensation Scheme by ethnic group of head","2009/10-2011/12","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","-","736","","","",""
"All in receipt of state support by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","K02000001","ONS geography code","61","77,803","","","",""
"All in receipt of benefit by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","K02000001","ONS geography code","60","77,803","","","",""
"All in receipt of Tax Credits by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","K02000001","ONS geography code","14","77,803","","","",""
"On any income-related benefit by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","K02000001","ONS geography code","21","77,803","","","",""
"On any non-income-related benefit by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","K02000001","ONS geography code","56","77,803","","","",""
"Child Benefit by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","K02000001","ONS geography code","22","77,803","","","",""
"Working Tax Credit by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","K02000001","ONS geography code","6","77,803","","","",""
"Child Tax Credit by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","K02000001","ONS geography code","13","77,803","","","",""
"Income Support by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","K02000001","ONS geography code","4","77,803","","","",""
"Housing Benefit by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","K02000001","ONS geography code","13","77,803","","","",""
"Pension Credit by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","K02000001","ONS geography code","5","77,803","","","",""
"Council Tax Reduction by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","K02000001","ONS geography code","16","77,803","","","",""
"Jobseeker's Allowance by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","K02000001","ONS geography code","4","77,803","","","",""
"Employment and Support Allowance by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","K02000001","ONS geography code","1","77,803","","","",""
"State Pension by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","K02000001","ONS geography code","25","77,803","","","",""
"Widow's Benefits by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","K02000001","ONS geography code","-","77,803","","","",""
"Incapacity Benefit by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","K02000001","ONS geography code","3","77,803","","","",""
"Severe Disablement Allowance by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","K02000001","ONS geography code","-","77,803","","","",""
"Attendance Allowance by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","K02000001","ONS geography code","3","77,803","","","",""
"Carer's Allowance by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","K02000001","ONS geography code","1","77,803","","","",""
"Disability Living Allowance (care component) by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","K02000001","ONS geography code","7","77,803","","","",""
"Disability Living Allowance (mobility component) by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","K02000001","ONS geography code","7","77,803","","","",""
"Personal Independence Payment (daily living component) by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","K02000001","ONS geography code","0","77,803","","","","Not available in period"
"Personal Independence Payment (mobility component) by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","K02000001","ONS geography code","0","77,803","","","","Not available in period"
"Industrial Injuries Disablement Benefit by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","K02000001","ONS geography code","1","77,803","","","",""
"Armed Forces Compensation Scheme by ethnic group of head","2010/11-2012/13","Three-year average","All","ONS 5+2","K02000001","ONS geography code","-","77,803","","","",""
"All in receipt of state support by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","K02000001","ONS geography code","62","71,350","","","",""
"All in receipt of benefit by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","K02000001","ONS geography code","61","71,350","","","",""
"All in receipt of Tax Credits by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","K02000001","ONS geography code","13","71,350","","","",""
"On any income-related benefit by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","K02000001","ONS geography code","20","71,350","","","",""
"On any non-income-related benefit by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","K02000001","ONS geography code","58","71,350","","","",""
"Child Benefit by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","K02000001","ONS geography code","22","71,350","","","",""
"Working Tax Credit by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","K02000001","ONS geography code","6","71,350","","","",""
"Child Tax Credit by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","K02000001","ONS geography code","12","71,350","","","",""
"Income Support by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","K02000001","ONS geography code","4","71,350","","","",""
"Housing Benefit by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","K02000001","ONS geography code","13","71,350","","","",""
"Pension Credit by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","K02000001","ONS geography code","5","71,350","","","",""
"Council Tax Reduction by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","K02000001","ONS geography code","16","71,350","","","",""
"Jobseeker's Allowance by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","K02000001","ONS geography code","3","71,350","","","",""
"Employment and Support Allowance by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","K02000001","ONS geography code","1","71,350","","","",""
"State Pension by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","K02000001","ONS geography code","27","71,350","","","",""
"Widow's Benefits by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","K02000001","ONS geography code","-","71,350","","","",""
"Incapacity Benefit by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","K02000001","ONS geography code","3","71,350","","","",""
"Severe Disablement Allowance by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","K02000001","ONS geography code","-","71,350","","","",""
"Attendance Allowance by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","K02000001","ONS geography code","3","71,350","","","",""
"Carer's Allowance by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","K02000001","ONS geography code","1","71,350","","","",""
"Disability Living Allowance (care component) by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","K02000001","ONS geography code","7","71,350","","","",""
"Disability Living Allowance (mobility component) by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","K02000001","ONS geography code","7","71,350","","","",""
"Personal Independence Payment (daily living component) by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","K02000001","ONS geography code","0","71,350","","","","Not available in period"
"Personal Independence Payment (mobility component) by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","K02000001","ONS geography code","0","71,350","","","","Not available in period"
"Industrial Injuries Disablement Benefit by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","K02000001","ONS geography code","1","71,350","","","",""
"Armed Forces Compensation Scheme by ethnic group of head","2010/11-2012/13","Three-year average","White","ONS 5+2","K02000001","ONS geography code","-","71,350","","","",""
"All in receipt of state support by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","63","68,390","","","",""
"All in receipt of benefit by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","62","68,390","","","",""
"All in receipt of Tax Credits by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","13","68,390","","","",""
"On any income-related benefit by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","20","68,390","","","",""
"On any non-income-related benefit by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","59","68,390","","","",""
"Child Benefit by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","22","68,390","","","",""
"Working Tax Credit by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","5","68,390","","","",""
"Child Tax Credit by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","12","68,390","","","",""
"Income Support by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","4","68,390","","","",""
"Housing Benefit by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","13","68,390","","","",""
"Pension Credit by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","6","68,390","","","",""
"Council Tax Reduction by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","16","68,390","","","",""
"Jobseeker's Allowance by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","3","68,390","","","",""
"Employment and Support Allowance by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","2","68,390","","","",""
"State Pension by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","28","68,390","","","",""
"Widow's Benefits by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","-","68,390","","","",""
"Incapacity Benefit by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","3","68,390","","","",""
"Severe Disablement Allowance by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","-","68,390","","","",""
"Attendance Allowance by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","3","68,390","","","",""
"Carer's Allowance by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","2","68,390","","","",""
"Disability Living Allowance (care component) by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","7","68,390","","","",""
"Disability Living Allowance (mobility component) by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","7","68,390","","","",""
"Personal Independence Payment (daily living component) by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","0","68,390","","","","Not available in period"
"Personal Independence Payment (mobility component) by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","0","68,390","","","","Not available in period"
"Industrial Injuries Disablement Benefit by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","1","68,390","","","",""
"Armed Forces Compensation Scheme by ethnic group of head","2010/11-2012/13","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","-","68,390","","","",""
"All in receipt of state support by ethnic group of head","2010/11-2012/13","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","47","2,960","","","",""
"All in receipt of benefit by ethnic group of head","2010/11-2012/13","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","46","2,960","","","",""
"All in receipt of Tax Credits by ethnic group of head","2010/11-2012/13","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","14","2,960","","","",""
"On any income-related benefit by ethnic group of head","2010/11-2012/13","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","18","2,960","","","",""
"On any non-income-related benefit by ethnic group of head","2010/11-2012/13","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","42","2,960","","","",""
"Child Benefit by ethnic group of head","2010/11-2012/13","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","23","2,960","","","",""
"Working Tax Credit by ethnic group of head","2010/11-2012/13","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","8","2,960","","","",""
"Child Tax Credit by ethnic group of head","2010/11-2012/13","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","13","2,960","","","",""
"Income Support by ethnic group of head","2010/11-2012/13","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","3","2,960","","","",""
"Housing Benefit by ethnic group of head","2010/11-2012/13","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","13","2,960","","","",""
"Pension Credit by ethnic group of head","2010/11-2012/13","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","3","2,960","","","",""
"Council Tax Reduction by ethnic group of head","2010/11-2012/13","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","14","2,960","","","",""
"Jobseeker's Allowance by ethnic group of head","2010/11-2012/13","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","2","2,960","","","",""
"Employment and Support Allowance by ethnic group of head","2010/11-2012/13","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","1","2,960","","","",""
"State Pension by ethnic group of head","2010/11-2012/13","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","13","2,960","","","",""
"Widow's Benefits by ethnic group of head","2010/11-2012/13","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","-","2,960","","","",""
"Incapacity Benefit by ethnic group of head","2010/11-2012/13","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","1","2,960","","","",""
"Severe Disablement Allowance by ethnic group of head","2010/11-2012/13","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","-","2,960","","","",""
"Attendance Allowance by ethnic group of head","2010/11-2012/13","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","1","2,960","","","",""
"Carer's Allowance by ethnic group of head","2010/11-2012/13","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","1","2,960","","","",""
"Disability Living Allowance (care component) by ethnic group of head","2010/11-2012/13","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","3","2,960","","","",""
"Disability Living Allowance (mobility component) by ethnic group of head","2010/11-2012/13","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","3","2,960","","","",""
"Personal Independence Payment (daily living component) by ethnic group of head","2010/11-2012/13","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","0","2,960","","","","Not available in period"
"Personal Independence Payment (mobility component) by ethnic group of head","2010/11-2012/13","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","0","2,960","","","","Not available in period"
"Industrial Injuries Disablement Benefit by ethnic group of head","2010/11-2012/13","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","-","2,960","","","",""
"Armed Forces Compensation Scheme by ethnic group of head","2010/11-2012/13","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","-","2,960","","","",""
"All in receipt of state support by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","47","644","","","",""
"All in receipt of benefit by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","46","644","","","",""
"All in receipt of Tax Credits by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","21","644","","","",""
"On any income-related benefit by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","25","644","","","",""
"On any non-income-related benefit by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","39","644","","","",""
"Child Benefit by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","27","644","","","",""
"Working Tax Credit by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","9","644","","","",""
"Child Tax Credit by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","20","644","","","",""
"Income Support by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","7","644","","","",""
"Housing Benefit by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","18","644","","","",""
"Pension Credit by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","1","644","","","",""
"Council Tax Reduction by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","19","644","","","",""
"Jobseeker's Allowance by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","7","644","","","",""
"Employment and Support Allowance by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","1","644","","","",""
"State Pension by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","5","644","","","",""
"Widow's Benefits by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","-","644","","","",""
"Incapacity Benefit by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","1","644","","","",""
"Severe Disablement Allowance by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","1","644","","","",""
"Attendance Allowance by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","-","644","","","",""
"Carer's Allowance by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","1","644","","","",""
"Disability Living Allowance (care component) by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","4","644","","","",""
"Disability Living Allowance (mobility component) by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","5","644","","","",""
"Personal Independence Payment (daily living component) by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","0","644","","","","Not available in period"
"Personal Independence Payment (mobility component) by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","0","644","","","","Not available in period"
"Industrial Injuries Disablement Benefit by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","0","644","","","",""
"Armed Forces Compensation Scheme by ethnic group of head","2010/11-2012/13","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","-","644","","","",""
"All in receipt of state support by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","50","3,420","","","",""
"All in receipt of benefit by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","49","3,420","","","",""
"All in receipt of Tax Credits by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","18","3,420","","","",""
"On any income-related benefit by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","19","3,420","","","",""
"On any non-income-related benefit by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","43","3,420","","","",""
"Child Benefit by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","28","3,420","","","",""
"Working Tax Credit by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","10","3,420","","","",""
"Child Tax Credit by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","17","3,420","","","",""
"Income Support by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","4","3,420","","","",""
"Housing Benefit by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","9","3,420","","","",""
"Pension Credit by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","4","3,420","","","",""
"Council Tax Reduction by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","14","3,420","","","",""
"Jobseeker's Allowance by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","4","3,420","","","",""
"Employment and Support Allowance by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","1","3,420","","","",""
"State Pension by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","9","3,420","","","",""
"Widow's Benefits by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","-","3,420","","","",""
"Incapacity Benefit by ethnic group of head","2010/11-2012/13","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","2","3,420","","","",""
