"Title","Employment by qualification level"
"% of individuals in employment","Mixed","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","Level 3","National Qualifications Framework (NQF) level","75.20%","%","33,435","25,134","87.50%","62.80%","118"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","Level 3","National Qualifications Framework (NQF) level","76.30%","%","109,105","83,265","82.80%","69.90%","419"
"% of individuals in employment","Black or Black British","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","Level 3","National Qualifications Framework (NQF) level","74.00%","%","57,386","42,460","84.00%","64.00%","186"
"% of individuals in employment","Other","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","Level 3","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Ethnic Minority","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","Level 3","National Qualifications Framework (NQF) level","75.70%","%","224,036","169,642","80.40%","71.10%","813"
"% of individuals in employment","Unreported","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","Level 3","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","Level 3","National Qualifications Framework (NQF) level","83.50%","%","3,413,364","2,851,235","84.10%","83.00%","16,252"
"% of individuals in employment","White","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","Level 2","National Qualifications Framework (NQF) level","79.10%","%","2,883,752","2,281,425","79.80%","78.40%","13,835"
"% of individuals in employment","Mixed","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","Level 2","National Qualifications Framework (NQF) level","65.30%","%","28,500","18,619","79.20%","51.50%","114"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","Level 2","National Qualifications Framework (NQF) level","70.50%","%","130,108","91,672","76.80%","64.20%","505"
"% of individuals in employment","Black or Black British","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","Level 2","National Qualifications Framework (NQF) level","61.60%","%","57,427","35,386","72.20%","51.00%","202"
"% of individuals in employment","Other","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","Level 2","National Qualifications Framework (NQF) level","76.90%","%","31,060","23,871","88.50%","65.20%","126"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","Level 2","National Qualifications Framework (NQF) level","68.60%","%","247,094","169,548","73.30%","63.90%","945"
"% of individuals in employment","Unreported","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","Level 2","National Qualifications Framework (NQF) level","78.30%","%","3,131,888","2,451,141","78.90%","77.60%","14,785"
"% of individuals in employment","White","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","75.40%","%","1,911,196","1,440,134","76.20%","74.50%","8,858"
"% of individuals in employment","Mixed","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Asian or Asian British","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","66.10%","%","100,937","66,768","73.80%","58.50%","371"
"% of individuals in employment","Black or Black British","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","67.90%","%","43,882","29,810","79.40%","56.50%","159"
"% of individuals in employment","Other","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Ethnic Minority","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","63.10%","%","190,688","120,391","68.80%","57.50%","696"
"% of individuals in employment","Unreported","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","Below Level 2","National Qualifications Framework (NQF) level","74.20%","%","2,102,185","1,560,525","75.10%","73.40%","9,555"
"% of individuals in employment","White","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","80.90%","%","1111583","899262","81.90%","79.90%","5619"
"% of individuals in employment","Mixed","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Asian or Asian British","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","79.20%","%","144915","114794","84.40%","74.00%","582"
"% of individuals in employment","Black or Black British","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","68.60%","%","55220","37896","79.00%","58.30%","193"
"% of individuals in employment","Other","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","72.80%","%","66628","48499","81.50%","64.10%","252"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","75.50%","%","280743","211943","79.60%","71.40%","1076"
"% of individuals in employment","Unreported","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","Other qualifications","National Qualifications Framework (NQF) level","79.80%","%","1393229","1111904","80.80%","78.80%","6699"
"% of individuals in employment","White","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","50.00%","%","1,453,724","726,283","51.10%","48.80%","7,458"
"% of individuals in employment","Mixed","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Asian or Asian British","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","56.30%","%","164,855","92,731","62.20%","50.30%","676"
"% of individuals in employment","Black or Black British","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","51.00%","%","44,429","22,665","63.00%","39.00%","166"
"% of individuals in employment","Other","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","53.60%","%","53,091","28,468","64.40%","42.90%","206"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","53.70%","%","280,591","150,642","58.30%","49.00%","1,107"
"% of individuals in employment","Unreported","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","No qualifications","National Qualifications Framework (NQF) level","50.60%","%","1,734,857","877,342","51.60%","49.50%","8,568"
"% of individuals in employment","White","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","Missing","National Qualifications Framework (NQF) level","60.20%","%","40564","24402","67.00%","53.30%","198"
"% of individuals in employment","Mixed","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Asian or Asian British","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Black or Black British","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Other","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Ethnic Minority","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Unreported","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","Missing","National Qualifications Framework (NQF) level","59.40%","%","48867","29014","65.80%","53.00%","226"
"% of individuals in employment","White","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","All","National Qualifications Framework (NQF) level","80.60%","%","15,963,100","12,861,738","80.90%","80.30%","75,767"
"% of individuals in employment","Mixed","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","All","National Qualifications Framework (NQF) level","70.80%","%","173,582","122,979","76.40%","65.30%","643"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","All","National Qualifications Framework (NQF) level","78.50%","%","1,170,896","919,522","80.40%","76.70%","4,583"
"% of individuals in employment","Black or Black British","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","All","National Qualifications Framework (NQF) level","71.80%","%","441,863","317,117","75.30%","68.20%","1,565"
"% of individuals in employment","Other","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","All","National Qualifications Framework (NQF) level","74.80%","%","374,356","280,110","78.40%","71.30%","1,423"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","All","National Qualifications Framework (NQF) level","75.90%","%","2,160,697","1,639,728","77.40%","74.40%","8,214"
"% of individuals in employment","Unreported","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","All","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2013","Year","K03000001","ONS geography code","Male","16-64","All","National Qualifications Framework (NQF) level","80.00%","%","18,131,500","14,505,945","80.30%","79.70%","84,019"
"% of individuals in employment","White","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","82.80%","%","5,915,091","4,896,556","83.20%","82.40%","29,780"
"% of individuals in employment","Mixed","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","80.90%","%","78,981","63,901","87.80%","74.00%","309"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","70.40%","%","459,570","323,351","73.60%","67.20%","1,952"
"% of individuals in employment","Black or Black British","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","80.30%","%","233,182","187,287","84.40%","76.30%","925"
"% of individuals in employment","Other","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","67.40%","%","202,432","136,526","72.50%","62.40%","816"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","73.00%","%","974,165","711,065","75.20%","70.80%","4,002"
"% of individuals in employment","Unreported","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","Level 4 and above","National Qualifications Framework (NQF) level","81.40%","%","6,893,990","5,611,551","81.80%","81.00%","33,805"
"% of individuals in employment","White","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","Level 3","National Qualifications Framework (NQF) level","78.10%","%","2,587,872","2,020,419","78.80%","77.40%","13,022"
"% of individuals in employment","Mixed","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","Level 3","National Qualifications Framework (NQF) level","65.80%","%","39,022","25,692","77.90%","53.80%","149"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","Level 3","National Qualifications Framework (NQF) level","58.60%","%","115,728","67,869","65.40%","51.90%","505"
"% of individuals in employment","Black or Black British","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","Level 3","National Qualifications Framework (NQF) level","64.00%","%","76,475","48,966","72.70%","55.40%","296"
"% of individuals in employment","Other","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","Level 3","National Qualifications Framework (NQF) level","61.90%","%","32,508","20,118","74.70%","49.10%","139"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","Level 3","National Qualifications Framework (NQF) level","61.70%","%","263,733","162,645","66.20%","57.10%","1,089"
"% of individuals in employment","Unreported","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","Level 3","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","Level 3","National Qualifications Framework (NQF) level","76.60%","%","2,852,473","2,183,622","77.30%","75.90%","14,115"
"% of individuals in employment","White","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","Level 2","National Qualifications Framework (NQF) level","68.90%","%","3,102,346","2,137,760","69.60%","68.20%","16,219"
"% of individuals in employment","Mixed","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","Level 2","National Qualifications Framework (NQF) level","59.60%","%","33,743","20,095","72.10%","47.10%","148"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","Level 2","National Qualifications Framework (NQF) level","45.60%","%","137,134","62,474","51.90%","39.20%","583"
"% of individuals in employment","Black or Black British","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","Level 2","National Qualifications Framework (NQF) level","60.10%","%","75,633","45,477","68.90%","51.40%","301"
"% of individuals in employment","Other","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","Level 2","National Qualifications Framework (NQF) level","48.10%","%","27,404","13,177","62.30%","33.90%","119"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","Level 2","National Qualifications Framework (NQF) level","51.60%","%","273,914","141,223","56.10%","47.00%","1,151"
"% of individuals in employment","Unreported","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","Level 2","National Qualifications Framework (NQF) level","67.50%","%","3,377,799","2,280,364","68.20%","66.80%","17,377"
"% of individuals in employment","White","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","60.30%","%","2,102,171","1,267,652","61.20%","59.40%","11,064"
"% of individuals in employment","Mixed","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Asian or Asian British","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","29.90%","%","101,652","30,414","36.70%","23.20%","441"
"% of individuals in employment","Black or Black British","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","44.00%","%","50,553","22,262","55.00%","33.00%","196"
"% of individuals in employment","Other","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","30.10%","%","26,162","7,878","44.30%","15.90%","100"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","35.20%","%","198,421","69,774","40.30%","30.00%","822"
"% of individuals in employment","Unreported","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","Below Level 2","National Qualifications Framework (NQF) level","58.10%","%","2,301,317","1,337,914","59.00%","57.30%","11,890"
"% of individuals in employment","White","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","64.40%","%","771678","496999","65.90%","63.00%","4210"
"% of individuals in employment","Mixed","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Asian or Asian British","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","39.30%","%","132962","52292","45.50%","33.10%","593"
"% of individuals in employment","Black or Black British","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","51.40%","%","41166","21140","62.80%","39.90%","182"
"% of individuals in employment","Other","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","47.20%","%","61043","28830","56.80%","37.70%","264"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","44.30%","%","242280","107229","49.00%","39.60%","1072"
"% of individuals in employment","Unreported","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","Other qualifications","National Qualifications Framework (NQF) level","59.60%","%","1014819","604489","60.90%","58.20%","5286"
"% of individuals in employment","White","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","35.20%","%","1,543,529","544,018","36.20%","34.30%","8,969"
"% of individuals in employment","Mixed","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Asian or Asian British","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","16.60%","%","189,137","31,474","20.50%","12.80%","889"
"% of individuals in employment","Black or Black British","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","28.40%","%","58,387","16,603","37.50%","19.30%","236"
"% of individuals in employment","Other","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","25.40%","%","52,929","13,464","34.00%","16.90%","247"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","20.80%","%","313,884","65,391","24.20%","17.50%","1,429"
"% of individuals in employment","Unreported","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","No qualifications","National Qualifications Framework (NQF) level","32.80%","%","1,858,807","609,409","33.70%","31.90%","10,405"
"% of individuals in employment","White","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","Missing","National Qualifications Framework (NQF) level","53.90%","%","37576","20246","60.90%","46.90%","194"
"% of individuals in employment","Mixed","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Asian or Asian British","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Black or Black British","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Other","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Ethnic Minority","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","Unreported","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","Missing","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","Missing","National Qualifications Framework (NQF) level","51.50%","%","45897","23641","58.10%","45.00%","224"
"% of individuals in employment","White","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","All","National Qualifications Framework (NQF) level","70.90%","%","16,060,263","11,383,650","71.20%","70.60%","83,458"
"% of individuals in employment","Mixed","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","All","National Qualifications Framework (NQF) level","66.20%","%","192,824","127,725","71.50%","61.00%","783"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","All","National Qualifications Framework (NQF) level","50.00%","%","1,139,987","569,728","52.20%","47.80%","4,976"
"% of individuals in employment","Black or Black British","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","All","National Qualifications Framework (NQF) level","63.80%","%","538,055","343,276","67.00%","60.60%","2,145"
"% of individuals in employment","Other","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","All","National Qualifications Framework (NQF) level","54.60%","%","402,927","219,993","58.40%","50.80%","1,686"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","All","National Qualifications Framework (NQF) level","55.40%","%","2,273,793","1,260,722","57.00%","53.90%","9,590"
"% of individuals in employment","Unreported","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","All","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2013","Year","K03000001","ONS geography code","Female","16-64","All","National Qualifications Framework (NQF) level","69.00%","%","18,345,101","12,650,990","69.30%","68.70%","93,102"
"% of individuals in employment","White","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","86.00%","%","11,288,802","9,705,609","86.30%","85.70%","54,147"
"% of individuals in employment","Mixed","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","83.50%","%","135,900","113,485","88.50%","78.50%","535"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","81.00%","%","977,500","791,557","82.90%","79.00%","3,972"
"% of individuals in employment","Black or Black British","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","80.90%","%","415,124","335,669","83.90%","77.80%","1,578"
"% of individuals in employment","Other","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","75.40%","%","375,552","283,305","78.90%","72.00%","1,469"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","80.00%","%","1,904,076","1,524,016","81.50%","78.60%","7,554"
"% of individuals in employment","Unreported","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","Level 4 and above","National Qualifications Framework (NQF) level","85.10%","%","13,201,100","11,236,335","85.40%","84.80%","61,740"
"% of individuals in employment","White","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","Level 3","National Qualifications Framework (NQF) level","81.40%","%","5,776,443","4,701,599","81.80%","80.90%","28,455"
"% of individuals in employment","Mixed","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","Level 3","National Qualifications Framework (NQF) level","70.10%","%","72,457","50,826","78.80%","61.50%","267"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","Level 3","National Qualifications Framework (NQF) level","67.20%","%","224,833","151,134","72.00%","62.40%","924"
"% of individuals in employment","Black or Black British","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","Level 3","National Qualifications Framework (NQF) level","68.30%","%","133,861","91,426","74.90%","61.70%","482"
"% of individuals in employment","Other","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","Level 3","National Qualifications Framework (NQF) level","68.70%","%","56,619","38,901","78.20%","59.20%","231"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","Level 3","National Qualifications Framework (NQF) level","68.10%","%","487,768","332,287","71.40%","64.80%","1,902"
"% of individuals in employment","Unreported","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","Level 3","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","Level 3","National Qualifications Framework (NQF) level","80.40%","%","6,265,837","5,034,857","80.80%","79.90%","30,367"
"% of individuals in employment","White","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","Level 2","National Qualifications Framework (NQF) level","73.80%","%","5,986,098","4,419,185","74.30%","73.30%","30,054"
"% of individuals in employment","Mixed","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","Level 2","National Qualifications Framework (NQF) level","62.20%","%","62,243","38,714","71.50%","52.90%","262"
"% of individuals in employment","Asian or Asian British","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","Level 2","National Qualifications Framework (NQF) level","57.70%","%","267,242","154,146","62.30%","53.00%","1,088"
"% of individuals in employment","Black or Black British","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","Level 2","National Qualifications Framework (NQF) level","60.80%","%","133,060","80,863","67.50%","54.00%","503"
"% of individuals in employment","Other","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","Level 2","National Qualifications Framework (NQF) level","63.40%","%","58,464","37,048","72.90%","53.80%","245"
"% of individuals in employment","Ethnic Minority","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","Level 2","National Qualifications Framework (NQF) level","59.60%","%","521,007","310,771","63.00%","56.30%","2,096"
"% of individuals in employment","Unreported","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","Level 2","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"% of individuals in employment","All","ONS 5+1","2013","Year","K03000001","ONS geography code","All","16-64","Level 2","National Qualifications Framework (NQF) level","72.70%","%","6,509,687","4,731,505","73.20%","72.20%","32,162"
