"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Gender_type","Destination","Value","Value_type","Denominator","Numerator"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Asian","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Employment","9","% of cohort","35,920","3,400"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Employment","11","% of cohort","20,325","2,165"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Chinese","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Employment","5","% of cohort","2,055","110"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Other","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Employment","11","% of cohort","5,335","565"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Unknown","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Employment","18","% of cohort","13,075","2,360"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","8","% of cohort","274,830","21,390"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Mixed","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","8","% of cohort","14,600","1,210"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Asian","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","7","% of cohort","35,920","2,585"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","7","% of cohort","20,325","1,375"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Chinese","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","4","% of cohort","2,055","70"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Other","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","7","% of cohort","5,335","390"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Unknown","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","8","% of cohort","13,075","1,085"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Unknown","3","% of cohort","274,830","7,460"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Mixed","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Unknown","3","% of cohort","14,600","500"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Asian","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Unknown","4","% of cohort","35,920","1,410"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Unknown","3","% of cohort","20,325","640"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Chinese","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Unknown","5","% of cohort","2,055","100"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Other","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Unknown","5","% of cohort","5,335","270"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Unknown","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Unknown","11","% of cohort","13,075","1,475"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","All","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Education, employment or training","89","% of cohort","366,145","326,180"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","All","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Education","66","% of cohort","366,145","242,940"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","All","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Higher education institution","51","% of cohort","366,145","185,805"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","All","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Employment","23","% of cohort","366,145","83,240"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","All","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","8","% of cohort","366,145","28,105"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","All","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Unknown","3","% of cohort","366,145","11,855"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White British","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Education, employment or training","90","% of cohort","260,455","233,525"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White Irish","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Education, employment or training","89","% of cohort","1,350","1,205"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Traveller of Irish heritage","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Education, employment or training","65","% of cohort","20","15"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Gypsy/Roma","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Education, employment or training","78","% of cohort","105","85"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other White background","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Education, employment or training","86","% of cohort","12,900","11,155"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Black Caribbean","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Education, employment or training","88","% of cohort","4,160","3,670"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Black African","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Education, employment or training","88","% of cohort","1,670","1,470"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Asian","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Education, employment or training","89","% of cohort","3,360","2,985"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other mixed background","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Education, employment or training","88","% of cohort","5,410","4,755"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Indian","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Education, employment or training","91","% of cohort","11,340","10,310"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Pakistani","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Education, employment or training","86","% of cohort","12,505","10,800"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Bangladeshi","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Education, employment or training","90","% of cohort","5,750","5,195"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other Asian background","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Education, employment or training","89","% of cohort","6,325","5,625"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black Caribbean","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Education, employment or training","88","% of cohort","5,310","4,655"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black African","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Education, employment or training","91","% of cohort","12,750","11,635"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other Black background","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Education, employment or training","89","% of cohort","2,270","2,025"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White British","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Education","63","% of cohort","260,455","164,215"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White Irish","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Education","69","% of cohort","1,350","940"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Traveller of Irish heritage","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Education","45","% of cohort","20","10"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Gypsy/Roma","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Education","41","% of cohort","105","45"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other White background","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Education","69","% of cohort","12,900","8,915"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Black Caribbean","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Education","64","% of cohort","4,160","2,675"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Black African","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Education","72","% of cohort","1,670","1,205"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Asian","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Education","72","% of cohort","3,360","2,410"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other mixed background","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Education","71","% of cohort","5,410","3,815"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Indian","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Education","82","% of cohort","11,340","9,255"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Pakistani","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Education","77","% of cohort","12,505","9,590"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Bangladeshi","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Education","81","% of cohort","5,750","4,670"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other Asian background","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Education","79","% of cohort","6,325","5,010"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black Caribbean","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Education","71","% of cohort","5,310","3,775"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black African","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Education","83","% of cohort","12,750","10,625"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other Black background","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Education","77","% of cohort","2,270","1,745"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White British","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Higher education institution","47","% of cohort","260,455","122,490"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White Irish","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Higher education institution","57","% of cohort","1,350","770"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Traveller of Irish heritage","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Higher education institution","35","% of cohort","20","5"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Gypsy/Roma","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Higher education institution","25","% of cohort","105","25"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other White background","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Higher education institution","53","% of cohort","12,900","6,885"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Black Caribbean","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Higher education institution","47","% of cohort","4,160","1,970"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Black African","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Higher education institution","58","% of cohort","1,670","960"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Asian","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Higher education institution","58","% of cohort","3,360","1,945"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other mixed background","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Higher education institution","56","% of cohort","5,410","3,015"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Indian","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Higher education institution","71","% of cohort","11,340","8,005"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Pakistani","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Higher education institution","63","% of cohort","12,505","7,910"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Bangladeshi","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Higher education institution","70","% of cohort","5,750","4,000"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other Asian background","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Higher education institution","66","% of cohort","6,325","4,180"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black Caribbean","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Higher education institution","53","% of cohort","5,310","2,805"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black African","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Higher education institution","70","% of cohort","12,750","8,955"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other Black background","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Higher education institution","62","% of cohort","2,270","1,395"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White British","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Employment","27","% of cohort","260,455","69,310"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White Irish","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Employment","20","% of cohort","1,350","265"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Traveller of Irish heritage","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Employment","20","% of cohort","20","5"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Gypsy/Roma","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Employment","38","% of cohort","105","40"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other White background","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Employment","17","% of cohort","12,900","2,240"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Black Caribbean","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Employment","24","% of cohort","4,160","995"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Black African","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Employment","16","% of cohort","1,670","265"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Asian","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Employment","17","% of cohort","3,360","575"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other mixed background","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Employment","17","% of cohort","5,410","940"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Indian","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Employment","9","% of cohort","11,340","1,055"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Pakistani","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Employment","10","% of cohort","12,505","1,205"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Bangladeshi","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Employment","9","% of cohort","5,750","525"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other Asian background","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Employment","10","% of cohort","6,325","615"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black Caribbean","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Employment","17","% of cohort","5,310","880"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black African","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Employment","8","% of cohort","12,750","1,010"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other Black background","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Employment","12","% of cohort","2,270","280"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White British","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","8","% of cohort","260,455","20,200"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White Irish","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","8","% of cohort","1,350","110"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Traveller of Irish heritage","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","20","% of cohort","20","5"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Gypsy/Roma","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","19","% of cohort","105","20"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other White background","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","8","% of cohort","12,900","1,055"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Black Caribbean","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","9","% of cohort","4,160","370"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Black African","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","9","% of cohort","1,670","145"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Asian","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","8","% of cohort","3,360","265"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other mixed background","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","8","% of cohort","5,410","430"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Indian","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","6","% of cohort","11,340","645"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Pakistani","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","9","% of cohort","12,505","1,105"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Bangladeshi","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","7","% of cohort","5,750","400"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other Asian background","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","7","% of cohort","6,325","435"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black Caribbean","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","9","% of cohort","5,310","495"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black African","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","5","% of cohort","12,750","700"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other Black background","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","No sustained education/employment","8","% of cohort","2,270","180"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White British","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Unknown","3","% of cohort","260,455","6,730"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White Irish","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Unknown","3","% of cohort","1,350","35"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Traveller of Irish heritage","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Unknown","15","% of cohort","20","5"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Gypsy/Roma","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Unknown","3","% of cohort","105","5"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other White background","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Unknown","5","% of cohort","12,900","685"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Black Caribbean","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Unknown","3","% of cohort","4,160","115"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Black African","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Unknown","3","% of cohort","1,670","55"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","White and Asian","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Unknown","3","% of cohort","3,360","110"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other mixed background","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Unknown","4","% of cohort","5,410","225"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Indian","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Unknown","3","% of cohort","11,340","385"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Pakistani","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Unknown","5","% of cohort","12,505","600"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Bangladeshi","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Unknown","3","% of cohort","5,750","155"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other Asian background","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Unknown","4","% of cohort","6,325","265"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black Caribbean","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Unknown","3","% of cohort","5,310","160"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Black African","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Unknown","3","% of cohort","12,750","420"
"Student destinations after 16 to 18 study (A level or other level 3 qualifications)","Any other Black background","DfE","2015/16","Academic year","England","ONS geography code","E92000001","All","All","Unknown","3","% of cohort","2,270","65"
