Date,Date type,Region,Region type,Ethnicity,Ethnicity type,Numerator,Numerator type,Denominator,Denominator type,Value,Rate type
2014,Calendar Year,North West,Government Region,White,ONS 2,"103,031",Average number of claimants a month matching geographic and ethnicity status,"4,035,671",Number of people in the population matching geographic and ethnicity status,2.6,Percentage of Numerator / Denominator
2015,Calendar Year,North West,Government Region,White,ONS 2,"58,452",Average number of claimants a month matching geographic and ethnicity status,"4,033,384",Number of people in the population matching geographic and ethnicity status,1.4,Percentage of Numerator / Denominator
2011,Calendar Year,South East,Government Region,White,ONS 2,"116,724",Average number of claimants a month matching geographic and ethnicity status,"4,975,543",Number of people in the population matching geographic and ethnicity status,2.3,Percentage of Numerator / Denominator
2012,Calendar Year,South East,Government Region,White,ONS 2,"119,229",Average number of claimants a month matching geographic and ethnicity status,"4,956,229",Number of people in the population matching geographic and ethnicity status,2.4,Percentage of Numerator / Denominator
2013,Calendar Year,South East,Government Region,White,ONS 2,"102,141",Average number of claimants a month matching geographic and ethnicity status,"4,952,237",Number of people in the population matching geographic and ethnicity status,2.1,Percentage of Numerator / Denominator
2014,Calendar Year,South East,Government Region,White,ONS 2,"69,453",Average number of claimants a month matching geographic and ethnicity status,"4,964,507",Number of people in the population matching geographic and ethnicity status,1.4,Percentage of Numerator / Denominator
2015,Calendar Year,South East,Government Region,White,ONS 2,"50,413",Average number of claimants a month matching geographic and ethnicity status,"4,981,922",Number of people in the population matching geographic and ethnicity status,1,Percentage of Numerator / Denominator
2011,Calendar Year,South West,Government Region,White,ONS 2,"76,674",Average number of claimants a month matching geographic and ethnicity status,"3,164,908",Number of people in the population matching geographic and ethnicity status,2.4,Percentage of Numerator / Denominator
2012,Calendar Year,South West,Government Region,White,ONS 2,"79,953",Average number of claimants a month matching geographic and ethnicity status,"3,151,297",Number of people in the population matching geographic and ethnicity status,2.5,Percentage of Numerator / Denominator
2013,Calendar Year,South West,Government Region,White,ONS 2,"68,732",Average number of claimants a month matching geographic and ethnicity status,"3,149,609",Number of people in the population matching geographic and ethnicity status,2.2,Percentage of Numerator / Denominator
2014,Calendar Year,South West,Government Region,White,ONS 2,"46,896",Average number of claimants a month matching geographic and ethnicity status,"3,153,860",Number of people in the population matching geographic and ethnicity status,1.5,Percentage of Numerator / Denominator
2015,Calendar Year,South West,Government Region,White,ONS 2,"32,647",Average number of claimants a month matching geographic and ethnicity status,"3,166,138",Number of people in the population matching geographic and ethnicity status,1,Percentage of Numerator / Denominator
2011,Calendar Year,Wales,Government Region,White,ONS 2,"68,419",Average number of claimants a month matching geographic and ethnicity status,"1,850,051",Number of people in the population matching geographic and ethnicity status,3.7,Percentage of Numerator / Denominator
2012,Calendar Year,Wales,Government Region,White,ONS 2,"73,318",Average number of claimants a month matching geographic and ethnicity status,"1,838,848",Number of people in the population matching geographic and ethnicity status,4,Percentage of Numerator / Denominator
2013,Calendar Year,Wales,Government Region,White,ONS 2,"66,960",Average number of claimants a month matching geographic and ethnicity status,"1,832,178",Number of people in the population matching geographic and ethnicity status,3.7,Percentage of Numerator / Denominator
2014,Calendar Year,Wales,Government Region,White,ONS 2,"51,940",Average number of claimants a month matching geographic and ethnicity status,"1,826,489",Number of people in the population matching geographic and ethnicity status,2.8,Percentage of Numerator / Denominator
2015,Calendar Year,Wales,Government Region,White,ONS 2,"39,673",Average number of claimants a month matching geographic and ethnicity status,"1,821,427",Number of people in the population matching geographic and ethnicity status,2.2,Percentage of Numerator / Denominator
2011,Calendar Year,West Midlands,Government Region,White,ONS 2,"112,990",Average number of claimants a month matching geographic and ethnicity status,"2,941,587",Number of people in the population matching geographic and ethnicity status,3.8,Percentage of Numerator / Denominator
2012,Calendar Year,West Midlands,Government Region,White,ONS 2,"113,454",Average number of claimants a month matching geographic and ethnicity status,"2,924,086",Number of people in the population matching geographic and ethnicity status,3.9,Percentage of Numerator / Denominator
2013,Calendar Year,West Midlands,Government Region,White,ONS 2,"101,436",Average number of claimants a month matching geographic and ethnicity status,"2,913,985",Number of people in the population matching geographic and ethnicity status,3.5,Percentage of Numerator / Denominator
2014,Calendar Year,West Midlands,Government Region,White,ONS 2,"72,273",Average number of claimants a month matching geographic and ethnicity status,"2,908,345",Number of people in the population matching geographic and ethnicity status,2.5,Percentage of Numerator / Denominator
2015,Calendar Year,West Midlands,Government Region,White,ONS 2,"48,940",Average number of claimants a month matching geographic and ethnicity status,"2,906,373",Number of people in the population matching geographic and ethnicity status,1.7,Percentage of Numerator / Denominator
2011,Calendar Year,Yorkshire and The Humber,Government Region,White,ONS 2,"126,227",Average number of claimants a month matching geographic and ethnicity status,"3,029,864",Number of people in the population matching geographic and ethnicity status,4.2,Percentage of Numerator / Denominator
2012,Calendar Year,Yorkshire and The Humber,Government Region,White,ONS 2,"133,232",Average number of claimants a month matching geographic and ethnicity status,"3,013,965",Number of people in the population matching geographic and ethnicity status,4.4,Percentage of Numerator / Denominator
2013,Calendar Year,Yorkshire and The Humber,Government Region,White,ONS 2,"120,460",Average number of claimants a month matching geographic and ethnicity status,"2,999,903",Number of people in the population matching geographic and ethnicity status,4,Percentage of Numerator / Denominator
2014,Calendar Year,Yorkshire and The Humber,Government Region,White,ONS 2,"87,718",Average number of claimants a month matching geographic and ethnicity status,"2,987,328",Number of people in the population matching geographic and ethnicity status,2.9,Percentage of Numerator / Denominator
2015,Calendar Year,Yorkshire and The Humber,Government Region,White,ONS 2,"64,603",Average number of claimants a month matching geographic and ethnicity status,"2,986,069",Number of people in the population matching geographic and ethnicity status,2.2,Percentage of Numerator / Denominator
