"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type"," Number of stop and searches "," Total number of stop and search carried out in this year in this area (excluding cases where the ethnicity was unreported) ","Population by ethnicity","Rate per 1,000 population by ethnicity","Proportion of total stop and searches of this ethnicity in the financial year (excludes unreported)","Notes","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other Black background","ONS 2001 16+1","Greater Manchester","Police Force Area","458"," 49,858 ","11,639","39.35","0.9%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other ethnic group","ONS 2001 16+1","Greater Manchester","Police Force Area","236"," 49,858 ","27,425","8.61","0.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other mixed/multiple ethnic background","ONS 2001 16+1","Greater Manchester","Police Force Area","255"," 49,858 ","11,925","21.38","0.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Bangladeshi","ONS 2001 16+1","Greater Manchester","Police Force Area","337"," 49,858 ","34,186","9.86","0.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Black African","ONS 2001 16+1","Greater Manchester","Police Force Area","990"," 49,858 ","44,691","22.15","2.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Black Caribbean","ONS 2001 16+1","Greater Manchester","Police Force Area","1,795"," 49,858 ","17,767","101.03","3.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Chinese","ONS 2001 16+1","Greater Manchester","Police Force Area","117"," 49,858 ","26,079","4.49","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Indian","ONS 2001 16+1","Greater Manchester","Police Force Area","399"," 49,858 ","53,461","7.46","0.8%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Mixed White and Asian","ONS 2001 16+1","Greater Manchester","Police Force Area","155"," 49,858 ","15,657","9.90","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Mixed White and Black African","ONS 2001 16+1","Greater Manchester","Police Force Area","222"," 49,858 ","9,997","22.21","0.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Mixed White and Black caribbean","ONS 2001 16+1","Greater Manchester","Police Force Area","1,136"," 49,858 ","23,131","49.11","2.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Unreported","ONS 2001 16+1","Greater Manchester","Police Force Area","655"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Pakistani","ONS 2001 16+1","Greater Manchester","Police Force Area","3,050"," 49,858 ","130,012","23.46","6.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","White British","ONS 2001 16+1","Gwent","Police Force Area","6,723"," 7,265 ","544,580","12.35","92.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","White Irish","ONS 2001 16+1","Gwent","Police Force Area","10"," 7,265 ","1,975","5.06","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other White background","ONS 2001 16+1","Gwent","Police Force Area","54"," 7,265 ","7,822","6.90","0.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other Asian","ONS 2001 16+1","Gwent","Police Force Area","37"," 7,265 ","2,578","14.35","0.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other Black background","ONS 2001 16+1","Gwent","Police Force Area","55"," 7,265 ","322","170.81","0.8%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other ethnic group","ONS 2001 16+1","Gwent","Police Force Area","24"," 7,265 ","1,951","12.30","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other mixed/multiple ethnic background","ONS 2001 16+1","Gwent","Police Force Area","26"," 7,265 ","1,063","24.46","0.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Bangladeshi","ONS 2001 16+1","Gwent","Police Force Area","19"," 7,265 ","1,927","9.86","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Black African","ONS 2001 16+1","Gwent","Police Force Area","39"," 7,265 ","1,803","21.63","0.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Black Caribbean","ONS 2001 16+1","Gwent","Police Force Area","60"," 7,265 ","1,060","56.60","0.8%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Chinese","ONS 2001 16+1","Gwent","Police Force Area","7"," 7,265 ","1,618","4.33","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Indian","ONS 2001 16+1","Gwent","Police Force Area","32"," 7,265 ","2,164","14.79","0.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Mixed White and Asian","ONS 2001 16+1","Gwent","Police Force Area","12"," 7,265 ","1,441","8.33","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Mixed White and Black African","ONS 2001 16+1","Gwent","Police Force Area","7"," 7,265 ","697","10.04","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Mixed White and Black caribbean","ONS 2001 16+1","Gwent","Police Force Area","55"," 7,265 ","2,346","23.44","0.8%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Unreported","ONS 2001 16+1","Gwent","Police Force Area","87"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Pakistani","ONS 2001 16+1","Gwent","Police Force Area","105"," 7,265 ","3,407","30.82","1.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","White British","ONS 2001 16+1","Hampshire","Police Force Area","18,673"," 21,877 ","1,696,797","11.00","85.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","White Irish","ONS 2001 16+1","Hampshire","Police Force Area","69"," 21,877 ","10,925","6.32","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other White background","ONS 2001 16+1","Hampshire","Police Force Area","543"," 21,877 ","63,656","8.53","2.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other Asian","ONS 2001 16+1","Hampshire","Police Force Area","230"," 21,877 ","23,768","9.68","1.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other Black background","ONS 2001 16+1","Hampshire","Police Force Area","196"," 21,877 ","1,781","110.05","0.9%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other ethnic group","ONS 2001 16+1","Hampshire","Police Force Area","147"," 21,877 ","9,027","16.28","0.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other mixed/multiple ethnic background","ONS 2001 16+1","Hampshire","Police Force Area","97"," 21,877 ","6,683","14.51","0.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Bangladeshi","ONS 2001 16+1","Hampshire","Police Force Area","116"," 21,877 ","7,324","15.84","0.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Black African","ONS 2001 16+1","Hampshire","Police Force Area","450"," 21,877 ","11,697","38.47","2.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Black Caribbean","ONS 2001 16+1","Hampshire","Police Force Area","490"," 21,877 ","3,967","123.52","2.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Chinese","ONS 2001 16+1","Hampshire","Police Force Area","133"," 21,877 ","11,884","11.19","0.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Indian","ONS 2001 16+1","Hampshire","Police Force Area","196"," 21,877 ","20,819","9.41","0.9%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Mixed White and Asian","ONS 2001 16+1","Hampshire","Police Force Area","63"," 21,877 ","11,795","5.34","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Mixed White and Black African","ONS 2001 16+1","Hampshire","Police Force Area","46"," 21,877 ","4,339","10.60","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Mixed White and Black caribbean","ONS 2001 16+1","Hampshire","Police Force Area","340"," 21,877 ","8,088","42.04","1.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Unreported","ONS 2001 16+1","Hampshire","Police Force Area","659"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Pakistani","ONS 2001 16+1","Hampshire","Police Force Area","88"," 21,877 ","5,441","16.17","0.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","White British","ONS 2001 16+1","Hertfordshire","Police Force Area","8,854"," 11,771 ","902,006","9.82","75.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","White Irish","ONS 2001 16+1","Hertfordshire","Police Force Area","135"," 11,771 ","17,260","7.82","1.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other White background","ONS 2001 16+1","Hertfordshire","Police Force Area","533"," 11,771 ","58,229","9.15","4.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other Asian","ONS 2001 16+1","Hertfordshire","Police Force Area","146"," 11,771 ","17,361","8.41","1.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other Black background","ONS 2001 16+1","Hertfordshire","Police Force Area","121"," 11,771 ","2,966","40.80","1.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other ethnic group","ONS 2001 16+1","Hertfordshire","Police Force Area","57"," 11,771 ","7,088","8.04","0.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other mixed/multiple ethnic background","ONS 2001 16+1","Hertfordshire","Police Force Area","106"," 11,771 ","6,645","15.95","0.9%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Bangladeshi","ONS 2001 16+1","Hertfordshire","Police Force Area","98"," 11,771 ","5,608","17.48","0.8%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Black African","ONS 2001 16+1","Hertfordshire","Police Force Area","270"," 11,771 ","19,722","13.69","2.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Black Caribbean","ONS 2001 16+1","Hertfordshire","Police Force Area","481"," 11,771 ","8,713","55.20","4.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Chinese","ONS 2001 16+1","Hertfordshire","Police Force Area","57"," 11,771 ","8,462","6.74","0.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Indian","ONS 2001 16+1","Hertfordshire","Police Force Area","140"," 11,771 ","28,848","4.85","1.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Mixed White and Asian","ONS 2001 16+1","Hertfordshire","Police Force Area","59"," 11,771 ","8,703","6.78","0.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Mixed White and Black African","ONS 2001 16+1","Hertfordshire","Police Force Area","53"," 11,771 ","3,250","16.31","0.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Mixed White and Black caribbean","ONS 2001 16+1","Hertfordshire","Police Force Area","308"," 11,771 ","8,899","34.61","2.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Unreported","ONS 2001 16+1","Hertfordshire","Police Force Area","174"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Pakistani","ONS 2001 16+1","Hertfordshire","Police Force Area","353"," 11,771 ","12,302","28.69","3.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","White British","ONS 2001 16+1","Humberside","Police Force Area","11,179"," 11,687 ","857,995","13.03","95.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","White Irish","ONS 2001 16+1","Humberside","Police Force Area","12"," 11,687 ","2,599","4.62","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other White background","ONS 2001 16+1","Humberside","Police Force Area","102"," 11,687 ","24,685","4.13","0.9%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other Asian","ONS 2001 16+1","Humberside","Police Force Area","50"," 11,687 ","3,519","14.21","0.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other Black background","ONS 2001 16+1","Humberside","Police Force Area","24"," 11,687 ","455","52.75","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other ethnic group","ONS 2001 16+1","Humberside","Police Force Area","19"," 11,687 ","3,574","5.32","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other mixed/multiple ethnic background","ONS 2001 16+1","Humberside","Police Force Area","23"," 11,687 ","1,844","12.47","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Bangladeshi","ONS 2001 16+1","Humberside","Police Force Area","19"," 11,687 ","2,535","7.50","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Black African","ONS 2001 16+1","Humberside","Police Force Area","52"," 11,687 ","3,498","14.87","0.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Black Caribbean","ONS 2001 16+1","Humberside","Police Force Area","28"," 11,687 ","546","51.28","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Chinese","ONS 2001 16+1","Humberside","Police Force Area","63"," 11,687 ","3,919","16.08","0.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Indian","ONS 2001 16+1","Humberside","Police Force Area","20"," 11,687 ","3,802","5.26","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Mixed White and Asian","ONS 2001 16+1","Humberside","Police Force Area","12"," 11,687 ","2,550","4.71","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Mixed White and Black African","ONS 2001 16+1","Humberside","Police Force Area","18"," 11,687 ","1,515","11.88","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Mixed White and Black caribbean","ONS 2001 16+1","Humberside","Police Force Area","28"," 11,687 ","2,276","12.30","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Unreported","ONS 2001 16+1","Humberside","Police Force Area","130"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Pakistani","ONS 2001 16+1","Humberside","Police Force Area","38"," 11,687 ","2,335","16.27","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","White British","ONS 2001 16+1","Kent","Police Force Area","13,437"," 15,429 ","1,529,212","8.79","87.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","White Irish","ONS 2001 16+1","Kent","Police Force Area","52"," 15,429 ","12,185","4.27","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other White background","ONS 2001 16+1","Kent","Police Force Area","433"," 15,429 ","66,284","6.53","2.8%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other Asian","ONS 2001 16+1","Kent","Police Force Area","142"," 15,429 ","20,311","6.99","0.9%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other Black background","ONS 2001 16+1","Kent","Police Force Area","166"," 15,429 ","1,893","87.69","1.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other ethnic group","ONS 2001 16+1","Kent","Police Force Area","73"," 15,429 ","8,593","8.50","0.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other mixed/multiple ethnic background","ONS 2001 16+1","Kent","Police Force Area","100"," 15,429 ","6,489","15.41","0.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Bangladeshi","ONS 2001 16+1","Kent","Police Force Area","90"," 15,429 ","4,685","19.21","0.6%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Black African","ONS 2001 16+1","Kent","Police Force Area","221"," 15,429 ","16,265","13.59","1.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Black Caribbean","ONS 2001 16+1","Kent","Police Force Area","301"," 15,429 ","4,721","63.76","2.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Chinese","ONS 2001 16+1","Kent","Police Force Area","15"," 15,429 ","7,043","2.13","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Indian","ONS 2001 16+1","Kent","Police Force Area","156"," 15,429 ","25,268","6.17","1.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Mixed White and Asian","ONS 2001 16+1","Kent","Police Force Area","31"," 15,429 ","9,066","3.42","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Mixed White and Black African","ONS 2001 16+1","Kent","Police Force Area","40"," 15,429 ","3,732","10.72","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Mixed White and Black caribbean","ONS 2001 16+1","Kent","Police Force Area","134"," 15,429 ","7,996","16.76","0.9%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Unreported","ONS 2001 16+1","Kent","Police Force Area","289"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Pakistani","ONS 2001 16+1","Kent","Police Force Area","38"," 15,429 ","3,922","9.69","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","White British","ONS 2001 16+1","Lancashire","Police Force Area","19,835"," 22,368 ","1,281,526","15.48","88.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","White Irish","ONS 2001 16+1","Lancashire","Police Force Area","43"," 22,368 ","8,948","4.81","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other White background","ONS 2001 16+1","Lancashire","Police Force Area","164"," 22,368 ","29,561","5.55","0.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other Asian","ONS 2001 16+1","Lancashire","Police Force Area","146"," 22,368 ","7,460","19.57","0.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other Black background","ONS 2001 16+1","Lancashire","Police Force Area","46"," 22,368 ","587","78.36","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other ethnic group","ONS 2001 16+1","Lancashire","Police Force Area","13"," 22,368 ","4,351","2.99","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other mixed/multiple ethnic background","ONS 2001 16+1","Lancashire","Police Force Area","71"," 22,368 ","3,009","23.60","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Bangladeshi","ONS 2001 16+1","Lancashire","Police Force Area","97"," 22,368 ","7,567","12.82","0.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Black African","ONS 2001 16+1","Lancashire","Police Force Area","46"," 22,368 ","2,688","17.11","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Black Caribbean","ONS 2001 16+1","Lancashire","Police Force Area","167"," 22,368 ","2,102","79.45","0.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Chinese","ONS 2001 16+1","Lancashire","Police Force Area","14"," 22,368 ","6,046","2.32","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Indian","ONS 2001 16+1","Lancashire","Police Force Area","306"," 22,368 ","39,630","7.72","1.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Mixed White and Asian","ONS 2001 16+1","Lancashire","Police Force Area","61"," 22,368 ","6,008","10.15","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Mixed White and Black African","ONS 2001 16+1","Lancashire","Police Force Area","26"," 22,368 ","1,705","15.25","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Mixed White and Black caribbean","ONS 2001 16+1","Lancashire","Police Force Area","247"," 22,368 ","5,578","44.28","1.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Unreported","ONS 2001 16+1","Lancashire","Police Force Area","118"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Pakistani","ONS 2001 16+1","Lancashire","Police Force Area","1,086"," 22,368 ","54,127","20.06","4.9%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","White British","ONS 2001 16+1","Leicestershire","Police Force Area","14,758"," 20,884 ","762,302","19.36","70.7%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","White Irish","ONS 2001 16+1","Leicestershire","Police Force Area","69"," 20,884 ","6,269","11.01","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other White background","ONS 2001 16+1","Leicestershire","Police Force Area","405"," 20,884 ","29,133","13.90","1.9%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other Asian","ONS 2001 16+1","Leicestershire","Police Force Area","291"," 20,884 ","17,528","16.60","1.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other Black background","ONS 2001 16+1","Leicestershire","Police Force Area","302"," 20,884 ","3,761","80.30","1.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other ethnic group","ONS 2001 16+1","Leicestershire","Police Force Area","56"," 20,884 ","11,238","4.98","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other mixed/multiple ethnic background","ONS 2001 16+1","Leicestershire","Police Force Area","173"," 20,884 ","3,993","43.33","0.8%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Bangladeshi","ONS 2001 16+1","Leicestershire","Police Force Area","186"," 20,884 ","5,962","31.20","0.9%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Black African","ONS 2001 16+1","Leicestershire","Police Force Area","641"," 20,884 ","14,586","43.95","3.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Black Caribbean","ONS 2001 16+1","Leicestershire","Police Force Area","707"," 20,884 ","6,276","112.65","3.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Chinese","ONS 2001 16+1","Leicestershire","Police Force Area","6"," 20,884 ","7,872","0.76","0.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Indian","ONS 2001 16+1","Leicestershire","Police Force Area","2,372"," 20,884 ","122,046","19.44","11.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Mixed White and Asian","ONS 2001 16+1","Leicestershire","Police Force Area","79"," 20,884 ","6,791","11.63","0.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Mixed White and Black African","ONS 2001 16+1","Leicestershire","Police Force Area","33"," 20,884 ","1,898","17.39","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Mixed White and Black caribbean","ONS 2001 16+1","Leicestershire","Police Force Area","485"," 20,884 ","7,838","61.88","2.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Unreported","ONS 2001 16+1","Leicestershire","Police Force Area","960"," N/A ","N/A","N/A","N/A","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Pakistani","ONS 2001 16+1","Leicestershire","Police Force Area","321"," 20,884 ","10,204","31.46","1.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","White British","ONS 2001 16+1","Lincolnshire","Police Force Area","10,801"," 11,814 ","663,741","16.27","91.4%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","White Irish","ONS 2001 16+1","Lincolnshire","Police Force Area","19"," 11,814 ","3,278","5.80","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other White background","ONS 2001 16+1","Lincolnshire","Police Force Area","766"," 11,814 ","29,465","26.00","6.5%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other Asian","ONS 2001 16+1","Lincolnshire","Police Force Area","34"," 11,814 ","2,025","16.79","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other Black background","ONS 2001 16+1","Lincolnshire","Police Force Area","41"," 11,814 ","360","113.89","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other ethnic group","ONS 2001 16+1","Lincolnshire","Police Force Area","11"," 11,814 ","1,102","9.98","0.1%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Any other mixed/multiple ethnic background","ONS 2001 16+1","Lincolnshire","Police Force Area","18"," 11,814 ","1,504","11.97","0.2%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Bangladeshi","ONS 2001 16+1","Lincolnshire","Police Force Area","4"," 11,814 ","496","8.06","0.0%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Black African","ONS 2001 16+1","Lincolnshire","Police Force Area","33"," 11,814 ","1,540","21.43","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Black Caribbean","ONS 2001 16+1","Lincolnshire","Police Force Area","34"," 11,814 ","661","51.44","0.3%","","","","","",""
"Number of stops and searches carried out (excluding vehicle only searches)","2007/08","Financial year","Chinese","ONS 2001 16+1","Lincolnshire","Police Force Area","5"," 11,814 ","1,737","2.88","0.0%","","","","","",""
