"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Source of Referral","Value","Numerator"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Internal transfer","14.6","1308"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","Internal transfer","12.1","1632"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","Internal transfer","18.2","606"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Chinese","ONS 18+1","Internal transfer","14.5","91"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Other Ethnic group: Other","ONS 18+1","Internal transfer","10.8","475"
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","Internal transfer","7.6","27"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Other Ethnic group: Arab","ONS 18+1","Internal transfer","10.5","182"
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Tenant applied direct","44.5","124503"
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Irish","ONS 18+1","Tenant applied direct","36.1","737"
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Other","ONS 18+1","Tenant applied direct","50.1","7485"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","Tenant applied direct","34.1","1739"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Black African","ONS 18+1","Tenant applied direct","39.8","697"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Asian","ONS 18+1","Tenant applied direct","37.8","481"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: Other","ONS 18+1","Tenant applied direct","37.4","944"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Indian","ONS 18+1","Tenant applied direct","41.2","1105"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","Tenant applied direct","41.6","2103"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","Tenant applied direct","35.4","1181"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Other","ONS 18+1","Tenant applied direct","41.7","1767"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Tenant applied direct","31.5","2835"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","Tenant applied direct","40","5393"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","Tenant applied direct","42.6","1414"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Chinese","ONS 18+1","Tenant applied direct","41","258"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Other Ethnic group: Other","ONS 18+1","Tenant applied direct","49.3","2160"
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","Tenant applied direct","35.6","127"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Other Ethnic group: Arab","ONS 18+1","Tenant applied direct","40.7","710"
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Nominated by local housing authority","25.3","70905"
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Irish","ONS 18+1","Nominated by local housing authority","18.7","381"
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Other","ONS 18+1","Nominated by local housing authority","29.7","4441"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","Nominated by local housing authority","27","1377"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Black African","ONS 18+1","Nominated by local housing authority","25.9","454"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Asian","ONS 18+1","Nominated by local housing authority","30","382"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: Other","ONS 18+1","Nominated by local housing authority","32.7","825"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Indian","ONS 18+1","Nominated by local housing authority","24.4","655"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","Nominated by local housing authority","26.1","1319"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","Nominated by local housing authority","38.6","1285"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Other","ONS 18+1","Nominated by local housing authority","27.4","1163"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Nominated by local housing authority","27","2430"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","Nominated by local housing authority","27.9","3763"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","Nominated by local housing authority","20.2","672"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Chinese","ONS 18+1","Nominated by local housing authority","28.5","179"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Other Ethnic group: Other","ONS 18+1","Nominated by local housing authority","19.2","840"
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","Nominated by local housing authority","33.6","120"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Other Ethnic group: Arab","ONS 18+1","Nominated by local housing authority","23.1","403"
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Referred by local authority housing department","4.9","13703"
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Irish","ONS 18+1","Referred by local authority housing department","6.6","134"
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Other","ONS 18+1","Referred by local authority housing department","2.5","372"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","Referred by local authority housing department","7.5","383"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Black African","ONS 18+1","Referred by local authority housing department","5.1","89"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Asian","ONS 18+1","Referred by local authority housing department","7.3","93"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: Other","ONS 18+1","Referred by local authority housing department","6.3","158"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Indian","ONS 18+1","Referred by local authority housing department","5.2","140"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","Referred by local authority housing department","4.2","213"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","Referred by local authority housing department","2.9","96"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Other","ONS 18+1","Referred by local authority housing department","5.2","221"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Referred by local authority housing department","6.8","609"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","Referred by local authority housing department","5","680"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","Referred by local authority housing department","4.4","146"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Chinese","ONS 18+1","Referred by local authority housing department","3","19"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Other Ethnic group: Other","ONS 18+1","Referred by local authority housing department","4.5","196"
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","Referred by local authority housing department","6.4","23"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Other Ethnic group: Arab","ONS 18+1","Referred by local authority housing department","7.5","131"
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Voluntary agency","1.5","4145"
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Irish","ONS 18+1","Voluntary agency","3.8","78"
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Other","ONS 18+1","Voluntary agency","1.5","218"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","Voluntary agency","3.6","184"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Black African","ONS 18+1","Voluntary agency","2.7","47"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Asian","ONS 18+1","Voluntary agency","2.8","36"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: Other","ONS 18+1","Voluntary agency","2.3","59"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Indian","ONS 18+1","Voluntary agency","3.8","102"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","Voluntary agency","5.2","261"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","Voluntary agency","2","67"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Other","ONS 18+1","Voluntary agency","3.1","133"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Voluntary agency","3.3","295"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","Voluntary agency","3.3","442"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","Voluntary agency","2","65"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Chinese","ONS 18+1","Voluntary agency","1.3","8"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Other Ethnic group: Other","ONS 18+1","Voluntary agency","3.5","155"
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","Voluntary agency","3.6","13"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Other Ethnic group: Arab","ONS 18+1","Voluntary agency","4.2","73"
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Social services","2.7","7514"
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Irish","ONS 18+1","Social services","3.8","77"
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Other","ONS 18+1","Social services","1.6","246"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","Social services","3.6","184"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Black African","ONS 18+1","Social services","2.2","39"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Asian","ONS 18+1","Social services","2.3","29"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: Other","ONS 18+1","Social services","2.9","73"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Indian","ONS 18+1","Social services","3.1","84"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","Social services","2.8","143"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","Social services","2","65"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Other","ONS 18+1","Social services","2.9","122"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Social services","3.2","284"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","Social services","2","273"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","Social services","2.5","83"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Chinese","ONS 18+1","Social services","1.6","10"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Other Ethnic group: Other","ONS 18+1","Social services","2.9","125"
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","Social services","2.8","10"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Other Ethnic group: Arab","ONS 18+1","Social services","3.2","55"
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Other social landlord","0.5","1392"
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Irish","ONS 18+1","Other social landlord","0.9","19"
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Other","ONS 18+1","Other social landlord","0.4","55"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","Other social landlord","0.8","39"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Black African","ONS 18+1","Other social landlord","1","18"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Asian","ONS 18+1","Other social landlord","0.4","5"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: Other","ONS 18+1","Other social landlord","1","24"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Indian","ONS 18+1","Other social landlord","0.6","17"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","Other social landlord","0.7","33"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","Other social landlord","0.4","14"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Other","ONS 18+1","Other social landlord","0.8","32"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Other social landlord","0.9","77"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","Other social landlord","0.9","125"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","Other social landlord","0.4","14"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Chinese","ONS 18+1","Other social landlord","1","6"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Other Ethnic group: Other","ONS 18+1","Other social landlord","0.9","39"
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","Other social landlord","1.7","6"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Other Ethnic group: Arab","ONS 18+1","Other social landlord","0.7","12"
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Police, probation, prison","1.3","3588"
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Irish","ONS 18+1","Police, probation, prison","2.4","49"
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Other","ONS 18+1","Police, probation, prison","0.4","66"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","Police, probation, prison","2.6","131"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Black African","ONS 18+1","Police, probation, prison","1.7","30"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Asian","ONS 18+1","Police, probation, prison","1.1","14"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: Other","ONS 18+1","Police, probation, prison","1","26"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Indian","ONS 18+1","Police, probation, prison","2.1","57"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","Police, probation, prison","2.7","134"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","Police, probation, prison","0.8","28"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Other","ONS 18+1","Police, probation, prison","0.6","27"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Police, probation, prison","2.1","193"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","Police, probation, prison","0.6","82"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","Police, probation, prison","1.4","46"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Chinese","ONS 18+1","Police, probation, prison","0","0"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Other Ethnic group: Other","ONS 18+1","Police, probation, prison","0.9","41"
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","Police, probation, prison","1.7","6"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Other Ethnic group: Arab","ONS 18+1","Police, probation, prison","0.7","12"
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Other","5.7","16033"
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Irish","ONS 18+1","Other","10.1","207"
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Other","ONS 18+1","Other","5.2","784"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","Other","9.5","485"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Black African","ONS 18+1","Other","9.6","169"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: White & Asian","ONS 18+1","Other","7.8","99"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Mixed: Other","ONS 18+1","Other","7.6","193"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Indian","ONS 18+1","Other","9.6","257"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","Other","8.4","422"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","Other","4.6","152"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Other","ONS 18+1","Other","7.4","312"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Other","10.6","955"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","Other","8.2","1102"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","Other","8.3","275"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Asian/Asian British: Chinese","ONS 18+1","Other","9.2","58"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Other Ethnic group: Other","ONS 18+1","Other","8.1","353"
"Percentage of new lettings by source of referral","2015/16","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","Other","7","25"
"Percentage of new lettings by source of referral","2015/16","Financial Year","Other Ethnic group: Arab","ONS 18+1","Other","9.5","165"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Asian","ONS 5+1 2011","Internal transfer","10.6","1686"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Asian","ONS 5+1 2011","Nominated by local housing authority","28.9","4601"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Asian","ONS 5+1 2011","Other","7.6","1201"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Asian","ONS 5+1 2011","Other social landlord","0.7","102"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Asian","ONS 5+1 2011","Police, probation, prison","1.6","246"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Asian","ONS 5+1 2011","Referred by local authority housing department","4.3","689"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Asian","ONS 5+1 2011","Social services","2.7","424"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Asian","ONS 5+1 2011","Tenant applied direct","40.2","6414"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Asian","ONS 5+1 2011","Voluntary agency","3.6","571"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Black","ONS 5+1 2011","Internal transfer","13.8","3546"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Black","ONS 5+1 2011","Nominated by local housing authority","26.6","6865"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Black","ONS 5+1 2011","Other","9.1","2332"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Black","ONS 5+1 2011","Other social landlord","0.8","216"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Black","ONS 5+1 2011","Police, probation, prison","1.2","321"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Black","ONS 5+1 2011","Referred by local authority housing department","5.5","1435"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Black","ONS 5+1 2011","Social services","2.5","640"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Black","ONS 5+1 2011","Tenant applied direct","37.4","9642"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Black","ONS 5+1 2011","Voluntary agency","3.1","802"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Mixed","ONS 5+1 2011","Internal transfer","10.7","1139"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Mixed","ONS 5+1 2011","Nominated by local housing authority","28.5","3038"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Mixed","ONS 5+1 2011","Other","8.9","946"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Mixed","ONS 5+1 2011","Other social landlord","0.8","86"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Mixed","ONS 5+1 2011","Police, probation, prison","1.9","201"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Mixed","ONS 5+1 2011","Referred by local authority housing department","6.8","723"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Mixed","ONS 5+1 2011","Social services","3","325"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Mixed","ONS 5+1 2011","Tenant applied direct","36.3","3861"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Mixed","ONS 5+1 2011","Voluntary agency","3","326"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Other","ONS 5+1 2011","Internal transfer","10.7","657"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Other","ONS 5+1 2011","Nominated by local housing authority","20.3","1243"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Other","ONS 5+1 2011","Other","8.5","518"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Other","ONS 5+1 2011","Other social landlord","0.8","51"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Other","ONS 5+1 2011","Police, probation, prison","0.8","53"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Other","ONS 5+1 2011","Referred by local authority housing department","5.4","327"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Other","ONS 5+1 2011","Social services","3","180"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Other","ONS 5+1 2011","Tenant applied direct","46.8","2870"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","Other","ONS 5+1 2011","Voluntary agency","3.7","228"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","White","ONS 5+1 2011","Internal transfer","13.5","39920"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","White","ONS 5+1 2011","Nominated by local housing authority","25.5","75847"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","White","ONS 5+1 2011","Other","5.7","17049"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","White","ONS 5+1 2011","Other social landlord","0.5","1472"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","White","ONS 5+1 2011","Police, probation, prison","1.3","3709"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","White","ONS 5+1 2011","Referred by local authority housing department","4.8","14232"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","White","ONS 5+1 2011","Social services","2.7","7847"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","White","ONS 5+1 2011","Tenant applied direct","44.7","132852"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","White","ONS 5+1 2011","Voluntary agency","1.5","4454"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","All","All","Internal transfer","13.2","46948"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","All","All","Nominated by local housing authority","25.7","91594"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","All","All","Other","6.2","22046"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","All","All","Other social landlord","0.5","1927"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","All","All","Police, probation, prison","1.3","4530"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","All","All","Referred by local authority housing department","4.9","17406"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","All","All","Social services","2.7","9416"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","All","All","Tenant applied direct","43.8","155639"
"Percentage of new lettings by reasonable preference type","2015/16","Financial Year","All","All","Voluntary agency","1.8","6381"
