"Title","Stop and search by ethnicity"
"Location","England and Wales"
"Time period","2006/07 to 2015/16"
"Data source","Policing statistics https://www.gov.uk/government/statistics/police-powers-and-procedures-england-and-wales-year-ending-31-march-2015-data-tables"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measures","Time","Time_type","Ethnicity","Ethnicity_type"," Value  "," Total number of stop and search carried out in this year in this area (excluding cases where the ethnicity was unreported) ","Population by ethnicity","Value2"
"Number of stops and searches carried out (excluding vehicle only searches)","2010/11","Financial year","Mixed","ONS 2001 5+1","","","","29.9"
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","White","ONS 2001 5+1","","","","16.0"
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Asian","ONS 2001 5+1","","","","32.2"
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Black","ONS 2001 5+1","","","","94.4"
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Other","ONS 2001 5+1","","","","16.2"
"Number of stops and searches carried out (excluding vehicle only searches)","2011/12","Financial year","Mixed","ONS 2001 5+1","","","","28.3"
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","White","ONS 2001 5+1","","","","14.6"
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","Asian","ONS 2001 5+1","","","","24.0"
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","Black","ONS 2001 5+1","","","","64.7"
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","Other","ONS 2001 5+1","","","","12.7"
"Number of stops and searches carried out (excluding vehicle only searches)","2012/13","Financial year","Mixed","ONS 2001 5+1","","","","23.1"
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","White","ONS 2001 5+1","","","","13.1"
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Asian","ONS 2001 5+1","","","","19.1"
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Black","ONS 2001 5+1","","","","53.7"
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Other","ONS 2001 5+1","","","","12.0"
"Number of stops and searches carried out (excluding vehicle only searches)","2013/14","Financial year","Mixed","ONS 2001 5+1","","","","19.6"
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","White","ONS 2001 5+1","","","","7.7"
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Asian","ONS 2001 5+1","","","","11.0"
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Black","ONS 2001 5+1","","","","33.7"
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Other","ONS 2001 5+1","","","","7.7"
"Number of stops and searches carried out (excluding vehicle only searches)","2014/15","Financial year","Mixed","ONS 2001 5+1","","","","12.3"
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","White","ONS 2001 5+1","","","","4.8"
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","Asian","ONS 2001 5+1","","","","9.3"
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","Black","ONS 2001 5+1","","","","31.2"
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","Other","ONS 2001 5+1","","","","5.7"
"Number of stops and searches carried out (excluding vehicle only searches)","2015/16","Financial year","Mixed","ONS 2001 5+1","","","","10.1"
