"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Geography_name","Gender","Gender_type","Value","Denominator","Value Note","Geography name"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Black","White/Black/Asian/Mixed/Chinese/All","E12000002","ONS geography code","North West","Male","Male/Female/All","52","1160","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E08000021","ONS geography code","Newcastle upon Tyne","Male","Male/Female/All","65","1158","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Black","White/Black/Asian/Mixed/Chinese/All","E09000011","ONS geography code","Greenwich","All","Male/Female/All","79","1156","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000024","ONS geography code","North Somerset","Male","Male/Female/All","66","1155","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E06000033","ONS geography code","Southend-on-Sea","Male","Male/Female/All","62","1152","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E10000015","ONS geography code","Hertfordshire","All","Male/Female/All","63","1150","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Black","White/Black/Asian/Mixed/Chinese/All","E12000005","ONS geography code","West Midlands","Female","Male/Female/All","71","1150","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E09000025","ONS geography code","Newham","Female","Male/Female/All","81","1147","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E08000022","ONS geography code","North Tyneside","Male","Male/Female/All","62","1145","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E08000029","ONS geography code","Solihull","Male","Male/Female/All","63","1144","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Black","White/Black/Asian/Mixed/Chinese/All","E12000005","ONS geography code","West Midlands","Male","Male/Female/All","56","1140","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Black","White/Black/Asian/Mixed/Chinese/All","E09000023","ONS geography code","Lewisham","All","Male/Female/All","76","1137","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E08000035","ONS geography code","Leeds","All","Male/Female/All","53","1136","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Black","White/Black/Asian/Mixed/Chinese/All","E09000022","ONS geography code","Lambeth","All","Male/Female/All","64","1136","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E09000019","ONS geography code","Islington","Male","Male/Female/All","55","1136","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E08000022","ONS geography code","North Tyneside","Female","Male/Female/All","76","1134","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E06000008","ONS geography code","Blackburn with Darwen","Male","Male/Female/All","51","1132","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000043","ONS geography code","Brighton and Hove","Female","Male/Female/All","75","1129","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E08000020","ONS geography code","Gateshead","Female","Male/Female/All","75","1126","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E06000041","ONS geography code","Wokingham","Male","Male/Female/All","67","1126","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000045","ONS geography code","Southampton","Female","Male/Female/All","79","1125","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E09000025","ONS geography code","Newham","Male","Male/Female/All","65","1125","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000043","ONS geography code","Brighton and Hove","Male","Male/Female/All","57","1123","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E06000055","ONS geography code","Bedford","Female","Male/Female/All","69","1121","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000008","ONS geography code","Blackburn with Darwen","All","Male/Female/All","59","1120","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Mixed","White/Black/Asian/Mixed/Chinese/All","E10000015","ONS geography code","Hertfordshire","All","Male/Female/All","68","1119","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E09000018","ONS geography code","Hounslow","All","Male/Female/All","68","1116","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000005","ONS geography code","Darlington","All","Male/Female/All","68","1114","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000001","ONS geography code","Hartlepool","All","Male/Female/All","65","1113","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E08000021","ONS geography code","Newcastle upon Tyne","Female","Male/Female/All","76","1110","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E09000016","ONS geography code","Havering","Female","Male/Female/All","78","1110","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000004","ONS geography code","Stockton-on-Tees","Male","Male/Female/All","56","1110","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Black","White/Black/Asian/Mixed/Chinese/All","E12000002","ONS geography code","North West","Female","Male/Female/All","70","1110","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E06000008","ONS geography code","Blackburn with Darwen","Female","Male/Female/All","68","1094","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E09000004","ONS geography code","Bexley","Male","Male/Female/All","71","1093","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E08000013","ONS geography code","St. Helens","Male","Male/Female/All","55","1091","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E09000003","ONS geography code","Barnet","Female","Male/Female/All","77","1090","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Black","White/Black/Asian/Mixed/Chinese/All","E12000006","ONS geography code","East","Male","Male/Female/All","60","1090","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E06000033","ONS geography code","Southend-on-Sea","Female","Male/Female/All","79","1088","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E08000028","ONS geography code","Sandwell","All","Male/Female/All","57","1087","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E06000041","ONS geography code","Wokingham","Female","Male/Female/All","81","1087","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E09000026","ONS geography code","Redbridge","Male","Male/Female/All","68","1086","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Black","White/Black/Asian/Mixed/Chinese/All","E08000003","ONS geography code","Manchester","All","Male/Female/All","64","1084","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E09000020","ONS geography code","Kensington and Chelsea","All","Male/Female/All","62","1078","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000024","ONS geography code","North Somerset","Female","Male/Female/All","81","1077","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000018","ONS geography code","Nottingham","Male","Male/Female/All","54","1076","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E06000039","ONS geography code","Slough","All","Male/Female/All","72","1074","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E09000005","ONS geography code","Brent","All","Male/Female/All","66","1067","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000015","ONS geography code","Derby","Male","Male/Female/All","59","1066","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E08000009","ONS geography code","Trafford","Male","Male/Female/All","69","1064","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E08000004","ONS geography code","Oldham","All","Male/Female/All","44","1064","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000032","ONS geography code","Luton","All","Male/Female/All","63","1063","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E09000028","ONS geography code","Southwark","All","Male/Female/All","74","1062","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000015","ONS geography code","Derby","Female","Male/Female/All","74","1062","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E06000028","ONS geography code","Bournemouth","Male","Male/Female/All","63","1059","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000004","ONS geography code","Stockton-on-Tees","Female","Male/Female/All","74","1056","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E09000021","ONS geography code","Kingston upon Thames","Male","Male/Female/All","68","1053","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000031","ONS geography code","Peterborough","Male","Male/Female/All","55","1051","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E08000033","ONS geography code","Calderdale","Male","Male/Female/All","58","1050","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E09000005","ONS geography code","Brent","All","Male/Female/All","70","1050","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E09000017","ONS geography code","Hillingdon","All","Male/Female/All","72","1049","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E08000029","ONS geography code","Solihull","Female","Male/Female/All","76","1047","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E06000012","ONS geography code","North East Lincolnshire","Male","Male/Female/All","61","1047","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000038","ONS geography code","Reading","All","Male/Female/All","71","1045","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E08000020","ONS geography code","Gateshead","Male","Male/Female/All","61","1043","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E06000014","ONS geography code","York","Male","Male/Female/All","68","1041","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E06000038","ONS geography code","Reading","Male","Male/Female/All","63","1041","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E06000002","ONS geography code","Middlesbrough","Female","Male/Female/All","66","1038","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E09000026","ONS geography code","Redbridge","Female","Male/Female/All","79","1036","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000030","ONS geography code","Swindon","Female","Male/Female/All","76","1035","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E08000009","ONS geography code","Trafford","Female","Male/Female/All","83","1035","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E08000033","ONS geography code","Calderdale","Female","Male/Female/All","78","1035","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E08000022","ONS geography code","North Tyneside","Female","Male/Female/All","77","1031","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E06000037","ONS geography code","West Berkshire","Female","Male/Female/All","83","1031","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E08000013","ONS geography code","St. Helens","Female","Male/Female/All","74","1031","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E06000037","ONS geography code","West Berkshire","Male","Male/Female/All","67","1029","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E09000019","ONS geography code","Islington","Female","Male/Female/All","74","1024","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E09000004","ONS geography code","Bexley","Female","Male/Female/All","83","1023","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E06000013","ONS geography code","North Lincolnshire","Female","Male/Female/All","82","1020","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E09000021","ONS geography code","Kingston upon Thames","Female","Male/Female/All","81","1020","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E06000002","ONS geography code","Middlesbrough","Male","Male/Female/All","49","1020","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E06000022","ONS geography code","Bath and North East Somerset","Male","Male/Female/All","60","1019","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E08000004","ONS geography code","Oldham","Male","Male/Female/All","56","1015","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E06000028","ONS geography code","Bournemouth","Female","Male/Female/All","77","1012","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Black","White/Black/Asian/Mixed/Chinese/All","E12000006","ONS geography code","East","Female","Male/Female/All","76","1010","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E06000038","ONS geography code","Reading","Female","Male/Female/All","76","998","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E08000005","ONS geography code","Rochdale","Male","Male/Female/All","51","994","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E06000019","ONS geography code","Herefordshire","Male","Male/Female/All","63","993","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E08000031","ONS geography code","Wolverhampton","Male","Male/Female/All","47","989","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E09000012","ONS geography code","Hackney","All","Male/Female/All","74","988","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E06000014","ONS geography code","York","Female","Male/Female/All","79","984","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E06000019","ONS geography code","Herefordshire","Female","Male/Female/All","79","978","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E08000013","ONS geography code","St. Helens","Male","Male/Female/All","55","977","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000018","ONS geography code","Nottingham","Female","Male/Female/All","71","976","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000044","ONS geography code","Portsmouth","Male","Male/Female/All","63","968","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E09000030","ONS geography code","Tower Hamlets","Male","Male/Female/All","56","967","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E08000020","ONS geography code","Gateshead","Female","Male/Female/All","76","966","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E08000004","ONS geography code","Oldham","Female","Male/Female/All","74","964","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000012","ONS geography code","North East Lincolnshire","Male","Male/Female/All","62","961","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E06000013","ONS geography code","North Lincolnshire","Male","Male/Female/All","63","961","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E09000026","ONS geography code","Redbridge","All","Male/Female/All","67","959","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E09000019","ONS geography code","Islington","All","Male/Female/All","69","958","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E08000011","ONS geography code","Knowsley","Male","Male/Female/All","56","953","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Black","White/Black/Asian/Mixed/Chinese/All","E09000002","ONS geography code","Barking and Dagenham","All","Male/Female/All","71","952","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E09000030","ONS geography code","Tower Hamlets","Female","Male/Female/All","73","946","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000033","ONS geography code","Southend-on-Sea","Male","Male/Female/All","62","944","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E06000012","ONS geography code","North East Lincolnshire","Female","Male/Female/All","76","941","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E09000008","ONS geography code","Croydon","Male","Male/Female/All","63","938","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E08000002","ONS geography code","Bury","Female","Male/Female/All","73","936","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E09000031","ONS geography code","Waltham Forest","All","Male/Female/All","70","936","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E08000011","ONS geography code","Knowsley","Female","Male/Female/All","74","936","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E10000002","ONS geography code","Buckinghamshire","All","Male/Female/All","55","935","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E09000007","ONS geography code","Camden","Female","Male/Female/All","70","933","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E09000007","ONS geography code","Camden","Male","Male/Female/All","56","931","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000014","ONS geography code","York","Male","Male/Female/All","69","930","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E09000015","ONS geography code","Harrow","All","Male/Female/All","68","929","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000019","ONS geography code","Herefordshire","Male","Male/Female/All","63","929","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E06000022","ONS geography code","Bath and North East Somerset","Female","Male/Female/All","76","925","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000031","ONS geography code","Peterborough","Female","Male/Female/All","69","923","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E06000008","ONS geography code","Blackburn with Darwen","All","Male/Female/All","60","919","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E08000005","ONS geography code","Rochdale","Female","Male/Female/All","72","918","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E08000002","ONS geography code","Bury","Male","Male/Female/All","64","917","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Black","White/Black/Asian/Mixed/Chinese/All","E09000025","ONS geography code","Newham","All","Male/Female/All","70","917","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000019","ONS geography code","Herefordshire","Female","Male/Female/All","80","914","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000016","ONS geography code","Leicester","Female","Male/Female/All","65","912","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E08000013","ONS geography code","St. Helens","Female","Male/Female/All","74","912","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Asian","White/Black/Asian/Mixed/Chinese/All","E06000016","ONS geography code","Leicester","Male","Male/Female/All","56","912","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000044","ONS geography code","Portsmouth","Female","Male/Female/All","77","909","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E09000025","ONS geography code","Newham","All","Male/Female/All","68","908","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E09000027","ONS geography code","Richmond upon Thames","Female","Male/Female/All","85","907","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000016","ONS geography code","Leicester","Male","Male/Female/All","47","907","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Black","White/Black/Asian/Mixed/Chinese/All","E12000009","ONS geography code","South West","All","Male/Female/All","59","900","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E06000040","ONS geography code","Windsor and Maidenhead","Male","Male/Female/All","65","900","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E09000027","ONS geography code","Richmond upon Thames","Male","Male/Female/All","71","899","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000037","ONS geography code","West Berkshire","Male","Male/Female/All","68","896","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000014","ONS geography code","York","Female","Male/Female/All","79","891","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E06000029","ONS geography code","Poole","Male","Male/Female/All","63","890","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E08000031","ONS geography code","Wolverhampton","Female","Male/Female/All","66","889","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000012","ONS geography code","North East Lincolnshire","Female","Male/Female/All","76","882","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Mixed","White/Black/Asian/Mixed/Chinese/All","E10000016","ONS geography code","Kent","All","Male/Female/All","77","881","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000022","ONS geography code","Bath and North East Somerset","Male","Male/Female/All","60","874","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000033","ONS geography code","Southend-on-Sea","Female","Male/Female/All","80","870","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000037","ONS geography code","West Berkshire","Female","Male/Female/All","83","870","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Chinese","White/Black/Asian/Mixed/Chinese/All","E12000007","ONS geography code","London","All","Male/Female/All","74","870","","Region"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E08000023","ONS geography code","South Tyneside","Male","Male/Female/All","58","866","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","All","White/Black/Asian/Mixed/Chinese/All","E06000003","ONS geography code","Redcar and Cleveland","Male","Male/Female/All","56","865","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000013","ONS geography code","North Lincolnshire","Female","Male/Female/All","83","863","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E06000034","ONS geography code","Thurrock","Female","Male/Female/All","82","860","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","Mixed","White/Black/Asian/Mixed/Chinese/All","E10000012","ONS geography code","Essex","All","Male/Female/All","71","857","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E09000029","ONS geography code","Sutton","Male","Male/Female/All","60","856","","Local authority"
"Percentage achieving at least the expected standard in all ELGs","2016","Year","White","White/Black/Asian/Mixed/Chinese/All","E08000011","ONS geography code","Knowsley","Male","Male/Female/All","55","853","","Local authority"
