"Title","Absence from school"
"Location","England"
"Time period","2016/17"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/collections/statistics-pupil-absence"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-09"
"Measures","Time","Time_type","Ethnicity","Ethnicity_type","Geography","school_type","Value","Denominator","Numerator"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Oxfordshire","Secondary","6.2","664462","41323"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Oxfordshire","Secondary","5.1","607283","31028"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Oxfordshire","Secondary","4.2","253375","10607"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Oxfordshire","Secondary","2.2","32497","722"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Oxfordshire","Secondary","4","122153","4830"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Oxfordshire","Secondary","5.8","181640","10507"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Oxfordshire","Special","8.6","250774","21656"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Oxfordshire","Special","9.6","25183","2409"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Oxfordshire","Special","8.6","16836","1445"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Oxfordshire","Special","9.2","11998","1107"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Oxfordshire","Special","2.5","1830","45"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Oxfordshire","Special","3.4","2211","76"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Oxfordshire","Special","13.9","4435","618"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Somerset","Total","4.9","21103319","1039610"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Somerset","Total","5","529435","26532"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Somerset","Total","4.2","240258","10129"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Somerset","Total","3.4","55955","1893"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Somerset","Total","2.7","39867","1084"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Somerset","Total","5.2","60581","3158"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Somerset","Total","6.8","144633","9777"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Somerset","Primary","4.2","11530868","479182"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Somerset","Primary","4.5","308619","13837"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Somerset","Primary","4.3","145723","6289"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Somerset","Primary","3.1","33115","1026"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Somerset","Primary","2.5","26345","659"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Somerset","Primary","5.9","33828","1983"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Somerset","Primary","6","94435","5638"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Somerset","Secondary","5.8","9416417","542204"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Somerset","Secondary","5.7","216292","12344"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Somerset","Secondary","3.9","92462","3640"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Somerset","Secondary","3.8","22840","867"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Somerset","Secondary","2.6","12403","321"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Somerset","Secondary","4.4","26447","1168"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Somerset","Secondary","7.8","43212","3354"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Somerset","Special","11.7","156034","18224"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Somerset","Special","7.8","4524","351"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Somerset","Special","9.6","2073","200"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Somerset","Special","9.3","1119","104"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Somerset","Special","x","x","x"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Somerset","Special","11.2","6986","785"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Suffolk","Total","4.6","27678489","1273617"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Suffolk","Total","4.8","1580311","75802"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Suffolk","Total","4.5","520968","23438"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Suffolk","Total","3.5","261009","9262"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Suffolk","Total","2.1","26872","553"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Suffolk","Total","4.2","218175","9132"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Suffolk","Total","5.3","448715","23857"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Suffolk","Primary","4","15533904","624997"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Suffolk","Primary","4.2","1009635","42885"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Suffolk","Primary","4.7","315810","14750"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Suffolk","Primary","3.4","154477","5229"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Suffolk","Primary","2.2","14146","317"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Suffolk","Primary","4.4","141472","6172"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Suffolk","Primary","4.9","154434","7531"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Suffolk","Secondary","5.3","11879206","625122"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Suffolk","Secondary","5.5","557802","30803"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Suffolk","Secondary","3.9","198028","7804"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Suffolk","Secondary","3.7","103365","3783"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Suffolk","Secondary","1.9","12347","236"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Suffolk","Secondary","3.7","74494","2757"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Suffolk","Secondary","5.5","292697","16087"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Suffolk","Special","8.9","265379","23498"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Suffolk","Special","16.4","12874","2114"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Suffolk","Special","12.4","7130","884"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Suffolk","Special","7.9","3167","250"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Suffolk","Special","x","x","x"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Suffolk","Special","9.2","2209","203"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Suffolk","Special","15.1","1584","239"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Surrey","Total","4.4","39823136","1744720"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Surrey","Total","4.1","2765687","112836"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Surrey","Total","4.3","3046041","129683"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Surrey","Total","3.2","749187","24145"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Surrey","Total","2.7","194109","5196"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Surrey","Total","3.8","413294","15740"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Surrey","Total","4.9","530885","25835"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Surrey","Primary","3.7","23561461","878672"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Surrey","Primary","3.7","1751787","64829"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Surrey","Primary","4.1","1885545","78141"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Surrey","Primary","2.8","428868","11986"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Surrey","Primary","2.7","127027","3418"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Surrey","Primary","3.6","259445","9359"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Surrey","Primary","4.3","294123","12642"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Surrey","Secondary","5.2","15734836","821338"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Surrey","Secondary","4.6","978323","44785"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Surrey","Secondary","4.2","1110092","46672"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Surrey","Secondary","3.7","304366","11244"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Surrey","Secondary","2.5","64748","1645"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Surrey","Secondary","4","149122","5939"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Surrey","Secondary","5.4","217915","11794"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Surrey","Special","8.5","526839","44710"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Surrey","Special","9.1","35577","3222"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Surrey","Special","9.7","50404","4870"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Surrey","Special","5.7","15953","915"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Surrey","Special","5.7","2334","133"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Surrey","Special","9.4","4727","442"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Surrey","Special","7.4","18847","1399"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Warwickshire","Total","4.4","21634894","954996"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Warwickshire","Total","4.4","1102819","48176"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Warwickshire","Total","3.4","1330163","45559"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Warwickshire","Total","3.1","274996","8571"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Warwickshire","Total","2.3","64920","1487"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Warwickshire","Total","3.6","135483","4940"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Warwickshire","Total","6.1","229495","14053"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Warwickshire","Primary","3.8","12192313","467868"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Warwickshire","Primary","3.8","679339","25790"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Warwickshire","Primary","3.4","760926","25734"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Warwickshire","Primary","2.8","168099","4727"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Warwickshire","Primary","2","40853","829"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Warwickshire","Primary","3.5","79891","2833"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Warwickshire","Primary","4.9","102947","5083"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Warwickshire","Secondary","5","9106536","459087"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Warwickshire","Secondary","5.1","409752","21078"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Warwickshire","Secondary","3.3","554863","18273"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Warwickshire","Secondary","3.6","101780","3678"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","Warwickshire","Secondary","2.7","24067","658"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Warwickshire","Secondary","3.8","54522","2062"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Warwickshire","Secondary","7.1","103718","7366"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","Warwickshire","Special","8.3","336045","28041"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","Warwickshire","Special","9.5","13728","1308"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","Warwickshire","Special","10.8","14374","1552"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","Warwickshire","Special","3.2","5117","166"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","Warwickshire","Special","4.2","1070","45"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","Warwickshire","Special","7","22830","1604"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","West Sussex","Total","4.6","31030535","1429140"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","West Sussex","Total","4.7","1591440","74418"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","West Sussex","Total","4.7","1637887","77125"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","West Sussex","Total","3.8","515223","19411"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","West Sussex","Total","2.7","85753","2307"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","West Sussex","Total","4.6","190302","8822"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","West Sussex","Total","5.4","368443","19912"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","West Sussex","Primary","3.9","17738597","698488"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","West Sussex","Primary","4.3","983917","41924"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","West Sussex","Primary","4.8","984478","47319"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","West Sussex","Primary","3.3","305654","10101"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","West Sussex","Primary","3","49785","1496"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","West Sussex","Primary","4.3","102491","4408"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","West Sussex","Primary","4.5","213261","9587"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","West Sussex","Secondary","5.4","12831872","688130"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","West Sussex","Secondary","5.2","580363","30344"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","West Sussex","Secondary","4.3","623278","26611"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","West Sussex","Secondary","4.4","201670","8844"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","West Sussex","Secondary","2.2","34543","760"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","West Sussex","Secondary","4.9","83924","4077"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","West Sussex","Secondary","6.4","150874","9681"
"Overall absence rate","201617","Academic year","White Total","ONS 5+1","West Sussex","Special","9.2","460066","42522"
"Overall absence rate","201617","Academic year","Mixed Total","ONS 5+1","West Sussex","Special","7.9","27160","2150"
"Overall absence rate","201617","Academic year","Asian Total","ONS 5+1","West Sussex","Special","10.6","30131","3195"
"Overall absence rate","201617","Academic year","Black Total","ONS 5+1","West Sussex","Special","5.9","7899","466"
"Overall absence rate","201617","Academic year","Chinese Total","ONS 5+1","West Sussex","Special","3.6","1425","51"
"Overall absence rate","201617","Academic year","Other Total","ONS 5+1","West Sussex","Special","8.7","3887","337"
"Overall absence rate","201617","Academic year","Unclassified","ONS 5+1","West Sussex","Special","14.9","4308","644"
"Persistent absence rate","201617","Academic year","White Total","ONS 5+1","City of London","Total","x","63","x"
"Persistent absence rate","201617","Academic year","Mixed Total","ONS 5+1","City of London","Total","x","27","x"
"Persistent absence rate","201617","Academic year","Asian Total","ONS 5+1","City of London","Total","x","64","x"
"Persistent absence rate","201617","Academic year","Black Total","ONS 5+1","City of London","Total","0","9","0"
"Persistent absence rate","201617","Academic year","Chinese Total","ONS 5+1","City of London","Total","x","x","x"
"Persistent absence rate","201617","Academic year","Other Total","ONS 5+1","City of London","Total","0","14","0"
"Persistent absence rate","201617","Academic year","White Total","ONS 5+1","City of London","Primary","x","63","x"
"Persistent absence rate","201617","Academic year","Mixed Total","ONS 5+1","City of London","Primary","x","27","x"
"Persistent absence rate","201617","Academic year","Asian Total","ONS 5+1","City of London","Primary","x","64","x"
"Persistent absence rate","201617","Academic year","Black Total","ONS 5+1","City of London","Primary","0","9","0"
"Persistent absence rate","201617","Academic year","Chinese Total","ONS 5+1","City of London","Primary","x","x","x"
"Persistent absence rate","201617","Academic year","Other Total","ONS 5+1","City of London","Primary","0","14","0"
"Persistent absence rate","201617","Academic year","White Total","ONS 5+1","Camden","Total","13.3","7191","956"
"Persistent absence rate","201617","Academic year","Mixed Total","ONS 5+1","Camden","Total","14.2","2230","316"
"Persistent absence rate","201617","Academic year","Asian Total","ONS 5+1","Camden","Total","13.9","3566","494"
"Persistent absence rate","201617","Academic year","Black Total","ONS 5+1","Camden","Total","8.7","3707","322"
"Persistent absence rate","201617","Academic year","Chinese Total","ONS 5+1","Camden","Total","5.6","143","8"
"Persistent absence rate","201617","Academic year","Other Total","ONS 5+1","Camden","Total","10.8","1139","123"
"Persistent absence rate","201617","Academic year","Unclassified","ONS 5+1","Camden","Total","15.6","436","68"
"Persistent absence rate","201617","Academic year","White Total","ONS 5+1","Camden","Primary","9.8","4043","397"
"Persistent absence rate","201617","Academic year","Mixed Total","ONS 5+1","Camden","Primary","11.1","1218","135"
"Persistent absence rate","201617","Academic year","Asian Total","ONS 5+1","Camden","Primary","12.1","2043","247"
"Persistent absence rate","201617","Academic year","Black Total","ONS 5+1","Camden","Primary","5.8","1805","104"
"Persistent absence rate","201617","Academic year","Chinese Total","ONS 5+1","Camden","Primary","4.1","97","4"
"Persistent absence rate","201617","Academic year","Other Total","ONS 5+1","Camden","Primary","6.6","534","35"
"Persistent absence rate","201617","Academic year","Unclassified","ONS 5+1","Camden","Primary","15.2","197","30"
"Persistent absence rate","201617","Academic year","White Total","ONS 5+1","Camden","Secondary","16.8","3063","516"
"Persistent absence rate","201617","Academic year","Mixed Total","ONS 5+1","Camden","Secondary","17.9","989","177"
"Persistent absence rate","201617","Academic year","Asian Total","ONS 5+1","Camden","Secondary","15.5","1473","228"
"Persistent absence rate","201617","Academic year","Black Total","ONS 5+1","Camden","Secondary","10.6","1833","195"
"Persistent absence rate","201617","Academic year","Chinese Total","ONS 5+1","Camden","Secondary","x","42","x"
"Persistent absence rate","201617","Academic year","Other Total","ONS 5+1","Camden","Secondary","14.2","593","84"
"Persistent absence rate","201617","Academic year","Unclassified","ONS 5+1","Camden","Secondary","15.5","233","36"
"Persistent absence rate","201617","Academic year","White Total","ONS 5+1","Camden","Special","50.6","85","43"
"Persistent absence rate","201617","Academic year","Mixed Total","ONS 5+1","Camden","Special","17.4","23","4"
"Persistent absence rate","201617","Academic year","Asian Total","ONS 5+1","Camden","Special","38","50","19"
"Persistent absence rate","201617","Academic year","Black Total","ONS 5+1","Camden","Special","33.3","69","23"
"Persistent absence rate","201617","Academic year","Chinese Total","ONS 5+1","Camden","Special","x","4","x"
"Persistent absence rate","201617","Academic year","Other Total","ONS 5+1","Camden","Special","33.3","12","4"
"Persistent absence rate","201617","Academic year","Unclassified","ONS 5+1","Camden","Special","x","6","x"
"Persistent absence rate","201617","Academic year","White Total","ONS 5+1","Greenwich","Total","14.5","15244","2209"
"Persistent absence rate","201617","Academic year","Mixed Total","ONS 5+1","Greenwich","Total","11.8","3634","428"
"Persistent absence rate","201617","Academic year","Asian Total","ONS 5+1","Greenwich","Total","7.2","2818","203"
"Persistent absence rate","201617","Academic year","Black Total","ONS 5+1","Greenwich","Total","5","11300","570"
"Persistent absence rate","201617","Academic year","Chinese Total","ONS 5+1","Greenwich","Total","2.6","420","11"
"Persistent absence rate","201617","Academic year","Other Total","ONS 5+1","Greenwich","Total","8.2","869","71"
"Persistent absence rate","201617","Academic year","Unclassified","ONS 5+1","Greenwich","Total","14","456","64"
"Persistent absence rate","201617","Academic year","White Total","ONS 5+1","Greenwich","Primary","11.1","9183","1021"
"Persistent absence rate","201617","Academic year","Mixed Total","ONS 5+1","Greenwich","Primary","8.8","2273","201"
"Persistent absence rate","201617","Academic year","Asian Total","ONS 5+1","Greenwich","Primary","6.6","1823","121"
"Persistent absence rate","201617","Academic year","Black Total","ONS 5+1","Greenwich","Primary","3.7","6941","257"
"Persistent absence rate","201617","Academic year","Chinese Total","ONS 5+1","Greenwich","Primary","2.3","302","7"
"Persistent absence rate","201617","Academic year","Other Total","ONS 5+1","Greenwich","Primary","8.3","505","42"
"Persistent absence rate","201617","Academic year","Unclassified","ONS 5+1","Greenwich","Primary","7.8","243","19"
"Persistent absence rate","201617","Academic year","White Total","ONS 5+1","Greenwich","Secondary","19.1","5903","1126"
"Persistent absence rate","201617","Academic year","Mixed Total","ONS 5+1","Greenwich","Secondary","16.1","1332","215"
"Persistent absence rate","201617","Academic year","Asian Total","ONS 5+1","Greenwich","Secondary","7.4","967","72"
"Persistent absence rate","201617","Academic year","Black Total","ONS 5+1","Greenwich","Secondary","6.8","4218","287"
"Persistent absence rate","201617","Academic year","Chinese Total","ONS 5+1","Greenwich","Secondary","2.6","117","3"
"Persistent absence rate","201617","Academic year","Other Total","ONS 5+1","Greenwich","Secondary","7.3","355","26"
"Persistent absence rate","201617","Academic year","Unclassified","ONS 5+1","Greenwich","Secondary","20.9","206","43"
"Persistent absence rate","201617","Academic year","White Total","ONS 5+1","Greenwich","Special","39.2","158","62"
"Persistent absence rate","201617","Academic year","Mixed Total","ONS 5+1","Greenwich","Special","41.4","29","12"
"Persistent absence rate","201617","Academic year","Asian Total","ONS 5+1","Greenwich","Special","35.7","28","10"
"Persistent absence rate","201617","Academic year","Black Total","ONS 5+1","Greenwich","Special","18.4","141","26"
"Persistent absence rate","201617","Academic year","Chinese Total","ONS 5+1","Greenwich","Special","x","x","x"
"Persistent absence rate","201617","Academic year","Other Total","ONS 5+1","Greenwich","Special","33.3","9","3"
"Persistent absence rate","201617","Academic year","Unclassified","ONS 5+1","Greenwich","Special","x","7","x"
"Persistent absence rate","201617","Academic year","White Total","ONS 5+1","Hackney","Total","10.1","9716","983"
"Persistent absence rate","201617","Academic year","Mixed Total","ONS 5+1","Hackney","Total","11.8","2945","348"
"Persistent absence rate","201617","Academic year","Asian Total","ONS 5+1","Hackney","Total","9.1","3352","305"
"Persistent absence rate","201617","Academic year","Black Total","ONS 5+1","Hackney","Total","7.1","10118","714"
"Persistent absence rate","201617","Academic year","Chinese Total","ONS 5+1","Hackney","Total","2.1","189","4"
"Persistent absence rate","201617","Academic year","Other Total","ONS 5+1","Hackney","Total","7.4","1717","127"
"Persistent absence rate","201617","Academic year","Unclassified","ONS 5+1","Hackney","Total","13.7","357","49"
"Persistent absence rate","201617","Academic year","White Total","ONS 5+1","Hackney","Primary","8.6","5737","496"
"Persistent absence rate","201617","Academic year","Mixed Total","ONS 5+1","Hackney","Primary","9.9","1873","186"
"Persistent absence rate","201617","Academic year","Asian Total","ONS 5+1","Hackney","Primary","9.4","1937","182"
"Persistent absence rate","201617","Academic year","Black Total","ONS 5+1","Hackney","Primary","5.7","5811","330"
"Persistent absence rate","201617","Academic year","Chinese Total","ONS 5+1","Hackney","Primary","3.1","130","4"
"Persistent absence rate","201617","Academic year","Other Total","ONS 5+1","Hackney","Primary","6.3","991","62"
"Persistent absence rate","201617","Academic year","Unclassified","ONS 5+1","Hackney","Primary","10","150","15"
"Persistent absence rate","201617","Academic year","White Total","ONS 5+1","Hackney","Secondary","12.1","3907","473"
"Persistent absence rate","201617","Academic year","Mixed Total","ONS 5+1","Hackney","Secondary","15.3","1048","160"
"Persistent absence rate","201617","Academic year","Asian Total","ONS 5+1","Hackney","Secondary","8.4","1365","115"
"Persistent absence rate","201617","Academic year","Black Total","ONS 5+1","Hackney","Secondary","8.6","4175","359"
"Persistent absence rate","201617","Academic year","Chinese Total","ONS 5+1","Hackney","Secondary","0","58","0"
"Persistent absence rate","201617","Academic year","Other Total","ONS 5+1","Hackney","Secondary","8.3","711","59"
"Persistent absence rate","201617","Academic year","Unclassified","ONS 5+1","Hackney","Secondary","16.3","203","33"
"Persistent absence rate","201617","Academic year","White Total","ONS 5+1","Hackney","Special","19.4","72","14"
"Persistent absence rate","201617","Academic year","Mixed Total","ONS 5+1","Hackney","Special","x","24","x"
"Persistent absence rate","201617","Academic year","Asian Total","ONS 5+1","Hackney","Special","16","50","8"
"Persistent absence rate","201617","Academic year","Black Total","ONS 5+1","Hackney","Special","18.9","132","25"
"Persistent absence rate","201617","Academic year","Chinese Total","ONS 5+1","Hackney","Special","0","x","0"
"Persistent absence rate","201617","Academic year","Other Total","ONS 5+1","Hackney","Special","40","15","6"
"Persistent absence rate","201617","Academic year","Unclassified","ONS 5+1","Hackney","Special","x","4","x"
"Persistent absence rate","201617","Academic year","White Total","ONS 5+1","Hammersmith and Fulham","Total","11.3","6810","771"
"Persistent absence rate","201617","Academic year","Mixed Total","ONS 5+1","Hammersmith and Fulham","Total","12.1","2059","249"
"Persistent absence rate","201617","Academic year","Asian Total","ONS 5+1","Hammersmith and Fulham","Total","10.9","1170","128"
"Persistent absence rate","201617","Academic year","Black Total","ONS 5+1","Hammersmith and Fulham","Total","9.3","3983","372"
"Persistent absence rate","201617","Academic year","Chinese Total","ONS 5+1","Hammersmith and Fulham","Total","x","59","x"
"Persistent absence rate","201617","Academic year","Other Total","ONS 5+1","Hammersmith and Fulham","Total","10.6","1703","180"
"Persistent absence rate","201617","Academic year","Unclassified","ONS 5+1","Hammersmith and Fulham","Total","12.1","453","55"
"Persistent absence rate","201617","Academic year","White Total","ONS 5+1","Hammersmith and Fulham","Primary","8.4","3556","300"
"Persistent absence rate","201617","Academic year","Mixed Total","ONS 5+1","Hammersmith and Fulham","Primary","9.8","1202","118"
"Persistent absence rate","201617","Academic year","Asian Total","ONS 5+1","Hammersmith and Fulham","Primary","9.1","540","49"
"Persistent absence rate","201617","Academic year","Black Total","ONS 5+1","Hammersmith and Fulham","Primary","6.5","2170","140"
"Persistent absence rate","201617","Academic year","Chinese Total","ONS 5+1","Hammersmith and Fulham","Primary","0","28","0"
"Persistent absence rate","201617","Academic year","Other Total","ONS 5+1","Hammersmith and Fulham","Primary","7.7","955","74"
"Persistent absence rate","201617","Academic year","Unclassified","ONS 5+1","Hammersmith and Fulham","Primary","12.7","204","26"
"Persistent absence rate","201617","Academic year","White Total","ONS 5+1","Hammersmith and Fulham","Secondary","13.9","3122","434"
"Persistent absence rate","201617","Academic year","Mixed Total","ONS 5+1","Hammersmith and Fulham","Secondary","14.8","819","121"
"Persistent absence rate","201617","Academic year","Asian Total","ONS 5+1","Hammersmith and Fulham","Secondary","10.3","582","60"
"Persistent absence rate","201617","Academic year","Black Total","ONS 5+1","Hammersmith and Fulham","Secondary","12","1681","202"
"Persistent absence rate","201617","Academic year","Chinese Total","ONS 5+1","Hammersmith and Fulham","Secondary","x","29","x"
"Persistent absence rate","201617","Academic year","Other Total","ONS 5+1","Hammersmith and Fulham","Secondary","12.4","670","83"
"Persistent absence rate","201617","Academic year","Unclassified","ONS 5+1","Hammersmith and Fulham","Secondary","10.9","230","25"
"Persistent absence rate","201617","Academic year","White Total","ONS 5+1","Hammersmith and Fulham","Special","28","132","37"
"Persistent absence rate","201617","Academic year","Mixed Total","ONS 5+1","Hammersmith and Fulham","Special","26.3","38","10"
"Persistent absence rate","201617","Academic year","Asian Total","ONS 5+1","Hammersmith and Fulham","Special","39.6","48","19"
