"Title","Self-inflicted deaths in prison custody"
"Location","England and Wales"
"Time period","2011 to 2015"
"Data source","Ministry of Justice"
"Data source link","https://www.gov.uk/government/statistics/noms-annual-offender-equalities-report-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-03-02"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Gender","Gender_type","Value","Numerator"
"Number of self inflicted deaths per 1000","2014","Year","Other","ONS 5+1 2001","All","All/Male/Female","0","0"
"Number of self inflicted deaths per 1000","2015","Year","Other","ONS 5+1 2001","All","All/Male/Female","1","1"
"Number of self inflicted deaths per 1000","1999","Year","White","ONS 5+1 2001","All","All/Male/Female","-","81"
"Number of self inflicted deaths per 1000","2000","Year","White","ONS 5+1 2001","All","All/Male/Female","-","72"
"Number of self inflicted deaths per 1000","2001","Year","White","ONS 5+1 2001","All","All/Male/Female","-","66"
"Number of self inflicted deaths per 1000","2002","Year","White","ONS 5+1 2001","All","All/Male/Female","-","85"
"Number of self inflicted deaths per 1000","2003","Year","White","ONS 5+1 2001","All","All/Male/Female","-","86"
"Number of self inflicted deaths per 1000","2004","Year","White","ONS 5+1 2001","All","All/Male/Female","-","85"
"Number of self inflicted deaths per 1000","2005","Year","White","ONS 5+1 2001","All","All/Male/Female","-","61"
"Number of self inflicted deaths per 1000","2006","Year","White","ONS 5+1 2001","All","All/Male/Female","-","57"
"Number of self inflicted deaths per 1000","2007","Year","White","ONS 5+1 2001","All","All/Male/Female","-","72"
"Number of self inflicted deaths per 1000","2008","Year","White","ONS 5+1 2001","All","All/Male/Female","-","50"
"Number of self inflicted deaths per 1000","2009","Year","White","ONS 5+1 2001","All","All/Male/Female","-","56"
"Number of self inflicted deaths per 1000","2010","Year","White","ONS 5+1 2001","All","All/Male/Female","-","51"
"Number of self inflicted deaths per 1000","2011","Year","White","ONS 5+1 2001","All","All/Male/Female","0.8","51"
"Number of self inflicted deaths per 1000","2012","Year","White","ONS 5+1 2001","All","All/Male/Female","0.8","49"
"Number of self inflicted deaths per 1000","2013","Year","White","ONS 5+1 2001","All","All/Male/Female","1","60"
"Number of self inflicted deaths per 1000","2014","Year","White","ONS 5+1 2001","All","All/Male/Female","1.3","80"
"Number of self inflicted deaths per 1000","2015","Year","White","ONS 5+1 2001","All","All/Male/Female","1.2","77"
