"Title","A* to C in English and Maths GCSE attainment for children aged 14 to 16 (key stage 4)"
"Location","England"
"Time period","2015/16"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19 January 2017 (revised)"
"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Admission basis","School type","SEN","Religious character","Value"," Denominator "
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black - Any other ","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","62.3","1,665"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","88","993"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Other - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","65.8","3,877"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Unclassified","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","57.6","2,799"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All pupils","All pupils","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","67","265,083"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","Selective schools","All state-funded schools","All state-funded schools","All state-funded schools","98.7","16,228"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","Selective schools","All state-funded schools","All state-funded schools","All state-funded schools","98.6","1,106"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","Selective schools","All state-funded schools","All state-funded schools","All state-funded schools","99","3,637"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","Selective schools","All state-funded schools","All state-funded schools","All state-funded schools","!","693"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","Selective schools","All state-funded schools","All state-funded schools","All state-funded schools","!","375"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","Non-selective schools in highly selective areas","All state-funded schools","All state-funded schools","All state-funded schools","54.5","29,804"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","Non-selective schools in highly selective areas","All state-funded schools","All state-funded schools","All state-funded schools","56.5","1,225"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","Non-selective schools in highly selective areas","All state-funded schools","All state-funded schools","All state-funded schools","63.1","1,784"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","Non-selective schools in highly selective areas","All state-funded schools","All state-funded schools","All state-funded schools","61.1","1,176"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","Non-selective schools in highly selective areas","All state-funded schools","All state-funded schools","All state-funded schools","74.2","97"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","Non-selective schools in other areas (inc. low selective areas)","All state-funded schools","All state-funded schools","All state-funded schools","63.2","368,496"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","Non-selective schools in other areas (inc. low selective areas)","All state-funded schools","All state-funded schools","All state-funded schools","62.2","20,134"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","Non-selective schools in other areas (inc. low selective areas)","All state-funded schools","All state-funded schools","All state-funded schools","65.9","45,094"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","Non-selective schools in other areas (inc. low selective areas)","All state-funded schools","All state-funded schools","All state-funded schools","59.2","25,538"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","Non-selective schools in other areas (inc. low selective areas)","All state-funded schools","All state-funded schools","All state-funded schools","80.3","1,536"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded mainstream schools","All state-funded schools","All state-funded schools","All state-funded schools","64","414,528"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded mainstream schools","All state-funded schools","All state-funded schools","All state-funded schools","63.7","22,465"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded mainstream schools","All state-funded schools","All state-funded schools","All state-funded schools","68.2","50,515"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded mainstream schools","All state-funded schools","All state-funded schools","All state-funded schools","60.3","27,407"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded mainstream schools","All state-funded schools","All state-funded schools","All state-funded schools","83.6","2,008"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All pupils","All pupils","England","Country","E92000001","All pupils","All pupils","Selective schools","All state-funded schools","All state-funded schools","All state-funded schools","98.8","22,512"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All pupils","All pupils","England","Country","E92000001","All pupils","All pupils","Non-selective schools in highly selective areas","All state-funded schools","All state-funded schools","All state-funded schools","55.3","34,658"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All pupils","All pupils","England","Country","E92000001","All pupils","All pupils","Non-selective schools in other areas (inc. low selective areas)","All state-funded schools","All state-funded schools","All state-funded schools","63.2","472,525"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All pupils","All pupils","England","Country","E92000001","All pupils","All pupils","All state-funded mainstream schools","All state-funded schools","All state-funded schools","All state-funded schools","64.1","530,580"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","Selective schools","All state-funded schools","All state-funded schools","All state-funded schools","98.4","7,979"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","Selective schools","All state-funded schools","All state-funded schools","All state-funded schools","98.2","570"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","Selective schools","All state-funded schools","All state-funded schools","All state-funded schools","98.6","1,951"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","Selective schools","All state-funded schools","All state-funded schools","All state-funded schools","!","315"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","Selective schools","All state-funded schools","All state-funded schools","All state-funded schools","!","182"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","Non-selective schools in highly selective areas","All state-funded schools","All state-funded schools","All state-funded schools","50.7","15,007"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","Non-selective schools in highly selective areas","All state-funded schools","All state-funded schools","All state-funded schools","53.6","617"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","Non-selective schools in highly selective areas","All state-funded schools","All state-funded schools","All state-funded schools","57.1","952"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","Non-selective schools in highly selective areas","All state-funded schools","All state-funded schools","All state-funded schools","53.2","588"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","Non-selective schools in highly selective areas","All state-funded schools","All state-funded schools","All state-funded schools","66.1","56"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","Non-selective schools in other areas (inc. low selective areas)","All state-funded schools","All state-funded schools","All state-funded schools","59.7","186,353"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","Non-selective schools in other areas (inc. low selective areas)","All state-funded schools","All state-funded schools","All state-funded schools","58.1","10,046"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","Non-selective schools in other areas (inc. low selective areas)","All state-funded schools","All state-funded schools","All state-funded schools","62.7","23,195"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","Non-selective schools in other areas (inc. low selective areas)","All state-funded schools","All state-funded schools","All state-funded schools","53.8","12,627"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","Non-selective schools in other areas (inc. low selective areas)","All state-funded schools","All state-funded schools","All state-funded schools","75","783"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded mainstream schools","All state-funded schools","All state-funded schools","All state-funded schools","60.6","209,339"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded mainstream schools","All state-funded schools","All state-funded schools","All state-funded schools","59.9","11,233"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded mainstream schools","All state-funded schools","All state-funded schools","All state-funded schools","65.2","26,098"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded mainstream schools","All state-funded schools","All state-funded schools","All state-funded schools","54.9","13,530"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded mainstream schools","All state-funded schools","All state-funded schools","All state-funded schools","78.7","1,021"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All pupils","All pupils","England","Country","E92000001","Boys","All pupils","Selective schools","All state-funded schools","All state-funded schools","All state-funded schools","98.5","11,235"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All pupils","All pupils","England","Country","E92000001","Boys","All pupils","Non-selective schools in highly selective areas","All state-funded schools","All state-funded schools","All state-funded schools","51.3","17,529"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All pupils","All pupils","England","Country","E92000001","Boys","All pupils","Non-selective schools in other areas (inc. low selective areas)","All state-funded schools","All state-funded schools","All state-funded schools","59.6","239,061"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All pupils","All pupils","England","Country","E92000001","Boys","All pupils","All state-funded mainstream schools","All state-funded schools","All state-funded schools","All state-funded schools","60.6","268,280"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","Selective schools","All state-funded schools","All state-funded schools","All state-funded schools","99","8,249"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","Selective schools","All state-funded schools","All state-funded schools","All state-funded schools","99.1","536"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","Selective schools","All state-funded schools","All state-funded schools","All state-funded schools","99.6","1,686"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","Selective schools","All state-funded schools","All state-funded schools","All state-funded schools","!","378"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","Selective schools","All state-funded schools","All state-funded schools","All state-funded schools","!","193"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","Non-selective schools in highly selective areas","All state-funded schools","All state-funded schools","All state-funded schools","58.3","14,797"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","Non-selective schools in highly selective areas","All state-funded schools","All state-funded schools","All state-funded schools","59.4","608"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","Non-selective schools in highly selective areas","All state-funded schools","All state-funded schools","All state-funded schools","70","832"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","Non-selective schools in highly selective areas","All state-funded schools","All state-funded schools","All state-funded schools","69","588"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","Non-selective schools in highly selective areas","All state-funded schools","All state-funded schools","All state-funded schools","85.4","41"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","Non-selective schools in other areas (inc. low selective areas)","All state-funded schools","All state-funded schools","All state-funded schools","66.8","182,143"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","Non-selective schools in other areas (inc. low selective areas)","All state-funded schools","All state-funded schools","All state-funded schools","66.2","10,088"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","Non-selective schools in other areas (inc. low selective areas)","All state-funded schools","All state-funded schools","All state-funded schools","69.3","21,899"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","Non-selective schools in other areas (inc. low selective areas)","All state-funded schools","All state-funded schools","All state-funded schools","64.4","12,911"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","Non-selective schools in other areas (inc. low selective areas)","All state-funded schools","All state-funded schools","All state-funded schools","85.8","753"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded mainstream schools","All state-funded schools","All state-funded schools","All state-funded schools","67.5","205,189"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded mainstream schools","All state-funded schools","All state-funded schools","All state-funded schools","67.4","11,232"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded mainstream schools","All state-funded schools","All state-funded schools","All state-funded schools","71.4","24,417"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded mainstream schools","All state-funded schools","All state-funded schools","All state-funded schools","65.6","13,877"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded mainstream schools","All state-funded schools","All state-funded schools","All state-funded schools","88.6","987"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All pupils","All pupils","England","Country","E92000001","Girls","All pupils","Selective schools","All state-funded schools","All state-funded schools","All state-funded schools","99.1","11,277"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All pupils","All pupils","England","Country","E92000001","Girls","All pupils","Non-selective schools in highly selective areas","All state-funded schools","All state-funded schools","All state-funded schools","59.4","17,129"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All pupils","All pupils","England","Country","E92000001","Girls","All pupils","Non-selective schools in other areas (inc. low selective areas)","All state-funded schools","All state-funded schools","All state-funded schools","66.9","233,464"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","All pupils","All pupils","England","Country","E92000001","Girls","All pupils","All state-funded mainstream schools","All state-funded schools","All state-funded schools","All state-funded schools","67.7","262,300"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded mainstream schools","All state-funded schools","All state-funded schools","64","414,528"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded mainstream schools","All state-funded schools","All state-funded schools","63.7","22,465"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded mainstream schools","All state-funded schools","All state-funded schools","68.2","50,515"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded mainstream schools","All state-funded schools","All state-funded schools","60.3","27,407"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded mainstream schools","All state-funded schools","All state-funded schools","83.6","2,008"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Local authority maintained mainstream schools","All state-funded schools","All state-funded schools","62.2","145,402"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Local authority maintained mainstream schools","All state-funded schools","All state-funded schools","59.8","8,130"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Local authority maintained mainstream schools","All state-funded schools","All state-funded schools","65.1","21,499"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Local authority maintained mainstream schools","All state-funded schools","All state-funded schools","58.2","11,496"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Local authority maintained mainstream schools","All state-funded schools","All state-funded schools","79.2","591"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Academies and free schools","All state-funded schools","All state-funded schools","65","268,711"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Academies and free schools","All state-funded schools","All state-funded schools","65.9","14,288"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Academies and free schools","All state-funded schools","All state-funded schools","70.4","28,983"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Academies and free schools","All state-funded schools","All state-funded schools","61.8","15,874"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Academies and free schools","All state-funded schools","All state-funded schools","85.4","1,416"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Sponsored academies","All state-funded schools","All state-funded schools","51.5","64,925"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Sponsored academies","All state-funded schools","All state-funded schools","55.1","3,759"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Sponsored academies","All state-funded schools","All state-funded schools","59.3","7,419"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Sponsored academies","All state-funded schools","All state-funded schools","58","6,173"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Sponsored academies","All state-funded schools","All state-funded schools","81.2","277"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Converter academies","All state-funded schools","All state-funded schools","69.6","200,260"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Converter academies","All state-funded schools","All state-funded schools","69.9","10,292"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Converter academies","All state-funded schools","All state-funded schools","74.6","20,958"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Converter academies","All state-funded schools","All state-funded schools","64.6","9,482"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Converter academies","All state-funded schools","All state-funded schools","86.6","1,127"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Free schools","All state-funded schools","All state-funded schools","61.6","1,187"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Free schools","All state-funded schools","All state-funded schools","78.5","79"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Free schools","All state-funded schools","All state-funded schools","73","411"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Free schools","All state-funded schools","All state-funded schools","53.3","60"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Free schools","All state-funded schools","All state-funded schools","!","8"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","University technical colleges","All state-funded schools","All state-funded schools","53.7","1,412"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","University technical colleges","All state-funded schools","All state-funded schools","56.5","108"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","University technical colleges","All state-funded schools","All state-funded schools","40.8","125"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","University technical colleges","All state-funded schools","All state-funded schools","41.5","130"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","University technical colleges","All state-funded schools","All state-funded schools","!"," ! "
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Studio schools","All state-funded schools","All state-funded schools","33.4","927"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Studio schools","All state-funded schools","All state-funded schools","38","50"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Studio schools","All state-funded schools","All state-funded schools","37.1","70"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Studio schools","All state-funded schools","All state-funded schools","34.5","29"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Studio schools","All state-funded schools","All state-funded schools","!"," ! "
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Further education colleges with provision for 14- to 16-year-olds","All state-funded schools","All state-funded schools","N/A"," N/A "
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Further education colleges with provision for 14- to 16-year-olds","All state-funded schools","All state-funded schools","N/A"," N/A "
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Further education colleges with provision for 14- to 16-year-olds","All state-funded schools","All state-funded schools","N/A"," N/A "
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","Further education colleges with provision for 14- to 16-year-olds","All state-funded schools","All state-funded schools","N/A"," N/A "
