"Title","Attainment in English and Maths GCSE at grade 5 or above for children aged 14 to 16 (key stage 4)"
"Location","England"
"Time period","2016/17"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2016-to-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-10"
"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Value_type","Denominator"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","Bournemouth","Local Authority","E06000028","Boys","All pupils","54.2","%","48"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","Bristol, City of","Local Authority","E06000023","Boys","All pupils","29.0","%","107"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","Cornwall","Local Authority","E06000052","Boys","All pupils","47.7","%","44"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","Devon","Local Authority","E10000008","Boys","All pupils","53.3","%","45"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","Dorset","Local Authority","E10000009","Boys","All pupils","33.3","%","42"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","Gloucestershire","Local Authority","E10000013","Boys","All pupils","42.5","%","106"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","Isles of Scilly","Local Authority","E06000053","Boys","All pupils","!","%","!"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","North Somerset","Local Authority","E06000024","Boys","All pupils","47.8","%","23"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","Plymouth","Local Authority","E06000026","Boys","All pupils","25.0","%","20"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","Poole","Local Authority","E06000029","Boys","All pupils","52.2","%","23"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","Somerset","Local Authority","E10000027","Boys","All pupils","40.4","%","52"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","South Gloucestershire","Local Authority","E06000025","Boys","All pupils","28.3","%","53"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","Swindon","Local Authority","E06000030","Boys","All pupils","34.3","%","35"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","Torbay","Local Authority","E06000027","Boys","All pupils","!","%","!"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","Wiltshire","Local Authority","E06000054","Boys","All pupils","41.9","%","62"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","County Durham","Local Authority","E06000047","Boys","All pupils","33.3","%","9"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Darlington","Local Authority","E06000005","Boys","All pupils","!","%","!"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Gateshead","Local Authority","E08000037","Boys","All pupils","54.5","%","22"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Hartlepool","Local Authority","E06000001","Boys","All pupils","!","%","!"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Middlesbrough","Local Authority","E06000002","Boys","All pupils","42.2","%","90"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Newcastle upon Tyne","Local Authority","E08000021","Boys","All pupils","39.7","%","131"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","North Tyneside","Local Authority","E08000022","Boys","All pupils","42.9","%","14"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Northumberland","Local Authority","E06000057","Boys","All pupils","!","%","19"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Redcar and Cleveland","Local Authority","E06000003","Boys","All pupils","!","%","6"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","South Tyneside","Local Authority","E08000023","Boys","All pupils","55.0","%","20"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local Authority","E06000004","Boys","All pupils","34.1","%","41"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Sunderland","Local Authority","E08000024","Boys","All pupils","43.3","%","60"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Blackburn with Darwen","Local Authority","E06000008","Boys","All pupils","47.2","%","396"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Blackpool","Local Authority","E06000009","Boys","All pupils","40.0","%","10"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Bolton","Local Authority","E08000001","Boys","All pupils","45.7","%","363"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Bury","Local Authority","E08000002","Boys","All pupils","35.4","%","127"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Cheshire East","Local Authority","E06000049","Boys","All pupils","63.3","%","30"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Cheshire West and Chester","Local Authority","E06000050","Boys","All pupils","29.4","%","17"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Cumbria","Local Authority","E10000006","Boys","All pupils","50.0","%","8"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Halton","Local Authority","E06000006","Boys","All pupils","!","%","!"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Knowsley","Local Authority","E08000011","Boys","All pupils","!","%","!"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Lancashire","Local Authority","E10000017","Boys","All pupils","42.8","%","629"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Liverpool","Local Authority","E08000012","Boys","All pupils","62.7","%","67"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Manchester","Local Authority","E08000003","Boys","All pupils","42.7","%","510"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Oldham","Local Authority","E08000004","Boys","All pupils","32.6","%","454"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Rochdale","Local Authority","E08000005","Boys","All pupils","!","%","297"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Salford","Local Authority","E08000006","Boys","All pupils","!","%","21"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Sefton","Local Authority","E08000014","Boys","All pupils","61.5","%","13"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","St. Helens","Local Authority","E08000013","Boys","All pupils","!","%","!"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Stockport","Local Authority","E08000007","Boys","All pupils","55.7","%","97"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Tameside","Local Authority","E08000008","Boys","All pupils","42.4","%","144"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Trafford","Local Authority","E08000009","Boys","All pupils","65.2","%","181"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Warrington","Local Authority","E06000007","Boys","All pupils","55.0","%","20"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Wigan","Local Authority","E08000010","Boys","All pupils","36.4","%","22"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Wirral","Local Authority","E08000015","Boys","All pupils","78.3","%","23"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Barnsley","Local Authority","E08000016","Boys","All pupils","!","%","!"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Bradford","Local Authority","E08000032","Boys","All pupils","35.2","%","1301"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Calderdale","Local Authority","E08000033","Boys","All pupils","35.4","%","195"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Doncaster","Local Authority","E08000017","Boys","All pupils","46.5","%","43"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","East Riding of Yorkshire","Local Authority","E06000011","Boys","All pupils","!","%","4"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Kingston upon Hull, City of","Local Authority","E06000010","Boys","All pupils","!","%","!"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Kirklees","Local Authority","E08000034","Boys","All pupils","30.5","%","630"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Leeds","Local Authority","E08000035","Boys","All pupils","31.2","%","481"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","North East Lincolnshire","Local Authority","E06000012","Boys","All pupils","!","%","6"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","North Lincolnshire","Local Authority","E06000013","Boys","All pupils","34.4","%","32"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","North Yorkshire","Local Authority","E10000023","Boys","All pupils","66.7","%","51"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Rotherham","Local Authority","E08000018","Boys","All pupils","38.2","%","102"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Sheffield","Local Authority","E08000019","Boys","All pupils","42.3","%","253"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Wakefield","Local Authority","E08000036","Boys","All pupils","39.0","%","41"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","York","Local Authority","E06000014","Boys","All pupils","54.5","%","22"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Derby","Local Authority","E06000015","Boys","All pupils","45.7","%","269"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Derbyshire","Local Authority","E10000007","Boys","All pupils","!","%","!"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Leicester","Local Authority","E06000016","Boys","All pupils","42.7","%","813"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Leicestershire","Local Authority","E10000018","Boys","All pupils","57.3","%","260"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Lincolnshire","Local Authority","E10000019","Boys","All pupils","71.1","%","45"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Northamptonshire","Local Authority","E10000021","Boys","All pupils","!","%","171"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Nottingham","Local Authority","E06000018","Boys","All pupils","42.5","%","193"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Nottinghamshire","Local Authority","E10000024","Boys","All pupils","57.1","%","84"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Rutland","Local Authority","E06000017","Boys","All pupils","!","%","!"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Birmingham","Local Authority","E08000025","Boys","All pupils","41.6","%","2356"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Coventry","Local Authority","E08000026","Boys","All pupils","44.0","%","318"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Dudley","Local Authority","E08000027","Boys","All pupils","32.7","%","162"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Herefordshire, County of","Local Authority","E06000019","Boys","All pupils","!","%","!"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Sandwell","Local Authority","E08000028","Boys","All pupils","33.5","%","537"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Shropshire","Local Authority","E06000051","Boys","All pupils","!","%","14"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Solihull","Local Authority","E08000029","Boys","All pupils","51.9","%","156"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Staffordshire","Local Authority","E10000028","Boys","All pupils","42.4","%","132"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Stoke-on-Trent","Local Authority","E06000021","Boys","All pupils","24.8","%","157"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Telford and Wrekin","Local Authority","E06000020","Boys","All pupils","!","%","!"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Walsall","Local Authority","E08000030","Boys","All pupils","42.7","%","349"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Warwickshire","Local Authority","E10000031","Boys","All pupils","69.4","%","157"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Wolverhampton","Local Authority","E08000031","Boys","All pupils","42.2","%","282"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Worcestershire","Local Authority","E10000034","Boys","All pupils","46.5","%","86"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Bedford","Local Authority","E06000055","Boys","All pupils","31.1","%","135"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Cambridgeshire","Local Authority","E10000003","Boys","All pupils","50.0","%","88"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Central Bedfordshire","Local Authority","E06000056","Boys","All pupils","60.7","%","28"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Essex","Local Authority","E10000012","Boys","All pupils","69.0","%","200"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Hertfordshire","Local Authority","E10000015","Boys","All pupils","60.2","%","427"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Luton","Local Authority","E06000032","Boys","All pupils","37.3","%","526"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Norfolk","Local Authority","E10000020","Boys","All pupils","61.1","%","36"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Peterborough","Local Authority","E06000031","Boys","All pupils","37.2","%","207"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Southend-on-Sea","Local Authority","E06000033","Boys","All pupils","73.9","%","69"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Suffolk","Local Authority","E10000029","Boys","All pupils","56.8","%","44"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Thurrock","Local Authority","E06000034","Boys","All pupils","66.7","%","24"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Camden","Local Authority","E09000007","Boys","All pupils","44.7","%","141"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","City of London","Local Authority","E09000001","Boys","All pupils","N/A","%","N/A"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Hackney","Local Authority","E09000012","Boys","All pupils","43.8","%","128"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Hammersmith and Fulham","Local Authority","E09000013","Boys","All pupils","50.0","%","56"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Haringey","Local Authority","E09000014","Boys","All pupils","45.3","%","64"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Islington","Local Authority","E09000019","Boys","All pupils","54.7","%","75"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Kensington and Chelsea","Local Authority","E09000020","Boys","All pupils","!","%","9"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Lambeth","Local Authority","E09000022","Boys","All pupils","!","%","49"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Lewisham","Local Authority","E09000023","Boys","All pupils","35.3","%","68"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Newham","Local Authority","E09000025","Boys","All pupils","52.0","%","806"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Southwark","Local Authority","E09000028","Boys","All pupils","54.4","%","68"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Tower Hamlets","Local Authority","E09000030","Boys","All pupils","44.2","%","877"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Wandsworth","Local Authority","E09000032","Boys","All pupils","53.3","%","199"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Westminster","Local Authority","E09000033","Boys","All pupils","60.9","%","110"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Barking and Dagenham","Local Authority","E09000002","Boys","All pupils","55.9","%","220"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Barnet","Local Authority","E09000003","Boys","All pupils","79.8","%","292"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Bexley","Local Authority","E09000004","Boys","All pupils","68.8","%","93"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Brent","Local Authority","E09000005","Boys","All pupils","54.5","%","444"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Bromley","Local Authority","E09000006","Boys","All pupils","67.1","%","82"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Croydon","Local Authority","E09000008","Boys","All pupils","52.3","%","241"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Ealing","Local Authority","E09000009","Boys","All pupils","54.3","%","427"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Enfield","Local Authority","E09000010","Boys","All pupils","62.3","%","146"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Greenwich","Local Authority","E09000011","Boys","All pupils","49.5","%","97"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Harrow","Local Authority","E09000015","Boys","All pupils","59.7","%","459"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Havering","Local Authority","E09000016","Boys","All pupils","42.9","%","42"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Hillingdon","Local Authority","E09000017","Boys","All pupils","57.0","%","358"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Hounslow","Local Authority","E09000018","Boys","All pupils","52.0","%","396"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Kingston upon Thames","Local Authority","E09000021","Boys","All pupils","68.6","%","156"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Merton","Local Authority","E09000024","Boys","All pupils","61.5","%","122"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Redbridge","Local Authority","E09000026","Boys","All pupils","63.1","%","937"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","Richmond upon Thames","Local Authority","E09000027","Boys","All pupils","51.1","%","47"
