"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Admission Basis","Type of School","SEN","Religious character","Value","Value_type","Denominator","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Black - Caribbean","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","27.1","%","2732","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Black - African","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","41.8","%","6848","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Black - Any other ","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","29.5","%","1320","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","68.2","%","1011","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","42.8","%","3417","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Unknown","Unknown","England","Country","E92000001","Boys","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","38.1","%","3126","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","England","Country","E92000001","Boys","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","42.7","%","233624","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","48.5","%","176508","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White - British","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","48.7","%","164015","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White - Irish","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","59.9","%","730","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White - Irish Traveller","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","!","%","26","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White - Gypsy/Roma","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","!","%","353","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","46.5","%","11384","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","50.2","%","9573","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed - White and Black - Caribbean","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","38.5","%","2750","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed - White and Black - African","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","49.8","%","1089","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed - White and Asian","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","60.9","%","2199","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed - Any other ","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","52.8","%","3535","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","55.1","%","21255","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian - Indian","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","66.8","%","6149","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian - Pakistani","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","43.4","%","8224","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian - Bangladeshi","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","52.1","%","3274","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","64.7","%","3608","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","45.3","%","10946","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Black - Caribbean","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","35.4","%","2791","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Black - African","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","50.2","%","6841","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Black - Any other ","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","40.7","%","1314","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","76.7","%","931","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","49.5","%","3012","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Unknown","Unknown","England","Country","E92000001","Girls","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","44.4","%","2749","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","England","Country","E92000001","Girls","All other pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","49.1","%","224974","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","15.3","%","23786","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White - British","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","14.8","%","22338","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White - Irish","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","23.4","%","94","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White - Irish Traveller","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","!","%","28","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White - Gypsy/Roma","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","!","%","165","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","26.7","%","1161","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","21.3","%","2136","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed - White and Black - Caribbean","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","14.3","%","781","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed - White and Black - African","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","26.6","%","256","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed - White and Asian","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","23.9","%","377","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed - Any other ","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","25.5","%","722","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","33.6","%","4362","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian - Indian","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","41.3","%","491","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian - Pakistani","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","27.4","%","2106","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian - Bangladeshi","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","40.7","%","1187","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","35.1","%","578","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","25.0","%","3019","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Black - Caribbean","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","14.3","%","798","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Black - African","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","30.9","%","1855","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Black - Any other ","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","18.3","%","366","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","62.3","%","69","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Boys","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","34.0","%","1054","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Unknown","Unknown","England","Country","E92000001","Boys","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","30.3","%","477","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","England","Country","E92000001","Boys","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","14.5","%","34903","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","19.6","%","23199","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White - British","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","19.1","%","21768","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White - Irish","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","14.0","%","100","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White - Irish Traveller","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","!","%","38","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White - Gypsy/Roma","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","!","%","160","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","31.5","%","1133","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","24.4","%","2161","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed - White and Black - Caribbean","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","18.6","%","817","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed - White and Black - African","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","28.1","%","285","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed - White and Asian","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","24.6","%","346","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed - Any other ","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","29.6","%","713","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","37.3","%","4462","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian - Indian","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","45.3","%","525","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian - Pakistani","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","31.0","%","2196","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian - Bangladeshi","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","43.1","%","1251","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","42.4","%","490","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","33.3","%","3057","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Black - Caribbean","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","25.0","%","776","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Black - African","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","38.3","%","1922","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Black - Any other ","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","24.2","%","359","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","74.2","%","62","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","Girls","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","38.5","%","958","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Unknown","Unknown","England","Country","E92000001","Girls","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","34.6","%","459","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","All","All","England","Country","E92000001","Girls","Pupils eligible for free school meals","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","24.0","%","34358","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","Selective schools","All state-funded schools","All state-funded schools","All state-funded schools","89.0","%","15939","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","Selective schools","All state-funded schools","All state-funded schools","All state-funded schools","92.6","%","1223","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","Selective schools","All state-funded schools","All state-funded schools","All state-funded schools","94.5","%","3853","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","Selective schools","All state-funded schools","All state-funded schools","All state-funded schools","93.6","%","834","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","Selective schools","All state-funded schools","All state-funded schools","All state-funded schools","96.2","%","399","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","Selective schools","All state-funded schools","All state-funded schools","All state-funded schools","86.8","%","7927","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","Selective schools","All state-funded schools","All state-funded schools","All state-funded schools","90.8","%","612","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","Selective schools","All state-funded schools","All state-funded schools","All state-funded schools","93.0","%","2025","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","Selective schools","All state-funded schools","All state-funded schools","All state-funded schools","90.6","%","385","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All pupils","Selective schools","All state-funded schools","All state-funded schools","All state-funded schools","94.5","%","220","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","Selective schools","All state-funded schools","All state-funded schools","All state-funded schools","91.2","%","8012","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","Selective schools","All state-funded schools","All state-funded schools","All state-funded schools","94.3","%","611","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","Selective schools","All state-funded schools","All state-funded schools","All state-funded schools","96.2","%","1828","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","Selective schools","All state-funded schools","All state-funded schools","All state-funded schools","96.2","%","449","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All pupils","Selective schools","All state-funded schools","All state-funded schools","All state-funded schools","98.3","%","179","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","Non-selective schools in highly selective areas","All state-funded schools","All state-funded schools","All state-funded schools","30.1","%","28481","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","Non-selective schools in highly selective areas","All state-funded schools","All state-funded schools","All state-funded schools","33.8","%","1333","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","Non-selective schools in highly selective areas","All state-funded schools","All state-funded schools","All state-funded schools","42.2","%","1901","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","Non-selective schools in highly selective areas","All state-funded schools","All state-funded schools","All state-funded schools","39.1","%","1232","","",""
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","Non-selective schools in highly selective areas","All state-funded schools","All state-funded schools","All state-funded schools","61.5","%","109","","",""
