"Title","NHS workforce appointments from shortlisting"
"Location","England"
"Time period","2016/17"
"Data source","NHS England"
"Data source link","https://www.england.nhs.uk/publication/workforce-race-equality-standard-data-reporting-december-2017/"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-06-11"
"Measure","NHS_trust","NHS_trust_code","Ethnicity","Ethnicity_type","Geography","Geography_type","NHS_trust_type","Numerator","Denominator","Value","Value_type","Relative_likelihood_White:Other","Comments"
"Percentage of shortlisted applicants who are appointed for an NHS job","Guy's and St Thomas' NHS Foundation Trust","RJ1","White","White & Other","London","Grouped region","Acute","1240","3166","0.391661","%","2",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Guy's and St Thomas' NHS Foundation Trust","RJ1","Other","White & Other","London","Grouped region","Acute","792","3969","0.199546","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Lewisham and Greenwich NHS Trust","RJ2","White","White & Other","London","Grouped region","Acute","408","4449","0.091706","%","2.9",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Lewisham and Greenwich NHS Trust","RJ2","Other","White & Other","London","Grouped region","Acute","290","9083","0.031928","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Croydon Health Services NHS Trust","RJ6","White","White & Other","London","Grouped region","Acute","57","558","0.102151","%","0.4",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Croydon Health Services NHS Trust","RJ6","Other","White & Other","London","Grouped region","Acute","326","1291","0.252517","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","St George's University Hospitals NHS Foundation Trust","RJ7","White","White & Other","London","Grouped region","Acute","767","7614","0.100735","%","2.6",""
"Percentage of shortlisted applicants who are appointed for an NHS job","St George's University Hospitals NHS Foundation Trust","RJ7","Other","White & Other","London","Grouped region","Acute","551","14347","0.038405","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Cornwall Partnership NHS Foundation Trust","RJ8","White","White & Other","South","Grouped region","Mental Health","715","3588","0.199275","%","1.6",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Cornwall Partnership NHS Foundation Trust","RJ8","Other","White & Other","South","Grouped region","Mental Health","20","158","0.126582","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","South Warwickshire NHS Foundation Trust","RJC","White","White & Other","Midlands & East","Grouped region","Acute","633","3210","0.197196","%","1.6",""
"Percentage of shortlisted applicants who are appointed for an NHS job","South Warwickshire NHS Foundation Trust","RJC","Other","White & Other","Midlands & East","Grouped region","Acute","130","1044","0.124521","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","University Hospitals of North Midlands NHS Trust","RJE","White","White & Other","Midlands & East","Grouped region","Acute","1101","5233","0.210396","%","1",""
"Percentage of shortlisted applicants who are appointed for an NHS job","University Hospitals of North Midlands NHS Trust","RJE","Other","White & Other","Midlands & East","Grouped region","Acute","404","1832","0.220524","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Burton Hospitals NHS Foundation Trust","RJF","White","White & Other","Midlands & East","Grouped region","Acute","422","2150","0.196279","%","1.5",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Burton Hospitals NHS Foundation Trust","RJF","Other","White & Other","Midlands & East","Grouped region","Acute","94","710","0.132394","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Northern Lincolnshire and Goole NHS Foundation Trust","RJL","White","White & Other","North","Grouped region","Acute","780","3319","0.235011","%","2.2",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Northern Lincolnshire and Goole NHS Foundation Trust","RJL","Other","White & Other","North","Grouped region","Acute","64","610","0.104918","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","East Cheshire NHS Trust","RJN","White","White & Other","North","Grouped region","Acute","497","2425","0.204948","%","1.7",""
"Percentage of shortlisted applicants who are appointed for an NHS job","East Cheshire NHS Trust","RJN","Other","White & Other","North","Grouped region","Acute","68","549","0.123862","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Countess of Chester Hospital NHS Foundation Trust","RJR","White","White & Other","North","Grouped region","Acute","637","2339","0.272339","%","0.8",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Countess of Chester Hospital NHS Foundation Trust","RJR","Other","White & Other","North","Grouped region","Acute","109","338","0.322485","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","King's College Hospital NHS Foundation Trust","RJZ","White","White & Other","London","Grouped region","Acute","1464","7270","0.201376","%","1.8",""
"Percentage of shortlisted applicants who are appointed for an NHS job","King's College Hospital NHS Foundation Trust","RJZ","Other","White & Other","London","Grouped region","Acute","1298","11499","0.112879","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Sherwood Forest Hospitals NHS Foundation Trust","RK5","White","White & Other","Midlands & East","Grouped region","Acute","212","6936","0.030565","%","1.1",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Sherwood Forest Hospitals NHS Foundation Trust","RK5","Other","White & Other","Midlands & East","Grouped region","Acute","38","1413","0.026893","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Plymouth Hospitals NHS Trust","RK9","White","White & Other","South","Grouped region","Acute","905","6025","0.150207","%","0.6",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Plymouth Hospitals NHS Trust","RK9","Other","White & Other","South","Grouped region","Acute","191","737","0.259159","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","University Hospitals Coventry and Warwickshire NHS Trust","RKB","White","White & Other","Midlands & East","Grouped region","Acute","441","817","0.53978","%","0.8",""
"Percentage of shortlisted applicants who are appointed for an NHS job","University Hospitals Coventry and Warwickshire NHS Trust","RKB","Other","White & Other","Midlands & East","Grouped region","Acute","257","380","0.676316","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","The Whittington Hospital NHS Trust","RKE","White","White & Other","London","Grouped region","Acute","112","295","0.379661","%","2.2",""
"Percentage of shortlisted applicants who are appointed for an NHS job","The Whittington Hospital NHS Trust","RKE","Other","White & Other","London","Grouped region","Acute","102","584","0.174658","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","West London Mental Health NHS Trust","RKL","White","White & Other","London","Grouped region","Mental Health","230","1660","0.138554","%","0.7",""
"Percentage of shortlisted applicants who are appointed for an NHS job","West London Mental Health NHS Trust","RKL","Other","White & Other","London","Grouped region","Mental Health","187","889","0.210349","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust","RL1","White","White & Other","Midlands & East","Grouped region","Acute","334","1357","0.246131","%","2.1",""
"Percentage of shortlisted applicants who are appointed for an NHS job","The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust","RL1","Other","White & Other","Midlands & East","Grouped region","Acute","18","152","0.118421","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","The Royal Wolverhampton NHS Trust","RL4","White","White & Other","Midlands & East","Grouped region","Acute","412","4395","0.093743","%","1.7",""
"Percentage of shortlisted applicants who are appointed for an NHS job","The Royal Wolverhampton NHS Trust","RL4","Other","White & Other","Midlands & East","Grouped region","Acute","146","2701","0.054054","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","City Hospitals Sunderland NHS Foundation Trust","RLN","White","White & Other","North","Grouped region","Acute","499","573","0.870855","%","1.2",""
"Percentage of shortlisted applicants who are appointed for an NHS job","City Hospitals Sunderland NHS Foundation Trust","RLN","Other","White & Other","North","Grouped region","Acute","46","61","0.754098","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Wye Valley NHS Trust","RLQ","White","White & Other","Midlands & East","Grouped region","Acute","205","2922","0.070157","%","1.5",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Wye Valley NHS Trust","RLQ","Other","White & Other","Midlands & East","Grouped region","Acute","25","519","0.04817","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","George Eliot Hospital NHS Trust","RLT","White","White & Other","Midlands & East","Grouped region","Acute","221","1672","0.132177","%","1.4",""
"Percentage of shortlisted applicants who are appointed for an NHS job","George Eliot Hospital NHS Trust","RLT","Other","White & Other","Midlands & East","Grouped region","Acute","68","713","0.095372","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","North Staffordshire Combined Healthcare NHS Trust","RLY","White","White & Other","Midlands & East","Grouped region","Mental Health","196","997","0.19659","%","1.2",""
"Percentage of shortlisted applicants who are appointed for an NHS job","North Staffordshire Combined Healthcare NHS Trust","RLY","Other","White & Other","Midlands & East","Grouped region","Mental Health","29","177","0.163842","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Norfolk and Norwich University Hospitals NHS Foundation Trust","RM1","White","White & Other","Midlands & East","Grouped region","Acute","786","3890","0.202057","%","1.6",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Norfolk and Norwich University Hospitals NHS Foundation Trust","RM1","Other","White & Other","Midlands & East","Grouped region","Acute","67","527","0.127135","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","University Hospital of South Manchester NHS Foundation Trust","RM2","White","White & Other","North","Grouped region","Acute","976","3055","0.319476","%","2.7",""
"Percentage of shortlisted applicants who are appointed for an NHS job","University Hospital of South Manchester NHS Foundation Trust","RM2","Other","White & Other","North","Grouped region","Acute","201","1689","0.119005","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Salford Royal NHS Foundation Trust","RM3","White","White & Other","North","Grouped region","Acute","718","3118","0.230276","%","1.8",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Salford Royal NHS Foundation Trust","RM3","Other","White & Other","North","Grouped region","Acute","127","991","0.128153","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Bolton NHS Foundation Trust","RMC","White","White & Other","North","Grouped region","Acute","791","1099","0.719745","%","0.9",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Bolton NHS Foundation Trust","RMC","Other","White & Other","North","Grouped region","Acute","182","221","0.823529","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Tameside and Glossop Integrated Care NHS Foundation Trust","RMP","White","White & Other","North","Grouped region","Acute","938","3714","0.252558","%","1.5",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Tameside and Glossop Integrated Care NHS Foundation Trust","RMP","Other","White & Other","North","Grouped region","Acute","203","1175","0.172766","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Norfolk and Suffolk NHS Foundation Trust","RMY","White","White & Other","Midlands & East","Grouped region","Mental Health","553","2791","0.198137","%","1.7",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Norfolk and Suffolk NHS Foundation Trust","RMY","Other","White & Other","Midlands & East","Grouped region","Mental Health","47","410","0.114634","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Great Western Hospitals NHS Foundation Trust","RN3","White","White & Other","South","Grouped region","Acute","888","4593","0.193338","%","1.7",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Great Western Hospitals NHS Foundation Trust","RN3","Other","White & Other","South","Grouped region","Acute","142","1230","0.115447","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Hampshire Hospitals NHS Foundation Trust","RN5","White","White & Other","South","Grouped region","Acute","840","4803","0.174891","%","1.5",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Hampshire Hospitals NHS Foundation Trust","RN5","Other","White & Other","South","Grouped region","Acute","194","1677","0.115683","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Dartford and Gravesham NHS Trust","RN7","White","White & Other","South","Grouped region","Acute","477","1865","0.255764","%","1.7",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Dartford and Gravesham NHS Trust","RN7","Other","White & Other","South","Grouped region","Acute","196","1271","0.154209","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","The Dudley Group NHS Foundation Trust","RNA","White","White & Other","Midlands & East","Grouped region","Acute","646","3363","0.19209","%","1.3",""
"Percentage of shortlisted applicants who are appointed for an NHS job","The Dudley Group NHS Foundation Trust","RNA","Other","White & Other","Midlands & East","Grouped region","Acute","265","1859","0.14255","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Tavistock and Portman NHS Foundation Trust","RNK","White","White & Other","London","Grouped region","Mental Health","79","480","0.164583","%","2",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Tavistock and Portman NHS Foundation Trust","RNK","Other","White & Other","London","Grouped region","Mental Health","25","299","0.083612","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","North Cumbria University Hospitals NHS Trust","RNL","White","White & Other","North","Grouped region","Acute","361","1794","0.201226","%","1.1",""
"Percentage of shortlisted applicants who are appointed for an NHS job","North Cumbria University Hospitals NHS Trust","RNL","Other","White & Other","North","Grouped region","Acute","23","124","0.185484","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Cumbria Partnership NHS Foundation Trust","RNN","White","White & Other","North","Grouped region","Mental Health","572","3599","0.158933","%","1.5",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Cumbria Partnership NHS Foundation Trust","RNN","Other","White & Other","North","Grouped region","Mental Health","18","168","0.107143","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Kettering General Hospital NHS Foundation Trust","RNQ","White","White & Other","Midlands & East","Grouped region","Acute","634","2553","0.248335","%","0.7",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Kettering General Hospital NHS Foundation Trust","RNQ","Other","White & Other","Midlands & East","Grouped region","Acute","424","1231","0.344435","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Northampton General Hospital NHS Trust","RNS","White","White & Other","Midlands & East","Grouped region","Acute","929","3983","0.233241","%","1.2",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Northampton General Hospital NHS Trust","RNS","Other","White & Other","Midlands & East","Grouped region","Acute","346","1753","0.197376","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Oxford Health NHS Foundation Trust","RNU","White","White & Other","South","Grouped region","Mental Health","879","4554","0.193017","%","1.5",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Oxford Health NHS Foundation Trust","RNU","Other","White & Other","South","Grouped region","Mental Health","199","1559","0.127646","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Salisbury NHS Foundation Trust","RNZ","White","White & Other","South","Grouped region","Acute","523","1681","0.311124","%","1.6",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Salisbury NHS Foundation Trust","RNZ","Other","White & Other","South","Grouped region","Acute","87","434","0.200461","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Northamptonshire Healthcare NHS Foundation Trust","RP1","White","White & Other","Midlands & East","Grouped region","Mental Health","398","2974","0.133826","%","1.5",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Northamptonshire Healthcare NHS Foundation Trust","RP1","Other","White & Other","Midlands & East","Grouped region","Mental Health","96","1106","0.086799","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Great Ormond Street Hospital For Children NHS Foundation Trust","RP4","White","White & Other","London","Grouped region","Acute","702","3510","0.2","%","1.7",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Great Ormond Street Hospital For Children NHS Foundation Trust","RP4","Other","White & Other","London","Grouped region","Acute","402","3479","0.11555","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust","RP5","White","White & Other","North","Grouped region","Acute","150","1278","0.117371","%","1.3",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust","RP5","Other","White & Other","North","Grouped region","Acute","21","227","0.092511","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Moorfields Eye Hospital NHS Foundation Trust","RP6","White","White & Other","London","Grouped region","Acute","116","1081","0.107308","%","1.3",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Moorfields Eye Hospital NHS Foundation Trust","RP6","Other","White & Other","London","Grouped region","Acute","142","1776","0.079955","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Lincolnshire Partnership NHS Foundation Trust","RP7","White","White & Other","Midlands & East","Grouped region","Mental Health","1042","2623","0.397255","%","3.3",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Lincolnshire Partnership NHS Foundation Trust","RP7","Other","White & Other","Midlands & East","Grouped region","Mental Health","28","234","0.119658","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Medway NHS Foundation Trust","RPA","White","White & Other","South","Grouped region","Acute","1063","3152","0.337246","%","1.2",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Medway NHS Foundation Trust","RPA","Other","White & Other","South","Grouped region","Acute","383","1365","0.280586","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Queen Victoria Hospital NHS Foundation Trust","RPC","White","White & Other","South","Grouped region","Acute","106","814","0.130221","%","1.5",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Queen Victoria Hospital NHS Foundation Trust","RPC","Other","White & Other","South","Grouped region","Acute","21","234","0.089744","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Oxleas NHS Foundation Trust","RPG","White","White & Other","London","Grouped region","Mental Health","589","2778","0.212023","%","1.6",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Oxleas NHS Foundation Trust","RPG","Other","White & Other","London","Grouped region","Mental Health","408","3075","0.132683","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","The Royal Marsden NHS Foundation Trust","RPY","White","White & Other","London","Grouped region","Acute","500","2319","0.21561","%","2.4",""
"Percentage of shortlisted applicants who are appointed for an NHS job","The Royal Marsden NHS Foundation Trust","RPY","Other","White & Other","London","Grouped region","Acute","239","2683","0.089079","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Birmingham Women's and Children's NHS Foundation Trust","RQ3","White","White & Other","Midlands & East","Grouped region","Acute","862","3797","0.227021","%","1.9",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Birmingham Women's and Children's NHS Foundation Trust","RQ3","Other","White & Other","Midlands & East","Grouped region","Acute","339","2809","0.120684","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Royal Liverpool and Broadgreen University Hospitals NHS Trust","RQ6","White","White & Other","North","Grouped region","Acute","121","282","0.429078","%","1.8",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Royal Liverpool and Broadgreen University Hospitals NHS Trust","RQ6","Other","White & Other","North","Grouped region","Acute","25","107","0.233645","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Mid Essex Hospital Services NHS Trust","RQ8","White","White & Other","Midlands & East","Grouped region","Acute","754","3565","0.211501","%","1.9",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Mid Essex Hospital Services NHS Trust","RQ8","Other","White & Other","Midlands & East","Grouped region","Acute","151","1344","0.112351","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Chelsea and Westminster Hospital NHS Foundation Trust","RQM","White","White & Other","London","Grouped region","Acute","292","2827","0.10329","%","2.4",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Chelsea and Westminster Hospital NHS Foundation Trust","RQM","Other","White & Other","London","Grouped region","Acute","285","6629","0.042993","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Hinchingbrooke Health Care NHS Trust","RQQ","White","White & Other","Midlands & East","Grouped region","Acute","314","1352","0.232249","%","1.2",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Hinchingbrooke Health Care NHS Trust","RQQ","Other","White & Other","Midlands & East","Grouped region","Acute","87","450","0.193333","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","The Princess Alexandra Hospital NHS Trust","RQW","White","White & Other","Midlands & East","Grouped region","Acute","323","2140","0.150935","%","1.4",""
"Percentage of shortlisted applicants who are appointed for an NHS job","The Princess Alexandra Hospital NHS Trust","RQW","Other","White & Other","Midlands & East","Grouped region","Acute","135","1224","0.110294","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Homerton University Hospital NHS Foundation Trust","RQX","White","White & Other","London","Grouped region","Acute","217","964","0.225104","%","1.9",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Homerton University Hospital NHS Foundation Trust","RQX","Other","White & Other","London","Grouped region","Acute","162","1345","0.120446","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","South West London and St George's Mental Health NHS Trust","RQY","White","White & Other","London","Grouped region","Mental Health","74","967","0.076525","%","2",""
"Percentage of shortlisted applicants who are appointed for an NHS job","South West London and St George's Mental Health NHS Trust","RQY","Other","White & Other","London","Grouped region","Mental Health","71","1876","0.037846","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Heart of England NHS Foundation Trust","RR1","White","White & Other","Midlands & East","Grouped region","Acute","1251","6434","0.194436","%","1.6",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Heart of England NHS Foundation Trust","RR1","Other","White & Other","Midlands & East","Grouped region","Acute","721","5947","0.121238","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Gateshead Health NHS Foundation Trust","RR7","White","White & Other","North","Grouped region","Acute","522","3571","0.146178","%","2.1",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Gateshead Health NHS Foundation Trust","RR7","Other","White & Other","North","Grouped region","Acute","29","426","0.068075","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Leeds Teaching Hospitals NHS Trust","RR8","White","White & Other","North","Grouped region","Acute","2178","12637","0.172351","%","1.9",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Leeds Teaching Hospitals NHS Trust","RR8","Other","White & Other","North","Grouped region","Acute","489","5281","0.092596","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","North Essex Partnership University NHS Foundation Trust","RRD","White","White & Other","Midlands & East","Grouped region","Mental Health","87","1338","0.065022","%","1.5",""
"Percentage of shortlisted applicants who are appointed for an NHS job","North Essex Partnership University NHS Foundation Trust","RRD","Other","White & Other","Midlands & East","Grouped region","Mental Health","28","627","0.044657","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","South Staffordshire and Shropshire Healthcare NHS Foundation Trust","RRE","White","White & Other","Midlands & East","Grouped region","Mental Health","666","3291","0.20237","%","1.5",""
"Percentage of shortlisted applicants who are appointed for an NHS job","South Staffordshire and Shropshire Healthcare NHS Foundation Trust","RRE","Other","White & Other","Midlands & East","Grouped region","Mental Health","84","618","0.135922","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Wrightington, Wigan and Leigh NHS Foundation Trust","RRF","White","White & Other","North","Grouped region","Acute","614","2510","0.244622","%","2.1",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Wrightington, Wigan and Leigh NHS Foundation Trust","RRF","Other","White & Other","North","Grouped region","Acute","21","177","0.118644","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","The Royal Orthopaedic Hospital NHS Foundation Trust","RRJ","White","White & Other","Midlands & East","Grouped region","Acute","145","770","0.188312","%","1.4",""
"Percentage of shortlisted applicants who are appointed for an NHS job","The Royal Orthopaedic Hospital NHS Foundation Trust","RRJ","Other","White & Other","Midlands & East","Grouped region","Acute","61","469","0.130064","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","University Hospitals Birmingham NHS Foundation Trust","RRK","White","White & Other","Midlands & East","Grouped region","Acute","1310","5709","0.229462","%","1.8",""
"Percentage of shortlisted applicants who are appointed for an NHS job","University Hospitals Birmingham NHS Foundation Trust","RRK","Other","White & Other","Midlands & East","Grouped region","Acute","580","4440","0.130631","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Barnet, Enfield and Haringey Mental Health NHS Trust","RRP","White","White & Other","London","Grouped region","Mental Health","277","740","0.374324","%","1.4",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Barnet, Enfield and Haringey Mental Health NHS Trust","RRP","Other","White & Other","London","Grouped region","Mental Health","302","1158","0.260794","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","London Ambulance Service NHS Trust","RRU","White","White & Other","London","Grouped region","Ambulance","163","672","0.24256","%","1.6",""
"Percentage of shortlisted applicants who are appointed for an NHS job","London Ambulance Service NHS Trust","RRU","Other","White & Other","London","Grouped region","Ambulance","61","411","0.148418","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","University College London Hospitals NHS Foundation Trust","RRV","White","White & Other","London","Grouped region","Acute","520","3808","0.136555","%","1.7",""
"Percentage of shortlisted applicants who are appointed for an NHS job","University College London Hospitals NHS Foundation Trust","RRV","Other","White & Other","London","Grouped region","Acute","430","5203","0.082645","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Cambridgeshire and Peterborough NHS Foundation Trust","RT1","White","White & Other","Midlands & East","Grouped region","Mental Health","578","3527","0.163879","%","1.6",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Cambridgeshire and Peterborough NHS Foundation Trust","RT1","Other","White & Other","Midlands & East","Grouped region","Mental Health","108","1063","0.101599","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Pennine Care NHS Foundation Trust","RT2","White","White & Other","North","Grouped region","Mental Health","725","3636","0.199395","%","1.7",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Pennine Care NHS Foundation Trust","RT2","Other","White & Other","North","Grouped region","Mental Health","121","1047","0.115568","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Royal Brompton & Harefield NHS Foundation Trust","RT3","White","White & Other","London","Grouped region","Acute","468","1735","0.269741","%","2.1",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Royal Brompton & Harefield NHS Foundation Trust","RT3","Other","White & Other","London","Grouped region","Acute","246","1886","0.130435","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Leicestershire Partnership NHS Trust","RT5","White","White & Other","Midlands & East","Grouped region","Mental Health","659","3440","0.19157","%","1.5",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Leicestershire Partnership NHS Trust","RT5","Other","White & Other","Midlands & East","Grouped region","Mental Health","301","2283","0.131844","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","The Newcastle Upon Tyne Hospitals NHS Foundation Trust","RTD","White","White & Other","North","Grouped region","Acute","1013","9908","0.102241","%","0.9",""
"Percentage of shortlisted applicants who are appointed for an NHS job","The Newcastle Upon Tyne Hospitals NHS Foundation Trust","RTD","Other","White & Other","North","Grouped region","Acute","144","1274","0.11303","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Gloucestershire Hospitals NHS Foundation Trust","RTE","White","White & Other","South","Grouped region","Acute","1008","4631","0.217664","%","1.4",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Gloucestershire Hospitals NHS Foundation Trust","RTE","Other","White & Other","South","Grouped region","Acute","176","1158","0.151986","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Northumbria Healthcare NHS Foundation Trust","RTF","White","White & Other","North","Grouped region","Acute","1611","10482","0.153692","%","1.9",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Northumbria Healthcare NHS Foundation Trust","RTF","Other","White & Other","North","Grouped region","Acute","89","1093","0.081427","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Derby Teaching Hospitals NHS Foundation Trust","RTG","White","White & Other","Midlands & East","Grouped region","Acute","1366","4620","0.295671","%","1.6",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Derby Teaching Hospitals NHS Foundation Trust","RTG","Other","White & Other","Midlands & East","Grouped region","Acute","329","1810","0.181768","%","-",""
"Percentage of shortlisted applicants who are appointed for an NHS job","Oxford University Hospitals NHS Foundation Trust","RTH","White","White & Other","South","Grouped region","Acute","1996","8588","0.232417","%","1.7",""
