"Title","Prosecutions and convictions"
"Location","England and Wales"
"Time period","2009 to 2016"
"Data source","Ministry of Justice"
"Data source link","https://www.gov.uk/government/collections/criminal-justice-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-09-11"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Gender","Gender_type","Age Group","Age Group Type","Value","Denominator","Numerator"
"Percentage of defendants convicted","2011","Year","Other","ONS 5+1 2001","Male","Male/Female/Not known/All","Adults","Juveniles/Adults/All","81.8","3859","3158"
"Percentage of defendants convicted","2011","Year","Mixed","ONS 5+1 2001","Male","Male/Female/Not known/All","Adults","Juveniles/Adults/All","78.8","8387","6610"
"Percentage of defendants convicted","2011","Year","Not stated","ONS 5+1 2001","Male","Male/Female/Not known/All","Adults","Juveniles/Adults/All","75.4","29779","22451"
"Percentage of defendants convicted","2011","Year","White","ONS 5+1 2001","Male","Male/Female/Not known/All","Adults","Juveniles/Adults/All","83.6","232936","194803"
"Percentage of defendants convicted","2011","Year","Asian","ONS 5+1 2001","Male","Male/Female/Not known/All","All","Juveniles/Adults/All","78.6","18861","14825"
"Percentage of defendants convicted","2011","Year","Black","ONS 5+1 2001","Male","Male/Female/Not known/All","All","Juveniles/Adults/All","78.4","30294","23746"
"Percentage of defendants convicted","2011","Year","Other","ONS 5+1 2001","Male","Male/Female/Not known/All","All","Juveniles/Adults/All","81","4247","3438"
"Percentage of defendants convicted","2011","Year","Mixed","ONS 5+1 2001","Male","Male/Female/Not known/All","All","Juveniles/Adults/All","77.8","10771","8376"
"Percentage of defendants convicted","2011","Year","Not stated","ONS 5+1 2001","Male","Male/Female/Not known/All","All","Juveniles/Adults/All","75.4","33096","24953"
"Percentage of defendants convicted","2011","Year","White","ONS 5+1 2001","Male","Male/Female/Not known/All","All","Juveniles/Adults/All","83","261275","216884"
"Percentage of defendants convicted","2011","Year","Asian","ONS 5+1 2001","Male","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","73.3","2200","1613"
"Percentage of defendants convicted","2011","Year","Black","ONS 5+1 2001","Male","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","70.8","5622","3982"
"Percentage of defendants convicted","2011","Year","Other","ONS 5+1 2001","Male","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","72.2","388","280"
"Percentage of defendants convicted","2011","Year","Mixed","ONS 5+1 2001","Male","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","74.1","2384","1766"
"Percentage of defendants convicted","2011","Year","Not stated","ONS 5+1 2001","Male","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","75.4","3317","2502"
"Percentage of defendants convicted","2011","Year","White","ONS 5+1 2001","Male","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","77.9","28339","22081"
"Percentage of defendants convicted","2011","Year","Asian","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Adults","Juveniles/Adults/All","46.7","30","14"
"Percentage of defendants convicted","2011","Year","Black","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Adults","Juveniles/Adults/All","55.3","47","26"
"Percentage of defendants convicted","2011","Year","Other","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Adults","Juveniles/Adults/All","63.6","11","7"
"Percentage of defendants convicted","2011","Year","Mixed","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Adults","Juveniles/Adults/All","41.7","12","5"
"Percentage of defendants convicted","2011","Year","Not stated","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Adults","Juveniles/Adults/All","55.5","3320","1841"
"Percentage of defendants convicted","2011","Year","White","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Adults","Juveniles/Adults/All","62.4","290","181"
"Percentage of defendants convicted","2011","Year","Asian","ONS 5+1 2001","Not Known","Male/Female/Not known/All","All","Juveniles/Adults/All","54.3","35","19"
"Percentage of defendants convicted","2011","Year","Black","ONS 5+1 2001","Not Known","Male/Female/Not known/All","All","Juveniles/Adults/All","58.1","62","36"
"Percentage of defendants convicted","2011","Year","Other","ONS 5+1 2001","Not Known","Male/Female/Not known/All","All","Juveniles/Adults/All","61.5","13","8"
"Percentage of defendants convicted","2011","Year","Mixed","ONS 5+1 2001","Not Known","Male/Female/Not known/All","All","Juveniles/Adults/All","46.7","15","7"
"Percentage of defendants convicted","2011","Year","Not stated","ONS 5+1 2001","Not Known","Male/Female/Not known/All","All","Juveniles/Adults/All","57","3647","2077"
"Percentage of defendants convicted","2011","Year","White","ONS 5+1 2001","Not Known","Male/Female/Not known/All","All","Juveniles/Adults/All","64.8","324","210"
"Percentage of defendants convicted","2011","Year","Asian","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","NA","NA","5"
"Percentage of defendants convicted","2011","Year","Black","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","66.7","15","10"
"Percentage of defendants convicted","2011","Year","Other","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","50","2","1"
"Percentage of defendants convicted","2011","Year","Mixed","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","66.7","3","2"
"Percentage of defendants convicted","2011","Year","Not stated","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","72.2","327","236"
"Percentage of defendants convicted","2011","Year","White","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","85.3","34","29"
"Percentage of defendants convicted","2012","Year","Asian","ONS 5+1 2001","All","Male/Female/Not known/All","Adults","Juveniles/Adults/All","78.7","15916","12524"
"Percentage of defendants convicted","2012","Year","Black","ONS 5+1 2001","All","Male/Female/Not known/All","Adults","Juveniles/Adults/All","80.3","24586","19747"
"Percentage of defendants convicted","2012","Year","Other","ONS 5+1 2001","All","Male/Female/Not known/All","Adults","Juveniles/Adults/All","83.4","3811","3180"
"Percentage of defendants convicted","2012","Year","Mixed","ONS 5+1 2001","All","Male/Female/Not known/All","Adults","Juveniles/Adults/All","79.9","8757","6998"
"Percentage of defendants convicted","2012","Year","Not stated","ONS 5+1 2001","All","Male/Female/Not known/All","Adults","Juveniles/Adults/All","73.8","41650","30718"
"Percentage of defendants convicted","2012","Year","White","ONS 5+1 2001","All","Male/Female/Not known/All","Adults","Juveniles/Adults/All","84.7","244101","206851"
"Percentage of defendants convicted","2012","Year","Asian","ONS 5+1 2001","All","Male/Female/Not known/All","All","Juveniles/Adults/All","78.3","17745","13895"
"Percentage of defendants convicted","2012","Year","Black","ONS 5+1 2001","All","Male/Female/Not known/All","All","Juveniles/Adults/All","79.1","29153","23051"
"Percentage of defendants convicted","2012","Year","Other","ONS 5+1 2001","All","Male/Female/Not known/All","All","Juveniles/Adults/All","82.8","4193","3470"
"Percentage of defendants convicted","2012","Year","Mixed","ONS 5+1 2001","All","Male/Female/Not known/All","All","Juveniles/Adults/All","78.4","10839","8497"
"Percentage of defendants convicted","2012","Year","Not stated","ONS 5+1 2001","All","Male/Female/Not known/All","All","Juveniles/Adults/All","74","45633","33772"
"Percentage of defendants convicted","2012","Year","White","ONS 5+1 2001","All","Male/Female/Not known/All","All","Juveniles/Adults/All","84","268301","225426"
"Percentage of defendants convicted","2012","Year","Asian","ONS 5+1 2001","All","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","75","1829","1371"
"Percentage of defendants convicted","2012","Year","Black","ONS 5+1 2001","All","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","72.3","4567","3304"
"Percentage of defendants convicted","2012","Year","Other","ONS 5+1 2001","All","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","75.9","382","290"
"Percentage of defendants convicted","2012","Year","Mixed","ONS 5+1 2001","All","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","72","2082","1499"
"Percentage of defendants convicted","2012","Year","Not stated","ONS 5+1 2001","All","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","76.7","3983","3054"
"Percentage of defendants convicted","2012","Year","White","ONS 5+1 2001","All","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","76.8","24200","18575"
"Percentage of defendants convicted","2012","Year","Asian","ONS 5+1 2001","Female","Male/Female/Not known/All","Adults","Juveniles/Adults/All","75.1","942","707"
"Percentage of defendants convicted","2012","Year","Black","ONS 5+1 2001","Female","Male/Female/Not known/All","Adults","Juveniles/Adults/All","80.2","2462","1974"
"Percentage of defendants convicted","2012","Year","Other","ONS 5+1 2001","Female","Male/Female/Not known/All","Adults","Juveniles/Adults/All","85.6","452","387"
"Percentage of defendants convicted","2012","Year","Mixed","ONS 5+1 2001","Female","Male/Female/Not known/All","Adults","Juveniles/Adults/All","77.5","1167","904"
"Percentage of defendants convicted","2012","Year","Not stated","ONS 5+1 2001","Female","Male/Female/Not known/All","Adults","Juveniles/Adults/All","73.2","7803","5715"
"Percentage of defendants convicted","2012","Year","White","ONS 5+1 2001","Female","Male/Female/Not known/All","Adults","Juveniles/Adults/All","84.2","35311","29730"
"Percentage of defendants convicted","2012","Year","Asian","ONS 5+1 2001","Female","Male/Female/Not known/All","All","Juveniles/Adults/All","74.7","1016","759"
"Percentage of defendants convicted","2012","Year","Black","ONS 5+1 2001","Female","Male/Female/Not known/All","All","Juveniles/Adults/All","79.6","2817","2242"
"Percentage of defendants convicted","2012","Year","Other","ONS 5+1 2001","Female","Male/Female/Not known/All","All","Juveniles/Adults/All","85.6","499","427"
"Percentage of defendants convicted","2012","Year","Mixed","ONS 5+1 2001","Female","Male/Female/Not known/All","All","Juveniles/Adults/All","77","1364","1050"
"Percentage of defendants convicted","2012","Year","Not stated","ONS 5+1 2001","Female","Male/Female/Not known/All","All","Juveniles/Adults/All","73.4","8383","6149"
"Percentage of defendants convicted","2012","Year","White","ONS 5+1 2001","Female","Male/Female/Not known/All","All","Juveniles/Adults/All","83.6","38350","32064"
"Percentage of defendants convicted","2012","Year","Asian","ONS 5+1 2001","Female","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","70.3","74","52"
"Percentage of defendants convicted","2012","Year","Black","ONS 5+1 2001","Female","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","75.5","355","268"
"Percentage of defendants convicted","2012","Year","Other","ONS 5+1 2001","Female","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","85.1","47","40"
"Percentage of defendants convicted","2012","Year","Mixed","ONS 5+1 2001","Female","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","74.1","197","146"
"Percentage of defendants convicted","2012","Year","Not stated","ONS 5+1 2001","Female","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","74.8","580","434"
"Percentage of defendants convicted","2012","Year","White","ONS 5+1 2001","Female","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","76.8","3039","2334"
"Percentage of defendants convicted","2012","Year","Asian","ONS 5+1 2001","Male","Male/Female/Not known/All","Adults","Juveniles/Adults/All","79.1","14921","11796"
"Percentage of defendants convicted","2012","Year","Black","ONS 5+1 2001","Male","Male/Female/Not known/All","Adults","Juveniles/Adults/All","80.4","22056","17737"
"Percentage of defendants convicted","2012","Year","Other","ONS 5+1 2001","Male","Male/Female/Not known/All","Adults","Juveniles/Adults/All","83.3","3343","2786"
"Percentage of defendants convicted","2012","Year","Mixed","ONS 5+1 2001","Male","Male/Female/Not known/All","Adults","Juveniles/Adults/All","80.3","7571","6083"
"Percentage of defendants convicted","2012","Year","Not stated","ONS 5+1 2001","Male","Male/Female/Not known/All","Adults","Juveniles/Adults/All","76.1","30245","23010"
"Percentage of defendants convicted","2012","Year","White","ONS 5+1 2001","Male","Male/Female/Not known/All","Adults","Juveniles/Adults/All","84.9","208382","176880"
"Percentage of defendants convicted","2012","Year","Asian","ONS 5+1 2001","Male","Male/Female/Not known/All","All","Juveniles/Adults/All","78.6","16672","13112"
"Percentage of defendants convicted","2012","Year","Black","ONS 5+1 2001","Male","Male/Female/Not known/All","All","Juveniles/Adults/All","79.1","26263","20769"
"Percentage of defendants convicted","2012","Year","Other","ONS 5+1 2001","Male","Male/Female/Not known/All","All","Juveniles/Adults/All","82.6","3675","3034"
"Percentage of defendants convicted","2012","Year","Mixed","ONS 5+1 2001","Male","Male/Female/Not known/All","All","Juveniles/Adults/All","78.6","9450","7431"
"Percentage of defendants convicted","2012","Year","Not stated","ONS 5+1 2001","Male","Male/Female/Not known/All","All","Juveniles/Adults/All","76.1","33357","25401"
"Percentage of defendants convicted","2012","Year","White","ONS 5+1 2001","Male","Male/Female/Not known/All","All","Juveniles/Adults/All","84.1","229514","193103"
"Percentage of defendants convicted","2012","Year","Asian","ONS 5+1 2001","Male","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","75.2","1751","1316"
"Percentage of defendants convicted","2012","Year","Black","ONS 5+1 2001","Male","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","72.1","4207","3032"
"Percentage of defendants convicted","2012","Year","Other","ONS 5+1 2001","Male","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","74.7","332","248"
"Percentage of defendants convicted","2012","Year","Mixed","ONS 5+1 2001","Male","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","71.7","1879","1348"
"Percentage of defendants convicted","2012","Year","Not stated","ONS 5+1 2001","Male","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","76.8","3112","2391"
"Percentage of defendants convicted","2012","Year","White","ONS 5+1 2001","Male","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","76.8","21132","16223"
"Percentage of defendants convicted","2012","Year","Asian","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Adults","Juveniles/Adults/All","39.6","53","21"
"Percentage of defendants convicted","2012","Year","Black","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Adults","Juveniles/Adults/All","52.9","68","36"
"Percentage of defendants convicted","2012","Year","Other","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Adults","Juveniles/Adults/All","43.8","16","7"
"Percentage of defendants convicted","2012","Year","Mixed","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Adults","Juveniles/Adults/All","57.9","19","11"
"Percentage of defendants convicted","2012","Year","Not stated","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Adults","Juveniles/Adults/All","55.3","3602","1993"
"Percentage of defendants convicted","2012","Year","White","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Adults","Juveniles/Adults/All","59.1","408","241"
"Percentage of defendants convicted","2012","Year","Asian","ONS 5+1 2001","Not Known","Male/Female/Not known/All","All","Juveniles/Adults/All","42.1","57","24"
"Percentage of defendants convicted","2012","Year","Black","ONS 5+1 2001","Not Known","Male/Female/Not known/All","All","Juveniles/Adults/All","54.8","73","40"
"Percentage of defendants convicted","2012","Year","Other","ONS 5+1 2001","Not Known","Male/Female/Not known/All","All","Juveniles/Adults/All","47.4","19","9"
"Percentage of defendants convicted","2012","Year","Mixed","ONS 5+1 2001","Not Known","Male/Female/Not known/All","All","Juveniles/Adults/All","64","25","16"
"Percentage of defendants convicted","2012","Year","Not stated","ONS 5+1 2001","Not Known","Male/Female/Not known/All","All","Juveniles/Adults/All","57.1","3893","2222"
"Percentage of defendants convicted","2012","Year","White","ONS 5+1 2001","Not Known","Male/Female/Not known/All","All","Juveniles/Adults/All","59.3","437","259"
"Percentage of defendants convicted","2012","Year","Asian","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","75","4","3"
"Percentage of defendants convicted","2012","Year","Black","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","80","5","4"
"Percentage of defendants convicted","2012","Year","Other","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","66.7","3","2"
"Percentage of defendants convicted","2012","Year","Mixed","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","83.3","6","5"
"Percentage of defendants convicted","2012","Year","Not stated","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","78.7","291","229"
"Percentage of defendants convicted","2012","Year","White","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","62.1","29","18"
"Percentage of defendants convicted","2013","Year","Asian","ONS 5+1 2001","All","Male/Female/Not known/All","Adults","Juveniles/Adults/All","73.8","16450","12133"
"Percentage of defendants convicted","2013","Year","Black","ONS 5+1 2001","All","Male/Female/Not known/All","Adults","Juveniles/Adults/All","77","25035","19267"
"Percentage of defendants convicted","2013","Year","Other","ONS 5+1 2001","All","Male/Female/Not known/All","Adults","Juveniles/Adults/All","82.8","3869","3204"
"Percentage of defendants convicted","2013","Year","Mixed","ONS 5+1 2001","All","Male/Female/Not known/All","Adults","Juveniles/Adults/All","77.1","8899","6859"
"Percentage of defendants convicted","2013","Year","Not stated","ONS 5+1 2001","All","Male/Female/Not known/All","Adults","Juveniles/Adults/All","73.5","44024","32370"
"Percentage of defendants convicted","2013","Year","White","ONS 5+1 2001","All","Male/Female/Not known/All","Adults","Juveniles/Adults/All","82.1","242282","198893"
"Percentage of defendants convicted","2013","Year","Asian","ONS 5+1 2001","All","Male/Female/Not known/All","All","Juveniles/Adults/All","73.4","18005","13215"
"Percentage of defendants convicted","2013","Year","Black","ONS 5+1 2001","All","Male/Female/Not known/All","All","Juveniles/Adults/All","76.1","28728","21858"
"Percentage of defendants convicted","2013","Year","Other","ONS 5+1 2001","All","Male/Female/Not known/All","All","Juveniles/Adults/All","82","4156","3407"
"Percentage of defendants convicted","2013","Year","Mixed","ONS 5+1 2001","All","Male/Female/Not known/All","All","Juveniles/Adults/All","75.7","10542","7979"
"Percentage of defendants convicted","2013","Year","Not stated","ONS 5+1 2001","All","Male/Female/Not known/All","All","Juveniles/Adults/All","73.7","47207","34781"
"Percentage of defendants convicted","2013","Year","White","ONS 5+1 2001","All","Male/Female/Not known/All","All","Juveniles/Adults/All","81.5","260857","212567"
"Percentage of defendants convicted","2013","Year","Asian","ONS 5+1 2001","All","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","69.6","1555","1082"
"Percentage of defendants convicted","2013","Year","Black","ONS 5+1 2001","All","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","70.2","3693","2591"
"Percentage of defendants convicted","2013","Year","Other","ONS 5+1 2001","All","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","70.7","287","203"
"Percentage of defendants convicted","2013","Year","Mixed","ONS 5+1 2001","All","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","68.2","1643","1120"
"Percentage of defendants convicted","2013","Year","Not stated","ONS 5+1 2001","All","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","75.7","3183","2411"
"Percentage of defendants convicted","2013","Year","White","ONS 5+1 2001","All","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","73.6","18575","13674"
"Percentage of defendants convicted","2013","Year","Asian","ONS 5+1 2001","Female","Male/Female/Not known/All","Adults","Juveniles/Adults/All","68","1009","686"
"Percentage of defendants convicted","2013","Year","Black","ONS 5+1 2001","Female","Male/Female/Not known/All","Adults","Juveniles/Adults/All","75.9","2359","1790"
"Percentage of defendants convicted","2013","Year","Other","ONS 5+1 2001","Female","Male/Female/Not known/All","Adults","Juveniles/Adults/All","83.3","485","404"
"Percentage of defendants convicted","2013","Year","Mixed","ONS 5+1 2001","Female","Male/Female/Not known/All","Adults","Juveniles/Adults/All","75.3","1152","867"
"Percentage of defendants convicted","2013","Year","Not stated","ONS 5+1 2001","Female","Male/Female/Not known/All","Adults","Juveniles/Adults/All","74.4","8441","6283"
"Percentage of defendants convicted","2013","Year","White","ONS 5+1 2001","Female","Male/Female/Not known/All","Adults","Juveniles/Adults/All","81.1","35385","28704"
"Percentage of defendants convicted","2013","Year","Asian","ONS 5+1 2001","Female","Male/Female/Not known/All","All","Juveniles/Adults/All","68.3","1065","727"
"Percentage of defendants convicted","2013","Year","Black","ONS 5+1 2001","Female","Male/Female/Not known/All","All","Juveniles/Adults/All","74.6","2633","1965"
"Percentage of defendants convicted","2013","Year","Other","ONS 5+1 2001","Female","Male/Female/Not known/All","All","Juveniles/Adults/All","82.7","519","429"
"Percentage of defendants convicted","2013","Year","Mixed","ONS 5+1 2001","Female","Male/Female/Not known/All","All","Juveniles/Adults/All","75","1294","970"
"Percentage of defendants convicted","2013","Year","Not stated","ONS 5+1 2001","Female","Male/Female/Not known/All","All","Juveniles/Adults/All","74.4","8922","6635"
"Percentage of defendants convicted","2013","Year","White","ONS 5+1 2001","Female","Male/Female/Not known/All","All","Juveniles/Adults/All","80.6","37685","30367"
"Percentage of defendants convicted","2013","Year","Asian","ONS 5+1 2001","Female","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","73.2","56","41"
"Percentage of defendants convicted","2013","Year","Black","ONS 5+1 2001","Female","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","63.9","274","175"
"Percentage of defendants convicted","2013","Year","Other","ONS 5+1 2001","Female","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","73.5","34","25"
"Percentage of defendants convicted","2013","Year","Mixed","ONS 5+1 2001","Female","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","72.5","142","103"
"Percentage of defendants convicted","2013","Year","Not stated","ONS 5+1 2001","Female","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","73.2","481","352"
"Percentage of defendants convicted","2013","Year","White","ONS 5+1 2001","Female","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","72.3","2300","1663"
"Percentage of defendants convicted","2013","Year","Asian","ONS 5+1 2001","Male","Male/Female/Not known/All","Adults","Juveniles/Adults/All","74.4","15347","11412"
"Percentage of defendants convicted","2013","Year","Black","ONS 5+1 2001","Male","Male/Female/Not known/All","Adults","Juveniles/Adults/All","77.2","22596","17448"
"Percentage of defendants convicted","2013","Year","Other","ONS 5+1 2001","Male","Male/Female/Not known/All","Adults","Juveniles/Adults/All","82.9","3369","2792"
"Percentage of defendants convicted","2013","Year","Mixed","ONS 5+1 2001","Male","Male/Female/Not known/All","Adults","Juveniles/Adults/All","77.4","7733","5986"
"Percentage of defendants convicted","2013","Year","Not stated","ONS 5+1 2001","Male","Male/Female/Not known/All","Adults","Juveniles/Adults/All","76","31300","23799"
"Percentage of defendants convicted","2013","Year","White","ONS 5+1 2001","Male","Male/Female/Not known/All","Adults","Juveniles/Adults/All","82.3","206391","169902"
"Percentage of defendants convicted","2013","Year","Asian","ONS 5+1 2001","Male","Male/Female/Not known/All","All","Juveniles/Adults/All","73.9","16838","12451"
"Percentage of defendants convicted","2013","Year","Black","ONS 5+1 2001","Male","Male/Female/Not known/All","All","Juveniles/Adults/All","76.4","26003","19855"
"Percentage of defendants convicted","2013","Year","Other","ONS 5+1 2001","Male","Male/Female/Not known/All","All","Juveniles/Adults/All","82","3620","2969"
"Percentage of defendants convicted","2013","Year","Mixed","ONS 5+1 2001","Male","Male/Female/Not known/All","All","Juveniles/Adults/All","75.8","9231","7001"
"Percentage of defendants convicted","2013","Year","Not stated","ONS 5+1 2001","Male","Male/Female/Not known/All","All","Juveniles/Adults/All","76","33790","25693"
"Percentage of defendants convicted","2013","Year","White","ONS 5+1 2001","Male","Male/Female/Not known/All","All","Juveniles/Adults/All","81.7","222618","181883"
"Percentage of defendants convicted","2013","Year","Asian","ONS 5+1 2001","Male","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","69.7","1491","1039"
"Percentage of defendants convicted","2013","Year","Black","ONS 5+1 2001","Male","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","70.6","3407","2407"
"Percentage of defendants convicted","2013","Year","Other","ONS 5+1 2001","Male","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","70.5","251","177"
"Percentage of defendants convicted","2013","Year","Mixed","ONS 5+1 2001","Male","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","67.8","1498","1015"
"Percentage of defendants convicted","2013","Year","Not stated","ONS 5+1 2001","Male","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","76.1","2490","1894"
"Percentage of defendants convicted","2013","Year","White","ONS 5+1 2001","Male","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","73.8","16227","11981"
"Percentage of defendants convicted","2013","Year","Asian","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Adults","Juveniles/Adults/All","37.2","94","35"
"Percentage of defendants convicted","2013","Year","Black","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Adults","Juveniles/Adults/All","36.2","80","29"
"Percentage of defendants convicted","2013","Year","Other","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Adults","Juveniles/Adults/All","53.3","15","8"
"Percentage of defendants convicted","2013","Year","Mixed","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Adults","Juveniles/Adults/All","42.9","14","6"
"Percentage of defendants convicted","2013","Year","Not stated","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Adults","Juveniles/Adults/All","53.4","4283","2288"
"Percentage of defendants convicted","2013","Year","White","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Adults","Juveniles/Adults/All","56.7","506","287"
"Percentage of defendants convicted","2013","Year","Asian","ONS 5+1 2001","Not Known","Male/Female/Not known/All","All","Juveniles/Adults/All","36.3","102","37"
"Percentage of defendants convicted","2013","Year","Black","ONS 5+1 2001","Not Known","Male/Female/Not known/All","All","Juveniles/Adults/All","41.3","92","38"
"Percentage of defendants convicted","2013","Year","Other","ONS 5+1 2001","Not Known","Male/Female/Not known/All","All","Juveniles/Adults/All","52.9","17","9"
"Percentage of defendants convicted","2013","Year","Mixed","ONS 5+1 2001","Not Known","Male/Female/Not known/All","All","Juveniles/Adults/All","47.1","17","8"
"Percentage of defendants convicted","2013","Year","Not stated","ONS 5+1 2001","Not Known","Male/Female/Not known/All","All","Juveniles/Adults/All","54.6","4495","2453"
"Percentage of defendants convicted","2013","Year","White","ONS 5+1 2001","Not Known","Male/Female/Not known/All","All","Juveniles/Adults/All","57.2","554","317"
"Percentage of defendants convicted","2013","Year","Asian","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","25","8","2"
"Percentage of defendants convicted","2013","Year","Black","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","75","12","9"
"Percentage of defendants convicted","2013","Year","Other","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","50","2","1"
"Percentage of defendants convicted","2013","Year","Mixed","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","66.7","3","2"
"Percentage of defendants convicted","2013","Year","Not stated","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","77.8","212","165"
"Percentage of defendants convicted","2013","Year","White","ONS 5+1 2001","Not Known","Male/Female/Not known/All","Juveniles","Juveniles/Adults/All","62.5","48","30"
"Percentage of defendants convicted","2014","Year","Asian","ONS 5+1 2001","All","Male/Female/Not known/All","Adults","Juveniles/Adults/All","74.6","15570","11620"
"Percentage of defendants convicted","2014","Year","Black","ONS 5+1 2001","All","Male/Female/Not known/All","Adults","Juveniles/Adults/All","77.7","24016","18656"
"Percentage of defendants convicted","2014","Year","Other","ONS 5+1 2001","All","Male/Female/Not known/All","Adults","Juveniles/Adults/All","80.9","3389","2741"
"Percentage of defendants convicted","2014","Year","Mixed","ONS 5+1 2001","All","Male/Female/Not known/All","Adults","Juveniles/Adults/All","77","8204","6321"
"Percentage of defendants convicted","2014","Year","Not stated","ONS 5+1 2001","All","Male/Female/Not known/All","Adults","Juveniles/Adults/All","75.4","46985","35434"
"Percentage of defendants convicted","2014","Year","White","ONS 5+1 2001","All","Male/Female/Not known/All","Adults","Juveniles/Adults/All","82.2","231342","190241"
