"Title","Physical activity"
"Location","England"
"Time period","2015/16"
"Data source","Department for Digital, Culture, Media and Sport"
"Data source link","https://www.sportengland.org/research/active-lives-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-10"
"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Gender","Age Bracket","NS SEC","Physical Activity Level","Value","Value_type","Denominator (weighted)","Numerator (weighted)","Upper CI","Lower CI","Number of Respondents (unweighted)"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","East","Region","All","16+","All","Fairly active","*","%","*","*","*","*","116"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","East","Region","All","16+","All","Fairly active","*","%","*","*","*","*","238"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","East","Region","All","16+","All","Fairly active","*","%","*","*","*","*","144"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","London","Region","All","16+","All","Fairly active","12.3","%","30542","3754","13.00%","11.60%","19887"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","London","Region","All","16+","All","Fairly active","11.8","%","13723","1623","12.70%","11.00%","10782"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","London","Region","All","16+","All","Fairly active","11.1","%","4028","447","12.80%","9.60%","2855"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","London","Region","All","16+","All","Fairly active","13.7","%","5728","783","15.70%","11.90%","2365"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","London","Region","All","16+","All","Fairly active","14.2","%","2566","366","17.00%","11.80%","1297"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","London","Region","All","16+","All","Fairly active","12.3","%","587","72","18.00%","8.20%","319"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","London","Region","All","16+","All","Fairly active","8","%","1111","89","11.10%","5.70%","522"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","London","Region","All","16+","All","Fairly active","13.8","%","1184","163","18.30%","10.30%","529"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","North East","Region","All","16+","All","Fairly active","11.8","%","9560","1132","12.80%","10.90%","9046"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","North East","Region","All","16+","All","Fairly active","12","%","8757","1049","13.00%","11.00%","8305"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","North East","Region","All","16+","All","Fairly active","*","%","*","*","*","*","211"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","North East","Region","All","16+","All","Fairly active","*","%","*","*","*","*","152"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","North East","Region","All","16+","All","Fairly active","*","%","*","*","*","*","30"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","North East","Region","All","16+","All","Fairly active","*","%","*","*","*","*","49"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","North East","Region","All","16+","All","Fairly active","*","%","*","*","*","*","51"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","North East","Region","All","16+","All","Fairly active","*","%","*","*","*","*","39"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","North West","Region","All","16+","All","Fairly active","12.1","%","25691","3112","12.70%","11.60%","28223"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","North West","Region","All","16+","All","Fairly active","12.2","%","21865","2658","12.80%","11.60%","24794"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","North West","Region","All","16+","All","Fairly active","11.4","%","870","99","14.40%","8.90%","904"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","North West","Region","All","16+","All","Fairly active","12.8","%","1350","173","15.70%","10.40%","973"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","North West","Region","All","16+","All","Fairly active","*","%","*","*","*","*","253"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","North West","Region","All","16+","All","Fairly active","*","%","*","*","*","*","153"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","North West","Region","All","16+","All","Fairly active","*","%","*","*","*","*","219"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","North West","Region","All","16+","All","Fairly active","*","%","*","*","*","*","173"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","South East","Region","All","16+","All","Fairly active","12.2","%","32052","3908","12.70%","11.70%","36302"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","South East","Region","All","16+","All","Fairly active","12.1","%","26984","3276","12.60%","11.60%","30877"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","South East","Region","All","16+","All","Fairly active","11.5","%","1610","186","13.70%","9.70%","1945"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","South East","Region","All","16+","All","Fairly active","12.6","%","1307","164","15.40%","10.20%","1219"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","South East","Region","All","16+","All","Fairly active","9.4","%","338","32","14.00%","6.20%","317"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","South East","Region","All","16+","All","Fairly active","18.3","%","174","32","29.90%","10.50%","176"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","South East","Region","All","16+","All","Fairly active","13.8","%","431","60","19.50%","9.60%","369"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","South East","Region","All","16+","All","Fairly active","12.7","%","250","32","18.20%","8.70%","250"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","South West","Region","All","16+","All","Fairly active","12.2","%","19953","2443","13.00%","11.60%","22405"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","South West","Region","All","16+","All","Fairly active","12.3","%","18026","2220","13.10%","11.60%","20438"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","South West","Region","All","16+","All","Fairly active","12.7","%","721","92","16.80%","9.50%","764"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","South West","Region","All","16+","All","Fairly active","11.3","%","265","30","17.10%","7.30%","220"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","South West","Region","All","16+","All","Fairly active","*","%","*","*","*","*","96"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","South West","Region","All","16+","All","Fairly active","*","%","*","*","*","*","61"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","South West","Region","All","16+","All","Fairly active","12.3","%","215","27","21.30%","6.80%","153"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","South West","Region","All","16+","All","Fairly active","*","%","*","*","*","*","80"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","West Midlands","Region","All","16+","All","Fairly active","12.9","%","20447","2637","13.60%","12.20%","19341"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","West Midlands","Region","All","16+","All","Fairly active","12.6","%","15980","2015","13.30%","11.90%","16535"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","West Midlands","Region","All","16+","All","Fairly active","14.5","%","705","102","18.60%","11.10%","604"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","West Midlands","Region","All","16+","All","Fairly active","14.1","%","2022","285","17.30%","11.40%","1029"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","West Midlands","Region","All","16+","All","Fairly active","19.7","%","531","105","27.80%","13.50%","295"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","West Midlands","Region","All","16+","All","Fairly active","*","%","*","*","*","*","63"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","West Midlands","Region","All","16+","All","Fairly active","*","%","*","*","*","*","162"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","West Midlands","Region","All","16+","All","Fairly active","*","%","*","*","*","*","103"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","Yorkshire","Region","All","16+","All","Fairly active","11.5","%","19322","2226","12.30%","10.80%","15158"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","Yorkshire","Region","All","16+","All","Fairly active","11.4","%","16554","1883","12.20%","10.60%","13614"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","Yorkshire","Region","All","16+","All","Fairly active","9.4","%","538","50","13.80%","6.30%","400"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","Yorkshire","Region","All","16+","All","Fairly active","12.7","%","1153","147","17.40%","9.20%","449"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","Yorkshire","Region","All","16+","All","Fairly active","*","%","*","*","*","*","118"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","Yorkshire","Region","All","16+","All","Fairly active","*","%","*","*","*","*","35"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","Yorkshire","Region","All","16+","All","Fairly active","*","%","*","*","*","*","94"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","Yorkshire","Region","All","16+","All","Fairly active","*","%","*","*","*","*","70"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-24","All","Fairly active","8.9","%","27894","2477","9.50%","8.30%","13145"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-24","All","Fairly active","7.9","%","19416","1532","8.60%","7.20%","9830"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-24","All","Fairly active","6.7","%","1166","78","8.90%","5.00%","614"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-24","All","Fairly active","12","%","3649","437","14.50%","9.80%","1212"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-24","All","Fairly active","11.8","%","1111","132","16.50%","8.40%","388"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-24","All","Fairly active","*","%","*","*","*","*","152"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-24","All","Fairly active","10.1","%","1038","105","14.30%","7.10%","408"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-24","All","Fairly active","*","%","*","*","*","*","140"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","25-34","All","Fairly active","11.8","%","32522","3828","12.40%","11.20%","24481"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","25-34","All","Fairly active","11.6","%","21985","2559","12.30%","11.00%","17691"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","25-34","All","Fairly active","9.8","%","3662","358","11.50%","8.30%","2669"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","25-34","All","Fairly active","14.3","%","3292","469","16.70%","12.10%","1800"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","25-34","All","Fairly active","14.7","%","748","110","21.10%","10.00%","460"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","25-34","All","Fairly active","9.4","%","435","41","14.10%","6.20%","272"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","25-34","All","Fairly active","8.6","%","756","65","11.80%","6.10%","483"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","25-34","All","Fairly active","12.2","%","552","68","17.20%","8.50%","299"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","35-44","All","Fairly active","13.2","%","30550","4018","13.70%","12.60%","30895"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","35-44","All","Fairly active","12.9","%","21330","2756","13.60%","12.30%","22976"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","35-44","All","Fairly active","12.8","%","2579","331","14.80%","11.10%","2694"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","35-44","All","Fairly active","15.4","%","3264","502","17.80%","13.30%","2378"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","35-44","All","Fairly active","15.4","%","894","137","20.20%","11.50%","663"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","35-44","All","Fairly active","16.4","%","296","49","24.40%","10.70%","268"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","35-44","All","Fairly active","10.8","%","494","53","15.20%","7.60%","418"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","35-44","All","Fairly active","12.2","%","591","72","17.50%","8.40%","408"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","45-54","All","Fairly active","12.9","%","33540","4312","13.40%","12.30%","34273"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","45-54","All","Fairly active","12.4","%","27408","3400","13.00%","11.90%","28962"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","45-54","All","Fairly active","13.3","%","1333","178","15.90%","11.10%","1541"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","45-54","All","Fairly active","15.1","%","1851","279","18.40%","12.30%","1185"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","45-54","All","Fairly active","16.9","%","1010","171","21.40%","13.30%","728"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","45-54","All","Fairly active","19.5","%","177","35","30.40%","11.90%","176"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","45-54","All","Fairly active","14","%","388","55","20.10%","9.60%","339"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","45-54","All","Fairly active","18.7","%","368","69","27.60%","12.10%","254"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","55-64","All","Fairly active","13.3","%","26876","3581","13.80%","12.80%","37699"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","55-64","All","Fairly active","13.4","%","23540","3147","13.90%","12.80%","34000"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","55-64","All","Fairly active","15.9","%","770","123","19.70%","12.70%","1081"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","55-64","All","Fairly active","10.8","%","911","99","14.00%","8.30%","681"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","55-64","All","Fairly active","17.2","%","468","81","23.10%","12.60%","380"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","55-64","All","Fairly active","*","%","*","*","*","*","117"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","55-64","All","Fairly active","12.7","%","164","21","19.10%","8.20%","195"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","55-64","All","Fairly active","*","%","*","*","*","*","199"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","65-74","All","Fairly active","14","%","24199","3377","14.40%","13.50%","37300"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","65-74","All","Fairly active","14.1","%","22186","3119","14.60%","13.60%","34739"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","65-74","All","Fairly active","11.3","%","616","69","14.20%","8.90%","852"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","65-74","All","Fairly active","15.2","%","478","73","19.90%","11.50%","455"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","65-74","All","Fairly active","*","%","*","*","*","*","121"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","65-74","All","Fairly active","*","%","*","*","*","*","54"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","65-74","All","Fairly active","*","%","*","*","*","*","84"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","65-74","All","Fairly active","*","%","*","*","*","*","134"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","75+","All","Fairly active","13","%","18975","2467","13.70%","12.40%","19429"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","75+","All","Fairly active","13.3","%","17328","2300","","","17965"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","75+","All","Fairly active","12.3","%","419","51","","","397"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","75+","All","Fairly active","*","%","*","*","*","*","219"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","75+","All","Fairly active","*","%","*","*","*","*","107"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","75+","All","Fairly active","*","%","*","*","*","*","14"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","75+","All","Fairly active","*","%","*","*","*","*","39"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","75+","All","Fairly active","*","%","*","*","*","*","56"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-74","NS SEC 1-2","Fairly active","12.5","%","","","","",""
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-74","NS SEC 1-2","Fairly active","12.2","%","53943","6563","12.50%","11.80%","80009"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-74","NS SEC 1-2","Fairly active","11","%","4006","442","12.20%","10.00%","5493"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-74","NS SEC 1-2","Fairly active","15.3","%","4129","631","17.00%","13.70%","3782"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-74","NS SEC 1-2","Fairly active","17","%","1192","203","20.80%","13.90%","1222"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-74","NS SEC 1-2","Fairly active","17.1","%","524","90","22.60%","12.70%","578"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-74","NS SEC 1-2","Fairly active","11.8","%","972","115","14.60%","9.50%","987"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-74","NS SEC 1-2","Fairly active","16","%","609","98","20.50%","12.40%","643"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-74","NS SEC 3-5","Fairly active","13.8","%","45926","6358","14.30%","13.40%","45047"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-74","NS SEC 3-5","Fairly active","13.9","%","37576","5240","14.50%","13.50%","39178"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-74","NS SEC 3-5","Fairly active","12.5","%","2612","326","14.70%","10.60%","1979"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-74","NS SEC 3-5","Fairly active","14.3","%","2553","365","17.20%","11.80%","1421"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-74","NS SEC 3-5","Fairly active","14.5","%","865","126","18.80%","11.10%","579"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-74","NS SEC 3-5","Fairly active","*","%","*","*","*","*","188"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-74","NS SEC 3-5","Fairly active","10.6","%","514","54","15.40%","7.10%","350"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-74","NS SEC 3-5","Fairly active","12.1","%","445","54","19.50%","7.20%","280"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-74","NS SEC 6-7","Fairly active","12.3","%","27886","3442","13.00%","11.70%","18761"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-74","NS SEC 6-7","Fairly active","12.3","%","21907","2686","13.00%","11.60%","15748"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-74","NS SEC 6-7","Fairly active","11.8","%","1911","226","14.50%","9.50%","1082"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-74","NS SEC 6-7","Fairly active","13.2","%","1945","256","16.20%","10.70%","776"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-74","NS SEC 6-7","Fairly active","17.4","%","654","114","23.40%","12.70%","301"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-74","NS SEC 6-7","Fairly active","*","%","*","*","*","*","77"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-74","NS SEC 6-7","Fairly active","*","%","*","*","*","*","178"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-74","NS SEC 6-7","Fairly active","*","%","*","*","*","*","156"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-74","NS SEC 8","Fairly active","12.5","%","7486","938","14.10%","11.10%","4003"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-74","NS SEC 8","Fairly active","11.8","%","4542","538","13.50%","10.30%","2753"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-74","NS SEC 8","Fairly active","*","%","*","*","*","*","160"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16-74","NS SEC 8","Fairly active","14.2","%","1414","201","19.10%","10.40%","546"
