"Measure","Physical Activity Level","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography Code","Geography type","Gender","Gender_type","Age Bracket","Age Bracket type","NS SEC","NS SEC type","Value","Denominator","Numerator","Upper CI","Lower CI","Number of Respondents"
"Percentage of people at each activity level","Physically inactive","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","55-64","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","25.00%","770","192","30.10%","20.50%","1081"
"Percentage of people at each activity level","Physically inactive","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","55-64","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","39.20%","911","357","44.70%","33.90%","681"
"Percentage of people at each activity level","Physically inactive","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","55-64","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","40.00%","468","187","47.20%","33.10%","380"
"Percentage of people at each activity level","Physically inactive","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","55-64","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","49.00%","96","47","63.70%","34.50%","117"
"Percentage of people at each activity level","Physically inactive","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","55-64","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","32.50%","164","53","42.20%","24.10%","195"
"Percentage of people at each activity level","Physically inactive","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","55-64","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","37.00%","212","78","47.30%","27.70%","199"
"Percentage of people at each activity level","Physically inactive","All","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","65-74","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","30.80%","23642","7279","31.40%","30.20%","36439"
"Percentage of people at each activity level","Physically inactive","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","65-74","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","30.30%","22186","6718","30.90%","29.60%","34739"
"Percentage of people at each activity level","Physically inactive","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","65-74","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","32.70%","616","202","37.30%","28.50%","852"
"Percentage of people at each activity level","Physically inactive","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","65-74","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","46.30%","478","221","52.50%","40.20%","455"
"Percentage of people at each activity level","Physically inactive","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","65-74","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","43.00%","132","57","55.90%","31.00%","121"
"Percentage of people at each activity level","Physically inactive","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","65-74","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","54"
"Percentage of people at each activity level","Physically inactive","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","65-74","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","84"
"Percentage of people at each activity level","Physically inactive","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","65-74","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","41.90%","118","50","53.30%","31.30%","134"
"Percentage of people at each activity level","Physically inactive","All","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","75+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","53.50%","18402","9839","54.40%","52.50%","18797"
"Percentage of people at each activity level","Physically inactive","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","75+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","53.30%","17328","9232","54.30%","52.30%","17965"
"Percentage of people at each activity level","Physically inactive","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","75+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","48.90%","419","205","55.50%","42.50%","397"
"Percentage of people at each activity level","Physically inactive","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","75+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","55.40%","295","164","63.40%","47.20%","219"
"Percentage of people at each activity level","Physically inactive","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","75+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","70.70%","183","129","80.50%","58.60%","107"
"Percentage of people at each activity level","Physically inactive","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","75+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","14"
"Percentage of people at each activity level","Physically inactive","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","75+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","39"
"Percentage of people at each activity level","Physically inactive","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","75+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","61.50%","97","60","76.60%","43.70%","56"
"Percentage of people at each activity level","Physically inactive","All","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 1-2","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","16.40%","65376","10697","16.70%","16.00%","92714"
"Percentage of people at each activity level","Physically inactive","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 1-2","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","15.70%","53943","8455","16.00%","15.30%","80009"
"Percentage of people at each activity level","Physically inactive","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 1-2","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","14.80%","4006","593","16.10%","13.60%","5493"
"Percentage of people at each activity level","Physically inactive","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 1-2","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","25.50%","4129","1053","27.70%","23.50%","3782"
"Percentage of people at each activity level","Physically inactive","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 1-2","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","19.80%","1192","236","23.20%","16.80%","1222"
"Percentage of people at each activity level","Physically inactive","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 1-2","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","21.20%","524","111","25.90%","17.10%","578"
"Percentage of people at each activity level","Physically inactive","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 1-2","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","12.00%","972","117","15.00%","9.60%","987"
"Percentage of people at each activity level","Physically inactive","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 1-2","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","21.70%","609","132","26.50%","17.50%","643"
"Percentage of people at each activity level","Physically inactive","All","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 3-5","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","24.50%","44829","10977","25.10%","23.90%","43975"
"Percentage of people at each activity level","Physically inactive","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 3-5","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","23.70%","37576","8887","24.30%","23.00%","39178"
"Percentage of people at each activity level","Physically inactive","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 3-5","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","24.80%","2612","647","27.80%","21.90%","1979"
"Percentage of people at each activity level","Physically inactive","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 3-5","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","32.60%","2553","831","36.20%","29.10%","1421"
"Percentage of people at each activity level","Physically inactive","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 3-5","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","30.00%","865","259","35.30%","25.20%","579"
"Percentage of people at each activity level","Physically inactive","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 3-5","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","39.50%","265","105","49.10%","30.80%","188"
"Percentage of people at each activity level","Physically inactive","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 3-5","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","23.00%","514","118","29.60%","17.40%","350"
"Percentage of people at each activity level","Physically inactive","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 3-5","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","29.20%","445","130","37.10%","22.40%","280"
"Percentage of people at each activity level","Physically inactive","All","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 6-7","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","31.70%","27230","8640","32.70%","30.80%","18318"
"Percentage of people at each activity level","Physically inactive","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 6-7","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","31.00%","21907","6788","32.00%","30.00%","15748"
"Percentage of people at each activity level","Physically inactive","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 6-7","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","33.90%","1911","648","37.80%","30.20%","1082"
"Percentage of people at each activity level","Physically inactive","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 6-7","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","39.00%","1945","758","43.80%","34.30%","776"
"Percentage of people at each activity level","Physically inactive","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 6-7","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","30.40%","654","199","37.10%","24.40%","301"
"Percentage of people at each activity level","Physically inactive","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 6-7","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","46.90%","142","67","61.70%","32.70%","77"
"Percentage of people at each activity level","Physically inactive","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 6-7","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","22.20%","322","71","30.30%","15.70%","178"
"Percentage of people at each activity level","Physically inactive","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 6-7","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","31.40%","348","109","41.40%","22.90%","156"
"Percentage of people at each activity level","Physically inactive","All","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 8","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","36.30%","7165","2600","38.40%","34.20%","3830"
"Percentage of people at each activity level","Physically inactive","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 8","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","35.00%","4542","1590","37.40%","32.60%","2753"
"Percentage of people at each activity level","Physically inactive","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 8","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","38.00%","314","119","50.10%","27.20%","160"
"Percentage of people at each activity level","Physically inactive","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 8","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","40.40%","1414","572","46.00%","35.10%","546"
"Percentage of people at each activity level","Physically inactive","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 8","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","34.60%","420","145","46.90%","24.00%","162"
"Percentage of people at each activity level","Physically inactive","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 8","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","24"
"Percentage of people at each activity level","Physically inactive","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 8","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","75"
"Percentage of people at each activity level","Physically inactive","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 8","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","41.70%","252","105","54.50%","29.80%","110"
"Percentage of people at each activity level","Physically inactive","All","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 9","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","18.40%","25734","4729","19.30%","17.50%","13663"
"Percentage of people at each activity level","Physically inactive","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 9","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","16.50%","17897","2956","17.40%","15.60%","10510"
"Percentage of people at each activity level","Physically inactive","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 9","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","15.30%","1282","197","18.70%","12.50%","737"
"Percentage of people at each activity level","Physically inactive","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 9","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","23.70%","3404","808","27.20%","20.60%","1186"
"Percentage of people at each activity level","Physically inactive","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 9","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","26.40%","1232","325","31.90%","21.50%","476"
"Percentage of people at each activity level","Physically inactive","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 9","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","28.30%","412","117","39.20%","19.60%","172"
"Percentage of people at each activity level","Physically inactive","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 9","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","18.20%","934","170","24.40%","13.30%","337"
"Percentage of people at each activity level","Physically inactive","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 9","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","27.20%","574","156","76.60%","43.70%","245"
"Percentage of people at each activity level","Fairly active","All","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.137331922","189999.4522","26092.98991","0.139651132","0.135045182","192623"
"Percentage of people at each activity level","Fairly active","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.136314052","154220.3314","21022.39828","0.138753796","0.133910536","167292"
"Percentage of people at each activity level","Fairly active","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.124434182","10590.19384","1317.782104","0.133862399","0.1155814","9898"
"Percentage of people at each activity level","Fairly active","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.153357895","13827.95473","2120.626035","0.165310409","0.142122441","7984"
"Percentage of people at each activity level","Fairly active","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.162331373","4613.367309","748.8942487","0.183077206","0.143523385","2910"
"Percentage of people at each activity level","Fairly active","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.14121978","1429.306425","201.8463387","0.17308557","0.114408932","1057"
"Percentage of people at each activity level","Fairly active","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.120100584","2985.840671","358.6012073","0.140416751","0.102373778","1982"
"Percentage of people at each activity level","Fairly active","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","All","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.138412663","2332.457814","322.8416968","0.166149263","0.114669602","1500"
"Percentage of people at each activity level","Fairly active","All","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","Male","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.126205636","92380.08488","11658.88739","0.129667937","0.122822737","84660"
"Percentage of people at each activity level","Fairly active","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","Male","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.125278628","74297.19434","9307.850568","0.1289082","0.121736969","73864"
"Percentage of people at each activity level","Fairly active","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","Male","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.116243516","5059.63502","588.1497645","0.130627145","0.103255589","3988"
"Percentage of people at each activity level","Fairly active","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","Male","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.138474793","7600.374679","1052.460312","0.155774801","0.122816579","3787"
"Percentage of people at each activity level","Fairly active","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","Male","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.126912395","2151.712066","273.0789319","0.157523302","0.101533092","1149"
"Percentage of people at each activity level","Fairly active","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Year","England","E92000001","ONS Geography Code","Male","Male/Female/All","16+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.140482883","699.8538154","98.31748168","0.191065502","0.101609432","437"
