"Title","Young people in custody"
"Location","England and Wales"
"Time period","2005/06 to 2015/16"
"Data source","Ministry of Justice"
"Data source link","https://www.gov.uk/government/collections/youth-justice-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","2018-03-02"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Legal Basis for Detention","Offence Group","Value","Numerator"
"Percentage of average Youth Custody population","2015/16","Financial Year","White","White/Black/Mixed/Asian and Other/Not known","All","Domestic burglary","15.8","NA"
"Percentage of average Youth Custody population","2015/16","Financial Year","White","White/Black/Mixed/Asian and Other/Not known","All","Drugs","3.9","NA"
"Percentage of average Youth Custody population","2015/16","Financial Year","White","White/Black/Mixed/Asian and Other/Not known","All","Robbery","23.3","NA"
"Percentage of average Youth Custody population","2015/16","Financial Year","White","White/Black/Mixed/Asian and Other/Not known","All","Sexual offences","12.1","NA"
"Percentage of average Youth Custody population","2015/16","Financial Year","White","White/Black/Mixed/Asian and Other/Not known","All","Violence against the person","29.8","NA"
"Percentage of average Youth Custody population","2015/16","Financial Year","White","White/Black/Mixed/Asian and Other/Not known","All","Other offences","13.4","NA"
"Percentage of average Youth Custody population","2010/11","Financial Year","Not known","White/Black/Mixed/Asian and Other/Not known","All","Breach of statutory order","7.5","NA"
"Percentage of average Youth Custody population","2010/11","Financial Year","Not known","White/Black/Mixed/Asian and Other/Not known","All","Domestic burglary","10.2","NA"
"Percentage of average Youth Custody population","2010/11","Financial Year","Not known","White/Black/Mixed/Asian and Other/Not known","All","Drugs","8","NA"
"Percentage of average Youth Custody population","2010/11","Financial Year","Not known","White/Black/Mixed/Asian and Other/Not known","All","Robbery","26.3","NA"
"Percentage of average Youth Custody population","2010/11","Financial Year","Not known","White/Black/Mixed/Asian and Other/Not known","All","Sexual offences","8.8","NA"
"Percentage of average Youth Custody population","2010/11","Financial Year","Not known","White/Black/Mixed/Asian and Other/Not known","All","Violence against the person","27.1","NA"
"Percentage of average Youth Custody population","2010/11","Financial Year","Not known","White/Black/Mixed/Asian and Other/Not known","All","Other offences","12","NA"
"Percentage of average Youth Custody population","2011/12","Financial Year","Not known","White/Black/Mixed/Asian and Other/Not known","All","Breach of statutory order","8.7","NA"
"Percentage of average Youth Custody population","2011/12","Financial Year","Not known","White/Black/Mixed/Asian and Other/Not known","All","Domestic burglary","9.7","NA"
"Percentage of average Youth Custody population","2011/12","Financial Year","Not known","White/Black/Mixed/Asian and Other/Not known","All","Drugs","5","NA"
"Percentage of average Youth Custody population","2011/12","Financial Year","Not known","White/Black/Mixed/Asian and Other/Not known","All","Robbery","30.3","NA"
"Percentage of average Youth Custody population","2011/12","Financial Year","Not known","White/Black/Mixed/Asian and Other/Not known","All","Sexual offences","7.7","NA"
"Percentage of average Youth Custody population","2011/12","Financial Year","Not known","White/Black/Mixed/Asian and Other/Not known","All","Violence against the person","22.4","NA"
"Percentage of average Youth Custody population","2011/12","Financial Year","Not known","White/Black/Mixed/Asian and Other/Not known","All","Other offences","16.1","NA"
"Percentage of average Youth Custody population","2012/13","Financial Year","Not known","White/Black/Mixed/Asian and Other/Not known","All","Breach of statutory order","1.4","NA"
"Percentage of average Youth Custody population","2012/13","Financial Year","Not known","White/Black/Mixed/Asian and Other/Not known","All","Domestic burglary","7.8","NA"
"Percentage of average Youth Custody population","2012/13","Financial Year","Not known","White/Black/Mixed/Asian and Other/Not known","All","Drugs","6.6","NA"
"Percentage of average Youth Custody population","2012/13","Financial Year","Not known","White/Black/Mixed/Asian and Other/Not known","All","Robbery","38.6","NA"
"Percentage of average Youth Custody population","2012/13","Financial Year","Not known","White/Black/Mixed/Asian and Other/Not known","All","Sexual offences","2.3","NA"
"Percentage of average Youth Custody population","2012/13","Financial Year","Not known","White/Black/Mixed/Asian and Other/Not known","All","Violence against the person","30.6","NA"
"Percentage of average Youth Custody population","2012/13","Financial Year","Not known","White/Black/Mixed/Asian and Other/Not known","All","Other offences","12.7","NA"
"Percentage of average Youth Custody population","2013/14","Financial Year","Not known","White/Black/Mixed/Asian and Other/Not known","All","Breach of statutory order","0","NA"
"Percentage of average Youth Custody population","2013/14","Financial Year","Not known","White/Black/Mixed/Asian and Other/Not known","All","Domestic burglary","0","NA"
"Percentage of average Youth Custody population","2013/14","Financial Year","Not known","White/Black/Mixed/Asian and Other/Not known","All","Drugs","22.2","NA"
"Percentage of average Youth Custody population","2013/14","Financial Year","Not known","White/Black/Mixed/Asian and Other/Not known","All","Robbery","44.4","NA"
"Percentage of average Youth Custody population","2013/14","Financial Year","Not known","White/Black/Mixed/Asian and Other/Not known","All","Sexual offences","0","NA"
"Percentage of average Youth Custody population","2013/14","Financial Year","Not known","White/Black/Mixed/Asian and Other/Not known","All","Violence against the person","33.3","NA"
"Percentage of average Youth Custody population","2013/14","Financial Year","Not known","White/Black/Mixed/Asian and Other/Not known","All","Other offences","0","NA"
"Percentage of average Youth Custody population","2014/15","Financial Year","Not known","White/Black/Mixed/Asian and Other/Not known","All","Breach of statutory order","0","NA"
"Percentage of average Youth Custody population","2014/15","Financial Year","Not known","White/Black/Mixed/Asian and Other/Not known","All","Domestic burglary","0","NA"
"Percentage of average Youth Custody population","2014/15","Financial Year","Not known","White/Black/Mixed/Asian and Other/Not known","All","Drugs","0","NA"
"Percentage of average Youth Custody population","2014/15","Financial Year","Not known","White/Black/Mixed/Asian and Other/Not known","All","Robbery","0","NA"
"Percentage of average Youth Custody population","2014/15","Financial Year","Not known","White/Black/Mixed/Asian and Other/Not known","All","Sexual offences","0","NA"
"Percentage of average Youth Custody population","2014/15","Financial Year","Not known","White/Black/Mixed/Asian and Other/Not known","All","Violence against the person","90","NA"
"Percentage of average Youth Custody population","2014/15","Financial Year","Not known","White/Black/Mixed/Asian and Other/Not known","All","Other offences","10","NA"
"Percentage of average Youth Custody population","2015/16","Financial Year","Not known","White/Black/Mixed/Asian and Other/Not known","All","Breach of statutory order","0","NA"
"Percentage of average Youth Custody population","2015/16","Financial Year","Not known","White/Black/Mixed/Asian and Other/Not known","All","Domestic burglary","0","NA"
"Percentage of average Youth Custody population","2015/16","Financial Year","Not known","White/Black/Mixed/Asian and Other/Not known","All","Drugs","29","NA"
"Percentage of average Youth Custody population","2015/16","Financial Year","Not known","White/Black/Mixed/Asian and Other/Not known","All","Robbery","32.3","NA"
"Percentage of average Youth Custody population","2015/16","Financial Year","Not known","White/Black/Mixed/Asian and Other/Not known","All","Sexual offences","1.6","NA"
"Percentage of average Youth Custody population","2015/16","Financial Year","Not known","White/Black/Mixed/Asian and Other/Not known","All","Violence against the person","33.9","NA"
"Percentage of average Youth Custody population","2015/16","Financial Year","Not known","White/Black/Mixed/Asian and Other/Not known","All","Other offences","3.2","NA"
