"Measure","Ethnicity","Ethnicity_Type","Time","Time_Type","Geography","Geography_Code","Gender","Value","Value_Type","Denominator"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","105","Numeric","4504"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","104","Numeric","2263"
"Average scaled score in key stage 2 grammar, punctuation and spelling","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","106","Numeric","2241"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","18","%","62"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","14","%","36"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","24","%","35"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","25","%","63"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","20","%","40"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","29","%","37"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Asian: Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","27","%","1"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Asian: Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","23","%","58"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Asian: Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","30","%","55"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Asian: Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","30","%","14"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Asian: Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","27","%","67"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Asian: Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","32","%","66"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Asian: Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","19","%","34"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Asian: Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","14","%","10"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Asian: Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","24","%","9"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Asian: Other Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","28","%","72"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Asian: Other Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","25","%","57"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Asian: Other Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","30","%","53"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Black: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","21","%","42"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Black: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","16","%","18"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Black: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","26","%","16"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Black: African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","24","%","28"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Black: African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","20","%","8"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Black: African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","29","%","7"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Black: Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","13","%","65"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Black: Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","8","%","45"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Black: Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","20","%","44"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Black: Other Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","18","%","52"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Black: Other Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","13","%","30"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Black: Other Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","23","%","27"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","31","%","26"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","29","%","4"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","33","%","5"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Mixed: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","21","%","38"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Mixed: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","16","%","13"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Mixed: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","26","%","11"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Mixed: White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","27","%","64"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Mixed: White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","22","%","43"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Mixed: White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","30","%","41"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Mixed:White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","21","%","46"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Mixed:White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","16","%","20"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Mixed:White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","25","%","19"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Mixed: White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","15","%","69"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Mixed: White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","9","%","50"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Mixed: White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","21","%","48"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Mixed: Other Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","23","%","6"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Mixed: Other Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","18","%","61"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Mixed: Other Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","28","%","60"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","White: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","17","%","51"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","White: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","12","%","29"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","White: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","23","%","25"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","White: British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","18","%","47"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","White: British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","13","%","24"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","White: British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","23","%","21"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","White: Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","24","%","17"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","White: Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","19","%","70"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","White: Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","29","%","68"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","White: Traveller of Irish Heritage","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","4","%","49"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","White: Traveller of Irish Heritage","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","3","%","31"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","White: Traveller of Irish Heritage","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","5","%","23"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","White: Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","2","%","22"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","White: Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","1","%","3"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","White: Gypsy/Roma","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","3","%","71"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","White: Other White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","13","%","39"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","White: Other White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","10","%","15"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","White: Other White","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","17","%","12"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","18","%","2"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","13","%","59"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","23","%","56"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","7","%","54"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","6","%","33"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Unknown","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","11","%","32"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","77","%","599694"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","73","%","306326"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","81","%","293368"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","84","%","65291"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","80","%","33470"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","87","%","31821"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Asian: Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","85","%","10719"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Asian: Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","82","%","5464"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Asian: Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","89","%","5255"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Asian: Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","88","%","17146"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Asian: Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","85","%","8792"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Asian: Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","91","%","8354"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Asian: Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","80","%","26842"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Asian: Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","75","%","13722"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Asian: Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","84","%","13120"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Asian: Other Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","85","%","10584"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Asian: Other Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","83","%","5492"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Asian: Other Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","88","%","5092"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Black: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","80","%","35699"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Black: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","76","%","18102"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Black: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","85","%","17597"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Black: African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","83","%","23612"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Black: African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","79","%","11907"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Black: African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","87","%","11705"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Black: Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","74","%","7328"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Black: Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","68","%","3755"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Black: Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","80","%","3573"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Black: Other Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","78","%","4759"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Black: Other Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","74","%","2440"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Black: Other Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","82","%","2319"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","88","%","2288"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","85","%","1149"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","91","%","1139"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Mixed: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","79","%","33043"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Mixed: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","75","%","16679"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Mixed: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","84","%","16364"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Mixed: White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","84","%","7645"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Mixed: White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","80","%","3986"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Mixed: White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","87","%","3659"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Mixed:White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","80","%","4315"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Mixed:White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","76","%","2135"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Mixed:White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","84","%","2180"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Mixed: White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","73","%","8994"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Mixed: White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","67","%","4451"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Mixed: White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","80","%","4543"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Mixed: Other Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","80","%","12089"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Mixed: Other Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","77","%","6107"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","Mixed: Other Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","84","%","5982"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","White: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","76","%","447171"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","White: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","71","%","228508"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","White: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","80","%","218663"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","White: British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","76","%","408568"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","White: British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","72","%","208704"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","White: British","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","81","%","199864"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","White: Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","82","%","1593"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","White: Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Boys","78","%","823"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","White: Irish","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","Girls","85","%","770"
"Percentage of pupils reaching the key stage 2 expected standard in grammar, punctuation and spelling","White: Traveller of Irish Heritage","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2016/2017","Academic year","England","E92000001","All","33","%","464"
